300197 铁汉生态 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/29/2011	9.31	9.71	8.96	9.27	10425760	825112896.000
03/30/2011	9.31	9.31	8.50	8.58	3526659	261082432.000
03/31/2011	8.70	9.28	8.58	9.06	1808561	135463232.000
04/01/2011	8.93	9.02	8.61	8.82	1384859	101941680.000
04/06/2011	8.76	9.01	8.61	8.88	1017573	74935480.000
04/07/2011	8.76	8.89	8.52	8.59	822543	59877240.000
04/08/2011	8.56	8.68	8.37	8.60	593435	42483940.000
04/11/2011	8.54	8.72	8.46	8.46	559687	40308124.000
04/12/2011	8.36	8.41	8.18	8.22	997838	69450600.000
04/13/2011	8.22	8.42	8.14	8.36	415648	28995892.000
04/14/2011	8.33	8.35	7.89	7.97	1335752	90953280.000
04/15/2011	7.97	8.05	7.88	7.99	593540	39656448.000
04/18/2011	7.99	8.54	7.92	8.38	1485479	102370344.000
04/19/2011	8.33	8.88	8.28	8.79	1364878	98948664.000
04/20/2011	8.72	8.99	8.70	8.74	1601858	118453008.000
04/21/2011	8.71	8.97	8.55	8.91	565364	41796140.000
04/22/2011	8.89	8.96	8.70	8.78	480127	35627020.000
04/25/2011	8.73	9.17	8.65	9.06	658015	49354536.000
04/26/2011	9.04	9.21	8.89	8.94	392627	29732152.000
04/27/2011	8.93	8.93	8.58	8.70	387593	28388204.000
04/28/2011	8.59	8.85	8.59	8.64	363119	26451316.000
04/29/2011	8.61	8.82	8.60	8.70	173564	12667358.000
05/03/2011	8.69	9.04	8.67	8.96	287673	21476418.000
05/04/2011	9.00	9.00	8.27	8.31	372550	26952432.000
05/05/2011	8.21	8.42	8.14	8.37	253091	17650514.000
05/06/2011	8.37	8.37	8.15	8.26	204107	14144905.000
05/09/2011	8.26	8.52	8.25	8.33	207884	14687799.000
05/10/2011	8.35	8.35	8.18	8.26	94482	6557829.500
05/11/2011	8.18	8.28	8.05	8.28	187146	12830395.000
05/12/2011	8.06	8.39	8.06	8.21	310530	21538262.000
05/13/2011	8.21	8.33	8.16	8.33	159012	11076743.000
05/16/2011	8.29	8.37	8.09	8.33	182655	12665947.000
05/17/2011	8.34	8.53	8.29	8.35	170703	12084022.000
05/18/2011	8.24	8.32	8.21	8.25	151412	10497305.000
05/19/2011	8.27	8.48	8.16	8.25	143161	10014595.000
05/20/2011	8.21	8.24	7.87	7.94	806665	54352592.000
05/24/2011	7.61	7.98	7.38	7.83	507463	32536808.000
05/25/2011	7.75	7.95	7.67	7.93	156659	10330610.000
05/26/2011	7.85	7.93	7.73	7.73	75152	4956912.000
05/27/2011	7.75	7.75	7.48	7.55	114366	7340216.000
05/30/2011	7.48	7.65	7.46	7.56	95074	6052368.500
05/31/2011	7.58	7.66	7.50	7.63	48319	3079431.000
06/01/2011	7.60	7.72	7.51	7.64	195534	12553496.000
06/02/2011	7.60	7.60	7.40	7.45	145565	9170782.000
06/03/2011	7.49	7.64	7.48	7.56	150935	9646893.000
06/07/2011	7.51	7.59	7.51	7.57	193721	12338002.000
06/08/2011	7.51	7.58	7.51	7.57	91900	5841338.500
06/09/2011	7.57	7.58	7.40	7.41	186150	11755612.000
06/10/2011	7.41	7.45	7.09	7.31	671645	40591624.000
06/13/2011	7.18	7.18	6.97	7.12	318718	18936542.000
06/14/2011	7.12	7.48	7.06	7.15	260020	15870696.000
06/15/2011	7.13	7.29	7.09	7.24	172527	10508613.000
06/16/2011	7.13	7.20	7.02	7.14	62658	3770196.500
06/17/2011	7.13	7.29	7.13	7.19	74217	4521962.000
06/20/2011	7.18	7.42	7.18	7.36	137373	8500286.000
06/21/2011	7.41	7.41	7.25	7.36	69536	4297415.000
06/22/2011	7.37	7.40	7.30	7.30	115578	7125928.000
06/23/2011	7.35	7.52	7.24	7.48	97267	6062317.000
06/24/2011	7.42	7.60	7.40	7.60	114542	7280320.000
06/27/2011	7.69	8.31	7.69	8.09	347526	23523688.000
06/28/2011	8.05	8.15	7.97	8.09	151166	10248308.000
06/29/2011	8.09	8.11	7.86	7.88	688300	46648844.000
06/30/2011	7.87	8.02	7.76	7.91	188742	12479472.000
07/01/2011	7.87	8.21	7.87	7.97	193943	13127446.000
07/04/2011	8.09	8.46	8.05	8.33	499321	34330976.000
07/05/2011	8.28	9.19	8.28	8.88	583993	43225044.000
07/06/2011	8.76	9.06	8.76	9.00	296586	22234104.000
07/07/2011	9.01	9.92	9.00	9.77	1061931	85982008.000
07/08/2011	9.68	10.10	9.43	9.99	591313	48169344.000
07/12/2011	9.92	10.14	9.81	9.87	525994	43956512.000
07/13/2011	9.77	10.50	9.75	10.48	585265	49679348.000
07/14/2011	10.53	11.37	10.48	11.33	830842	76719024.000
07/15/2011	11.32	11.54	10.98	11.26	629351	59346580.000
07/18/2011	11.22	11.38	10.96	11.10	451423	41816492.000
07/19/2011	11.10	11.18	10.78	10.89	648476	59220192.000
07/20/2011	10.95	11.01	10.59	10.82	546061	49011316.000
07/21/2011	10.77	11.74	10.75	11.25	1008540	94804456.000
07/22/2011	11.06	11.68	11.05	11.13	692164	65510644.000
07/25/2011	10.98	11.67	10.82	11.50	758309	71463640.000
07/26/2011	11.41	12.67	11.38	12.67	1011833	104607264.000
07/27/2011	12.72	13.80	12.46	13.26	1084619	117739760.000
07/28/2011	13.10	13.29	12.49	13.02	860909	91956512.000
07/29/2011	13.20	13.88	12.96	12.99	755238	84488048.000
08/01/2011	12.60	13.73	12.60	13.51	528201	58604336.000
08/02/2011	13.39	13.89	13.36	13.62	373280	42313696.000
08/03/2011	13.22	13.94	12.79	13.07	583253	64890900.000
08/04/2011	12.87	14.40	12.87	14.40	627397	71595456.000
08/05/2011	14.06	15.31	13.94	14.40	1076838	130413016.000
08/09/2011	12.94	14.34	12.94	14.02	1175294	129699288.000
08/10/2011	14.06	14.67	13.82	13.94	666082	78825704.000
08/11/2011	13.77	14.04	13.10	13.63	670432	75827280.000
08/12/2011	13.61	13.94	13.40	13.63	439454	49943384.000
08/15/2011	13.89	14.24	13.66	13.81	657915	76247936.000
08/16/2011	13.81	13.81	13.33	13.62	475034	53622628.000
08/17/2011	13.56	13.90	13.56	13.82	470229	53799072.000
08/18/2011	13.82	13.91	13.33	13.33	362087	40701748.000
08/19/2011	13.09	13.20	12.61	13.06	384341	41406804.000
08/22/2011	12.96	13.18	12.45	12.52	552121	58838552.000
08/23/2011	12.60	12.80	12.39	12.80	608413	64005324.000
08/24/2011	12.84	13.93	12.81	13.75	748247	82580056.000
08/25/2011	13.62	13.99	13.21	13.69	645945	73150824.000
08/26/2011	13.63	14.30	13.57	14.13	452219	52755096.000
08/29/2011	14.18	14.29	13.66	13.85	375661	43459356.000
08/30/2011	13.91	14.01	13.61	13.61	237830	27312872.000
08/31/2011	13.49	13.62	12.84	13.09	472800	51655528.000
09/01/2011	13.18	13.75	12.96	13.19	315132	35178520.000
09/02/2011	13.23	13.24	12.96	13.08	300441	32769354.000
09/05/2011	12.90	13.57	12.72	13.02	183633	19934880.000
09/06/2011	12.96	13.08	12.76	12.94	249308	26708694.000
09/07/2011	12.94	13.20	12.87	13.20	221208	24006304.000
09/08/2011	13.21	13.57	13.21	13.21	330623	36835880.000
09/09/2011	13.09	13.15	12.60	12.60	236260	25392520.000
09/13/2011	12.35	13.09	11.98	12.43	366205	37837004.000
09/14/2011	12.34	12.56	12.17	12.51	101803	10519181.000
09/15/2011	12.43	12.76	12.35	12.42	152235	15937725.000
09/16/2011	12.36	13.03	12.35	12.73	218093	23203944.000
09/20/2011	12.60	12.60	11.97	11.99	357765	36453340.000
09/21/2011	12.08	12.50	11.87	12.39	369729	37611720.000
09/22/2011	12.29	12.95	12.24	12.39	578579	60933200.000
09/23/2011	12.24	13.22	12.08	13.21	1090472	117010856.000
09/26/2011	12.95	12.99	12.16	12.46	1177178	64541556.000
09/27/2011	12.33	13.69	12.33	12.64	1839301	104925128.000
09/28/2011	12.33	12.71	11.89	11.94	1074020	57246148.000
09/29/2011	11.63	11.82	10.72	10.80	1467624	71527736.000
09/30/2011	10.81	11.07	10.69	10.94	971716	46587720.000
10/10/2011	10.80	11.14	10.41	10.45	583242	27360766.000
10/11/2011	10.58	11.15	10.06	11.15	1302781	60752104.000
10/13/2011	11.38	12.12	11.38	12.10	1473602	75350544.000
10/14/2011	11.96	12.25	11.61	12.08	812114	42392140.000
10/17/2011	12.07	12.68	11.84	12.61	802904	43669584.000
10/18/2011	12.38	12.60	11.84	11.93	757716	40585264.000
10/19/2011	11.94	12.68	11.94	12.31	773444	41890308.000
10/20/2011	12.30	12.38	11.66	12.07	569877	29859988.000
10/21/2011	11.91	12.45	11.88	11.94	535944	28610486.000
10/24/2011	11.96	12.03	11.15	12.00	746007	38210896.000
10/25/2011	11.85	12.48	11.85	12.16	771296	41324232.000
10/26/2011	11.96	12.35	11.96	12.00	684501	36414440.000
10/27/2011	11.98	12.61	11.98	12.19	860809	46563904.000
10/28/2011	12.53	12.65	12.09	12.56	1205058	65941512.000
10/31/2011	12.55	13.17	12.53	13.00	1130581	64034120.000
11/01/2011	12.77	13.34	12.72	13.12	1024275	58401900.000
11/02/2011	12.94	13.35	12.65	13.34	1127146	64810212.000
11/03/2011	13.34	13.50	12.92	12.92	1548621	89665344.000
11/04/2011	12.88	13.69	12.88	13.44	1627494	95698152.000
11/07/2011	13.28	14.06	13.28	13.46	1253181	75147144.000
11/08/2011	13.37	13.97	13.35	13.54	849742	50874548.000
11/09/2011	13.48	13.84	13.14	13.62	1038371	61147088.000
11/10/2011	13.39	13.83	13.28	13.37	1071716	63654168.000
11/11/2011	13.30	13.53	13.03	13.07	793117	46022492.000
11/14/2011	13.12	13.69	13.12	13.69	1103451	64954104.000
11/15/2011	13.65	13.88	13.44	13.67	669913	39968816.000
11/16/2011	13.64	13.74	13.18	13.28	718834	42164676.000
11/17/2011	13.32	13.65	13.23	13.35	637383	37594028.000
11/18/2011	13.30	13.42	12.77	13.07	754088	43110916.000
11/21/2011	12.91	13.06	12.49	12.64	540706	30055544.000
11/22/2011	12.63	12.64	12.19	12.46	535296	29067932.000
11/23/2011	12.47	12.73	12.35	12.38	337522	18560272.000
11/24/2011	12.31	12.93	12.17	12.88	491957	27036490.000
11/25/2011	12.75	12.98	12.59	12.61	392655	21954126.000
11/28/2011	12.55	12.86	12.44	12.58	269111	14854110.000
11/29/2011	12.80	12.86	12.54	12.77	397393	22169566.000
11/30/2011	12.84	12.84	11.53	11.91	756157	39756672.000
12/01/2011	12.29	12.63	11.94	12.23	683588	36995244.000
12/02/2011	12.10	12.21	11.77	11.84	387170	20307032.000
12/05/2011	11.82	11.84	11.10	11.11	516010	25683824.000
12/06/2011	11.11	11.29	10.83	11.23	206476	10109421.000
12/07/2011	11.14	11.37	11.08	11.21	201629	9945366.000
12/08/2011	11.22	11.36	11.00	11.25	372480	18384696.000
12/09/2011	11.06	11.61	11.06	11.38	644602	32291308.000
12/12/2011	11.45	11.50	11.22	11.24	216609	10787942.000
12/13/2011	11.22	11.22	10.63	10.89	367411	17474826.000
12/14/2011	10.70	11.05	10.46	10.47	318348	14910124.000
12/15/2011	10.45	10.73	10.22	10.25	264865	12165966.000
12/16/2011	10.22	10.71	10.18	10.61	356931	16372952.000
12/19/2011	10.57	10.63	10.27	10.47	432393	19800950.000
12/20/2011	10.52	10.64	10.43	10.47	282547	13070941.000
12/21/2011	10.50	11.26	10.47	10.97	1053605	50994076.000
12/22/2011	10.88	11.10	10.48	10.91	741589	35210816.000
12/23/2011	10.76	11.26	10.75	11.04	545256	26625062.000
12/26/2011	11.38	11.38	10.52	10.69	780464	37652216.000
12/27/2011	10.57	10.57	10.22	10.34	398766	18238332.000
12/28/2011	10.22	10.36	9.76	9.94	448427	19665354.000
12/29/2011	9.94	9.94	9.41	9.41	730094	31024688.000
12/30/2011	9.44	9.59	9.34	9.44	573170	23856236.000
