300198 纳川股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/07/2011	6.39	6.49	6.30	6.41	4911322	144632864.000
04/08/2011	6.43	6.71	6.39	6.61	2310932	70280416.000
04/11/2011	6.61	6.69	6.41	6.47	1755271	52837636.000
04/12/2011	6.47	6.51	6.40	6.44	737057	21902034.000
04/13/2011	6.42	6.53	6.39	6.51	477430	14300908.000
04/14/2011	6.50	6.52	6.43	6.44	521950	15553868.000
04/15/2011	6.41	6.48	6.41	6.47	397289	11831484.000
04/18/2011	6.43	6.54	6.43	6.47	269544	8043651.500
04/19/2011	6.45	6.46	6.29	6.33	565291	16511032.000
04/20/2011	6.28	6.35	6.28	6.32	200901	5860984.500
04/21/2011	6.30	6.39	6.30	6.34	159067	4659042.000
04/22/2011	6.34	6.35	6.32	6.34	173359	5071190.500
04/25/2011	6.34	6.36	6.30	6.35	178682	5232451.000
04/26/2011	6.34	6.45	6.34	6.39	329827	9746054.000
04/27/2011	6.40	6.50	6.37	6.46	650025	19361720.000
04/28/2011	6.46	6.63	6.28	6.32	978681	29422246.000
04/29/2011	6.30	6.43	6.30	6.41	269650	7919353.500
05/03/2011	6.42	6.49	6.35	6.49	342140	10188894.000
05/04/2011	6.48	6.54	6.35	6.39	432100	12827087.000
05/05/2011	6.37	6.49	6.29	6.48	201481	5965242.500
05/06/2011	6.48	6.57	6.39	6.51	372490	11193010.000
05/09/2011	6.52	6.54	6.41	6.48	273968	8171902.500
05/10/2011	6.48	6.48	6.33	6.37	537779	15785318.000
05/11/2011	6.37	6.38	6.07	6.08	696600	20086426.000
05/12/2011	6.07	6.08	5.99	6.05	225977	6311428.000
05/13/2011	6.01	6.11	5.95	6.10	156092	4343542.500
05/16/2011	6.10	6.10	6.03	6.04	110399	3090292.000
05/17/2011	6.10	6.24	6.01	6.04	176160	4914136.000
05/18/2011	6.04	6.05	6.01	6.02	82201	2292342.750
05/19/2011	6.01	6.03	5.93	5.98	167500	4627445.000
05/20/2011	5.98	5.98	5.83	5.84	215122	5828808.000
05/24/2011	5.76	5.92	5.39	5.84	305050	7996578.500
05/25/2011	5.84	5.87	5.60	5.63	90800	2397695.250
05/26/2011	5.72	5.74	5.56	5.57	70900	1857618.000
05/27/2011	5.57	5.67	5.55	5.56	114475	2963818.750
05/30/2011	5.61	5.66	5.50	5.57	78545	2045748.000
05/31/2011	5.47	5.74	5.47	5.67	75349	1970501.875
06/01/2011	5.70	5.70	5.51	5.65	63649	1658327.000
06/02/2011	5.61	5.74	5.52	5.59	79745	2055697.875
06/03/2011	5.59	5.76	5.54	5.73	444116	11747782.000
06/07/2011	5.73	5.76	5.67	5.74	106536	2819620.000
06/08/2011	5.77	5.80	5.68	5.74	50601	1340966.875
06/09/2011	5.68	5.74	5.65	5.65	32300	849205.813
06/10/2011	5.58	5.65	5.50	5.56	77600	1994522.000
06/13/2011	5.57	5.60	5.44	5.57	46700	1200253.000
06/14/2011	5.50	5.63	5.50	5.62	64898	1684026.000
06/15/2011	5.61	5.71	5.61	5.63	82953	2169578.500
06/16/2011	5.61	5.61	5.52	5.53	41462	1065571.250
06/17/2011	5.52	5.60	5.52	5.54	56500	1453119.875
06/20/2011	5.50	5.58	5.48	5.50	36300	926027.250
06/21/2011	5.56	5.57	5.46	5.57	72732	1862102.375
06/22/2011	5.59	5.61	5.50	5.56	66800	1721771.125
06/23/2011	5.59	5.68	5.53	5.65	154787	4033354.750
06/24/2011	5.65	5.78	5.61	5.73	192982	5102131.500
06/27/2011	5.73	5.76	5.70	5.73	261400	6936922.000
06/28/2011	5.76	5.90	5.68	5.87	273025	7293221.500
06/29/2011	5.87	6.18	5.87	5.93	785625	21818588.000
06/30/2011	5.97	6.05	5.93	5.97	476348	13164702.000
07/01/2011	5.97	6.09	5.94	5.99	206700	5731640.500
07/04/2011	6.06	6.38	6.06	6.29	674323	19510684.000
07/05/2011	6.29	6.35	6.22	6.25	378501	10965312.000
07/06/2011	6.21	6.32	6.21	6.30	433095	12569785.000
07/07/2011	6.32	6.47	6.31	6.44	1701761	50474552.000
07/08/2011	6.45	6.68	6.43	6.53	1776459	53585016.000
07/11/2011	6.63	6.74	6.60	6.68	1587035	49085684.000
07/12/2011	6.63	6.75	6.50	6.67	1175419	36309300.000
07/13/2011	6.77	6.80	6.70	6.77	1295950	40387408.000
07/14/2011	6.72	6.86	6.72	6.76	1038589	32480974.000
07/15/2011	6.76	6.78	6.62	6.69	1068334	33172736.000
07/18/2011	6.69	6.86	6.69	6.72	867635	27103080.000
07/19/2011	6.73	7.06	6.62	7.03	2464175	78386432.000
07/20/2011	7.04	7.05	6.88	7.03	1302267	41854176.000
07/21/2011	7.03	7.03	6.79	6.80	1112640	35220120.000
07/22/2011	6.84	6.91	6.80	6.86	499082	15790223.000
07/25/2011	6.83	6.90	6.74	6.78	1169255	36726808.000
07/26/2011	6.72	6.82	6.61	6.78	600923	18588698.000
07/27/2011	6.78	6.96	6.65	6.90	842320	26691562.000
07/28/2011	6.80	7.26	6.80	7.21	1775213	58110740.000
