300199 翰宇药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/07/2011	7.41	7.41	6.85	7.15	5841715	170576048.000
04/08/2011	7.15	7.22	7.07	7.13	1944812	56912508.000
04/11/2011	7.12	7.34	7.01	7.20	1760380	51723220.000
04/12/2011	7.13	7.14	7.02	7.09	922915	26778722.000
04/13/2011	7.07	7.47	7.03	7.47	3756620	113514384.000
04/14/2011	7.54	7.54	7.16	7.22	2554875	76876600.000
04/15/2011	7.10	7.12	6.96	7.11	1780738	51327224.000
04/18/2011	7.04	7.42	7.04	7.40	1829375	54729040.000
04/19/2011	7.42	7.65	7.41	7.54	3084344	95582536.000
04/20/2011	7.54	7.73	7.50	7.73	2694248	84197256.000
04/21/2011	7.82	7.84	7.62	7.67	1552340	48968528.000
04/22/2011	7.63	7.82	7.56	7.69	1038958	32695744.000
04/25/2011	7.62	7.70	7.36	7.45	1443502	44509512.000
04/26/2011	7.43	7.80	7.38	7.64	1525570	47551524.000
04/27/2011	7.65	7.74	7.40	7.46	1256994	38992248.000
04/28/2011	7.45	7.63	7.18	7.21	1049214	31944292.000
04/29/2011	7.13	7.33	7.13	7.30	689095	20469982.000
05/03/2011	7.30	7.70	7.26	7.61	1494144	46222936.000
05/04/2011	7.56	7.65	7.48	7.65	856362	26528540.000
05/05/2011	7.59	8.25	7.59	7.95	2418325	78903816.000
05/06/2011	7.88	8.06	7.76	7.90	1186881	38484984.000
05/09/2011	7.90	8.23	7.86	8.03	1018382	33506336.000
05/10/2011	8.05	8.46	7.95	8.34	1633471	55103036.000
05/11/2011	8.33	9.10	8.28	8.97	2103528	74900472.000
05/12/2011	8.85	9.88	8.74	9.45	2592021	97803296.000
05/13/2011	9.33	9.81	9.12	9.40	1786517	68522560.000
05/16/2011	9.38	9.96	9.29	9.66	1330448	52513376.000
05/17/2011	9.67	9.94	9.08	9.51	1653145	63317132.000
05/18/2011	9.48	9.50	9.15	9.35	1176016	44576852.000
05/19/2011	9.30	9.67	9.11	9.55	1226180	46636188.000
05/20/2011	9.40	9.56	8.93	9.03	2134827	79594848.000
05/23/2011	8.83	8.96	8.60	8.63	1208952	43383512.000
05/24/2011	8.60	8.92	8.55	8.64	1578207	55995480.000
05/25/2011	8.58	8.65	8.13	8.21	2420820	82021528.000
05/26/2011	8.20	8.44	8.03	8.15	1597552	53329172.000
05/27/2011	8.25	8.40	8.04	8.05	1591760	53472136.000
05/30/2011	7.98	8.15	7.74	7.88	968127	31481930.000
05/31/2011	7.86	8.10	7.83	8.06	973892	31723848.000
06/01/2011	8.12	8.30	8.02	8.16	903985	30228042.000
06/02/2011	8.06	8.08	7.77	7.96	1116115	36005212.000
06/03/2011	7.83	8.29	7.83	8.28	792099	26425964.000
06/07/2011	8.39	8.68	8.23	8.54	1159599	40393928.000
06/08/2011	8.48	8.54	8.34	8.52	467339	16080828.000
06/09/2011	8.52	8.52	8.08	8.10	954111	31889748.000
06/10/2011	8.00	8.22	7.83	8.20	730590	23809516.000
06/13/2011	8.18	8.68	8.09	8.68	1162445	40333416.000
06/14/2011	8.69	9.39	8.60	9.10	1163391	43148104.000
06/15/2011	9.10	9.17	8.78	9.05	703386	25771624.000
