300200 高盟新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/07/2011	10.39	10.49	9.80	9.87	6074517	128651352.000
04/08/2011	9.79	10.14	9.63	9.96	2933354	61122760.000
04/11/2011	9.95	9.95	9.69	9.70	1825860	37624612.000
04/12/2011	9.61	9.80	9.60	9.80	892462	18303636.000
04/13/2011	9.74	9.92	9.71	9.86	1154330	24028050.000
04/14/2011	9.85	9.92	9.71	9.73	830865	17134026.000
04/15/2011	9.71	9.78	9.66	9.71	494232	10125915.000
04/18/2011	9.71	9.85	9.65	9.81	787377	16242342.000
04/19/2011	9.79	9.79	9.45	9.52	1225377	24844456.000
04/20/2011	9.55	9.59	9.48	9.56	414229	8363029.000
04/21/2011	9.57	9.61	9.53	9.54	488669	9875760.000
04/22/2011	9.52	9.55	9.48	9.48	428541	8619881.000
04/25/2011	9.48	9.52	9.36	9.37	488643	9718020.000
04/26/2011	9.31	9.38	9.14	9.14	479900	9385771.000
04/27/2011	9.14	9.24	8.95	8.95	397400	7641012.500
04/28/2011	8.97	9.05	8.73	8.74	382950	7203062.000
04/29/2011	8.76	8.92	8.74	8.87	222525	4176729.750
05/03/2011	8.88	8.92	8.81	8.91	186807	3517989.500
05/04/2011	8.92	8.92	8.67	8.67	281662	5239715.000
05/05/2011	8.66	8.74	8.48	8.67	503991	9230380.000
05/06/2011	8.56	8.67	8.51	8.62	244931	4474020.500
05/09/2011	8.62	8.71	8.62	8.66	224617	4140367.250
05/10/2011	8.67	8.71	8.55	8.66	184662	3384369.500
05/11/2011	8.61	8.69	8.60	8.66	210227	3871977.000
05/12/2011	8.60	8.69	8.60	8.63	193190	3551107.250
05/13/2011	8.63	8.83	8.61	8.81	333871	6187931.500
05/16/2011	8.81	9.14	8.81	9.09	868579	16607139.000
05/17/2011	9.01	9.04	8.83	8.86	310390	5869044.500
05/18/2011	8.85	8.91	8.80	8.82	244391	4597385.000
05/19/2011	8.81	8.85	8.75	8.75	278100	5200264.000
05/20/2011	8.73	8.75	8.59	8.59	238600	4388441.000
05/23/2011	8.53	8.58	8.37	8.37	261900	4718175.500
05/24/2011	8.28	8.52	8.16	8.46	305753	5447847.000
05/25/2011	8.45	8.50	8.18	8.18	194300	3442005.000
05/26/2011	8.23	8.35	8.16	8.18	154150	2707442.000
05/27/2011	8.11	8.20	8.03	8.05	220465	3814214.750
05/30/2011	8.00	8.13	7.97	7.98	147387	2539623.000
05/31/2011	7.99	8.11	7.98	8.10	161625	2775280.750
06/01/2011	8.09	8.20	8.09	8.15	152288	2646368.750
06/02/2011	8.09	8.09	7.84	7.89	302814	5131058.000
06/03/2011	7.89	8.02	7.89	7.98	130865	2228037.500
06/07/2011	7.98	8.03	7.91	8.02	115545	1972446.750
06/08/2011	7.95	8.01	7.86	7.95	116343	1970688.875
06/09/2011	7.98	7.99	7.88	7.89	86833	1471973.375
06/13/2011	7.76	7.95	7.71	7.86	102642	1714702.750
06/14/2011	7.94	8.03	7.93	8.00	189496	3239589.750
06/15/2011	8.00	8.00	7.91	7.91	108216	1841515.125
06/16/2011	7.88	7.88	7.73	7.74	118649	1973436.000
06/17/2011	7.73	7.78	7.66	7.67	113630	1875809.250
06/20/2011	7.68	7.70	7.49	7.50	91800	1493562.500
06/21/2011	7.51	7.58	7.48	7.56	94599	1527565.000
06/22/2011	7.58	7.63	7.50	7.53	81800	1322969.000
06/23/2011	7.48	7.80	7.48	7.76	274641	4526536.000
06/24/2011	7.66	7.95	7.66	7.95	344686	5803640.000
06/27/2011	7.97	8.11	7.93	7.99	360580	6169453.500
06/28/2011	8.05	8.05	7.92	8.03	198692	3390449.750
06/29/2011	7.98	8.03	7.80	7.83	131700	2236291.000
06/30/2011	7.83	7.98	7.81	7.88	225991	3822787.750
07/01/2011	7.94	8.03	7.90	7.96	226357	3860186.750
07/04/2011	7.97	8.17	7.96	8.14	360859	6248230.000
07/05/2011	8.14	8.16	8.08	8.15	316603	5486569.500
07/06/2011	8.15	8.35	8.10	8.32	572754	10080974.000
07/07/2011	8.23	8.79	8.21	8.60	1595602	29201900.000
07/08/2011	8.60	8.69	8.42	8.49	577266	10436206.000
07/11/2011	8.48	8.53	8.39	8.49	482259	8685064.000
07/12/2011	8.43	8.43	8.19	8.20	753622	13305245.000
07/13/2011	8.20	8.63	8.20	8.60	1616124	28923490.000
07/14/2011	8.58	8.78	8.53	8.75	1329757	24581734.000
07/15/2011	8.75	8.94	8.71	8.86	1094019	20584764.000
07/18/2011	8.85	9.10	8.73	8.79	896526	16990928.000
07/19/2011	8.79	8.79	8.55	8.64	718271	13180427.000
07/20/2011	8.74	8.85	8.63	8.77	673664	12517865.000
07/21/2011	8.77	8.79	8.40	8.43	1133975	20581106.000
07/22/2011	8.46	8.59	8.46	8.50	538473	9772539.000
07/25/2011	8.45	8.50	8.20	8.22	463385	8205919.000
07/26/2011	8.23	8.33	8.17	8.29	326769	5740711.500
07/27/2011	8.24	8.55	8.22	8.55	477543	8601720.000
07/28/2011	8.40	8.72	8.20	8.70	773716	14115317.000
07/29/2011	8.66	8.78	8.48	8.51	465286	8517518.000
08/01/2011	8.45	8.77	8.40	8.74	825613	15241073.000
08/02/2011	8.73	8.95	8.63	8.93	1653397	30992136.000
08/03/2011	8.85	9.03	8.76	8.89	1128924	21366792.000
08/04/2011	8.92	9.00	8.61	8.73	963507	17919786.000
08/05/2011	8.45	8.56	8.35	8.40	694317	12515459.000
08/08/2011	8.35	8.35	7.86	8.19	818020	14245410.000
08/09/2011	8.00	8.29	7.90	8.25	451001	7832157.000
08/10/2011	8.28	8.48	8.28	8.42	456160	8158230.500
08/11/2011	8.36	8.58	8.24	8.58	523933	9441693.000
08/12/2011	8.63	8.70	8.58	8.67	665870	12242942.000
08/15/2011	8.65	8.83	8.60	8.82	529280	9835343.000
08/16/2011	8.83	8.89	8.68	8.84	732432	13672823.000
08/17/2011	8.76	8.85	8.62	8.80	546988	10206628.000
08/18/2011	8.80	8.80	8.57	8.64	334242	6165765.000
08/19/2011	8.39	8.54	8.38	8.52	299565	5391340.500
08/22/2011	8.55	8.78	8.53	8.74	552810	10193545.000
08/23/2011	8.73	9.15	8.73	9.15	2097709	40060916.000
08/24/2011	9.21	9.33	9.00	9.00	1577719	30661520.000
08/25/2011	9.05	9.14	8.82	9.10	964798	18359034.000
08/26/2011	9.04	9.44	8.96	9.38	1867858	36597216.000
08/29/2011	9.33	9.55	9.25	9.36	2013829	40092092.000
08/30/2011	9.36	9.38	8.90	8.92	1351461	26123446.000
08/31/2011	8.94	8.95	8.70	8.83	831536	15556154.000
09/01/2011	8.85	8.95	8.58	8.73	931776	17341464.000
09/02/2011	8.70	8.81	8.65	8.79	533973	9915716.000
09/05/2011	8.73	8.77	8.41	8.45	619638	11216943.000
09/06/2011	8.38	8.45	8.08	8.19	664965	11641196.000
09/07/2011	8.26	8.45	8.19	8.45	660940	11742950.000
09/08/2011	8.48	8.53	8.27	8.30	447150	8011581.500
09/09/2011	8.30	8.43	8.10	8.18	389547	6828868.500
09/13/2011	7.78	8.08	7.78	7.94	368176	6231981.000
09/14/2011	7.99	8.05	7.85	8.05	387483	6571112.500
09/15/2011	8.06	8.09	8.00	8.04	322477	5545701.000
09/16/2011	8.05	8.09	7.95	8.00	252647	4329454.000
09/19/2011	7.95	7.95	7.69	7.75	378738	6307732.000
09/20/2011	7.83	7.83	7.70	7.79	291753	4836230.000
09/21/2011	7.80	8.07	7.76	8.04	506860	8635760.000
09/22/2011	7.99	8.03	7.78	7.83	399643	6745809.000
09/23/2011	7.75	7.76	7.65	7.75	379940	6276102.000
09/26/2011	7.77	7.82	7.71	7.75	255760	4247611.000
09/27/2011	7.79	7.82	7.68	7.76	246466	4085098.000
09/28/2011	7.81	7.84	7.47	7.58	384679	6340778.000
09/29/2011	7.48	7.54	7.31	7.33	399318	6365191.500
09/30/2011	7.39	7.45	7.00	7.05	495840	7678141.000
10/10/2011	7.10	7.19	7.06	7.13	167848	2571023.750
10/11/2011	7.23	7.31	7.13	7.20	242798	3776743.750
10/12/2011	7.15	7.45	7.01	7.43	317116	5009395.500
10/13/2011	7.36	7.63	7.36	7.56	395984	6413309.000
10/14/2011	7.51	7.59	7.41	7.59	263709	4242540.000
10/17/2011	7.51	7.68	7.51	7.67	281878	4603993.500
10/18/2011	7.63	7.63	7.33	7.33	328823	5279067.000
10/19/2011	7.37	7.48	7.37	7.40	166265	2650353.500
10/20/2011	7.50	7.50	7.16	7.27	250377	3911634.250
10/21/2011	7.15	7.28	7.06	7.17	213356	3293652.500
10/24/2011	7.17	7.30	6.95	7.28	285054	4380029.000
10/25/2011	7.28	7.53	7.19	7.53	421600	6710623.500
10/26/2011	7.48	7.67	7.40	7.60	442648	7193757.000
10/27/2011	7.53	7.62	7.51	7.55	281123	4562836.500
10/28/2011	7.56	7.69	7.55	7.69	297933	4866259.500
10/31/2011	7.69	7.78	7.61	7.72	401819	6616104.000
11/01/2011	7.63	7.73	7.54	7.65	328093	5363438.000
11/02/2011	7.49	7.88	7.49	7.84	517137	8557494.000
11/03/2011	7.89	7.97	7.83	7.84	698549	11811849.000
11/04/2011	7.88	7.89	7.75	7.84	315627	5278754.500
11/07/2011	7.85	7.90	7.77	7.84	225019	3773554.750
11/08/2011	7.78	7.87	7.70	7.71	222800	3712661.500
11/09/2011	7.78	7.84	7.62	7.82	525576	8678931.000
11/10/2011	7.71	8.00	7.71	7.86	966370	16268858.000
11/11/2011	7.84	7.99	7.81	7.90	584263	9851194.000
11/14/2011	7.92	8.19	7.92	8.18	976866	16903376.000
11/15/2011	8.13	8.17	8.03	8.10	547729	9463002.000
11/16/2011	8.15	8.15	7.81	7.89	493929	8397123.000
11/17/2011	7.85	8.13	7.85	7.98	426758	7293518.500
11/18/2011	7.93	7.93	7.66	7.68	377208	6289958.500
11/21/2011	7.68	7.78	7.58	7.66	197190	3230106.750
11/22/2011	7.55	7.70	7.47	7.57	268323	4348667.000
11/23/2011	7.61	7.73	7.57	7.63	189110	3095734.500
11/24/2011	7.60	7.66	7.41	7.58	146741	2372882.500
11/25/2011	7.58	7.64	7.46	7.53	107259	1737032.250
11/28/2011	7.46	7.60	7.46	7.57	154429	2496012.500
11/29/2011	7.60	7.68	7.60	7.68	175710	2874160.750
11/30/2011	7.66	7.66	7.16	7.34	350900	5574350.000
12/01/2011	7.49	7.64	7.42	7.55	383244	6185599.500
12/02/2011	7.53	7.53	7.33	7.35	151280	2401449.500
12/05/2011	7.29	7.41	7.09	7.09	111900	1740768.000
12/06/2011	7.06	7.25	7.05	7.22	131128	2021938.125
12/07/2011	7.22	7.26	7.12	7.17	131802	2035436.500
12/08/2011	7.12	7.24	7.07	7.16	143869	2217402.750
12/09/2011	7.19	7.19	7.08	7.08	119800	1833823.000
12/12/2011	7.06	7.13	7.05	7.10	93428	1425828.375
12/13/2011	7.05	7.05	6.84	6.91	215698	3216032.000
12/14/2011	6.88	6.95	6.80	6.85	78700	1166991.250
12/15/2011	6.86	6.86	6.67	6.72	105077	1530630.250
12/16/2011	6.75	6.90	6.73	6.90	100796	1481984.250
12/19/2011	6.93	6.93	6.67	6.88	133768	1962046.625
12/20/2011	6.87	6.98	6.84	6.86	72824	1083587.375
12/21/2011	6.90	6.95	6.72	6.72	101100	1497164.000
12/22/2011	6.70	6.70	6.45	6.55	121099	1720930.750
12/23/2011	6.55	6.65	6.52	6.60	158199	2258219.750
12/26/2011	6.57	6.64	6.57	6.58	51700	737922.000
12/27/2011	6.50	6.66	6.25	6.28	139791	1950651.750
12/28/2011	6.25	6.29	5.90	6.00	221901	2915148.000
12/29/2011	5.91	6.00	5.75	5.87	542354	6956485.000
12/30/2011	5.87	5.96	5.83	5.91	608975	7842333.500
01/04/2012	5.95	5.98	5.61	5.62	316231	4042386.000
01/05/2012	5.60	5.60	5.21	5.26	309336	3663225.250
01/06/2012	5.32	5.33	5.13	5.28	201601	2330369.750
01/09/2012	5.31	5.53	5.21	5.51	283953	3378323.500
01/10/2012	5.50	5.76	5.45	5.75	433406	5373723.000
01/11/2012	5.70	5.84	5.70	5.76	223750	2822750.750
01/12/2012	5.74	5.80	5.65	5.73	215779	2696593.250
01/13/2012	5.69	5.70	5.36	5.40	250870	3036118.500
01/16/2012	5.34	5.35	5.11	5.18	116226	1347228.000
01/17/2012	5.13	5.53	5.13	5.49	161486	1899844.625
01/18/2012	5.43	5.53	5.25	5.26	196508	2346863.750
01/19/2012	5.40	5.42	5.23	5.41	114643	1355788.500
01/20/2012	5.42	5.63	5.42	5.56	189677	2312304.750
01/30/2012	5.58	5.70	5.46	5.55	176154	2160448.750
01/31/2012	5.50	5.53	5.47	5.51	141399	1708997.500
02/01/2012	5.50	5.59	5.48	5.49	211750	2571999.500
02/02/2012	5.53	5.55	5.44	5.55	260997	3153285.750
02/03/2012	5.56	5.70	5.52	5.67	313414	3864378.750
02/06/2012	5.67	5.76	5.65	5.73	318271	3986124.000
02/07/2012	5.74	5.84	5.70	5.82	697562	8844638.000
02/08/2012	5.97	6.40	5.91	6.10	1107072	14807102.000
02/09/2012	6.02	6.18	6.02	6.08	688888	9164154.000
02/10/2012	6.05	6.20	5.95	6.09	448817	5962547.500
02/13/2012	6.08	6.22	6.00	6.18	522979	7006741.000
02/14/2012	6.23	6.23	6.11	6.15	251460	3366655.000
02/15/2012	6.11	6.24	6.09	6.23	374768	5044939.500
02/16/2012	6.22	6.36	6.22	6.34	549439	7509894.500
02/17/2012	6.34	6.40	6.24	6.33	292174	4009265.750
02/20/2012	6.50	6.53	6.26	6.30	451926	6275106.000
02/21/2012	6.21	6.35	6.13	6.33	405399	5508331.500
02/22/2012	6.29	6.53	6.29	6.51	641630	8983995.000
02/23/2012	6.51	6.73	6.50	6.67	799971	11514084.000
02/24/2012	6.66	6.71	6.60	6.68	494857	7136162.500
02/27/2012	6.65	6.72	6.61	6.61	527259	7603474.500
02/28/2012	6.61	6.63	6.46	6.54	432409	6140456.500
02/29/2012	6.50	6.67	6.50	6.59	385189	5518309.500
03/01/2012	6.59	6.64	6.51	6.58	257260	3673777.250
03/02/2012	6.61	6.80	6.61	6.79	470005	6857244.000
03/05/2012	6.79	6.82	6.71	6.81	407133	5969729.500
03/06/2012	6.81	6.82	6.61	6.68	628614	9118424.000
03/07/2012	6.68	6.83	6.59	6.70	276817	4028038.000
03/08/2012	6.83	7.03	6.79	7.00	807568	12124743.000
03/09/2012	7.05	7.09	6.89	7.08	463777	7039515.500
03/12/2012	7.07	7.24	7.04	7.21	704255	10892243.000
03/13/2012	7.18	7.25	7.16	7.22	468202	7263062.500
03/14/2012	7.25	7.30	6.76	6.84	936913	14267925.000
03/15/2012	6.80	7.55	6.80	7.41	1816080	28233980.000
03/16/2012	6.90	7.12	6.62	7.12	2858142	42728488.000
03/19/2012	7.09	7.09	6.84	6.93	1224872	18304486.000
03/20/2012	6.86	6.92	6.50	6.51	1390571	20051414.000
03/21/2012	6.54	6.60	6.31	6.48	680040	9491803.000
03/22/2012	6.48	6.54	6.41	6.49	354423	4981386.000
03/23/2012	6.41	6.50	6.40	6.44	277800	3885637.000
03/26/2012	6.44	6.49	6.33	6.44	277928	3876660.250
03/27/2012	6.49	6.49	6.34	6.41	353167	4927414.500
03/28/2012	6.40	6.48	6.01	6.08	434640	5900785.000
03/29/2012	6.08	6.13	6.00	6.07	201042	2656881.000
03/30/2012	6.05	6.39	6.01	6.02	232752	3093100.750
04/05/2012	6.13	6.18	5.95	6.18	260769	3459733.750
04/06/2012	6.18	6.24	6.15	6.23	226360	3051616.500
04/10/2012	6.00	6.18	5.93	6.14	273310	3596700.000
04/11/2012	6.06	6.18	5.99	6.16	139752	1870102.875
04/12/2012	6.15	6.34	6.15	6.30	233927	3188255.750
04/13/2012	6.34	6.42	6.30	6.37	262029	3627145.000
04/16/2012	6.29	6.37	6.16	6.29	128010	1753867.250
04/17/2012	6.24	6.33	6.20	6.21	145406	1973419.000
04/18/2012	6.24	6.43	6.24	6.42	273000	3775415.250
04/19/2012	6.45	6.45	6.38	6.45	186252	2594238.750
04/20/2012	6.45	6.51	6.35	6.50	193000	2706792.750
04/23/2012	6.49	6.49	6.23	6.31	331951	4550264.000
04/24/2012	6.40	6.40	6.05	6.20	252499	3398296.500
04/25/2012	6.06	6.28	6.06	6.25	209468	2839374.250
04/26/2012	6.31	6.34	6.13	6.26	166643	2254786.750
04/27/2012	6.34	6.34	6.13	6.27	110791	1509183.000
05/02/2012	6.33	6.38	6.26	6.37	199560	2749478.250
05/03/2012	6.37	6.50	6.33	6.50	272609	3800953.000
05/04/2012	6.55	6.70	6.50	6.56	319107	4533864.000
05/07/2012	6.54	6.60	6.49	6.60	279261	3964636.250
05/08/2012	6.61	6.67	6.54	6.64	280386	4011747.500
05/09/2012	6.64	6.64	6.52	6.56	289345	4111244.750
05/10/2012	6.65	6.76	6.54	6.59	310399	4363758.500
05/11/2012	6.54	6.71	6.50	6.53	218667	3038127.000
05/14/2012	6.54	6.58	6.41	6.49	233588	3230664.500
05/15/2012	6.43	6.52	6.31	6.52	241799	3285616.500
05/16/2012	6.53	6.53	6.40	6.43	163001	2227029.500
05/17/2012	6.47	6.53	6.41	6.53	253194	3484002.000
05/18/2012	6.53	6.53	6.37	6.44	234302	3211558.000
05/21/2012	6.45	6.51	6.31	6.44	234304	3190464.000
05/22/2012	6.46	6.52	6.39	6.48	203001	2777862.750
05/23/2012	6.47	6.49	6.31	6.43	176456	2391354.000
05/24/2012	6.44	6.47	6.33	6.40	256153	3476596.000
05/25/2012	6.40	6.43	6.22	6.31	146160	1967763.250
05/28/2012	6.30	6.33	6.11	6.30	242579	3212729.250
05/29/2012	6.25	6.35	6.22	6.33	480701	6431240.000
05/30/2012	6.31	6.36	6.27	6.36	228593	3069641.000
05/31/2012	6.35	6.47	6.28	6.42	340033	4620939.000
06/01/2012	6.45	6.48	6.38	6.48	360886	4927651.000
06/04/2012	6.35	6.46	6.30	6.30	202899	2745948.250
06/05/2012	6.26	6.33	6.21	6.28	132500	1769366.000
06/06/2012	6.28	6.31	6.22	6.27	126900	1687739.000
06/07/2012	6.32	6.32	6.23	6.26	97000	1294065.750
06/08/2012	6.31	6.31	6.23	6.24	110689	1478463.875
06/11/2012	6.26	6.30	6.13	6.30	210888	2785629.500
06/12/2012	6.30	6.30	6.22	6.25	103000	1368024.000
06/13/2012	6.30	6.35	6.22	6.33	168436	2253291.500
06/14/2012	6.31	6.43	6.31	6.42	338600	4584585.500
06/15/2012	6.42	6.47	6.34	6.45	265390	3605863.000
06/18/2012	6.48	6.52	6.42	6.46	320034	4389431.000
06/19/2012	6.46	6.46	6.32	6.42	169470	2301580.000
06/20/2012	6.43	6.51	6.42	6.49	311559	4280774.000
06/21/2012	6.45	6.46	6.28	6.36	207708	2807188.750
06/25/2012	6.45	6.45	6.15	6.23	135900	1812580.250
06/26/2012	6.18	6.24	6.15	6.21	157581	2075625.500
06/27/2012	6.23	6.24	6.15	6.20	223280	2944562.750
06/28/2012	6.20	6.24	6.12	6.12	212300	2782370.000
06/29/2012	6.08	6.22	6.08	6.19	124595	1628095.875
07/02/2012	6.23	6.25	6.17	6.21	98250	1298281.750
07/03/2012	6.23	6.32	6.20	6.30	240045	3209489.500
07/04/2012	6.31	6.41	6.31	6.37	235872	3190100.000
07/05/2012	6.36	6.40	6.28	6.39	275794	3720309.500
07/06/2012	6.40	6.48	6.30	6.47	285804	3875742.500
07/09/2012	6.47	6.49	6.31	6.35	208626	2837431.000
07/10/2012	6.28	6.49	6.28	6.48	342560	4669001.000
07/11/2012	6.50	6.58	6.43	6.50	370201	5120332.500
07/12/2012	6.51	6.56	6.40	6.55	373678	5160733.000
07/13/2012	6.50	6.58	6.44	6.53	228949	3167083.500
07/16/2012	6.58	6.79	6.27	6.27	1081072	15049690.000
07/17/2012	6.22	6.23	5.60	6.12	417705	5352895.500
07/18/2012	6.06	6.13	5.93	6.13	246098	3154990.000
07/19/2012	6.05	6.25	6.04	6.24	295048	3882903.250
07/20/2012	6.24	6.25	6.16	6.23	106750	1408821.000
07/23/2012	6.15	6.28	6.15	6.24	163050	2154017.250
07/24/2012	6.15	6.38	6.14	6.30	178950	2375790.500
07/25/2012	6.30	6.35	6.19	6.25	166720	2218864.000
07/26/2012	6.26	6.27	6.16	6.21	184000	2436818.000
07/27/2012	6.25	6.25	6.16	6.21	100400	1323789.000
07/30/2012	6.24	6.27	6.10	6.18	132350	1741681.000
07/31/2012	6.21	6.23	5.97	6.07	108914	1410864.625
08/01/2012	6.13	6.20	6.04	6.11	126372	1647294.250
08/02/2012	6.16	6.16	6.05	6.10	107700	1400034.000
08/03/2012	6.13	6.26	6.08	6.25	195168	2573231.750
08/06/2012	6.25	6.43	6.20	6.42	250717	3374477.000
08/07/2012	6.43	6.58	6.38	6.49	353394	4872527.000
08/08/2012	6.53	6.53	6.40	6.49	179978	2465004.750
08/09/2012	6.42	6.58	6.40	6.55	241125	3342029.500
08/10/2012	6.54	6.57	6.46	6.52	150385	2080862.250
08/13/2012	6.45	6.51	6.40	6.45	120750	1656247.000
08/14/2012	6.46	6.67	6.43	6.66	410281	5735888.500
08/15/2012	6.65	6.71	6.52	6.59	192953	2699619.750
08/16/2012	6.47	7.20	6.35	7.20	2270940	33208396.000
08/17/2012	6.96	6.96	6.54	6.74	1456317	20931300.000
08/20/2012	6.63	6.71	6.44	6.58	1004343	13877604.000
08/21/2012	6.55	6.75	6.50	6.62	976791	13710587.000
08/22/2012	6.66	6.68	6.53	6.55	491488	6864542.000
08/23/2012	6.59	6.72	6.50	6.70	630928	8880801.000
08/24/2012	6.69	6.72	6.56	6.58	472023	6660035.000
08/27/2012	6.58	6.58	6.43	6.45	408150	5615813.000
08/28/2012	6.43	6.56	6.41	6.56	296670	4095072.500
08/29/2012	6.59	6.60	6.49	6.57	243610	3388162.750
08/30/2012	6.61	6.69	6.43	6.65	640074	8953120.000
08/31/2012	6.58	6.70	6.55	6.65	334260	4707791.500
09/03/2012	6.60	6.74	6.50	6.73	527374	7433615.500
09/04/2012	6.75	6.89	6.73	6.76	480048	6926356.000
09/05/2012	6.74	6.83	6.65	6.83	296277	4237240.000
