300201 海伦哲 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/07/2011	5.14	5.30	5.04	5.15	12656349	290235968.000
04/08/2011	4.99	5.30	4.90	5.19	6810747	154016304.000
04/11/2011	5.12	5.13	4.92	4.92	4293980	95275256.000
04/12/2011	4.88	5.03	4.87	4.98	2423502	53304848.000
04/13/2011	4.96	5.00	4.92	4.98	2033541	44683068.000
04/14/2011	4.97	4.97	4.82	4.85	2694580	58297636.000
04/15/2011	4.83	4.93	4.81	4.87	1469687	31746484.000
04/18/2011	4.85	4.96	4.84	4.95	1661341	36175100.000
04/19/2011	4.88	4.89	4.77	4.79	1518712	32534444.000
04/20/2011	4.82	4.84	4.78	4.79	904205	19240498.000
04/21/2011	4.81	4.82	4.76	4.80	694065	14753582.000
04/22/2011	4.73	4.73	4.46	4.49	2829665	57054488.000
04/25/2011	4.44	4.48	4.40	4.42	837855	16490277.000
04/26/2011	4.42	4.42	4.28	4.31	823474	15853859.000
04/27/2011	4.31	4.36	4.24	4.28	571937	10956458.000
04/28/2011	4.29	4.30	4.08	4.09	637004	11820413.000
04/29/2011	4.11	4.16	4.08	4.15	341325	6249732.000
05/03/2011	4.14	4.19	4.12	4.17	298027	5497960.500
05/04/2011	4.16	4.16	4.05	4.08	357192	6507626.500
05/05/2011	4.07	4.11	4.03	4.09	324486	5883053.500
05/06/2011	4.06	4.11	4.06	4.07	316858	5745489.000
05/09/2011	4.07	4.16	4.06	4.15	390048	7148245.500
05/10/2011	4.13	4.16	4.08	4.15	362920	6659536.500
05/11/2011	4.14	4.16	4.10	4.12	365132	6673905.000
05/12/2011	4.11	4.13	4.06	4.06	320596	5834051.500
05/13/2011	4.11	4.14	4.06	4.14	324000	5897599.000
05/16/2011	4.14	4.27	4.14	4.24	668052	12520086.000
05/17/2011	4.21	4.25	4.17	4.22	308860	5773490.500
05/18/2011	4.21	4.27	4.19	4.24	326365	6146481.500
05/19/2011	4.24	4.25	4.14	4.17	274265	5140795.500
05/20/2011	4.18	4.18	4.10	4.11	170370	3121327.750
05/23/2011	4.10	4.10	3.96	3.97	298110	5318527.000
05/24/2011	3.97	4.08	3.90	4.02	346388	6133829.500
05/25/2011	4.00	4.02	3.92	3.96	226778	3987775.250
05/26/2011	3.99	4.00	3.91	3.91	175100	3079497.000
05/27/2011	3.90	3.93	3.83	3.84	182700	3147002.500
05/30/2011	3.84	3.91	3.77	3.84	239300	4086141.750
05/31/2011	3.84	3.89	3.80	3.88	209219	3575455.750
06/01/2011	3.87	3.90	3.85	3.89	202699	3498678.500
06/02/2011	3.86	3.86	3.78	3.82	321810	5466583.000
06/03/2011	3.84	3.96	3.81	3.94	361226	6294305.500
06/07/2011	3.94	3.98	3.92	3.97	314257	5531012.000
06/08/2011	3.98	3.98	3.91	3.96	145333	2541360.250
06/09/2011	3.93	3.97	3.89	3.91	196571	3426574.250
06/10/2011	3.91	3.91	3.81	3.89	131048	2249754.750
06/13/2011	3.89	3.89	3.80	3.87	57360	981702.438
06/14/2011	3.83	3.94	3.83	3.91	93768	1625660.250
06/15/2011	3.89	3.93	3.83	3.85	64800	1117826.875
06/16/2011	3.85	3.87	3.78	3.82	138407	2355535.750
06/17/2011	3.79	3.83	3.78	3.80	89744	1518118.250
06/20/2011	3.81	3.82	3.74	3.74	165409	2759756.500
06/21/2011	3.76	3.82	3.72	3.81	132686	2226494.500
06/22/2011	3.78	3.81	3.74	3.75	112915	1886655.750
06/23/2011	3.75	3.86	3.72	3.85	210411	3556936.750
06/24/2011	3.82	3.92	3.81	3.90	349934	6035824.000
06/27/2011	3.91	3.96	3.89	3.91	363663	6343168.000
06/28/2011	3.92	3.92	3.83	3.89	321874	5540970.500
06/29/2011	3.88	3.90	3.87	3.88	173270	2986853.250
06/30/2011	3.89	3.97	3.86	3.97	432305	7577518.000
07/01/2011	3.98	4.04	3.94	4.02	303285	5401180.000
07/04/2011	4.03	4.07	4.02	4.05	280480	5031285.500
07/05/2011	4.05	4.08	4.03	4.07	289440	5217310.000
07/06/2011	4.05	4.09	4.03	4.09	273807	4947655.500
07/07/2011	4.08	4.18	4.08	4.13	531199	9763348.000
07/08/2011	4.10	4.16	4.05	4.06	278599	5062706.000
07/11/2011	4.05	4.10	4.01	4.09	282538	5106487.500
07/12/2011	4.00	4.07	3.95	4.05	1008457	17996066.000
07/13/2011	4.01	4.09	4.00	4.08	490959	8851939.000
07/14/2011	4.08	4.12	4.07	4.12	518420	9440681.000
07/15/2011	4.12	4.21	4.10	4.18	677387	12560409.000
07/18/2011	4.16	4.20	4.11	4.14	351968	6482982.500
07/19/2011	4.10	4.14	4.03	4.05	289194	5226633.000
07/20/2011	4.06	4.12	4.01	4.06	185201	3328658.750
07/21/2011	4.06	4.06	3.98	3.99	165370	2943655.000
07/22/2011	4.00	4.13	3.99	4.12	375123	6784772.500
07/25/2011	4.12	4.14	4.03	4.06	411807	7473582.000
07/26/2011	4.04	4.06	3.99	4.03	190573	3403474.750
07/27/2011	4.01	4.21	4.01	4.20	417511	7678368.000
07/28/2011	4.14	4.37	4.13	4.35	1170498	22259356.000
07/29/2011	4.31	4.37	4.26	4.28	770165	14750801.000
08/01/2011	4.25	4.33	4.19	4.31	387705	7386166.500
08/02/2011	4.28	4.33	4.19	4.32	380668	7208614.500
08/03/2011	4.28	4.40	4.24	4.35	482193	9319990.000
08/04/2011	4.35	4.36	4.29	4.30	271050	5199434.000
08/05/2011	4.14	4.29	4.11	4.24	1407872	26435266.000
08/08/2011	4.17	4.21	3.97	4.08	446061	8079052.000
08/09/2011	4.01	4.12	3.97	4.11	380414	6837724.000
08/10/2011	4.11	4.21	4.11	4.19	201502	3727820.500
08/11/2011	4.13	4.23	4.09	4.23	299353	5561948.500
08/12/2011	4.23	4.40	4.23	4.29	255081	4889706.000
08/15/2011	4.29	4.37	4.26	4.37	246797	4749046.500
08/16/2011	4.39	4.39	4.34	4.36	284576	5507165.000
08/17/2011	4.30	4.58	4.30	4.52	888568	17716796.000
08/18/2011	4.52	4.74	4.47	4.64	1983530	41077544.000
08/19/2011	4.55	4.60	4.43	4.57	736423	14741546.000
08/22/2011	4.47	4.54	4.44	4.46	355669	7088444.500
08/23/2011	4.46	4.61	4.44	4.61	564971	11271862.000
08/24/2011	4.60	4.60	4.50	4.53	376089	7580787.000
08/25/2011	4.51	4.51	4.38	4.45	507814	10006412.000
08/26/2011	4.44	4.53	4.43	4.49	270819	5378975.500
08/29/2011	4.51	4.61	4.50	4.53	563617	11392238.000
08/30/2011	4.54	4.56	4.34	4.38	443369	8765753.000
08/31/2011	4.39	4.42	4.17	4.27	1022876	19398608.000
09/01/2011	4.24	4.34	4.17	4.22	308687	5802059.000
09/02/2011	4.22	4.27	4.16	4.26	176790	3318369.000
09/05/2011	4.19	4.26	4.18	4.23	143269	2686565.250
09/06/2011	4.23	4.36	4.20	4.32	486506	9301292.000
09/07/2011	4.32	4.39	4.28	4.37	310004	5964495.000
09/08/2011	4.35	4.37	4.24	4.25	187094	3580198.500
09/09/2011	4.25	4.31	4.19	4.21	104100	1954589.500
09/13/2011	4.13	4.17	4.09	4.14	163449	2985147.250
09/14/2011	4.14	4.19	4.11	4.18	74799	1374616.750
09/15/2011	4.23	4.24	4.20	4.21	83499	1563156.250
09/16/2011	4.21	4.24	4.20	4.24	96822	1812910.000
09/19/2011	4.24	4.46	4.24	4.29	217597	4157107.000
09/20/2011	4.28	4.31	4.24	4.31	88038	1669779.000
09/21/2011	4.33	4.43	4.30	4.36	216847	4196737.500
09/22/2011	4.34	4.37	4.21	4.22	187500	3551492.750
09/23/2011	4.17	4.18	4.13	4.14	90910	1673888.000
09/26/2011	4.18	4.26	4.07	4.08	106600	1958920.500
09/27/2011	4.10	4.13	4.02	4.08	104990	1894342.250
09/28/2011	4.13	4.13	4.03	4.09	73400	1330256.000
09/29/2011	3.97	4.05	3.94	3.99	82449	1459432.250
09/30/2011	4.04	4.12	3.98	3.99	80269	1433941.875
10/10/2011	3.99	4.04	3.88	3.99	64209	1125021.750
10/11/2011	3.95	4.09	3.94	3.97	34900	619396.000
10/12/2011	3.97	4.11	3.85	4.08	108940	1945375.750
10/13/2011	4.13	4.13	4.06	4.11	79625	1453771.250
10/14/2011	4.08	4.11	4.01	4.08	335451	6014811.500
10/17/2011	4.09	4.11	4.04	4.05	81208	1468715.000
10/18/2011	4.01	4.02	3.92	3.94	81220	1429561.625
10/19/2011	4.00	4.00	3.90	3.92	81800	1424319.750
10/20/2011	3.88	3.92	3.78	3.78	131140	2229277.000
10/21/2011	3.82	3.82	3.73	3.73	67978	1140277.250
10/24/2011	3.76	3.76	3.62	3.70	155801	2569196.750
10/25/2011	3.74	3.86	3.67	3.83	289042	4810794.000
10/26/2011	3.82	3.89	3.77	3.86	246700	4230895.000
10/27/2011	3.89	3.89	3.85	3.86	68701	1181630.250
10/28/2011	3.92	3.93	3.84	3.90	153316	2646075.000
10/31/2011	3.88	4.01	3.87	3.95	134036	2345419.500
11/01/2011	3.93	3.95	3.91	3.95	73702	1286834.125
11/02/2011	3.90	4.00	3.83	3.99	180164	3122728.500
11/03/2011	3.99	4.05	3.98	3.98	256740	4587317.000
11/04/2011	4.03	4.03	3.97	3.99	144320	2555158.750
11/07/2011	3.98	4.02	3.97	3.99	73301	1300931.750
11/08/2011	4.00	4.01	3.96	3.97	100670	1785140.875
11/09/2011	3.97	4.06	3.93	4.04	153261	2707334.750
11/10/2011	4.01	4.11	3.97	4.05	278669	5003619.500
11/11/2011	4.01	4.11	3.99	4.03	208243	3742117.250
11/14/2011	4.05	4.16	4.05	4.15	404681	7397357.500
11/15/2011	4.15	4.26	4.15	4.20	348508	6512956.000
11/16/2011	4.24	4.29	4.05	4.05	400427	7431016.500
11/17/2011	4.04	4.16	4.04	4.10	143290	2609094.000
11/18/2011	4.08	4.10	3.95	3.98	167100	2970425.250
11/21/2011	3.98	3.98	3.84	3.95	236130	4078192.500
11/22/2011	3.89	3.97	3.88	3.97	177039	3095404.500
11/23/2011	3.99	3.99	3.91	3.95	79800	1394973.000
11/24/2011	3.95	3.95	3.85	3.93	72100	1246509.000
11/25/2011	3.99	3.99	3.89	3.91	125600	2201829.750
11/28/2011	3.87	3.94	3.87	3.89	118690	2055815.125
11/29/2011	3.91	4.01	3.89	4.01	123485	2160006.750
11/30/2011	3.96	3.97	3.75	3.84	175337	3005005.250
12/02/2011	3.86	3.87	3.76	3.76	120000	2028634.000
12/05/2011	3.77	3.82	3.72	3.75	95924	1608250.375
12/06/2011	3.81	3.81	3.74	3.76	39100	653267.000
12/07/2011	3.73	3.84	3.73	3.79	45300	761051.000
12/08/2011	3.75	3.86	3.73	3.80	50200	847497.000
12/09/2011	3.84	3.84	3.72	3.76	31200	523897.000
12/12/2011	3.73	3.79	3.73	3.78	25400	425126.000
12/13/2011	3.77	3.81	3.73	3.76	47350	791213.000
12/14/2011	3.73	3.77	3.69	3.72	83300	1374907.000
12/15/2011	3.73	3.73	3.50	3.56	132910	2132031.000
12/16/2011	3.60	3.60	3.44	3.54	125799	1966091.375
12/19/2011	3.49	3.55	3.49	3.55	183938	2884398.750
12/20/2011	3.55	3.61	3.52	3.54	71420	1127342.375
12/21/2011	3.56	3.60	3.46	3.46	207000	3239775.000
12/22/2011	3.44	3.51	3.34	3.46	163489	2496534.500
12/23/2011	3.45	3.52	3.39	3.48	69208	1072235.625
12/26/2011	3.51	3.51	3.42	3.50	67400	1042065.000
12/27/2011	3.50	3.50	3.42	3.42	76302	1170170.625
12/28/2011	3.41	3.42	3.31	3.38	59902	901954.500
12/29/2011	3.40	3.45	3.36	3.41	22600	342893.000
12/30/2011	3.45	3.45	3.41	3.43	98812	1505123.000
01/04/2012	3.46	3.53	3.36	3.36	89402	1352546.750
01/05/2012	3.33	3.34	3.03	3.12	159721	2272051.250
01/06/2012	3.19	3.25	3.07	3.17	147198	2079958.375
01/09/2012	3.16	3.28	3.16	3.28	141798	2026749.000
01/10/2012	3.34	3.37	3.24	3.37	136490	2022712.000
01/11/2012	3.35	3.39	3.33	3.39	86519	1291544.875
