300202 聚龙股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/15/2011	3.57	4.50	3.54	3.88	13499828	360416736.000
04/18/2011	3.96	4.08	3.88	3.98	7054420	188399488.000
04/19/2011	4.10	4.29	4.01	4.03	5168089	142448896.000
04/20/2011	3.96	3.96	3.75	3.77	3868192	99336544.000
04/21/2011	3.76	3.87	3.67	3.78	3174403	80261512.000
04/22/2011	3.78	3.86	3.70	3.80	1793930	45552804.000
04/25/2011	3.91	4.18	3.91	3.99	4036051	109023296.000
04/26/2011	3.85	4.17	3.79	4.09	3419626	92266528.000
04/27/2011	4.00	4.09	3.88	4.03	2331758	62031568.000
04/28/2011	4.03	4.27	3.98	4.16	3145344	86956824.000
04/29/2011	4.13	4.19	3.75	3.79	2582512	68094568.000
05/03/2011	3.75	3.94	3.75	3.84	1394379	35913136.000
05/04/2011	3.79	3.82	3.65	3.73	1563036	39123204.000
05/05/2011	3.75	3.83	3.69	3.72	927040	23309148.000
05/06/2011	3.70	3.70	3.52	3.57	1399690	33742912.000
05/09/2011	3.60	3.65	3.51	3.63	717726	17370220.000
05/10/2011	3.60	3.63	3.54	3.58	741209	17784790.000
05/11/2011	3.58	3.63	3.53	3.62	547295	13190674.000
05/12/2011	3.59	3.71	3.55	3.62	763338	18720810.000
05/13/2011	3.65	3.75	3.61	3.73	750747	18546086.000
05/16/2011	3.75	3.75	3.61	3.61	489010	12075987.000
05/17/2011	3.61	3.80	3.57	3.73	960248	23766074.000
05/18/2011	3.69	3.74	3.63	3.67	505901	12521112.000
05/19/2011	3.64	3.79	3.64	3.72	510479	12756325.000
05/20/2011	3.75	3.77	3.63	3.69	372412	9201968.000
05/23/2011	3.71	3.71	3.42	3.50	625375	15028215.000
05/24/2011	3.49	3.63	3.43	3.60	550732	13130527.000
05/25/2011	3.61	3.62	3.49	3.52	213033	5106970.000
05/26/2011	3.53	3.59	3.37	3.39	251187	5897843.500
05/27/2011	3.39	3.40	3.28	3.35	433662	9771219.000
05/30/2011	3.30	3.46	3.30	3.42	276283	6347211.500
05/31/2011	3.41	3.47	3.38	3.47	119633	2768648.000
06/01/2011	3.51	3.51	3.42	3.46	157321	3662156.250
06/02/2011	3.38	3.44	3.26	3.28	279915	6262760.000
06/03/2011	3.26	3.38	3.23	3.33	180021	4047810.000
06/07/2011	3.33	3.38	3.33	3.34	130159	2943141.000
06/08/2011	3.34	3.58	3.31	3.56	402449	9362677.000
06/09/2011	3.51	3.55	3.42	3.43	246531	5751072.500
06/10/2011	3.43	3.57	3.39	3.53	241208	5659576.500
06/13/2011	3.52	3.52	3.46	3.52	88623	2080695.250
06/14/2011	3.54	3.59	3.47	3.57	185023	4431112.000
06/15/2011	3.57	3.73	3.53	3.66	350632	8600733.000
06/16/2011	3.66	3.66	3.60	3.63	99240	2412714.000
06/17/2011	3.61	3.66	3.57	3.59	100199	2420119.750
06/20/2011	3.58	3.59	3.56	3.56	334268	8010087.000
06/21/2011	3.65	3.66	3.53	3.63	192657	4697765.500
06/22/2011	3.64	3.65	3.57	3.57	117113	2835849.750
06/23/2011	3.60	3.71	3.56	3.66	379406	9345746.000
06/24/2011	3.69	3.79	3.65	3.78	483084	12109338.000
06/27/2011	3.80	3.83	3.73	3.75	313018	7944143.000
06/28/2011	3.70	3.92	3.70	3.88	401737	10380781.000
06/29/2011	3.90	3.94	3.85	3.88	355370	9234026.000
06/30/2011	3.88	3.96	3.86	3.88	161309	4228740.000
07/01/2011	3.92	3.92	3.85	3.85	190518	4950039.000
07/04/2011	3.87	3.93	3.84	3.88	629650	16424471.000
07/05/2011	3.88	4.08	3.87	4.08	638326	17073120.000
07/06/2011	4.06	4.16	3.97	4.11	593991	16109567.000
07/07/2011	4.11	4.25	4.10	4.19	443947	12365053.000
07/08/2011	4.26	4.34	4.14	4.19	406679	11394185.000
07/11/2011	4.17	4.17	4.03	4.10	411922	11224024.000
07/12/2011	4.06	4.06	3.89	3.93	794187	20978700.000
