300203 聚光科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/15/2011	21.81	24.64	21.05	21.28	25974722	582661760.000
04/18/2011	20.34	20.62	19.52	19.62	11653918	233028544.000
04/19/2011	19.59	19.62	18.75	18.76	6788753	130223144.000
04/20/2011	18.74	19.20	18.54	18.71	4061153	77196808.000
04/21/2011	18.67	19.13	18.56	18.74	2875841	54483288.000
04/22/2011	18.64	18.69	18.15	18.31	3443279	63717992.000
04/25/2011	18.16	18.39	17.95	17.97	1629511	29827002.000
04/26/2011	17.84	18.14	17.55	17.69	1399878	25231512.000
04/27/2011	17.94	17.94	17.29	17.34	1670716	29444854.000
04/28/2011	17.44	17.52	16.80	16.80	1594438	27396636.000
04/29/2011	16.64	17.20	16.64	16.95	1089573	18627240.000
05/03/2011	16.95	17.08	16.72	17.00	777743	13294996.000
05/04/2011	16.88	17.01	16.65	16.74	749256	12724030.000
05/05/2011	16.74	17.14	16.60	17.12	997342	17073640.000
05/06/2011	17.02	17.39	16.94	17.18	1000059	17389136.000
05/09/2011	17.33	17.34	17.08	17.14	859266	14940344.000
05/10/2011	17.16	17.50	17.11	17.48	1104132	19375300.000
05/11/2011	17.49	17.62	17.30	17.49	1013671	17886296.000
05/12/2011	17.44	17.44	17.14	17.23	1030600	17991114.000
05/13/2011	17.22	17.40	16.85	17.14	628917	10826073.000
05/16/2011	17.14	17.54	17.14	17.35	868142	15234775.000
05/17/2011	17.36	17.49	17.15	17.36	679977	11911047.000
05/19/2011	17.42	17.42	16.93	16.96	932657	16095565.000
05/20/2011	16.84	17.01	16.70	16.74	698010	11838845.000
05/23/2011	16.69	16.79	15.85	15.86	1059219	17399662.000
05/24/2011	15.84	16.21	15.52	15.84	1267137	20343572.000
05/25/2011	15.86	16.10	15.67	15.72	675651	10849867.000
05/26/2011	15.72	15.99	15.56	15.59	332557	5292051.500
05/27/2011	15.53	15.83	15.04	15.42	503153	7870604.500
05/30/2011	15.33	15.56	15.13	15.35	428049	6662788.000
05/31/2011	15.33	15.73	15.32	15.71	544826	8606147.000
06/01/2011	15.72	15.89	15.64	15.84	411282	6567838.000
06/02/2011	15.79	15.79	15.28	15.43	513193	8000033.000
06/03/2011	15.48	15.69	15.32	15.60	336862	5283290.000
06/07/2011	15.61	15.71	15.45	15.68	387888	6116373.500
06/08/2011	15.68	15.68	15.46	15.54	200988	3149129.500
06/09/2011	15.48	15.61	15.04	15.05	372596	5752273.000
06/10/2011	15.18	15.33	14.95	15.12	281986	4301004.500
06/13/2011	15.44	15.72	15.32	15.53	655830	10260827.000
06/14/2011	15.35	15.62	15.23	15.47	506256	7917943.500
06/15/2011	15.42	15.49	15.29	15.34	208958	3247651.500
06/16/2011	15.09	15.40	15.08	15.16	237010	3649072.000
06/17/2011	15.14	15.24	14.95	14.98	259929	3958338.500
06/20/2011	14.96	15.05	14.87	14.94	233358	3526267.500
06/21/2011	15.19	15.19	14.83	15.04	213184	3219721.750
06/22/2011	15.04	15.06	14.85	14.93	223872	3381858.000
06/23/2011	14.87	15.31	14.56	15.24	585253	8871132.000
06/24/2011	15.04	15.67	15.03	15.53	692138	10804147.000
06/28/2011	15.65	15.82	15.39	15.55	457459	7198742.500
06/29/2011	15.55	15.75	15.31	15.32	405018	6322859.500
06/30/2011	15.30	15.57	15.30	15.52	407632	6363674.000
07/01/2011	15.54	15.72	15.40	15.57	614852	9676727.000
