300204 舒泰神 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/15/2011	13.18	14.12	13.18	13.39	3063271	154571216.000
04/18/2011	13.04	13.12	12.74	12.86	1284961	61628220.000
04/19/2011	12.73	13.09	12.73	12.76	631385	30242140.000
04/20/2011	12.76	13.03	12.76	13.01	742504	35857812.000
04/21/2011	13.00	13.04	12.84	12.93	514297	24794392.000
04/22/2011	12.93	13.01	12.73	12.80	477173	22867174.000
04/25/2011	12.73	12.87	12.73	12.81	327064	15622356.000
04/26/2011	12.70	12.76	12.04	12.08	806914	36954864.000
04/27/2011	12.08	12.22	11.88	11.98	334304	15036888.000
04/28/2011	11.78	11.79	11.39	11.40	666761	28716670.000
04/29/2011	11.48	11.48	11.34	11.40	208656	8927874.000
05/03/2011	11.41	11.48	11.13	11.28	250536	10539933.000
05/04/2011	11.21	11.50	11.16	11.36	298013	12706465.000
05/05/2011	11.29	11.56	11.21	11.54	236976	10184977.000
05/06/2011	11.51	11.53	11.40	11.47	134443	5755439.500
05/09/2011	11.48	11.57	11.34	11.40	255670	10917511.000
05/10/2011	11.45	11.45	11.31	11.40	152420	6483868.000
05/11/2011	11.47	11.47	11.32	11.37	87759	3732399.500
05/12/2011	11.34	11.39	11.33	11.33	177122	7526684.500
05/13/2011	11.37	11.37	11.22	11.34	89542	3787884.250
05/16/2011	11.29	11.29	11.21	11.28	112305	4731739.000
05/17/2011	11.21	11.31	11.09	11.27	117315	4925645.000
05/18/2011	11.21	11.29	11.17	11.25	61350	2582722.500
05/19/2011	11.24	11.29	11.21	11.25	54899	2313602.750
05/20/2011	11.21	11.31	11.21	11.23	74600	3144664.750
05/23/2011	11.20	11.20	10.86	10.98	220834	9102270.000
05/24/2011	10.92	11.02	10.73	11.00	132410	5401807.000
05/25/2011	10.83	10.99	10.62	10.81	122256	4938216.000
05/26/2011	10.76	10.81	10.59	10.66	105589	4230334.500
05/27/2011	10.46	10.79	10.38	10.55	167615	6614378.000
05/30/2011	10.32	10.58	10.32	10.53	84203	3316751.000
05/31/2011	10.48	10.65	10.46	10.59	116284	4610227.500
06/01/2011	10.64	10.73	10.51	10.69	61068	2439075.000
06/02/2011	10.65	10.65	10.53	10.58	54988	2183525.000
06/03/2011	10.53	10.75	10.53	10.68	101627	4072947.750
06/07/2011	10.69	10.78	10.68	10.73	55000	2216660.000
06/08/2011	10.70	10.74	10.56	10.59	48370	1927474.875
06/09/2011	10.59	10.64	10.37	10.48	88519	3478986.500
06/10/2011	10.37	10.51	10.37	10.50	42200	1660813.625
06/13/2011	10.48	10.48	10.29	10.37	58700	2284964.750
06/14/2011	10.40	10.44	10.36	10.41	76642	3000004.500
06/15/2011	10.36	10.44	10.32	10.33	54039	2105571.500
06/16/2011	10.32	10.32	10.09	10.11	93081	3561821.500
06/17/2011	10.07	10.09	9.85	9.92	105200	3938019.750
06/20/2011	9.88	9.92	9.59	9.78	102208	3746712.500
06/21/2011	9.72	9.77	9.59	9.72	60690	2211372.000
06/22/2011	9.74	9.76	9.66	9.72	42400	1554548.000
06/23/2011	9.69	9.99	9.64	9.98	99642	3703169.250
06/24/2011	9.91	10.23	9.89	10.23	142441	5422989.500
06/27/2011	10.26	10.34	10.15	10.18	242181	9317612.000
06/28/2011	10.18	10.18	10.12	10.16	86915	3322763.000
06/29/2011	10.13	10.21	10.03	10.04	85400	3245988.000
06/30/2011	10.01	10.14	9.97	10.12	81820	3108067.250
07/01/2011	10.12	10.26	10.11	10.23	185318	7112437.500
07/04/2011	10.21	10.55	10.21	10.47	319437	12545319.000
07/05/2011	10.57	10.57	10.40	10.46	175107	6882764.500
