300205 天喻信息 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/21/2011	6.99	6.99	6.72	6.72	3339233	124647504.000
04/22/2011	6.60	6.68	6.51	6.53	1614117	58465728.000
04/25/2011	6.51	6.57	6.45	6.55	558472	20044122.000
04/26/2011	6.51	6.51	6.38	6.38	545676	19312044.000
04/27/2011	6.39	6.42	6.21	6.24	461156	16015350.000
04/28/2011	6.24	6.28	5.91	5.92	548666	18380368.000
04/29/2011	5.92	6.03	5.92	6.03	424291	13985767.000
05/03/2011	6.02	6.06	6.00	6.04	311433	10378424.000
05/04/2011	6.00	6.01	5.94	5.96	287602	9485282.000
05/05/2011	5.92	6.04	5.92	6.04	267048	8820272.000
05/06/2011	5.99	6.10	5.97	6.05	266228	8885766.000
05/09/2011	6.03	6.10	5.98	6.06	123070	4123165.000
05/10/2011	6.02	6.10	6.01	6.08	169171	5663517.000
05/11/2011	6.06	6.08	6.01	6.03	138650	4626317.500
05/12/2011	5.98	6.07	5.97	6.03	125169	4173738.250
05/13/2011	6.06	6.08	5.98	6.02	153070	5091394.500
05/16/2011	6.05	6.09	6.01	6.06	122328	4084753.250
05/17/2011	6.07	6.09	6.02	6.06	85659	2863422.750
05/18/2011	6.08	6.11	6.03	6.11	132745	4444248.000
05/19/2011	6.08	6.15	6.08	6.15	109311	3694456.750
05/20/2011	6.15	6.15	5.98	6.11	145818	4890652.000
05/23/2011	6.03	6.08	5.95	6.06	183279	6099440.500
05/24/2011	6.04	6.16	5.97	6.14	242837	8178425.000
05/25/2011	6.14	6.22	6.09	6.14	257161	8757673.000
05/26/2011	6.14	6.31	6.14	6.24	380673	13102810.000
05/27/2011	6.28	6.38	6.11	6.11	319690	10958373.000
05/30/2011	6.09	6.09	5.85	5.97	345252	11359399.000
05/31/2011	5.94	5.97	5.89	5.97	184622	6055387.500
06/01/2011	5.95	5.95	5.90	5.93	70219	2300206.750
06/02/2011	5.85	5.98	5.79	5.98	151892	4930791.500
06/03/2011	5.94	6.02	5.94	6.00	156220	5166089.500
06/07/2011	5.95	6.03	5.94	6.03	80278	2658850.500
06/08/2011	6.03	6.03	5.95	5.96	74400	2458660.250
06/10/2011	5.87	5.93	5.79	5.83	132076	4275632.500
06/13/2011	5.80	5.87	5.79	5.82	52248	1680254.125
06/14/2011	5.82	5.87	5.80	5.84	112228	3617205.000
06/15/2011	5.82	5.84	5.67	5.69	172820	5486446.000
06/16/2011	5.67	5.68	5.57	5.58	106940	3331898.000
06/17/2011	5.56	5.58	5.44	5.44	70600	2159675.250
06/20/2011	5.44	5.44	5.33	5.35	119489	3550207.500
06/21/2011	5.35	5.39	5.33	5.36	83522	2479178.500
06/22/2011	5.36	5.39	5.33	5.36	61700	1832033.000
06/23/2011	5.36	5.44	5.35	5.43	188047	5627338.500
06/24/2011	5.42	5.51	5.39	5.50	209640	6352721.500
06/27/2011	5.51	5.58	5.44	5.52	163509	5012360.000
06/28/2011	5.51	5.56	5.47	5.51	74935	2288815.000
06/29/2011	5.46	5.54	5.46	5.52	121750	3713095.000
06/30/2011	5.48	5.66	5.33	5.66	151955	4626692.000
07/01/2011	5.60	5.62	5.55	5.55	172199	5307212.500
07/04/2011	5.53	5.62	5.53	5.61	178840	5519822.500
07/05/2011	5.61	5.64	5.58	5.60	123975	3848968.500
07/06/2011	5.60	5.65	5.57	5.63	189222	5878183.000
07/07/2011	5.63	5.84	5.61	5.77	445122	14148596.000
07/08/2011	5.71	5.73	5.68	5.72	129374	4082372.000
07/11/2011	5.73	5.74	5.67	5.74	105814	3344144.250
07/12/2011	5.68	5.69	5.55	5.56	319500	9923007.000
07/13/2011	5.59	5.80	5.58	5.79	330348	10455556.000
07/14/2011	5.81	5.87	5.71	5.81	259818	8320925.500
07/15/2011	5.81	5.94	5.79	5.89	323984	10549814.000
07/18/2011	5.89	6.18	5.89	6.12	989931	33152438.000
07/19/2011	6.10	6.21	5.98	6.00	379697	12807713.000
07/20/2011	6.01	6.16	5.92	5.96	213440	7072441.500
07/21/2011	6.00	6.00	5.94	5.96	206814	6817179.500
07/22/2011	5.97	6.00	5.79	5.95	127314	4173393.000
07/25/2011	5.95	5.95	5.71	5.72	260298	8326994.000
07/26/2011	5.73	5.73	5.57	5.64	385530	11960611.000
07/27/2011	5.58	5.80	5.53	5.77	406775	12741380.000
07/28/2011	5.67	5.84	5.58	5.84	358425	11388043.000
07/29/2011	5.84	5.86	5.62	5.64	499376	15753304.000
08/01/2011	5.67	5.71	5.58	5.68	445551	13956829.000
08/02/2011	5.63	5.66	5.50	5.57	737884	22673394.000
08/03/2011	5.51	5.66	5.48	5.64	1006568	31220058.000
08/04/2011	5.65	5.69	5.59	5.66	569315	17751484.000
08/05/2011	5.53	5.63	5.53	5.56	508199	15678923.000
08/08/2011	5.51	5.56	5.23	5.41	576012	17166948.000
08/09/2011	5.25	5.42	5.25	5.40	450843	13326315.000
08/10/2011	5.48	5.51	5.42	5.44	472939	14314118.000
08/11/2011	5.36	5.50	5.36	5.50	370845	11183687.000
08/12/2011	5.53	5.58	5.51	5.56	515791	15839069.000
08/15/2011	5.71	6.11	5.71	6.01	3636882	118693768.000
08/16/2011	5.91	6.56	5.90	6.43	4473061	155704720.000
08/17/2011	6.40	6.51	6.31	6.39	1701194	60052484.000
08/18/2011	6.40	6.47	6.26	6.30	1157353	40607856.000
08/19/2011	6.10	6.27	6.08	6.24	889388	30387664.000
08/22/2011	6.38	6.46	6.18	6.19	1166439	40896460.000
08/23/2011	6.20	6.50	6.07	6.44	1310232	45399276.000
08/24/2011	6.39	6.68	6.38	6.54	1818542	65638696.000
08/25/2011	6.32	6.46	6.23	6.43	2191984	76317872.000
08/26/2011	6.43	6.43	6.27	6.35	691542	24257372.000
08/29/2011	6.34	6.74	6.31	6.70	1899227	68710664.000
08/30/2011	6.72	7.00	6.72	6.77	3825261	144812688.000
08/31/2011	6.73	6.84	6.46	6.62	1623858	58929920.000
09/01/2011	6.62	6.68	6.37	6.39	1043361	37519460.000
09/02/2011	6.35	6.44	6.23	6.42	990522	34605792.000
09/05/2011	6.31	6.46	6.25	6.31	944500	33017454.000
09/06/2011	6.21	6.31	6.16	6.24	642806	22090524.000
09/07/2011	6.24	6.42	6.18	6.42	762314	26545446.000
09/08/2011	6.42	6.44	6.26	6.27	455123	16018161.000
09/09/2011	6.20	6.30	6.12	6.14	537500	18378366.000
09/13/2011	6.08	6.08	6.01	6.03	238209	7939434.000
09/14/2011	6.08	6.22	5.95	6.22	949321	31729164.000
09/15/2011	6.21	6.30	6.14	6.16	350674	12022269.000
09/16/2011	6.19	6.24	6.12	6.12	283489	9621539.000
09/19/2011	6.08	6.09	5.97	6.00	257452	8545403.000
09/20/2011	6.00	6.08	5.95	6.00	232985	7721282.000
09/21/2011	6.06	6.23	5.99	6.23	356086	12099610.000
09/22/2011	6.21	6.22	6.07	6.08	335720	11424275.000
09/23/2011	6.01	6.27	5.97	6.25	497119	16865114.000
09/26/2011	6.19	6.37	6.17	6.23	518155	17956754.000
09/27/2011	6.26	6.40	6.26	6.36	481566	16872476.000
09/28/2011	6.41	6.56	6.27	6.32	650506	23137164.000
09/29/2011	6.32	6.32	6.05	6.10	334006	11340761.000
09/30/2011	6.10	6.22	5.96	6.01	183213	6111117.500
10/10/2011	6.01	6.06	5.96	5.98	90377	2992445.000
10/11/2011	6.14	6.19	5.90	5.95	174949	5847201.000
10/12/2011	5.97	6.12	5.86	6.07	227155	7589295.500
10/14/2011	6.12	6.28	6.10	6.19	390792	13355764.000
10/17/2011	6.26	6.30	6.09	6.22	358054	12205576.000
10/18/2011	6.19	6.19	5.99	6.00	233947	7846681.000
10/19/2011	6.00	6.07	5.75	5.75	304000	9903898.000
10/20/2011	5.75	5.75	5.55	5.55	257150	7953094.000
10/21/2011	5.51	5.64	5.29	5.29	353454	10522786.000
10/24/2011	4.86	5.08	4.75	4.90	1131437	30279582.000
10/25/2011	4.84	4.98	4.75	4.95	853203	23060048.000
10/26/2011	4.88	5.00	4.86	4.98	632979	17438440.000
10/27/2011	4.94	5.01	4.90	4.90	408559	11233627.000
10/28/2011	4.93	5.10	4.91	5.09	588941	16366264.000
10/31/2011	5.09	5.23	5.05	5.22	646304	18448980.000
11/01/2011	5.19	5.27	5.12	5.18	499345	14352135.000
11/02/2011	5.14	5.51	5.09	5.49	1969591	58377088.000
11/03/2011	5.52	5.67	5.41	5.54	2163911	66314196.000
11/04/2011	5.59	5.60	5.46	5.49	984115	30087264.000
11/07/2011	5.49	5.49	5.33	5.34	711208	21177686.000
11/08/2011	5.34	5.42	5.29	5.29	385441	11441950.000
11/09/2011	5.34	5.40	5.22	5.39	460187	13562384.000
11/10/2011	5.34	5.52	5.27	5.36	625325	18793878.000
11/11/2011	5.33	5.45	5.33	5.43	475412	14254269.000
11/14/2011	5.47	5.60	5.47	5.57	682840	20958342.000
11/15/2011	5.59	5.62	5.53	5.54	604084	18627596.000
11/16/2011	5.56	5.57	5.32	5.35	498180	15135505.000
11/17/2011	5.42	5.43	5.26	5.37	1003684	29749182.000
11/18/2011	5.35	5.37	5.13	5.15	648590	18813132.000
11/21/2011	5.15	5.15	5.00	5.08	405377	11363326.000
11/22/2011	5.03	5.11	4.99	5.08	346628	9708214.000
11/23/2011	5.08	5.13	5.04	5.06	372329	10478475.000
11/24/2011	5.04	5.16	5.01	5.14	394411	11153219.000
11/25/2011	5.13	5.18	5.06	5.06	241000	6854434.000
11/28/2011	5.08	5.13	5.03	5.03	211300	5933420.500
11/29/2011	5.05	5.10	5.04	5.10	284961	8021621.500
11/30/2011	5.10	5.14	4.83	4.86	421210	11535674.000
12/01/2011	4.96	5.02	4.93	4.94	371490	10249164.000
12/02/2011	4.89	4.94	4.76	4.80	282947	7561486.000
12/05/2011	4.82	4.85	4.61	4.62	224600	5889719.000
12/06/2011	4.55	4.61	4.48	4.55	238484	6031660.000
12/07/2011	4.56	4.58	4.48	4.51	182200	4591994.000
12/08/2011	4.53	4.58	4.44	4.55	271262	6816834.000
12/09/2011	4.53	4.60	4.49	4.59	281472	7156388.000
12/12/2011	4.64	4.65	4.52	4.57	110081	2796526.000
12/13/2011	4.55	4.55	4.35	4.38	169660	4172907.250
