300206 理邦仪器 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/21/2011	18.97	18.97	17.79	18.00	4928095	179198064.000
04/22/2011	18.56	18.72	17.97	17.97	2466403	90494384.000
04/25/2011	17.44	17.65	17.13	17.45	1476994	51510284.000
04/26/2011	16.99	17.32	16.64	16.64	875853	29873062.000
04/27/2011	16.56	16.97	16.56	16.82	697726	23612424.000
04/28/2011	16.70	16.85	15.90	15.95	803722	26374720.000
04/29/2011	15.95	16.31	15.78	15.85	371473	11935879.000
05/03/2011	16.00	16.04	15.64	15.94	494639	15834792.000
05/04/2011	15.90	15.90	15.49	15.54	381157	11970213.000
05/05/2011	15.55	15.82	15.39	15.67	911924	28695494.000
05/06/2011	15.45	16.17	15.44	16.03	917751	29138180.000
05/09/2011	16.07	16.10	15.87	15.91	192496	6196903.500
05/10/2011	16.03	16.09	15.79	15.95	227662	7282717.500
05/11/2011	15.90	16.36	15.90	16.34	523260	17046324.000
05/12/2011	16.18	16.51	16.16	16.26	243550	8014730.000
05/13/2011	16.24	16.71	16.24	16.67	366309	12208419.000
05/16/2011	16.52	17.12	16.52	16.91	438303	14903917.000
05/17/2011	16.76	17.02	16.62	16.84	218024	7359650.000
05/18/2011	16.76	16.76	16.33	16.46	249420	8271625.000
05/19/2011	16.46	16.88	16.46	16.51	164711	5512886.000
05/20/2011	16.48	16.76	16.42	16.53	210190	6995585.500
05/23/2011	16.46	16.79	16.13	16.13	387177	12862336.000
05/24/2011	16.07	16.74	15.93	16.59	262727	8659561.000
05/25/2011	16.60	16.60	15.80	15.96	311050	10148460.000
05/26/2011	15.97	16.28	15.90	15.95	204769	6592715.000
05/27/2011	15.95	16.09	15.77	15.99	106970	3425633.750
05/30/2011	15.88	16.02	15.55	15.85	96402	3070933.500
05/31/2011	15.86	16.20	15.86	16.11	90292	2906330.500
06/01/2011	15.84	16.27	15.78	16.21	80441	2615599.000
06/02/2011	15.95	16.05	15.67	15.90	96150	3069381.500
06/03/2011	15.90	16.11	15.80	16.07	103740	3349243.250
06/07/2011	16.15	16.54	16.08	16.41	220169	7241576.000
06/08/2011	16.41	16.45	16.21	16.42	88540	2905722.250
06/09/2011	16.26	16.71	16.26	16.51	538660	17950112.000
06/10/2011	16.41	16.66	16.13	16.54	195928	6491144.000
06/13/2011	16.31	16.53	15.84	15.95	290277	9342800.000
06/14/2011	15.88	16.05	15.74	15.89	449526	14321450.000
06/15/2011	15.87	15.88	14.65	14.71	1020170	30871782.000
06/16/2011	14.62	14.77	14.18	14.21	281403	8223240.000
06/17/2011	14.02	14.29	13.95	14.05	186750	5326504.000
06/20/2011	13.82	14.00	13.23	13.40	340413	9298893.000
06/21/2011	13.56	13.66	13.26	13.63	166976	4565459.000
06/22/2011	13.50	13.72	13.49	13.63	147338	4058729.250
06/23/2011	13.59	14.18	13.58	14.05	206191	5809978.000
06/24/2011	13.85	14.35	13.85	14.31	205729	5922985.000
06/27/2011	14.39	14.96	14.39	14.95	379187	11337225.000
06/28/2011	14.86	14.93	14.77	14.87	175268	5259695.500
06/29/2011	14.87	15.08	14.72	14.93	199412	5990999.500
06/30/2011	14.93	15.11	14.93	15.02	128813	3905436.250
07/01/2011	15.07	15.08	14.87	14.93	129700	3916353.500
07/04/2011	14.99	15.20	14.91	15.14	167469	5096436.000
07/05/2011	15.14	15.34	15.13	15.29	153256	4705901.500
07/06/2011	15.26	15.37	15.13	15.36	134130	4119625.500
07/07/2011	15.53	15.80	15.49	15.74	268087	8460943.000
07/08/2011	15.69	16.04	15.64	15.82	188066	6000844.000
07/11/2011	15.97	16.07	15.67	15.73	150671	4776287.500
07/12/2011	15.50	15.72	15.33	15.44	139195	4355827.000
07/13/2011	15.24	15.70	15.24	15.64	86104	2702301.000
07/14/2011	15.64	15.85	15.64	15.80	122130	3867464.750
07/15/2011	15.84	16.31	15.74	16.29	403213	13085241.000
07/18/2011	16.41	16.92	16.41	16.59	453608	15208680.000
07/19/2011	16.58	16.58	16.09	16.10	225050	7358789.500
07/20/2011	16.07	16.40	15.43	15.54	403792	12750096.000
07/21/2011	15.85	15.85	15.47	15.61	180061	5678528.000
07/22/2011	15.57	15.79	15.57	15.66	110240	3472962.500
07/25/2011	15.69	15.77	14.90	15.22	518947	15841888.000
07/26/2011	15.21	15.23	14.49	15.00	374363	11188461.000
07/27/2011	14.96	15.51	14.67	15.42	505255	15453182.000
07/28/2011	15.09	15.49	15.09	15.49	434956	13437292.000
07/29/2011	15.48	15.98	15.33	15.72	492441	15679061.000
08/01/2011	15.85	16.04	15.63	15.87	706643	22473462.000
08/02/2011	15.82	16.05	15.13	15.59	689663	21567838.000
08/03/2011	14.67	15.52	14.67	15.27	634128	19535954.000
08/04/2011	15.18	15.39	14.80	14.82	799942	24072510.000
08/05/2011	14.36	14.52	14.15	14.31	661146	19103886.000
08/08/2011	13.85	14.23	13.01	13.69	581458	16239761.000
08/09/2011	13.13	14.00	13.13	13.82	323182	8900362.000
08/10/2011	14.21	14.25	14.04	14.11	304007	8688418.000
