300207 欣旺达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/21/2011	17.08	18.51	15.78	15.89	29393999	659172032.000
04/22/2011	14.55	14.77	14.28	14.28	17691997	336995040.000
04/25/2011	14.12	14.14	13.82	13.85	5867056	108109480.000
04/26/2011	13.82	13.99	13.63	13.73	3880371	70801992.000
04/27/2011	14.09	14.17	13.54	13.69	3478376	63583684.000
04/28/2011	13.73	13.76	12.91	12.96	4316971	75942656.000
04/29/2011	13.00	13.58	13.00	13.31	2708484	47672512.000
05/03/2011	13.40	13.54	13.28	13.41	1776331	31565112.000
05/04/2011	13.30	13.31	12.94	13.02	2219674	38529340.000
05/05/2011	12.97	13.27	12.93	13.13	1481208	25773766.000
05/06/2011	13.04	13.36	12.93	13.30	1593895	27845956.000
05/09/2011	13.34	13.52	13.23	13.33	1609850	28510608.000
05/10/2011	13.39	13.50	13.27	13.48	1358772	24003344.000
05/11/2011	13.44	13.58	13.35	13.40	1553375	27602472.000
05/12/2011	13.31	13.36	13.02	13.02	2053730	35831760.000
05/13/2011	13.09	13.43	13.01	13.38	1967238	34407248.000
05/16/2011	13.39	13.68	13.30	13.46	2215659	39501360.000
05/17/2011	13.39	13.47	13.14	13.29	1701588	29949066.000
05/18/2011	13.33	13.36	13.17	13.27	1167219	20491042.000
05/19/2011	13.31	13.33	13.08	13.10	1087026	18978964.000
05/20/2011	13.07	13.16	12.86	12.86	1652492	28313260.000
05/23/2011	12.75	12.77	12.23	12.25	2003941	33188186.000
05/24/2011	12.25	12.63	12.11	12.53	1566714	25745512.000
05/25/2011	12.48	12.48	12.02	12.08	1254651	20352606.000
05/26/2011	12.20	12.26	11.82	11.82	1061637	16885366.000
05/27/2011	11.70	11.86	11.62	11.66	975934	15159798.000
05/30/2011	11.62	11.92	11.60	11.69	799131	12471515.000
05/31/2011	11.71	11.93	11.47	11.89	972458	15158741.000
06/01/2011	11.81	12.27	11.81	12.13	1518212	24231188.000
06/02/2011	11.93	12.04	11.60	11.77	1095250	17122328.000
06/03/2011	11.80	12.07	11.77	12.00	918175	14543170.000
06/07/2011	11.98	12.21	11.85	12.13	755599	12044723.000
06/08/2011	12.13	12.13	11.87	12.00	746098	11850862.000
06/09/2011	12.00	12.00	11.54	11.58	924713	14410982.000
06/10/2011	11.58	11.68	11.37	11.57	735888	11224168.000
06/13/2011	11.47	11.63	11.35	11.55	545840	8317659.000
06/14/2011	11.54	11.83	11.51	11.76	986519	15260350.000
06/15/2011	11.73	11.91	11.57	11.57	874622	13602069.000
06/16/2011	11.48	11.62	11.40	11.42	604319	9202094.000
06/17/2011	11.43	11.57	11.39	11.41	578155	8788075.000
06/20/2011	11.43	11.49	11.23	11.30	588133	8847846.000
06/21/2011	11.35	11.50	11.30	11.47	434754	6572742.500
06/22/2011	11.50	11.51	11.39	11.43	380775	5777483.000
06/23/2011	11.39	11.84	11.35	11.77	1208867	18744716.000
06/24/2011	11.70	12.07	11.70	11.97	1713817	27059572.000
06/27/2011	12.00	12.20	11.95	12.03	1636226	26187230.000
06/28/2011	12.10	12.15	11.90	12.13	1310306	20875714.000
06/29/2011	12.19	12.19	11.81	11.82	1133211	17999026.000
07/01/2011	12.04	12.60	12.04	12.21	2830044	46032892.000
07/04/2011	12.32	13.08	12.31	12.91	4247415	71890768.000
07/05/2011	13.00	13.32	12.70	12.86	3344199	57380888.000
07/06/2011	12.86	13.05	12.63	13.00	2367050	40384100.000
07/07/2011	12.97	13.70	12.93	13.40	4620105	82004440.000
07/08/2011	13.33	13.58	13.23	13.28	2005203	35487760.000
07/11/2011	13.25	13.60	13.06	13.47	2692760	47595512.000
07/12/2011	13.24	13.57	13.14	13.17	2172864	38276376.000
07/13/2011	13.10	13.70	13.10	13.61	2429403	43299996.000
07/14/2011	13.64	14.08	13.64	13.78	3084902	56540876.000
07/15/2011	13.85	14.13	13.76	13.78	2556293	47052876.000
07/18/2011	13.76	13.85	13.43	13.51	2342614	42093208.000
07/19/2011	13.48	14.28	13.31	14.09	6183511	114101288.000
07/20/2011	14.16	14.16	13.58	13.93	3353319	61695392.000
07/21/2011	13.93	14.24	13.70	13.85	4582275	84658976.000
07/22/2011	13.90	14.64	13.90	14.52	6965548	132320648.000
07/25/2011	14.50	14.72	13.86	14.16	5875994	110489592.000
07/26/2011	14.17	14.20	13.47	13.99	1917977	35027324.000
07/27/2011	13.78	14.66	13.76	14.49	4067524	77315272.000
07/28/2011	14.25	14.43	14.07	14.20	2735338	51387844.000
07/29/2011	14.21	14.29	13.76	13.77	2604263	47918940.000
08/01/2011	13.80	14.00	13.32	13.82	3207708	57914464.000
08/02/2011	13.77	13.77	13.34	13.63	2010673	35952036.000
08/03/2011	13.48	14.57	13.42	14.34	5016962	94802872.000
08/04/2011	14.27	14.60	14.03	14.05	2813464	53011712.000
08/05/2011	13.53	14.45	13.39	14.05	3536714	65147540.000
08/08/2011	13.83	14.27	13.39	13.69	3215873	58778728.000
08/09/2011	13.11	14.54	12.91	14.35	3524850	64317820.000
08/10/2011	14.60	15.39	14.60	14.97	5385452	106605304.000
08/11/2011	14.60	15.49	14.47	15.29	5641919	112983288.000
08/12/2011	15.27	15.42	15.08	15.30	3768102	75849632.000
08/15/2011	15.39	16.07	15.31	15.54	4787723	98730984.000
08/16/2011	15.30	15.65	15.01	15.63	4371890	88032328.000
08/17/2011	15.40	15.85	15.35	15.43	2574787	53205908.000
08/18/2011	15.31	15.53	14.93	15.12	2379602	47392740.000
08/19/2011	14.77	15.08	14.67	14.94	1037208	20343062.000
08/22/2011	14.97	15.23	14.70	14.73	1211666	23948428.000
08/23/2011	14.93	15.50	14.77	15.50	2201841	44161916.000
08/24/2011	15.54	15.82	15.37	15.62	3408034	70016280.000
08/25/2011	15.49	15.67	15.10	15.38	1971214	39890684.000
08/26/2011	15.38	15.89	15.28	15.68	2289519	47181712.000
08/29/2011	15.51	15.97	15.39	15.67	2464695	51052228.000
08/30/2011	15.63	15.77	14.93	15.01	2047742	41531108.000
08/31/2011	15.01	15.11	14.53	14.90	1544174	30105328.000
09/01/2011	14.91	14.97	14.30	14.49	1302297	25049704.000
09/02/2011	14.50	14.58	14.28	14.47	742689	14174607.000
09/05/2011	14.53	14.53	14.11	14.12	429201	8081627.000
09/06/2011	14.12	14.37	13.88	14.00	1060693	19889540.000
