300208 恒顺电气 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/26/2011	5.85	5.85	5.61	5.66	4086439	95743656.000
04/27/2011	5.69	5.73	5.40	5.41	1609301	36555800.000
04/28/2011	5.39	5.55	5.36	5.48	1156821	25909582.000
04/29/2011	5.45	5.48	5.36	5.43	504004	11230447.000
05/03/2011	5.41	5.51	5.37	5.43	496627	11106013.000
05/04/2011	5.43	5.44	5.27	5.27	757169	16526320.000
05/05/2011	5.25	5.30	5.22	5.25	337026	7295425.500
05/06/2011	5.23	5.29	5.20	5.27	283291	6121933.500
05/09/2011	5.28	5.34	5.27	5.30	264068	5762798.000
05/10/2011	5.28	5.31	5.25	5.29	219186	4755259.500
05/11/2011	5.27	5.30	5.23	5.27	262827	5688836.500
05/12/2011	5.24	5.32	5.23	5.26	259489	5639907.000
05/13/2011	5.24	5.37	5.24	5.36	314323	6870965.000
05/16/2011	5.37	5.37	5.32	5.35	240661	5288752.000
05/17/2011	5.34	5.34	5.25	5.31	243691	5309496.500
05/18/2011	5.28	5.30	5.25	5.27	260948	5654182.000
05/19/2011	5.29	5.34	5.23	5.28	218356	4748996.500
05/20/2011	5.25	5.28	5.25	5.25	113249	2448688.750
05/23/2011	5.24	5.25	4.99	5.01	428287	8949985.000
05/24/2011	4.99	5.09	4.92	5.04	258571	5334168.500
05/25/2011	5.04	5.04	4.90	4.90	185690	3792423.000
05/26/2011	5.00	5.01	4.78	4.79	231158	4635285.500
05/27/2011	4.79	4.80	4.68	4.68	190136	3713645.000
05/30/2011	4.68	4.76	4.63	4.68	135061	2627320.500
05/31/2011	4.73	4.79	4.67	4.77	116700	2276232.000
06/01/2011	4.79	4.80	4.73	4.78	97400	1920323.000
06/02/2011	4.75	4.75	4.65	4.68	136200	2628248.500
06/03/2011	4.69	4.79	4.69	4.76	76450	1500952.500
06/07/2011	4.76	4.78	4.70	4.77	75035	1472623.000
06/08/2011	4.71	4.77	4.70	4.76	60863	1186844.000
06/09/2011	4.74	4.76	4.68	4.68	74309	1443993.750
06/10/2011	4.68	4.69	4.58	4.61	161259	3073774.500
06/13/2011	4.60	4.65	4.56	4.63	60696	1154737.875
06/14/2011	4.64	4.70	4.60	4.67	89172	1717897.500
06/15/2011	4.67	4.70	4.61	4.61	82663	1587493.375
06/16/2011	4.60	4.60	4.53	4.53	95920	1807599.750
06/17/2011	4.53	4.56	4.50	4.50	65719	1230456.875
06/21/2011	4.50	4.57	4.50	4.55	167005	3119683.250
06/22/2011	4.60	4.60	4.51	4.52	70149	1311604.375
06/23/2011	4.53	4.65	4.50	4.63	187361	3557869.250
06/24/2011	4.62	4.73	4.60	4.71	246569	4767320.000
06/27/2011	4.72	4.79	4.70	4.73	197499	3871056.750
06/28/2011	4.72	4.77	4.71	4.75	127576	2494132.000
06/29/2011	4.75	4.77	4.65	4.68	125000	2439027.000
06/30/2011	4.78	4.78	4.70	4.74	151430	2958160.250
07/01/2011	4.76	4.82	4.73	4.78	160270	3161002.750
07/04/2011	4.82	4.87	4.78	4.85	252115	5023842.500
07/05/2011	4.85	4.85	4.81	4.85	156450	3119782.500
07/06/2011	4.85	4.99	4.83	4.95	269640	5474313.000
07/07/2011	4.95	5.15	4.94	5.01	647219	13457841.000
07/08/2011	5.04	5.05	4.90	4.95	366735	7507551.000
07/11/2011	4.90	5.03	4.90	4.97	117550	2411477.000
07/12/2011	4.97	4.97	4.84	4.84	309900	6257026.500
07/13/2011	4.85	4.98	4.84	4.97	252871	5130983.500
07/14/2011	4.94	5.08	4.94	5.08	358796	7432117.000
07/15/2011	5.09	5.22	5.05	5.19	709388	15113828.000
07/18/2011	5.20	5.25	5.15	5.19	300580	6425389.500
07/19/2011	5.15	5.16	5.05	5.09	278240	5847148.000
07/20/2011	5.09	5.20	5.07	5.16	269900	5705366.000
07/21/2011	5.13	5.19	5.06	5.08	128300	2693283.500
07/22/2011	5.07	5.38	5.07	5.21	585626	12649797.000
07/25/2011	5.18	5.24	5.01	5.03	333439	7048763.500
07/26/2011	5.02	5.09	4.85	4.92	610780	12376988.000
07/27/2011	4.89	5.06	4.87	5.03	536029	11033639.000
07/28/2011	5.00	5.10	4.95	5.04	369175	7613916.000
07/29/2011	5.04	5.08	4.90	4.93	410631	8415327.000
08/01/2011	4.93	5.02	4.86	5.00	411163	8368395.500
08/02/2011	4.97	5.00	4.86	4.98	361401	7314629.000
08/03/2011	4.93	5.17	4.92	5.09	789645	16513029.000
08/04/2011	5.08	5.14	4.97	4.99	616357	12768179.000
08/05/2011	4.85	4.90	4.78	4.85	405700	8130514.000
08/08/2011	4.80	4.83	4.40	4.55	365026	7002200.000
08/09/2011	4.48	4.67	4.40	4.60	306718	5745975.000
08/10/2011	4.67	4.73	4.63	4.65	238050	4607113.000
08/11/2011	4.63	4.74	4.55	4.74	254249	4918947.000
08/12/2011	4.77	4.84	4.74	4.79	245852	4853686.500
08/16/2011	4.85	4.86	4.79	4.80	270568	5387588.500
08/17/2011	4.82	4.83	4.76	4.82	202320	4003751.750
08/18/2011	4.82	4.82	4.78	4.78	219080	4331028.000
08/19/2011	4.68	4.80	4.68	4.79	199255	3911413.250
08/22/2011	4.96	5.29	4.95	5.29	3089344	66589176.000
08/23/2011	5.36	5.82	5.36	5.78	5161950	117686872.000
08/24/2011	5.73	6.03	5.65	5.93	4237734	101308128.000
08/25/2011	5.88	5.97	5.75	5.96	2795727	67302480.000
08/26/2011	5.95	6.06	5.83	5.97	2629305	64139244.000
08/29/2011	5.90	6.22	5.88	6.06	3391723	84320232.000
08/30/2011	6.05	6.06	5.79	5.89	2908015	70406192.000
08/31/2011	5.89	5.94	5.72	5.89	1834984	43910064.000
09/01/2011	5.90	5.95	5.80	5.89	1704114	41072512.000
09/02/2011	5.89	5.92	5.64	5.68	1733549	40783780.000
09/05/2011	5.60	5.72	5.58	5.67	1323562	30744214.000
09/06/2011	5.63	5.67	5.38	5.49	1587363	35798036.000
09/07/2011	5.57	5.70	5.47	5.63	1577678	36199864.000
09/08/2011	5.64	5.71	5.38	5.38	1560232	35502748.000
09/09/2011	5.33	5.42	5.29	5.41	1042320	22942216.000
09/13/2011	5.35	5.38	5.22	5.30	714570	15555753.000
09/14/2011	5.35	5.49	5.23	5.48	1135557	25037700.000
09/15/2011	5.46	5.51	5.41	5.43	877129	19637300.000
09/16/2011	5.46	5.47	5.27	5.28	838159	18528176.000
09/19/2011	5.24	5.24	5.05	5.06	877540	18498904.000
09/20/2011	5.07	5.16	5.03	5.12	442000	9277577.000
