300209 天泽信息 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/26/2011	15.92	16.02	15.02	15.04	3390805	104806296.000
04/27/2011	14.81	14.82	14.35	14.41	1619750	47228552.000
04/28/2011	14.45	14.55	14.02	14.07	870240	24880258.000
04/29/2011	14.07	14.27	14.02	14.16	368710	10502933.000
05/03/2011	14.26	14.26	14.04	14.22	295150	8414518.000
05/04/2011	14.22	14.22	13.91	13.98	505966	14252032.000
05/05/2011	13.98	14.09	13.97	13.97	312151	8799078.000
05/06/2011	13.97	13.97	13.77	13.86	368470	10252955.000
05/09/2011	13.86	14.11	13.86	13.91	300056	8434211.000
05/10/2011	13.94	14.01	13.90	13.96	224220	6287004.500
05/11/2011	14.02	14.07	13.90	13.99	300178	8439925.000
05/12/2011	13.95	14.05	13.87	13.88	264289	7418293.000
05/13/2011	13.88	14.12	13.83	14.12	290486	8172122.000
05/16/2011	14.08	14.37	13.98	14.21	448003	12846395.000
05/17/2011	14.18	14.28	14.03	14.22	215106	6127321.000
05/18/2011	14.30	14.30	14.04	14.06	233694	6631057.000
05/19/2011	14.06	14.14	13.92	13.92	243873	6882748.500
05/20/2011	13.89	13.98	13.87	13.91	166168	4651528.000
05/23/2011	13.81	13.94	13.35	13.35	330590	9055189.000
05/24/2011	13.44	13.62	13.23	13.49	218459	5901811.000
05/25/2011	13.46	13.50	13.17	13.19	183300	4910514.000
05/26/2011	13.27	13.40	13.02	13.05	116360	3081554.000
05/27/2011	13.00	13.16	12.74	12.81	194570	5058169.000
05/30/2011	12.77	13.07	12.68	12.82	184300	4776706.000
05/31/2011	12.85	13.01	12.83	12.98	112555	2927617.500
06/01/2011	12.99	13.02	12.95	12.97	128642	3360327.000
06/02/2011	12.82	12.89	12.58	12.64	173643	4438825.000
06/03/2011	12.61	12.87	12.61	12.84	92099	2371051.750
06/07/2011	12.83	12.87	12.68	12.78	93920	2423010.000
06/09/2011	12.78	12.97	12.66	12.70	146600	3775497.000
06/10/2011	12.64	12.65	12.43	12.51	154183	3885465.750
06/13/2011	12.51	12.51	12.28	12.44	136989	3416603.250
06/14/2011	12.38	12.56	12.36	12.53	97900	2463951.000
06/15/2011	12.58	12.58	12.35	12.39	145090	3635339.500
06/16/2011	12.29	12.29	12.03	12.11	131100	3214580.750
06/17/2011	12.05	12.15	11.94	11.94	98200	2383278.000
06/20/2011	11.93	12.00	11.85	11.88	110807	2656224.000
06/21/2011	11.90	12.02	11.82	11.99	78972	1893824.125
06/22/2011	11.97	11.97	11.83	11.85	76089	1820988.125
06/23/2011	11.85	12.30	11.73	12.19	201122	4899212.500
06/24/2011	12.14	12.48	12.09	12.45	268098	6667340.000
06/27/2011	12.45	12.74	12.41	12.46	258324	6537335.000
06/28/2011	12.46	12.57	12.40	12.53	129349	3252807.500
06/29/2011	12.55	12.96	12.55	12.58	365388	9381593.000
06/30/2011	12.43	12.87	12.43	12.87	222954	5734933.000
07/01/2011	12.87	13.05	12.78	12.86	233884	6088429.500
07/04/2011	12.87	13.19	12.83	13.15	330844	8684719.000
07/05/2011	13.20	13.20	13.06	13.12	207118	5470055.000
07/06/2011	13.07	13.28	12.94	13.25	215463	5699436.000
07/07/2011	13.28	13.82	13.19	13.63	730732	19988156.000
07/08/2011	13.60	13.86	13.43	13.83	399337	10965374.000
07/11/2011	13.69	13.97	13.67	13.94	391713	10918925.000
07/12/2011	13.86	13.86	13.43	13.45	427609	11778564.000
