300210 森远股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/26/2011	7.55	8.75	7.50	8.17	13904764	365561536.000
04/27/2011	7.79	7.86	7.34	7.34	7775032	192142016.000
04/28/2011	7.01	7.21	6.71	6.74	4979919	114808720.000
04/29/2011	6.66	6.89	6.60	6.71	3052671	68256856.000
05/03/2011	6.67	6.83	6.54	6.72	1986407	44008328.000
05/04/2011	6.66	7.00	6.57	6.78	2723370	61212400.000
05/05/2011	6.69	7.16	6.69	6.95	2897214	66985644.000
05/06/2011	6.87	7.05	6.83	6.87	1998629	45898028.000
05/09/2011	6.91	7.17	6.88	7.09	1861997	43609156.000
05/10/2011	7.08	7.11	6.95	7.05	1482648	34413696.000
05/11/2011	7.04	7.17	6.96	7.00	1455799	33904108.000
05/12/2011	6.86	6.96	6.70	6.70	1745622	39613996.000
05/13/2011	6.73	7.00	6.68	6.96	1514111	34294784.000
05/16/2011	6.94	7.09	6.90	6.94	1497153	34717680.000
05/17/2011	6.96	7.01	6.79	6.90	1106052	25299300.000
05/18/2011	6.88	6.90	6.75	6.79	1133261	25541764.000
05/19/2011	6.80	6.89	6.76	6.77	685897	15511670.000
05/20/2011	6.73	6.79	6.68	6.70	960976	21422290.000
05/23/2011	6.66	6.70	6.38	6.42	1199985	25898264.000
05/24/2011	6.41	6.58	6.25	6.50	1095380	23415702.000
05/25/2011	6.48	6.48	6.29	6.35	740670	15671535.000
05/26/2011	6.37	6.43	6.17	6.17	839456	17539980.000
05/27/2011	6.13	6.17	5.95	5.99	1000760	20119164.000
05/30/2011	5.93	6.17	5.93	6.03	769771	15554264.000
05/31/2011	6.00	6.28	6.00	6.21	624571	12742041.000
06/01/2011	6.24	6.29	6.16	6.18	604834	12482174.000
06/02/2011	6.11	6.22	6.00	6.20	778150	15758221.000
06/03/2011	6.17	6.38	6.17	6.27	660159	13829373.000
06/07/2011	6.23	6.32	6.17	6.25	281489	5851094.000
06/08/2011	6.25	6.29	6.13	6.21	321776	6601554.000
06/09/2011	6.27	6.27	6.01	6.02	655670	13337832.000
06/10/2011	5.99	6.10	5.96	6.08	468602	9394513.000
06/13/2011	6.01	6.17	5.97	6.14	311989	6339994.000
06/14/2011	6.14	6.24	6.14	6.20	264176	5435230.000
06/15/2011	6.14	6.29	6.11	6.13	206069	4246696.000
06/16/2011	6.07	6.08	5.97	6.00	357446	7158858.000
06/17/2011	5.98	6.04	5.95	6.00	164513	3280378.250
06/20/2011	5.97	6.02	5.95	6.02	221088	4409863.000
06/21/2011	6.04	6.10	6.01	6.09	179182	3606754.250
06/22/2011	6.10	6.11	5.75	5.77	639600	12513468.000
06/23/2011	5.75	5.98	5.71	5.95	805957	15726064.000
06/24/2011	5.96	6.16	5.91	6.14	1077100	21675278.000
06/27/2011	6.15	6.34	6.13	6.24	1175240	24381910.000
06/28/2011	6.22	6.26	6.17	6.24	471322	9727894.000
06/29/2011	6.29	6.39	6.19	6.22	615759	12861035.000
07/01/2011	6.32	6.53	6.29	6.42	1152133	24532070.000
07/04/2011	6.46	6.61	6.44	6.58	1134843	24633576.000
07/05/2011	6.62	6.74	6.54	6.68	1009169	22276832.000
07/06/2011	6.67	6.75	6.58	6.72	664808	14738060.000
07/07/2011	6.70	6.98	6.68	6.86	1510762	34297500.000
07/08/2011	6.89	7.02	6.82	7.02	1291912	29651012.000
07/11/2011	7.25	7.73	7.18	7.52	2086368	51394392.000
07/12/2011	7.42	7.64	7.36	7.43	1523638	37789776.000
07/13/2011	7.43	7.99	7.43	7.95	1526360	39057308.000
07/14/2011	8.02	8.05	7.68	7.89	1800860	46641700.000
07/15/2011	7.89	8.10	7.80	7.84	1599418	41941848.000
07/18/2011	7.92	8.07	7.74	8.05	1424900	37241980.000
07/19/2011	7.96	8.10	7.75	7.75	1480687	38801488.000
07/20/2011	7.83	8.01	7.71	7.93	1709676	44588072.000
07/21/2011	7.95	7.96	7.75	7.80	1099427	28641896.000
07/22/2011	7.88	8.34	7.87	8.33	2268132	60810296.000
07/25/2011	8.16	8.32	7.74	7.77	2378132	62721296.000
07/26/2011	7.76	7.80	7.46	7.67	1714341	43017800.000
07/27/2011	7.62	8.39	7.55	8.25	3080432	82006752.000
07/28/2011	8.13	8.73	8.09	8.59	3149541	88249408.000
07/29/2011	8.63	8.81	8.47	8.67	2014299	57362280.000
08/01/2011	8.57	8.94	8.44	8.77	1473591	42564284.000
08/02/2011	8.62	9.15	8.55	9.04	1995198	58553520.000
08/03/2011	8.84	9.14	8.84	8.88	1744503	51596252.000
08/04/2011	8.89	8.93	8.54	8.79	1517569	43366636.000
08/05/2011	8.48	8.75	8.39	8.45	2197610	62447584.000
08/08/2011	8.36	8.70	8.12	8.62	1124685	31481072.000
08/09/2011	8.33	8.84	8.17	8.76	954970	27149612.000
08/10/2011	8.94	9.06	8.49	8.72	1094619	31832878.000
08/11/2011	8.52	8.88	8.48	8.79	843938	24220836.000
08/12/2011	8.88	9.27	8.84	9.09	1002384	30252074.000
08/15/2011	9.07	9.30	9.04	9.19	748922	22590376.000
08/16/2011	9.20	9.42	9.04	9.07	904875	27397710.000
08/17/2011	9.07	9.13	8.97	9.11	791530	23641344.000
08/18/2011	9.06	9.18	8.73	8.79	655771	19298956.000
08/19/2011	8.58	8.81	8.56	8.81	717031	20510006.000
08/22/2011	8.77	8.91	8.73	8.84	543647	15810322.000
08/23/2011	8.84	9.39	8.76	9.30	918197	27794192.000
08/24/2011	9.37	9.47	9.15	9.19	586323	17982210.000
08/25/2011	9.16	9.28	8.85	9.13	766850	22776226.000
08/26/2011	9.00	9.25	9.00	9.23	663052	20039708.000
08/29/2011	9.17	9.76	9.17	9.42	836851	26342020.000
08/30/2011	9.55	9.67	9.30	9.31	768101	23859484.000
08/31/2011	9.30	9.52	9.16	9.24	598851	18427300.000
09/01/2011	9.27	9.39	8.88	8.94	688020	20549370.000
09/02/2011	8.94	8.94	8.52	8.52	911370	26021372.000
09/05/2011	8.42	8.66	8.42	8.58	406016	11430391.000
09/06/2011	8.49	8.57	8.29	8.43	696773	19452798.000
09/07/2011	8.48	8.71	8.48	8.71	630588	17960436.000
09/08/2011	8.68	8.84	8.59	8.65	572240	16444695.000
09/09/2011	8.48	8.74	8.45	8.50	338881	9580564.000
09/13/2011	8.63	8.68	8.44	8.46	232463	6538945.500
09/14/2011	8.40	8.67	8.40	8.59	368422	10345797.000
09/15/2011	8.63	8.83	8.60	8.70	361059	10392174.000
09/16/2011	8.70	8.79	8.46	8.63	447829	12765215.000
09/19/2011	8.61	8.61	8.26	8.31	360670	9919768.000
09/20/2011	8.28	8.28	8.04	8.11	1222508	32792868.000
09/21/2011	8.15	8.37	7.96	8.33	822087	22194570.000
09/22/2011	8.26	8.38	8.02	8.02	596158	16213648.000
09/23/2011	7.86	8.09	7.74	8.04	311484	8169466.500
09/26/2011	7.97	8.19	7.81	7.99	344050	9137715.000
09/27/2011	8.11	8.17	7.99	8.13	150071	4002659.750
09/28/2011	8.25	8.29	8.02	8.11	238091	6443534.500
09/29/2011	8.02	8.16	7.87	8.02	212318	5629563.000
09/30/2011	8.09	8.26	8.02	8.23	168640	4538529.500
10/10/2011	8.34	8.39	7.93	8.02	591302	15738727.000
10/11/2011	8.15	8.17	7.86	8.00	829777	22036974.000
10/12/2011	7.89	8.39	7.77	8.39	671180	18012166.000
10/13/2011	8.30	8.59	8.27	8.46	818129	22737940.000
10/14/2011	8.42	8.53	8.30	8.53	386649	10754994.000
10/17/2011	8.53	8.71	8.50	8.62	233146	6630906.500
10/18/2011	8.57	8.65	8.28	8.30	311180	8752246.000
10/19/2011	8.33	8.41	8.12	8.12	214300	5834358.000
10/20/2011	8.09	8.09	7.55	7.73	764208	19624996.000
10/21/2011	7.67	7.83	7.27	7.27	771300	19174424.000
10/24/2011	7.40	7.63	7.21	7.63	650820	15905537.000
10/25/2011	7.62	8.15	7.55	8.11	492884	12894358.000
10/26/2011	8.00	8.39	8.00	8.11	438220	11972376.000
10/27/2011	8.17	8.38	8.10	8.17	343891	9337809.000
10/28/2011	8.36	8.38	8.24	8.37	272976	7499598.500
10/31/2011	8.43	8.69	8.37	8.45	521603	14670988.000
11/01/2011	8.33	8.71	8.32	8.60	512834	14550507.000
11/02/2011	8.48	8.96	8.42	8.88	762266	21956076.000
11/03/2011	8.90	9.01	8.67	8.74	592154	17278826.000
11/04/2011	8.83	8.85	8.54	8.75	667936	19079728.000
11/07/2011	8.73	8.91	8.61	8.79	538384	15701037.000
11/08/2011	8.79	8.85	8.68	8.69	268162	7738919.000
