300211 亿通科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/05/2011	16.50	18.33	16.47	16.96	8531174	255738320.000
05/06/2011	15.61	16.26	15.26	15.27	4946518	134214944.000
05/09/2011	15.41	16.53	15.30	15.95	2769085	76644312.000
05/10/2011	15.88	16.21	15.59	15.82	1683106	46342536.000
05/11/2011	15.84	16.00	15.76	15.91	1304173	35979080.000
05/12/2011	15.72	16.35	15.69	15.88	1240924	34520732.000
05/13/2011	15.88	17.05	15.83	16.83	2082498	59481024.000
05/16/2011	16.62	17.04	16.47	16.60	1224532	35470612.000
05/17/2011	16.61	17.41	16.53	16.95	1418940	41727980.000
05/18/2011	16.76	16.86	16.16	16.41	1415932	40433988.000
05/19/2011	16.44	16.69	16.21	16.60	1043214	29851572.000
05/20/2011	16.54	16.68	16.03	16.33	751089	21277178.000
05/23/2011	16.16	16.32	15.47	15.58	987867	27129708.000
05/24/2011	15.47	16.11	15.37	15.83	871175	23844862.000
05/25/2011	15.65	15.82	15.27	15.33	666805	18006306.000
05/26/2011	15.33	15.53	14.78	14.78	623740	16341629.000
05/27/2011	14.78	15.17	14.54	14.74	402635	10393237.000
05/30/2011	14.82	15.06	14.67	14.79	362821	9405526.000
05/31/2011	14.78	14.99	14.49	14.94	522945	13448557.000
06/01/2011	14.94	15.05	14.72	14.94	346102	8971052.000
06/02/2011	14.75	14.75	14.30	14.54	608821	15381348.000
06/03/2011	14.43	14.75	14.43	14.63	333967	8505979.000
06/07/2011	14.88	14.91	14.60	14.76	382557	9815609.000
06/08/2011	14.71	14.82	14.54	14.80	316906	8095372.500
06/09/2011	14.75	14.78	14.49	14.49	250676	6369914.000
06/10/2011	14.43	14.66	14.39	14.59	248906	6285550.500
06/13/2011	14.50	14.80	14.40	14.74	280240	7120680.000
06/14/2011	14.67	14.95	14.46	14.84	276410	7116466.500
06/15/2011	14.72	14.85	14.53	14.57	363174	9277111.000
06/16/2011	14.49	14.53	14.22	14.24	308245	7697610.000
06/17/2011	14.24	14.32	13.93	13.94	174200	4293951.500
06/20/2011	13.85	14.07	13.68	13.78	230828	5546022.500
06/21/2011	13.78	13.91	13.73	13.91	100695	2425298.000
06/22/2011	13.90	13.90	13.56	13.63	244638	5839325.500
06/23/2011	13.54	14.10	13.41	14.05	380218	9159371.000
06/27/2011	14.37	14.71	14.30	14.54	611804	15469425.000
06/28/2011	14.55	14.69	14.43	14.54	245690	6216832.500
06/29/2011	14.49	14.74	14.47	14.48	320787	8156836.500
06/30/2011	14.49	14.95	14.49	14.87	538387	13765148.000
07/01/2011	14.88	15.05	14.75	14.86	337595	8762971.000
07/04/2011	14.95	15.14	14.78	15.12	286491	7493199.500
07/05/2011	15.14	15.14	14.88	15.00	324537	8462464.000
07/06/2011	14.96	15.36	14.92	15.24	352129	9296557.000
07/07/2011	15.24	15.90	15.20	15.45	775847	21036770.000
