300212 易华录 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/05/2011	5.73	5.91	5.56	5.66	3791838	105874832.000
05/06/2011	5.52	5.66	5.47	5.54	1558103	42321492.000
05/09/2011	5.54	5.68	5.54	5.67	871022	23923592.000
05/10/2011	5.66	5.66	5.57	5.63	526994	14465639.000
05/11/2011	5.62	5.65	5.58	5.60	437785	12012704.000
05/12/2011	5.58	5.76	5.58	5.60	1049959	29173978.000
05/13/2011	5.60	5.73	5.58	5.71	869697	24014316.000
05/16/2011	5.70	5.97	5.68	5.81	1274118	36463844.000
05/17/2011	5.81	5.97	5.73	5.82	932104	26590938.000
05/18/2011	5.76	5.81	5.62	5.66	796223	22161292.000
05/19/2011	5.66	5.69	5.58	5.60	514784	14168069.000
05/20/2011	5.58	5.62	5.56	5.58	285680	7801588.500
05/23/2011	5.55	5.62	5.42	5.42	519668	14004027.000
05/24/2011	5.35	5.63	5.29	5.56	634408	16975790.000
05/25/2011	5.50	5.55	5.34	5.34	431100	11407703.000
05/26/2011	5.37	5.45	5.29	5.31	187719	4910140.000
05/27/2011	5.30	5.39	5.22	5.26	203946	5306464.000
05/30/2011	5.25	5.33	5.18	5.25	256509	6600787.000
05/31/2011	5.27	5.33	5.21	5.31	191242	4943990.000
06/01/2011	5.31	5.39	5.28	5.37	209971	5490404.500
06/02/2011	5.31	5.39	5.25	5.37	315924	8223887.500
06/03/2011	5.35	5.41	5.35	5.38	167900	4429181.500
06/07/2011	5.37	5.43	5.37	5.43	148180	3923703.250
06/08/2011	5.38	5.43	5.31	5.39	202822	5319139.000
06/09/2011	5.39	5.41	5.29	5.30	146189	3831763.000
06/10/2011	5.31	5.37	5.26	5.34	163311	4238771.500
06/13/2011	5.31	5.38	5.19	5.37	104680	2727708.000
06/14/2011	5.37	5.41	5.33	5.41	131789	3472653.750
06/15/2011	5.39	5.41	5.29	5.31	135589	3547220.000
06/16/2011	5.31	5.34	5.22	5.22	145980	3763486.500
06/17/2011	5.23	5.23	5.19	5.22	97584	2489132.750
06/20/2011	5.23	5.23	5.10	5.13	113115	2852350.500
06/21/2011	5.18	5.18	5.10	5.15	88127	2215148.750
06/22/2011	5.17	5.17	5.06	5.10	97824	2445780.250
06/23/2011	5.07	5.30	5.07	5.25	214142	5468534.000
06/24/2011	5.23	5.35	5.23	5.32	174284	4518573.500
06/27/2011	5.27	5.45	5.24	5.42	266002	7037079.000
06/28/2011	5.39	5.43	5.34	5.38	107205	2823713.250
06/29/2011	5.35	5.48	5.35	5.39	231200	6119205.000
06/30/2011	5.37	5.48	5.35	5.46	165102	4408293.000
07/01/2011	5.48	5.51	5.41	5.45	168308	4509190.500
07/04/2011	5.47	5.67	5.47	5.66	532608	14629584.000
07/06/2011	5.83	5.83	5.73	5.78	1016258	28721570.000
07/07/2011	5.81	6.09	5.76	5.98	990436	28769524.000
07/08/2011	5.98	6.02	5.83	5.88	748578	21632758.000
07/11/2011	5.90	6.06	5.89	6.04	768467	22538300.000
07/12/2011	5.94	6.09	5.94	5.98	747470	22000806.000
07/13/2011	6.04	6.16	5.97	6.16	1227426	36397168.000
07/14/2011	6.21	6.24	6.10	6.14	625223	18791178.000
07/15/2011	6.14	6.24	6.10	6.12	1119899	33652780.000
07/18/2011	6.15	6.22	6.06	6.06	604042	18106208.000
07/19/2011	6.02	6.05	5.86	5.98	633607	18393622.000
07/20/2011	5.98	6.21	5.98	6.21	910874	27143972.000
07/21/2011	6.17	6.46	6.17	6.31	2015801	62424432.000
07/22/2011	6.24	6.41	6.24	6.32	926607	28589574.000
07/25/2011	6.24	6.38	6.06	6.19	823687	25095906.000
07/26/2011	6.14	6.41	6.14	6.37	790119	24313150.000
07/27/2011	6.45	7.02	6.43	6.80	2668793	88924368.000
07/28/2011	6.66	6.98	6.58	6.88	1567927	52049612.000
07/29/2011	6.78	7.06	6.74	6.99	1336588	45213164.000
08/01/2011	6.85	7.00	6.74	6.91	1025415	34258984.000
08/02/2011	6.91	6.95	6.67	6.95	750756	24938298.000
08/03/2011	6.83	6.97	6.75	6.77	623928	20867484.000
08/04/2011	6.75	6.90	6.71	6.86	511177	16956288.000
08/05/2011	6.73	7.28	6.68	7.13	2365956	81235520.000
08/08/2011	6.95	7.49	6.94	7.25	1922747	68272112.000
08/09/2011	7.06	7.19	6.57	7.07	1538211	52213808.000
08/10/2011	7.12	7.44	7.12	7.37	1593316	56646028.000
08/11/2011	7.16	7.39	7.06	7.18	1578016	55357736.000
08/12/2011	7.24	7.52	7.22	7.42	1450264	52124532.000
08/15/2011	7.49	8.16	7.37	8.06	1846385	70630344.000
08/16/2011	7.98	8.62	7.91	8.24	2306676	92487752.000
08/17/2011	8.18	8.46	8.12	8.26	1262541	50625816.000
08/18/2011	8.21	8.28	8.01	8.23	997219	39501912.000
08/19/2011	8.04	9.04	8.02	8.96	1323057	54419888.000
08/22/2011	9.13	9.44	8.78	9.02	2086668	91833584.000
08/23/2011	8.94	9.06	8.68	8.98	1969396	84444824.000
08/24/2011	8.85	9.23	8.82	9.05	1589301	69544592.000
08/25/2011	9.00	9.00	8.34	8.58	2534119	105666040.000
08/26/2011	8.43	8.68	8.35	8.49	1000797	41403748.000
08/29/2011	8.50	8.75	8.39	8.62	1320171	55206932.000
08/30/2011	8.61	8.61	8.20	8.23	1566303	63412808.000
08/31/2011	8.21	8.41	8.12	8.32	1262658	50751336.000
09/01/2011	8.33	8.41	8.15	8.21	978160	39154220.000
09/02/2011	8.20	8.20	7.94	8.05	865567	33948052.000
09/05/2011	7.92	8.02	7.79	7.97	770776	29526574.000
09/06/2011	7.82	7.99	7.64	7.69	733478	27755098.000
09/07/2011	7.85	7.90	7.69	7.89	689568	26197336.000
09/08/2011	7.85	8.13	7.81	7.89	1167169	45378264.000
09/09/2011	7.86	7.96	7.53	7.54	879989	32853600.000
09/13/2011	7.32	7.66	7.19	7.62	413667	15103221.000
09/14/2011	7.60	7.73	7.51	7.72	269742	9991671.000
09/15/2011	7.79	7.82	7.68	7.78	333259	12611271.000
09/16/2011	7.77	7.79	7.56	7.58	214500	8014353.000
09/19/2011	7.58	7.63	7.29	7.29	352264	12674899.000
09/20/2011	7.28	7.39	7.16	7.30	363816	12869407.000
09/21/2011	7.28	7.59	7.26	7.55	346138	12594056.000
09/22/2011	7.49	7.54	7.19	7.19	396830	14169495.000
09/23/2011	7.09	7.19	7.04	7.12	316703	10945134.000
09/26/2011	7.16	7.26	7.13	7.16	277654	9748900.000
09/27/2011	7.25	7.28	6.92	7.04	262565	9059989.000
09/28/2011	7.04	7.18	6.97	7.18	218657	7521882.500
09/29/2011	7.15	7.15	6.98	7.03	122529	4200285.500
09/30/2011	7.05	7.37	6.98	7.37	156797	5487471.000
10/10/2011	7.46	7.46	7.19	7.33	181439	6495621.500
10/11/2011	7.41	7.71	7.24	7.32	377109	13556060.000
10/12/2011	7.22	7.68	7.22	7.58	792764	28905932.000
10/13/2011	7.58	8.08	7.55	7.95	859163	32695242.000
10/14/2011	7.87	7.99	7.71	7.96	420896	16118317.000
10/17/2011	8.02	8.10	7.85	7.99	561893	21764156.000
10/18/2011	7.92	7.93	7.60	7.63	485636	18264294.000
10/19/2011	7.69	7.76	7.35	7.39	618300	22562554.000
10/20/2011	7.35	7.68	7.17	7.64	635730	23086870.000
10/21/2011	7.48	7.64	7.26	7.26	238318	8554652.000
10/24/2011	7.26	7.54	6.98	7.48	283576	10085225.000
10/25/2011	7.48	7.79	7.47	7.71	313075	11663436.000
10/26/2011	7.71	7.87	7.62	7.63	389691	14709303.000
10/27/2011	7.64	7.83	7.56	7.62	215757	8077385.000
10/28/2011	7.67	7.86	7.62	7.84	350290	13236456.000
10/31/2011	7.95	7.95	7.74	7.88	302500	11532876.000
11/01/2011	7.81	8.22	7.75	8.17	720138	28270592.000
11/02/2011	8.03	8.47	7.96	8.45	647093	26022610.000
11/03/2011	8.48	8.72	8.21	8.23	838244	34577400.000
11/04/2011	8.23	8.37	8.15	8.25	399220	15979530.000
11/07/2011	8.23	8.37	8.11	8.13	189640	7533851.500
11/08/2011	8.05	8.24	7.82	7.83	288637	11246155.000
11/10/2011	7.96	8.09	7.81	7.85	920940	35670976.000
11/11/2011	7.83	7.91	7.72	7.83	237688	9038339.000
11/14/2011	7.87	8.23	7.87	8.18	435786	17194098.000
11/15/2011	8.18	8.45	8.15	8.44	489335	19949158.000
11/16/2011	8.44	8.45	7.95	8.03	365186	14555155.000
11/17/2011	8.02	8.46	8.02	8.22	608319	24306994.000
11/18/2011	8.22	8.23	7.79	7.94	565813	21855692.000
11/21/2011	7.93	7.93	7.65	7.73	247846	9308181.000
11/22/2011	7.60	7.69	7.45	7.68	352924	12979680.000
11/23/2011	7.66	7.95	7.61	7.76	460112	17430570.000
11/24/2011	7.62	7.89	7.61	7.83	148357	5637275.500
11/25/2011	7.81	7.88	7.60	7.60	212203	7951219.500
11/28/2011	7.63	7.72	7.54	7.60	143876	5325262.000
11/29/2011	7.67	7.70	7.56	7.69	146954	5473620.000
11/30/2011	7.69	7.75	7.14	7.34	296598	10790373.000
12/01/2011	7.58	7.68	7.29	7.38	295046	10772058.000
12/02/2011	7.29	7.46	7.15	7.16	202701	7130758.000
12/05/2011	7.03	7.35	7.03	7.18	199723	7010596.000
12/06/2011	7.08	7.34	7.08	7.33	113647	3992824.750
12/07/2011	7.24	7.39	7.24	7.30	93149	3323368.750
12/08/2011	7.30	7.43	7.21	7.35	130390	4659040.500
12/09/2011	7.29	7.46	7.20	7.30	128315	4606859.000
12/12/2011	7.43	7.43	7.20	7.21	125637	4456117.000
12/13/2011	7.10	7.25	7.04	7.13	153327	5325884.500
12/14/2011	7.08	7.24	6.92	7.04	180299	6249210.500
12/15/2011	6.96	7.10	6.79	6.79	221508	7506728.500
12/16/2011	6.92	6.93	6.53	6.69	393214	12891408.000
12/19/2011	6.69	6.70	6.16	6.49	322358	10103422.000
12/20/2011	6.38	6.60	6.38	6.46	171690	5454110.000
12/21/2011	6.56	6.56	6.24	6.24	128700	4047731.500
