300213 佳讯飞鸿 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/05/2011	6.68	6.87	6.51	6.52	5558561	112251536.000
05/06/2011	6.31	6.39	6.26	6.27	2180337	41796752.000
05/09/2011	6.27	6.44	6.26	6.40	1317064	25437232.000
05/10/2011	6.39	6.44	6.34	6.43	777508	15111080.000
05/11/2011	6.42	6.46	6.38	6.38	752215	14702912.000
05/12/2011	6.36	6.45	6.34	6.35	636335	12362113.000
05/13/2011	6.35	6.58	6.35	6.50	938791	18406476.000
05/16/2011	6.51	6.62	6.50	6.50	914241	18255938.000
05/17/2011	6.47	6.60	6.42	6.55	680645	13502802.000
05/18/2011	6.51	6.57	6.47	6.47	557120	11011167.000
05/19/2011	6.50	6.51	6.37	6.38	608826	11909033.000
05/20/2011	6.35	6.39	6.28	6.30	409424	7874484.000
05/23/2011	6.29	6.29	6.09	6.09	743259	13976145.000
05/24/2011	6.10	6.24	6.02	6.18	492521	9179480.000
05/25/2011	6.13	6.17	6.01	6.02	454562	8397255.000
05/26/2011	6.06	6.07	5.91	5.93	428095	7776768.000
05/27/2011	5.92	5.95	5.85	5.85	338209	6066820.500
05/30/2011	5.84	5.93	5.77	5.79	273825	4888533.000
05/31/2011	5.81	5.89	5.73	5.88	284905	5045188.500
06/01/2011	5.87	5.94	5.83	5.92	343616	6155789.000
06/02/2011	5.85	5.86	5.75	5.81	280155	4941695.000
06/03/2011	5.84	5.88	5.80	5.87	190054	3386539.250
06/07/2011	5.87	5.88	5.81	5.85	274524	4886195.000
06/08/2011	5.86	5.86	5.78	5.84	210017	3719838.500
06/09/2011	5.84	5.86	5.74	5.75	162618	2866705.000
06/10/2011	5.74	5.78	5.66	5.74	232056	4043212.250
06/13/2011	5.75	5.77	5.67	5.76	162049	2826040.750
06/14/2011	5.76	5.80	5.72	5.79	152549	2685564.500
06/15/2011	5.76	5.81	5.74	5.75	157718	2771299.750
06/16/2011	5.75	5.75	5.63	5.68	141027	2439391.750
06/20/2011	5.58	5.63	5.54	5.55	178149	3018925.750
06/21/2011	5.58	5.59	5.54	5.58	140088	2378822.250
06/22/2011	5.58	5.60	5.52	5.58	113038	1915613.000
06/23/2011	5.56	5.73	5.53	5.70	239119	4130287.750
06/24/2011	5.67	5.86	5.67	5.81	313020	5508111.000
06/27/2011	5.84	5.93	5.80	5.85	328933	5879915.000
06/28/2011	5.83	5.87	5.81	5.85	161299	2865011.750
06/29/2011	5.87	5.87	5.75	5.75	194088	3441818.500
06/30/2011	5.75	5.84	5.74	5.78	203909	3593512.750
07/01/2011	5.81	5.93	5.81	5.87	276078	4940591.500
07/04/2011	5.89	5.96	5.88	5.96	338555	6114531.000
07/05/2011	5.97	5.97	5.92	5.95	289930	5245177.500
07/06/2011	5.96	6.06	5.93	6.04	453607	8289991.500
07/07/2011	6.02	6.29	6.02	6.21	1047220	19753426.000
07/08/2011	6.17	6.28	6.15	6.18	444764	8393838.000
07/11/2011	6.17	6.29	6.16	6.26	409407	7779884.500
07/12/2011	6.19	6.26	6.05	6.06	411139	7661021.000
07/13/2011	6.07	6.34	5.99	6.31	768817	14568924.000
07/14/2011	6.31	6.36	6.27	6.34	539857	10372727.000
07/15/2011	6.33	6.53	6.33	6.42	721807	14144452.000
07/18/2011	6.41	6.51	6.38	6.39	433559	8473928.000
07/19/2011	6.36	6.40	6.18	6.22	365175	6958343.000
07/20/2011	6.31	6.31	6.18	6.27	326924	6211158.500
07/21/2011	6.26	6.29	6.22	6.25	238690	4538039.000
07/22/2011	6.25	6.38	6.25	6.32	333178	6401710.000
07/26/2011	5.91	6.04	5.81	6.03	1051887	18979138.000
07/27/2011	5.99	6.30	5.88	6.28	833609	15475496.000
07/28/2011	6.21	6.35	6.15	6.18	647783	12227585.000
07/29/2011	6.15	6.23	5.95	6.00	657137	12112146.000
08/01/2011	5.96	6.15	5.85	6.08	460338	8433756.000
08/02/2011	6.06	6.21	5.94	6.18	488375	8995263.000
08/03/2011	6.13	6.34	6.08	6.22	669385	12733413.000
08/04/2011	6.22	6.31	6.18	6.18	340184	6446272.000
08/05/2011	6.03	6.33	5.98	6.25	1324740	25147652.000
08/08/2011	6.21	6.44	5.77	5.83	1798282	33387586.000
08/09/2011	5.63	5.82	5.59	5.77	1002911	17448452.000
08/10/2011	5.81	5.93	5.80	5.86	1004761	17965138.000
08/11/2011	5.74	6.24	5.68	6.16	1522883	27507408.000
08/12/2011	6.08	6.26	6.03	6.20	1872724	34904820.000
08/15/2011	6.21	6.27	6.17	6.22	1057642	20006950.000
08/16/2011	6.24	6.38	6.20	6.30	1641928	31466510.000
08/17/2011	6.36	6.38	6.24	6.29	1450159	27749210.000
08/18/2011	6.23	6.24	5.92	5.94	1812613	33390758.000
08/19/2011	5.76	6.06	5.76	6.04	1198297	21695570.000
08/22/2011	5.97	6.17	5.97	6.10	749191	13902361.000
08/23/2011	6.10	6.43	6.04	6.39	1757207	33499090.000
08/24/2011	6.49	6.50	6.32	6.32	1353085	26366990.000
08/25/2011	6.32	6.56	6.29	6.56	1514575	29607476.000
08/26/2011	6.51	6.86	6.49	6.68	2126481	43454996.000
08/29/2011	6.68	6.91	6.65	6.77	1636139	33728100.000
08/30/2011	6.81	6.86	6.56	6.56	1186368	24126376.000
08/31/2011	6.53	6.60	6.44	6.55	767752	15184688.000
09/02/2011	6.46	6.48	6.29	6.36	1309558	25297776.000
09/05/2011	6.26	6.40	6.26	6.36	811186	15613936.000
09/06/2011	6.32	6.32	6.08	6.17	868728	16331246.000
09/07/2011	6.20	6.36	6.19	6.35	600155	11455194.000
09/08/2011	6.35	6.36	6.15	6.18	643049	12268810.000
09/09/2011	6.24	6.24	5.98	6.03	577299	10732534.000
09/13/2011	5.97	5.98	5.86	5.92	426218	7678893.500
09/14/2011	5.94	6.01	5.81	6.00	486118	8742989.000
09/15/2011	5.99	6.04	5.93	5.93	534980	9733058.000
09/16/2011	5.98	6.03	5.92	5.92	230700	4180928.250
09/19/2011	5.85	5.88	5.75	5.78	344441	6106480.000
09/20/2011	5.83	5.86	5.75	5.83	276276	4894071.500
09/21/2011	5.80	6.03	5.80	5.99	438910	7943185.000
09/22/2011	5.95	5.98	5.74	5.75	388801	6942787.500
09/23/2011	5.73	5.75	5.67	5.73	298241	5179085.000
09/26/2011	5.70	5.80	5.70	5.77	273700	4785844.000
09/27/2011	5.79	5.84	5.75	5.80	164070	2893628.500
09/28/2011	5.72	5.84	5.69	5.70	275527	4834687.000
09/29/2011	5.70	5.70	5.53	5.55	341860	5829322.500
09/30/2011	5.58	5.60	5.48	5.49	225596	3790666.250
10/10/2011	5.50	5.54	5.45	5.50	81207	1358509.000
10/11/2011	5.61	5.67	5.45	5.51	197978	3358073.500
10/12/2011	5.47	5.71	5.43	5.68	277194	4752053.000
10/13/2011	5.66	5.77	5.66	5.72	277248	4835038.500
10/14/2011	5.72	5.88	5.70	5.74	268417	4703857.000
10/17/2011	5.78	5.85	5.73	5.81	349849	6168572.500
10/18/2011	5.73	5.83	5.58	5.59	346219	6024065.500
10/19/2011	5.64	5.69	5.56	5.65	196566	3373574.250
10/20/2011	5.59	5.67	5.44	5.51	181730	3060609.500
10/21/2011	5.55	5.55	5.44	5.46	141250	2356064.000
10/24/2011	5.48	5.53	5.35	5.53	200540	3335780.000
10/25/2011	5.41	5.68	5.41	5.66	325450	5523311.000
10/26/2011	5.63	5.83	5.60	5.71	470400	8208546.500
10/27/2011	5.75	5.79	5.71	5.72	308155	5393829.500
10/28/2011	5.80	5.83	5.74	5.81	293704	5173933.500
10/31/2011	5.81	5.89	5.75	5.87	475222	8453365.000
11/01/2011	5.84	5.88	5.78	5.80	448200	7945904.500
11/02/2011	5.73	6.18	5.71	6.09	1222201	22199744.000
11/03/2011	6.15	6.18	6.00	6.00	1136074	21132400.000
11/04/2011	6.00	6.10	5.95	6.04	530691	9739035.000
11/07/2011	6.08	6.09	6.01	6.01	264209	4859249.500
11/08/2011	6.01	6.05	5.90	5.90	486181	8802865.000
11/09/2011	5.92	6.06	5.88	6.05	302270	5491593.500
11/10/2011	6.00	6.19	5.95	6.07	770615	14315064.000
11/11/2011	6.07	6.16	6.03	6.05	430267	7997707.500
11/14/2011	6.07	6.28	6.07	6.23	751854	14189930.000
11/16/2011	6.24	6.26	6.03	6.04	544613	10155425.000
11/17/2011	6.05	6.20	6.04	6.14	543277	10146819.000
11/18/2011	6.11	6.20	6.03	6.04	757571	14151277.000
11/21/2011	6.04	6.05	5.86	5.94	401683	7238873.000
