300214 日科化学 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/11/2011	7.14	7.20	6.84	6.87	7525909	158501856.000
05/12/2011	6.74	7.07	6.74	6.90	3821826	80605232.000
05/13/2011	6.95	7.06	6.86	7.05	2922720	62122692.000
05/16/2011	7.05	7.25	6.97	7.13	3327549	72307728.000
05/17/2011	7.04	7.13	6.90	7.01	2168192	46261624.000
05/18/2011	6.99	7.06	6.88	6.95	1428842	30172042.000
05/19/2011	6.97	7.07	6.92	6.93	880659	18691036.000
05/20/2011	6.93	6.94	6.83	6.93	1395024	29186890.000
05/23/2011	6.90	7.05	6.86	6.90	1572709	33256842.000
05/24/2011	6.87	6.92	6.61	6.81	1659549	34079696.000
05/25/2011	6.82	6.86	6.37	6.45	1666699	33623072.000
05/26/2011	6.46	6.54	6.42	6.44	959878	18933990.000
05/27/2011	6.40	6.45	6.27	6.35	678431	13127110.000
05/30/2011	6.30	6.45	6.30	6.36	387884	7555091.000
05/31/2011	6.41	6.43	6.29	6.39	398555	7720408.500
06/01/2011	6.37	6.46	6.35	6.43	426067	8313390.000
06/02/2011	6.37	6.37	6.20	6.33	586203	11243588.000
06/03/2011	6.29	6.42	6.25	6.40	376960	7299840.000
06/07/2011	6.39	6.42	6.27	6.32	306452	5926691.500
06/08/2011	6.34	6.46	6.29	6.46	610273	11882704.000
06/09/2011	6.46	6.62	6.33	6.33	686072	13545084.000
06/10/2011	6.36	6.48	6.32	6.48	498406	9725997.000
06/13/2011	6.45	6.54	6.38	6.50	299858	5918009.000
06/14/2011	6.47	6.54	6.44	6.50	248070	4914571.000
06/15/2011	6.47	6.52	6.38	6.42	405300	7982485.000
06/16/2011	6.42	6.42	6.30	6.33	243390	4706019.500
06/17/2011	6.37	6.39	6.26	6.29	164800	3174106.750
06/20/2011	6.29	6.44	6.24	6.37	327963	6336461.500
06/21/2011	6.34	6.61	6.33	6.52	619101	12270764.000
06/22/2011	6.52	6.61	6.49	6.54	637938	12735385.000
06/23/2011	6.54	6.81	6.50	6.72	1006630	20542548.000
06/24/2011	6.70	6.83	6.70	6.75	1330177	27373790.000
06/27/2011	6.72	7.01	6.70	6.95	1594577	33556380.000
06/28/2011	7.05	7.23	6.95	7.14	2557962	55156564.000
06/29/2011	7.10	7.15	6.98	7.05	760874	16363048.000
07/01/2011	7.09	7.27	7.07	7.24	2386387	52307812.000
07/04/2011	7.26	7.29	7.20	7.26	2399152	52910264.000
07/05/2011	7.23	7.42	7.20	7.40	3174071	70559088.000
07/06/2011	7.37	7.43	7.21	7.31	1940159	43234696.000
07/07/2011	7.30	7.63	7.30	7.41	2625573	59838920.000
07/08/2011	7.43	7.51	7.37	7.49	1241732	28150342.000
07/11/2011	7.49	7.61	7.40	7.49	1216470	27857406.000
07/12/2011	7.47	7.47	7.29	7.31	928633	20751352.000
07/13/2011	7.30	7.57	7.25	7.51	1207152	27378222.000
07/14/2011	7.52	7.63	7.45	7.63	1528112	35095040.000
07/15/2011	7.62	7.83	7.33	7.34	2674907	60968548.000
07/18/2011	7.38	7.45	7.27	7.33	1275474	28412120.000
07/19/2011	7.23	7.43	7.16	7.39	883927	19724962.000
07/20/2011	7.39	7.42	7.26	7.33	636275	14166510.000
07/21/2011	7.33	7.39	7.28	7.29	593360	13208805.000
07/22/2011	7.29	7.49	7.28	7.36	804419	18073634.000
07/25/2011	7.33	7.37	7.05	7.17	1195390	26071828.000
07/26/2011	7.10	7.23	7.05	7.16	527618	11458086.000
07/27/2011	7.12	7.49	7.11	7.40	1396821	31319886.000
07/28/2011	7.33	7.57	7.30	7.57	1522227	34625360.000
07/29/2011	7.58	7.66	7.45	7.47	849847	19431322.000
08/01/2011	7.40	7.72	7.40	7.65	1263527	29327124.000
08/02/2011	7.63	7.64	7.28	7.42	1084238	24405308.000
08/03/2011	7.38	7.45	7.30	7.34	756638	16969950.000
08/04/2011	7.41	7.59	7.33	7.54	1194464	27167324.000
08/05/2011	7.27	7.46	7.25	7.31	962740	21525690.000
08/08/2011	7.18	7.28	6.83	7.23	984294	21188386.000
08/09/2011	6.97	7.19	6.87	7.05	554513	11854860.000
08/10/2011	7.17	7.27	7.10	7.20	709204	15545761.000
08/11/2011	7.10	7.17	6.87	7.11	3575783	76235240.000
08/12/2011	7.11	7.28	7.09	7.10	1373588	30023252.000
08/15/2011	7.20	7.68	7.18	7.61	3214965	72599760.000
08/16/2011	7.61	7.79	7.51	7.78	2969677	69003224.000
08/17/2011	7.77	7.93	7.70	7.81	2861122	68089048.000
08/18/2011	7.72	8.03	7.64	7.77	3359387	80221400.000
08/19/2011	7.58	7.75	7.50	7.72	1822526	42214384.000
08/22/2011	7.56	7.70	7.41	7.60	2360355	54123156.000
08/23/2011	7.59	8.12	7.54	8.06	3686231	87982040.000
08/24/2011	8.06	8.18	7.79	7.84	2622934	63813268.000
08/25/2011	7.88	7.95	7.62	7.80	1907113	44991188.000
08/26/2011	7.77	8.03	7.73	8.03	1996290	47889732.000
08/29/2011	8.00	8.43	7.90	8.26	4252371	106109096.000
08/30/2011	8.22	8.30	7.99	8.16	2527257	62320012.000
08/31/2011	8.07	8.15	7.76	8.03	1681209	40702436.000
09/01/2011	8.01	8.19	7.91	7.98	905755	22162734.000
09/02/2011	7.98	7.99	7.74	7.77	1258546	29882046.000
09/05/2011	7.68	7.79	7.62	7.71	847331	19815232.000
09/06/2011	7.60	7.77	7.60	7.71	950384	22223120.000
09/07/2011	7.73	7.96	7.63	7.92	853377	20189138.000
09/08/2011	7.93	7.98	7.84	7.87	651961	15652571.000
09/09/2011	7.77	7.88	7.60	7.73	607973	14256510.000
09/13/2011	7.62	7.62	7.45	7.51	406405	9296807.000
09/14/2011	7.50	7.69	7.45	7.67	377194	8644882.000
09/15/2011	7.62	7.77	7.60	7.60	508292	11899001.000
09/16/2011	7.63	7.75	7.54	7.55	347278	8105773.000
09/19/2011	7.53	7.53	7.34	7.36	330101	7434615.500
09/20/2011	7.40	7.46	7.34	7.39	180707	4065223.250
09/21/2011	7.43	7.60	7.34	7.58	439181	10052640.000
09/22/2011	7.51	7.56	7.24	7.24	609125	13666602.000
09/23/2011	7.18	7.30	7.08	7.30	554962	12090284.000
09/26/2011	7.18	7.32	7.18	7.23	270021	5950963.500
09/27/2011	7.33	7.40	7.24	7.32	457439	10227140.000
09/28/2011	7.32	7.37	7.05	7.31	461957	10098331.000
09/29/2011	7.17	7.57	7.11	7.33	601916	13304343.000
09/30/2011	7.28	7.43	7.23	7.40	285124	6378994.500
