300215 电科院 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/11/2011	4.71	4.81	4.59	4.78	6842098	545827520.000
05/12/2011	4.71	4.83	4.63	4.71	2963277	237335984.000
05/13/2011	4.77	4.94	4.68	4.76	2394605	195017616.000
05/16/2011	4.79	4.81	4.43	4.44	2347055	182922816.000
05/17/2011	4.44	4.59	4.42	4.48	1346941	103489968.000
05/18/2011	4.43	4.46	4.27	4.35	1151953	85041800.000
05/19/2011	4.37	4.45	4.33	4.37	778967	58172888.000
05/20/2011	4.36	4.43	4.34	4.36	562963	41989688.000
05/23/2011	4.34	4.49	4.28	4.42	892164	67176768.000
05/24/2011	4.40	4.49	4.27	4.45	761394	56906408.000
05/25/2011	4.41	4.44	4.28	4.32	632474	46922348.000
05/26/2011	4.31	4.36	4.28	4.31	508837	37408044.000
05/27/2011	4.31	4.36	4.24	4.33	419708	30862448.000
05/30/2011	4.29	4.43	4.29	4.32	324239	24134610.000
05/31/2011	4.29	4.37	4.29	4.35	247894	18305506.000
06/01/2011	4.36	4.37	4.30	4.33	302829	22381724.000
06/02/2011	4.29	4.42	4.25	4.39	620628	45877664.000
06/03/2011	4.39	4.45	4.37	4.41	355395	26705074.000
06/07/2011	4.40	4.43	4.36	4.40	180235	13483559.000
06/08/2011	4.37	4.38	4.30	4.37	318319	23537232.000
06/09/2011	4.37	4.52	4.34	4.44	518740	39262632.000
06/10/2011	4.41	4.86	4.41	4.74	1071109	85819760.000
06/13/2011	4.71	4.81	4.68	4.78	557219	44796048.000
06/14/2011	4.78	4.88	4.76	4.83	486051	39600336.000
06/15/2011	4.81	4.81	4.61	4.64	470725	37741548.000
06/16/2011	4.62	4.68	4.56	4.63	365364	28597706.000
06/17/2011	4.62	4.64	4.39	4.40	416076	31932750.000
06/20/2011	4.40	4.46	4.36	4.40	130749	9829165.000
06/21/2011	4.43	4.45	4.28	4.35	368756	27282484.000
06/22/2011	4.34	4.38	4.31	4.36	165396	12263256.000
