300216 千山药机 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/11/2011	11.85	13.14	11.71	12.71	11666498	381584192.000
05/12/2011	13.17	13.58	12.98	13.34	6279901	221115440.000
05/13/2011	13.52	13.67	13.08	13.39	3353102	118862656.000
05/16/2011	12.90	13.03	12.63	12.78	3093839	105342824.000
05/17/2011	12.85	14.09	12.77	14.09	3326720	119224496.000
05/18/2011	13.82	13.85	12.98	13.15	2673256	94883832.000
05/19/2011	13.05	13.28	12.65	13.21	1561266	54109644.000
05/20/2011	13.21	13.30	12.44	12.48	1746271	59368412.000
05/23/2011	12.05	12.62	12.05	12.48	1646629	54049728.000
05/24/2011	12.39	12.89	12.08	12.66	1721616	57678280.000
05/25/2011	12.45	12.64	12.28	12.32	923675	30496696.000
05/26/2011	12.45	12.52	11.85	12.18	1066995	34529216.000
05/27/2011	12.27	12.27	11.75	11.94	452227	14421066.000
05/30/2011	12.02	12.12	11.71	11.90	504419	15976519.000
05/31/2011	11.87	12.42	11.84	12.13	560052	17970960.000
06/01/2011	12.13	12.35	11.93	12.27	696347	22693444.000
06/02/2011	12.08	12.20	11.46	11.63	1393235	43622192.000
06/03/2011	11.55	12.34	11.48	12.00	1016554	32527366.000
06/07/2011	12.11	12.20	11.86	12.01	586954	18784312.000
06/08/2011	11.86	12.05	11.75	12.02	287063	9107540.000
06/09/2011	12.00	12.03	11.71	11.87	286655	9056606.000
06/10/2011	11.75	12.24	11.67	12.19	883113	28271736.000
06/13/2011	12.02	12.16	11.87	12.09	339102	10885849.000
06/14/2011	12.06	12.31	12.05	12.15	398852	12963248.000
06/15/2011	12.12	12.37	11.96	12.07	286389	9287047.000
06/16/2011	11.82	12.05	11.44	11.55	371750	11542956.000
06/17/2011	11.27	11.86	11.27	11.52	187699	5742631.500
06/20/2011	11.28	11.54	11.28	11.36	143176	4338700.500
06/21/2011	11.29	11.55	11.25	11.39	185820	5636936.000
06/22/2011	11.38	11.71	11.32	11.47	96685	2953038.750
06/23/2011	11.36	12.08	11.36	11.98	560029	17656984.000
06/24/2011	11.86	12.16	11.72	12.06	842178	26791246.000
06/28/2011	12.25	12.47	12.08	12.30	943239	30772626.000
06/29/2011	12.39	12.78	12.39	12.49	813759	27239118.000
06/30/2011	12.53	12.77	12.31	12.36	443735	14678215.000
07/01/2011	12.40	12.82	12.33	12.52	451915	15178918.000
07/04/2011	12.57	13.09	12.54	12.97	545801	18717370.000
07/05/2011	12.98	12.98	12.80	12.90	379812	13018375.000
07/06/2011	12.90	13.44	12.77	13.27	485409	16810922.000
07/07/2011	13.27	13.90	13.17	13.63	747789	27012912.000
07/08/2011	13.62	13.75	13.32	13.45	1553817	55355344.000
07/11/2011	13.31	13.67	13.19	13.48	385790	13775842.000
07/12/2011	13.37	13.55	13.15	13.17	441303	15630792.000
07/13/2011	13.36	13.47	13.18	13.42	380584	13500800.000
07/14/2011	13.42	13.54	13.09	13.32	805185	28308424.000
07/15/2011	13.27	14.05	13.23	13.51	752333	27223538.000
07/18/2011	13.42	14.03	13.40	13.88	755234	27660602.000
07/19/2011	13.86	13.93	13.48	13.57	283737	10252235.000
07/20/2011	13.57	13.74	13.28	13.46	220636	7896680.000
07/21/2011	13.38	13.78	13.38	13.67	681835	24748688.000
07/22/2011	13.67	13.78	13.46	13.71	363460	13167270.000
07/25/2011	13.52	13.71	13.18	13.25	417049	14809845.000
07/26/2011	13.23	13.45	12.83	13.30	463410	16077222.000
07/27/2011	13.23	14.50	12.98	14.17	916988	33992616.000
07/28/2011	13.96	14.65	13.86	14.25	858631	32693948.000
07/29/2011	14.09	14.09	13.50	13.54	1566873	57126264.000
08/01/2011	13.55	14.46	13.48	14.45	931489	34628656.000
08/02/2011	14.32	14.42	14.02	14.32	628012	23634430.000
08/03/2011	14.20	15.05	14.11	14.62	760367	29746122.000
08/04/2011	14.72	14.84	14.42	14.72	478098	18545162.000
08/05/2011	14.13	15.54	14.05	15.15	885242	35207484.000
08/08/2011	15.01	15.47	14.34	14.74	1062389	41741004.000
08/09/2011	14.32	15.26	14.13	15.17	562897	21991976.000
08/10/2011	15.36	15.69	14.93	14.93	1128824	45590628.000
