300217 东方电热 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/18/2011	6.42	6.96	6.32	6.72	15228899	455148576.000
05/19/2011	6.47	6.53	6.06	6.20	8288418	236033792.000
05/20/2011	6.07	6.29	6.00	6.28	5538439	154050064.000
05/23/2011	6.24	6.37	6.12	6.13	3013868	84836408.000
05/24/2011	6.08	6.39	6.04	6.28	3648882	103226096.000
05/25/2011	6.24	6.28	6.08	6.17	1980907	55255296.000
05/26/2011	6.23	6.24	5.72	5.72	3546198	94775456.000
05/27/2011	5.70	5.74	5.58	5.59	1369215	35083464.000
05/30/2011	5.51	5.66	5.43	5.51	1158157	29141884.000
05/31/2011	5.52	5.71	5.51	5.66	846851	21505784.000
06/01/2011	5.66	5.83	5.61	5.69	1120334	29025170.000
06/02/2011	5.60	5.60	5.45	5.58	1069901	26810346.000
06/03/2011	5.55	5.68	5.52	5.63	1041250	26513144.000
06/07/2011	5.60	5.64	5.52	5.59	904153	22862960.000
06/08/2011	5.56	5.60	5.41	5.48	868287	21575046.000
06/09/2011	5.48	5.48	5.34	5.35	918249	22530040.000
06/10/2011	5.35	5.45	5.31	5.45	647273	15801420.000
06/13/2011	5.42	5.53	5.34	5.51	550422	13650025.000
06/14/2011	5.51	5.61	5.47	5.56	725640	18302836.000
06/15/2011	5.50	5.58	5.44	5.46	530796	13241474.000
06/16/2011	5.42	5.42	5.23	5.29	768911	18534028.000
06/17/2011	5.33	5.33	5.24	5.24	364386	8725430.000
06/20/2011	5.25	5.31	5.18	5.28	474299	11317191.000
06/21/2011	5.27	5.40	5.26	5.36	617615	14972476.000
06/22/2011	5.40	5.49	5.36	5.45	1085907	26765290.000
06/23/2011	5.44	5.73	5.39	5.67	1354911	34436472.000
06/24/2011	5.67	5.95	5.63	5.82	1676643	44297468.000
06/27/2011	5.89	6.25	5.89	6.10	1807108	50030200.000
06/28/2011	6.09	6.19	6.02	6.09	818135	22555108.000
06/29/2011	6.08	6.29	6.08	6.10	1530034	42903788.000
06/30/2011	6.11	6.57	6.06	6.42	1610379	46432880.000
07/01/2011	6.42	6.58	6.35	6.40	942358	27433474.000
07/04/2011	6.43	6.55	6.39	6.50	951051	27742092.000
07/05/2011	6.51	6.55	6.33	6.49	997790	28903402.000
07/06/2011	6.49	6.78	6.33	6.73	1612670	47983476.000
07/07/2011	6.70	7.15	6.67	6.89	1834412	57574372.000
07/08/2011	6.89	7.01	6.78	6.88	706882	21988698.000
07/11/2011	6.88	7.06	6.81	6.93	507373	15911382.000
07/12/2011	6.86	7.26	6.70	7.20	1798556	56572272.000
07/13/2011	7.10	7.76	7.08	7.60	1803256	60643796.000
07/14/2011	7.69	7.69	7.34	7.53	1837439	62175564.000
07/15/2011	7.39	7.90	7.34	7.50	2118078	72803184.000
07/18/2011	7.49	8.13	7.41	7.95	1851572	64930836.000
07/19/2011	7.94	8.03	7.74	7.97	1366790	48610744.000
07/20/2011	7.97	8.12	7.81	7.93	742232	26609956.000
07/21/2011	7.90	8.01	7.74	7.88	580005	20550766.000
07/22/2011	7.85	8.22	7.81	8.03	763151	27571624.000
07/25/2011	8.01	8.06	7.58	7.60	1492030	52135732.000
07/26/2011	7.56	7.65	7.36	7.61	1002583	33888016.000
07/27/2011	7.61	8.00	7.47	7.97	2142124	74510336.000
07/28/2011	7.88	8.77	7.80	8.58	2081664	78875424.000
07/29/2011	8.58	8.84	8.48	8.71	924736	35833372.000
08/01/2011	8.72	9.16	8.53	8.92	1015396	40559188.000
08/02/2011	8.78	9.30	8.73	9.30	1360012	55040072.000
08/03/2011	9.17	9.41	9.13	9.16	726254	30173182.000
08/04/2011	9.23	9.23	8.88	8.88	924841	37279816.000
08/05/2011	8.64	9.48	8.28	9.27	1399653	56033976.000
08/08/2011	9.12	9.48	8.69	8.88	1441110	58234548.000
08/09/2011	8.51	9.14	8.40	9.11	1099119	43803160.000
08/10/2011	9.18	9.76	9.11	9.60	1022377	43574828.000
08/11/2011	9.38	9.73	9.31	9.52	730360	31058536.000
08/12/2011	9.38	9.79	9.35	9.38	905407	38800260.000
08/15/2011	9.31	9.60	9.15	9.43	711356	29896920.000
08/16/2011	9.45	9.72	9.26	9.69	901166	38455796.000
08/17/2011	9.68	10.05	9.67	9.77	959902	42453996.000
08/18/2011	9.76	9.76	9.30	9.53	2110652	90024136.000
08/19/2011	9.37	9.59	9.24	9.45	1035262	43577584.000
08/22/2011	9.44	9.75	9.30	9.33	1020970	43567908.000
08/23/2011	9.26	9.60	9.26	9.58	995388	42200836.000
08/24/2011	9.65	9.82	9.39	9.49	1349778	57642244.000
08/25/2011	9.48	9.51	8.83	9.10	1764689	72153984.000
08/26/2011	9.08	9.25	8.99	9.15	592411	24263148.000
08/29/2011	9.08	9.52	9.08	9.35	1049575	44099936.000
08/30/2011	9.35	9.43	8.93	8.93	696525	28589566.000
08/31/2011	8.96	9.01	8.60	8.65	1132310	44249068.000
09/01/2011	8.74	8.89	8.56	8.65	687846	26937714.000
09/02/2011	8.68	8.69	8.41	8.61	545951	20903378.000
09/05/2011	8.43	8.61	8.43	8.49	386651	14761265.000
09/06/2011	8.50	8.63	8.43	8.53	940673	35948700.000
09/07/2011	8.67	8.69	8.21	8.58	1432587	53951708.000
09/08/2011	8.51	8.66	8.25	8.25	1191502	45395440.000
09/09/2011	8.27	8.53	8.21	8.40	927690	34919908.000
09/13/2011	8.25	8.34	8.12	8.32	415639	15385048.000
09/14/2011	8.35	8.42	8.20	8.40	455065	17000440.000
