300218 安利股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/18/2011	9.19	9.39	8.85	9.13	14451235	268683552.000
05/19/2011	9.20	9.47	9.02	9.23	8470367	159893648.000
05/20/2011	9.10	9.15	8.75	8.89	5166195	94241776.000
05/23/2011	8.81	8.89	8.61	8.76	4028713	71854416.000
05/24/2011	8.76	9.14	8.69	8.99	5573842	101618680.000
05/25/2011	8.90	8.93	8.35	8.40	4850179	85594464.000
05/26/2011	8.44	8.49	8.14	8.15	2514207	42792284.000
05/27/2011	8.17	8.38	8.12	8.16	1988198	33577588.000
05/30/2011	8.14	8.33	7.99	8.02	1709220	28615354.000
05/31/2011	8.03	8.21	7.97	8.17	1230617	20418666.000
06/01/2011	8.17	8.32	8.14	8.31	1807036	30512696.000
06/02/2011	8.07	8.26	8.06	8.22	1257449	21046766.000
06/03/2011	8.23	8.42	8.22	8.32	1346496	23029828.000
06/07/2011	8.28	8.35	8.18	8.22	974988	16485483.000
06/08/2011	8.22	8.23	7.98	8.15	1201883	19916884.000
06/09/2011	8.12	8.15	7.95	7.95	1121282	18488506.000
06/10/2011	7.94	8.02	7.84	7.97	814022	13268996.000
06/13/2011	7.84	7.98	7.79	7.95	665680	10778750.000
06/14/2011	7.96	8.05	7.90	8.00	868067	14221696.000
06/15/2011	7.98	8.02	7.87	7.88	687736	11228586.000
06/16/2011	7.88	7.91	7.79	7.87	767231	12361771.000
06/17/2011	7.86	7.92	7.79	7.84	559231	9014102.000
06/20/2011	7.79	7.92	7.79	7.92	719581	11626324.000
06/21/2011	7.87	8.00	7.87	7.98	1054849	17228172.000
06/22/2011	7.98	8.01	7.85	7.91	545700	8877805.000
06/23/2011	7.86	8.12	7.84	8.10	1870746	30870196.000
06/24/2011	8.07	8.33	8.04	8.32	2308741	38798740.000
06/27/2011	8.30	8.43	8.23	8.29	1957254	33419104.000
06/28/2011	8.28	8.30	8.18	8.27	1161520	19625102.000
06/30/2011	8.19	8.33	8.16	8.25	956441	16203023.000
07/01/2011	8.31	8.40	8.24	8.29	1022659	17430504.000
07/04/2011	8.39	8.47	8.30	8.44	1380411	23776970.000
07/05/2011	8.40	8.46	8.35	8.43	1229971	21167620.000
07/06/2011	8.42	8.63	8.35	8.58	1937221	33915360.000
07/07/2011	8.55	9.12	8.55	8.78	3453203	62522524.000
07/08/2011	8.79	8.94	8.60	8.79	1408141	25177436.000
07/11/2011	8.79	8.92	8.73	8.91	1188722	21553018.000
07/12/2011	8.79	8.84	8.66	8.69	1540517	27602958.000
07/13/2011	8.72	9.13	8.69	9.09	1984061	36386960.000
07/14/2011	9.12	9.22	9.01	9.22	1669214	31176442.000
07/15/2011	9.17	9.38	9.13	9.15	2602195	49180200.000
