300219 鸿利光电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/18/2011	10.39	10.78	9.00	9.05	19403237	383189408.000
05/19/2011	9.14	9.24	8.69	8.83	9470816	171737920.000
05/20/2011	8.62	8.64	8.41	8.44	6539619	112953976.000
05/23/2011	8.47	8.61	8.36	8.44	5265621	90348272.000
05/24/2011	8.49	8.99	8.49	8.83	9124456	161459120.000
05/25/2011	8.69	8.69	8.34	8.38	5070723	87392992.000
05/26/2011	8.47	8.54	8.04	8.04	3929486	65683820.000
05/27/2011	8.02	8.31	7.95	8.12	3103393	51290784.000
05/30/2011	8.09	8.34	8.00	8.07	2479952	41325272.000
05/31/2011	8.04	8.37	8.04	8.37	2656464	44366224.000
06/01/2011	8.32	8.50	8.29	8.38	2681129	45606280.000
06/02/2011	8.29	8.29	7.99	8.18	2447863	40462488.000
06/03/2011	8.12	8.34	8.12	8.25	1601408	26776396.000
06/07/2011	8.19	8.25	8.06	8.13	1910219	31511550.000
06/08/2011	8.12	8.14	7.91	8.05	2227633	36141264.000
06/09/2011	8.02	8.09	7.94	7.95	1556890	25265794.000
06/10/2011	7.97	7.98	7.77	7.90	1514363	24170420.000
06/13/2011	7.80	8.03	7.76	7.99	1309655	21032610.000
06/14/2011	7.95	8.05	7.92	8.02	1425112	23149930.000
06/15/2011	8.01	8.17	7.95	7.96	1569732	25645274.000
06/17/2011	7.84	7.88	7.69	7.69	1271357	20108828.000
06/20/2011	7.69	7.75	7.59	7.69	842405	13076725.000
06/21/2011	7.74	7.83	7.70	7.81	992787	15658166.000
06/22/2011	7.81	7.82	7.55	7.58	1192861	18516864.000
06/23/2011	7.56	7.89	7.54	7.84	2121692	33508628.000
06/24/2011	7.80	8.03	7.79	8.03	2058731	33199594.000
06/27/2011	8.07	8.26	8.03	8.08	2398705	39448760.000
06/28/2011	8.05	8.13	7.99	8.09	1171010	19126924.000
06/29/2011	8.11	8.22	7.99	7.99	1551435	25475902.000
06/30/2011	7.98	8.09	7.97	8.04	1033107	16857404.000
07/01/2011	8.07	8.23	8.04	8.10	1477110	24401152.000
07/04/2011	8.15	8.37	8.10	8.31	1996789	33419854.000
07/05/2011	8.35	8.37	8.22	8.28	1530726	25609746.000
07/06/2011	8.28	8.55	8.24	8.55	2571821	43859120.000
07/07/2011	8.54	9.08	8.49	8.77	5280925	94260200.000
07/08/2011	8.74	8.97	8.65	8.89	3009504	53725056.000
07/11/2011	8.84	9.08	8.81	9.02	2518685	45689668.000
07/12/2011	8.91	8.94	8.70	8.72	2687810	47998796.000
07/13/2011	8.74	9.28	8.70	9.14	3357548	61215492.000
07/14/2011	9.17	9.28	9.04	9.21	2315750	42932016.000
