300220 金运激光 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/25/2011	9.41	10.39	9.38	9.82	6510639	230657024.000
05/26/2011	9.18	9.63	8.84	8.84	3668052	122121504.000
05/27/2011	8.58	9.60	8.58	9.05	2773279	91751280.000
05/30/2011	8.80	9.38	8.60	8.84	1726885	55996940.000
05/31/2011	8.74	9.05	8.68	8.99	1242415	39933696.000
06/01/2011	8.94	9.34	8.93	9.13	1149123	37989664.000
06/02/2011	8.87	8.96	8.59	8.71	1225703	38693968.000
06/03/2011	8.73	8.81	8.53	8.73	1064514	33340562.000
06/07/2011	8.64	8.75	8.58	8.66	640044	20049028.000
06/08/2011	8.59	8.67	8.16	8.34	1244697	37561720.000
06/09/2011	8.30	8.47	8.13	8.26	711711	21238636.000
06/10/2011	8.14	8.29	8.07	8.22	720945	21356886.000
06/13/2011	8.18	8.20	7.99	8.13	440751	12913166.000
06/14/2011	8.07	8.38	8.07	8.16	650480	19404822.000
06/15/2011	8.18	8.34	8.03	8.03	513817	15232176.000
06/16/2011	7.92	8.02	7.81	7.81	653975	18658640.000
06/17/2011	7.79	7.89	7.57	7.64	583805	16351971.000
06/20/2011	7.58	7.68	7.35	7.39	680120	18287626.000
06/21/2011	7.34	7.54	7.34	7.51	478923	12898294.000
06/22/2011	7.50	7.50	7.18	7.24	613583	16293531.000
06/23/2011	7.20	7.64	7.13	7.63	858996	23174070.000
06/24/2011	7.57	7.98	7.47	7.92	1006385	28252068.000
06/27/2011	7.92	8.04	7.88	7.94	732111	21089996.000
06/28/2011	7.92	7.97	7.80	7.94	369869	10540969.000
06/29/2011	7.93	8.09	7.82	7.84	562237	16177611.000
06/30/2011	7.86	7.98	7.74	7.91	403515	11526275.000
07/01/2011	7.90	8.29	7.90	8.15	794386	23320522.000
07/04/2011	8.16	8.38	8.16	8.34	572686	17153034.000
07/05/2011	8.35	8.38	8.19	8.27	439951	13211888.000
07/06/2011	8.23	8.68	8.23	8.56	704776	21695748.000
07/07/2011	8.55	9.34	8.55	8.94	1260644	40660692.000
07/08/2011	8.89	9.04	8.77	8.86	620343	19928404.000
07/11/2011	8.85	9.12	8.75	9.09	564210	18373328.000
07/12/2011	8.91	9.02	8.74	8.77	658428	21076880.000
07/13/2011	8.83	9.48	8.64	9.43	841807	27787744.000
07/14/2011	9.37	9.58	9.27	9.48	752240	25681782.000
07/15/2011	9.49	10.43	9.41	9.96	1639859	60358436.000
07/18/2011	9.92	9.98	9.66	9.85	803387	28475906.000
07/19/2011	9.86	9.91	9.42	9.55	855235	29696602.000
07/20/2011	9.59	9.68	9.35	9.56	507354	17469178.000
07/21/2011	9.59	10.00	9.38	9.81	792637	27931112.000
07/22/2011	9.81	10.09	9.63	9.63	715464	25378684.000
07/25/2011	9.73	9.73	8.85	8.95	917621	30552526.000
07/26/2011	9.04	9.18	8.79	9.13	400591	13066487.000
07/27/2011	9.12	9.63	9.00	9.61	986784	33794364.000
07/28/2011	9.41	9.84	9.35	9.66	918507	32039174.000
07/29/2011	9.18	9.27	8.84	8.85	1734767	56914072.000
08/01/2011	8.77	9.21	8.73	9.10	1143412	37043260.000
08/02/2011	9.00	9.03	8.75	9.03	794791	25537548.000
08/03/2011	8.94	9.18	8.82	8.95	723497	23643202.000
08/04/2011	8.95	9.03	8.71	8.74	609696	19463244.000
08/05/2011	8.33	8.57	8.33	8.37	693465	21175756.000
08/08/2011	8.27	8.43	7.74	8.07	677391	19685052.000
08/09/2011	7.84	8.27	7.74	8.21	599607	17445090.000
08/10/2011	8.29	8.54	8.21	8.24	664513	20094064.000
08/11/2011	8.01	8.50	7.96	8.46	503128	15080399.000
08/12/2011	8.49	8.73	8.48	8.63	645739	20117624.000
