300221 银禧科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/25/2011	9.04	9.33	8.65	8.67	11966362	221481104.000
05/26/2011	8.39	8.66	7.88	7.89	6928645	115997456.000
05/27/2011	7.82	8.09	7.65	7.89	4155543	67080656.000
05/30/2011	7.80	8.07	7.68	7.76	2396223	38861856.000
05/31/2011	7.71	7.91	7.69	7.88	2219584	35624516.000
06/01/2011	7.89	8.07	7.81	7.99	2487110	40650664.000
06/02/2011	7.83	7.92	7.73	7.81	2227848	35748772.000
06/03/2011	7.84	7.98	7.79	7.94	2018632	32775842.000
06/07/2011	7.99	8.00	7.82	7.93	1410337	22937214.000
06/08/2011	7.92	7.92	7.69	7.77	1749797	27940924.000
06/09/2011	7.77	7.81	7.50	7.51	1650800	25998350.000
06/10/2011	7.54	7.56	7.43	7.54	921011	14196502.000
06/13/2011	7.34	7.58	7.34	7.55	629535	9685261.000
06/14/2011	7.60	7.65	7.55	7.61	710185	11109378.000
06/15/2011	7.62	7.67	7.50	7.57	902682	14090758.000
06/16/2011	7.51	7.58	7.45	7.49	631765	9733890.000
06/17/2011	7.51	7.53	7.30	7.31	533928	8157779.500
06/20/2011	7.39	7.39	7.23	7.29	557730	8367888.000
06/21/2011	7.30	7.41	7.28	7.38	710183	10746711.000
06/22/2011	7.38	7.42	7.27	7.28	509492	7684112.000
06/23/2011	7.26	7.57	7.24	7.52	1611949	24773360.000
06/24/2011	7.49	7.78	7.49	7.73	1775059	27973384.000
06/27/2011	7.73	8.02	7.72	7.76	2218388	35809656.000
06/28/2011	7.74	7.83	7.67	7.79	1103864	17569082.000
06/29/2011	7.79	7.85	7.66	7.66	880398	14044174.000
06/30/2011	7.65	7.84	7.65	7.75	782548	12492299.000
07/01/2011	7.76	7.95	7.75	7.83	1227262	19842386.000
07/04/2011	7.86	8.00	7.86	7.98	1231590	20145438.000
07/05/2011	7.99	8.01	7.89	7.95	1007736	16452504.000
07/06/2011	7.91	8.27	7.90	8.17	2217143	36996920.000
07/07/2011	8.19	8.91	8.19	8.55	4461750	78567688.000
07/08/2011	8.50	8.77	8.41	8.62	2293913	40329252.000
07/11/2011	8.59	8.78	8.53	8.70	1493300	26616478.000
07/12/2011	8.59	8.68	8.45	8.47	1681273	29441142.000
07/13/2011	8.50	9.03	8.50	8.95	2955900	53317608.000
07/14/2011	8.94	9.12	8.78	9.04	2521991	46280476.000
07/15/2011	9.01	9.33	8.94	9.03	2709355	50736604.000
07/18/2011	9.06	9.17	8.90	8.94	1966893	36153500.000
07/19/2011	8.90	9.00	8.74	8.93	1886592	34219236.000
07/21/2011	8.86	8.92	8.65	8.74	1457993	26209658.000
07/22/2011	8.74	9.02	8.74	8.91	1350311	24661734.000
07/25/2011	8.89	9.07	8.55	8.63	1549566	28000788.000
07/26/2011	8.54	8.73	8.49	8.68	779472	13768388.000
07/27/2011	8.64	9.18	8.64	9.08	2561444	47228900.000
07/28/2011	8.98	9.43	8.94	9.39	3351793	63450232.000
07/29/2011	9.43	9.43	8.94	8.98	2232192	41791308.000
08/01/2011	9.02	9.28	8.94	9.23	2197012	41092440.000
08/02/2011	9.12	9.13	8.79	9.01	2762625	50565040.000
08/03/2011	8.88	9.22	8.83	9.04	2095413	38822744.000
08/04/2011	9.03	9.10	8.82	8.84	1661003	30340016.000
08/05/2011	8.54	8.67	8.43	8.53	1827265	31997390.000
08/08/2011	8.39	8.49	7.89	8.08	1223083	20581400.000
08/09/2011	7.81	8.27	7.81	8.14	1273520	21093162.000
08/10/2011	8.27	8.45	8.24	8.31	1192204	20399846.000
08/11/2011	8.10	8.54	8.10	8.52	880807	15115124.000
08/12/2011	8.62	8.77	8.56	8.72	1162169	20641550.000
08/15/2011	8.72	8.96	8.70	8.86	934118	16877350.000
08/16/2011	8.86	8.89	8.72	8.79	832085	14999705.000
08/17/2011	8.79	8.88	8.69	8.80	683428	12308259.000
08/18/2011	8.78	8.95	8.69	8.80	1363384	24720894.000
08/19/2011	8.65	8.91	8.61	8.90	943746	16960974.000
08/22/2011	8.89	9.13	8.89	9.02	1277693	23545196.000
08/23/2011	9.06	9.49	8.96	9.49	2441751	46331408.000
08/24/2011	9.55	9.73	9.31	9.43	2288722	44491672.000
08/25/2011	9.41	9.51	9.14	9.38	2235111	42432664.000
08/26/2011	9.31	9.69	9.29	9.63	2495202	48874192.000
08/29/2011	9.63	9.91	9.58	9.69	2233840	44575004.000
08/30/2011	9.69	9.79	9.23	9.29	1990322	38710708.000
08/31/2011	9.25	9.40	9.04	9.29	1716804	32318964.000
09/01/2011	9.31	9.39	9.00	9.14	2142282	40394564.000
09/02/2011	9.07	9.20	8.94	9.08	909884	16884032.000
09/05/2011	8.95	8.96	8.71	8.84	999675	18094264.000
09/06/2011	8.78	8.86	8.48	8.57	1089887	19255516.000
09/08/2011	8.81	8.89	8.60	8.60	1324562	23848704.000
09/09/2011	8.54	8.70	8.42	8.46	938905	16433791.000
09/13/2011	8.33	8.51	8.29	8.48	751757	12946975.000
09/14/2011	8.49	8.68	8.43	8.64	1368401	24160154.000
09/15/2011	8.69	8.82	8.55	8.56	1251605	22350972.000
09/16/2011	8.56	8.71	8.55	8.57	710432	12559631.000
09/19/2011	8.44	8.51	8.38	8.43	977783	16931374.000
09/20/2011	8.44	8.53	8.30	8.44	545136	9401758.000
09/21/2011	8.44	8.74	8.38	8.67	1240126	21963966.000
09/22/2011	8.59	8.64	8.12	8.16	1366738	23531264.000
09/23/2011	7.94	8.16	7.88	8.16	939171	15489589.000
09/26/2011	8.05	8.25	8.04	8.15	648609	10855641.000
09/27/2011	8.20	8.31	8.06	8.12	413070	6920454.000
09/28/2011	8.20	8.24	7.80	7.97	1309021	21735574.000
09/29/2011	7.96	8.03	7.79	7.83	638926	10345412.000
09/30/2011	7.75	7.88	7.59	7.65	539991	8519184.000
10/10/2011	7.65	7.75	7.65	7.67	326841	5163060.500
10/11/2011	7.84	7.89	7.57	7.63	547153	8721910.000
10/12/2011	7.63	7.93	7.49	7.89	1137961	18205448.000
10/13/2011	7.87	8.08	7.84	7.97	1352524	22182556.000
10/14/2011	7.94	8.00	7.81	7.91	893671	14474087.000
10/17/2011	7.92	8.13	7.89	8.08	1306223	21465366.000
10/18/2011	8.02	8.04	7.82	7.84	1285345	20989604.000
10/19/2011	7.86	7.93	7.76	7.81	464042	7477290.500
10/20/2011	7.79	7.79	7.36	7.47	809432	12555961.000
10/21/2011	7.53	7.53	7.23	7.28	494851	7473306.000
10/24/2011	7.28	7.43	7.20	7.43	550534	8295003.000
10/25/2011	7.41	7.76	7.40	7.73	1035814	16181965.000
10/26/2011	7.58	7.83	7.58	7.76	1257746	20028742.000
10/27/2011	7.80	7.81	7.70	7.71	690865	11017976.000
10/28/2011	7.79	7.91	7.72	7.89	997060	16028685.000
10/31/2011	7.87	7.96	7.80	7.95	1066368	17311444.000
11/01/2011	7.86	7.91	7.71	7.84	949311	15282763.000
11/02/2011	7.69	8.14	7.63	8.10	1929591	31335174.000
11/03/2011	8.12	8.28	7.99	8.03	2271568	37964508.000
11/04/2011	8.07	8.11	7.99	8.07	1110910	18363992.000
11/07/2011	8.07	8.16	8.01	8.10	848220	14094090.000
11/08/2011	8.08	8.12	7.94	7.95	982088	16215838.000
11/10/2011	8.02	8.26	8.01	8.10	2303514	38548672.000
11/11/2011	8.10	8.24	8.02	8.07	1306335	21765090.000
11/14/2011	8.13	8.40	8.13	8.34	1860301	31689378.000
11/15/2011	8.32	8.41	8.26	8.36	1044454	17839870.000
11/16/2011	8.38	8.41	8.09	8.12	1339661	22563892.000
