300222 科大智能 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/25/2011	17.85	18.29	16.93	17.04	6050020	197308512.000
05/26/2011	16.56	16.83	15.31	15.32	3478560	101593472.000
05/27/2011	15.11	15.40	14.78	14.87	1669007	46143436.000
05/30/2011	14.68	15.09	14.56	14.84	1399960	38214892.000
05/31/2011	14.76	14.96	14.61	14.87	1006097	27400030.000
06/01/2011	14.89	15.23	14.68	15.18	1089402	30121106.000
06/02/2011	14.92	15.89	14.83	15.51	1621193	46107716.000
06/03/2011	15.38	15.78	15.38	15.60	1078092	30833426.000
06/07/2011	15.60	15.65	15.29	15.54	692589	19627976.000
06/08/2011	15.46	15.60	15.23	15.55	735088	20821356.000
06/09/2011	15.54	15.76	15.26	15.57	807897	23048304.000
06/10/2011	15.57	15.68	15.36	15.65	516149	14711853.000
06/13/2011	15.67	16.23	15.67	16.01	620489	18148878.000
06/14/2011	15.82	16.15	15.82	16.15	435243	12774559.000
06/15/2011	16.11	16.27	15.96	16.13	611617	18097176.000
06/16/2011	16.03	16.16	15.68	15.74	620175	18179686.000
06/17/2011	15.59	15.87	15.46	15.75	576469	16564205.000
06/20/2011	15.62	16.48	15.60	16.22	427055	12663638.000
06/21/2011	16.26	16.53	16.01	16.42	349032	10442086.000
06/22/2011	16.46	16.46	16.08	16.09	323038	9630701.000
06/23/2011	16.07	16.59	15.91	16.42	474814	14261696.000
06/24/2011	16.31	16.78	16.31	16.71	543853	16522313.000
06/27/2011	16.72	17.27	16.64	17.01	578045	17996176.000
06/28/2011	16.97	17.11	16.79	17.05	236244	7358362.500
06/29/2011	16.90	17.28	16.51	16.57	405025	12550376.000
06/30/2011	16.62	17.28	16.59	17.21	449294	14082448.000
07/01/2011	17.28	17.66	17.21	17.25	430895	13802277.000
07/04/2011	17.25	17.54	17.12	17.46	379984	12136729.000
07/05/2011	17.47	17.61	17.31	17.37	240000	7670368.000
07/06/2011	17.37	17.66	17.26	17.66	409871	13180979.000
07/07/2011	17.67	18.56	17.58	17.97	1350021	44634000.000
07/08/2011	17.86	18.51	17.62	17.95	735396	24149312.000
07/11/2011	18.01	18.15	17.77	18.12	530613	17485820.000
07/12/2011	17.94	17.94	17.57	17.67	404429	13148444.000
07/13/2011	17.65	18.32	17.65	18.18	783420	25877312.000
07/14/2011	18.33	18.46	17.85	18.26	666006	22252956.000
07/15/2011	18.28	18.68	18.13	18.22	958119	32232534.000
07/18/2011	18.07	18.22	17.68	17.73	803995	26288478.000
07/19/2011	17.71	17.71	17.37	17.46	636187	20367426.000
07/21/2011	17.57	17.69	17.27	17.44	540105	17272482.000
07/22/2011	17.46	17.82	17.43	17.44	412904	13309101.000
07/25/2011	17.50	17.59	16.68	16.73	487460	15243422.000
07/26/2011	16.73	16.93	16.56	16.90	336192	10333623.000
07/27/2011	16.83	17.43	16.75	17.32	431954	13641789.000
07/28/2011	17.18	17.94	17.15	17.75	696474	22558876.000
07/29/2011	17.79	17.96	17.51	17.72	524835	17066810.000
08/01/2011	17.69	18.22	17.63	18.12	453181	14966689.000
08/02/2011	18.09	18.18	17.62	18.18	357872	11720614.000
08/03/2011	17.96	18.43	17.78	18.01	425332	14171259.000
08/04/2011	17.96	18.06	17.62	17.79	308154	10044979.000
08/05/2011	17.34	17.68	17.01	17.46	535845	17135308.000
08/08/2011	17.35	17.58	16.63	17.01	440761	13821318.000
08/09/2011	16.84	17.61	16.64	17.51	346274	10919068.000
08/10/2011	17.87	18.27	17.66	18.00	454095	15008073.000
08/11/2011	17.68	18.83	17.61	18.68	851264	28652286.000
08/12/2011	18.98	18.98	18.48	18.63	482382	16457966.000
08/15/2011	18.68	19.09	18.53	18.89	614158	21218166.000
08/16/2011	18.62	18.73	18.35	18.54	1188795	40301824.000
08/17/2011	18.52	18.53	18.14	18.32	402521	13474080.000
08/18/2011	18.29	18.52	18.17	18.23	330452	11113972.000
08/19/2011	17.81	18.18	17.54	17.95	409541	13384160.000
08/22/2011	17.87	18.27	17.73	17.84	289104	9522014.000
08/23/2011	17.84	18.68	17.79	18.57	489238	16422893.000
08/24/2011	18.68	19.51	18.68	18.98	1098337	38441052.000
08/25/2011	18.98	19.09	18.29	18.61	749206	25519868.000
08/26/2011	18.64	19.01	18.51	18.88	772622	26577266.000
08/29/2011	18.88	19.26	18.58	18.61	830753	28832704.000
08/30/2011	18.77	19.22	18.57	18.87	1306561	45256432.000
08/31/2011	18.82	18.93	18.01	18.51	720424	24157816.000
09/01/2011	18.43	18.65	18.02	18.02	588180	19692740.000
09/02/2011	18.02	18.02	17.63	17.87	617770	20165668.000
09/05/2011	17.68	17.79	17.19	17.31	540103	17325572.000
09/06/2011	17.32	17.42	16.94	17.22	274254	8609183.000
09/07/2011	17.08	17.68	17.08	17.68	347396	11139681.000
09/08/2011	17.73	17.99	17.29	17.29	253950	8194690.500
09/09/2011	17.29	17.45	16.94	17.01	184828	5809990.000
09/13/2011	16.68	17.17	16.63	16.90	196190	6044945.500
09/14/2011	17.14	17.43	16.69	17.24	129845	4055645.250
09/15/2011	17.32	17.54	17.07	17.12	130820	4158098.250
09/16/2011	17.22	17.44	17.08	17.12	103630	3262761.500
09/19/2011	16.66	17.23	16.07	16.24	545399	16507730.000
09/20/2011	16.15	16.33	15.79	16.22	549800	16202694.000
09/21/2011	15.84	16.71	15.84	16.62	445609	13452166.000
09/22/2011	16.48	16.79	16.07	16.23	303278	9043885.000
09/23/2011	15.87	16.11	15.84	16.07	161573	4743729.000
09/26/2011	16.07	16.33	15.76	15.91	142138	4167120.750
09/27/2011	16.15	16.23	15.97	16.17	160693	4742294.500
09/28/2011	16.29	16.33	15.79	16.01	331764	9792507.000
09/29/2011	15.98	16.16	15.23	15.76	283325	8195958.500
09/30/2011	15.51	15.99	15.51	15.55	148356	4260035.500
10/10/2011	15.72	15.72	15.37	15.54	111300	3181057.000
10/11/2011	15.76	15.95	15.37	15.51	113970	3282426.000
10/12/2011	15.40	16.18	15.40	16.12	157548	4586654.500
10/13/2011	15.94	16.54	15.89	16.46	363008	10901630.000
10/14/2011	16.18	16.48	16.12	16.46	161327	4838441.500
10/17/2011	16.55	16.72	16.12	16.33	136459	4099162.500
10/18/2011	16.33	16.33	15.81	16.06	319196	9389562.000
10/19/2011	16.04	16.73	16.04	16.56	673307	20303982.000
10/20/2011	16.51	16.56	15.68	16.04	237910	7015381.000
10/21/2011	15.87	15.87	15.10	15.68	564998	15898680.000
10/24/2011	15.36	15.62	15.01	15.41	110890	3124436.000
10/25/2011	14.18	15.07	13.83	14.84	1647619	43015392.000
10/26/2011	14.39	15.22	14.35	15.06	736135	20067830.000
10/27/2011	14.96	15.19	14.78	14.79	366755	10129764.000
10/28/2011	15.06	15.16	14.81	15.14	322553	8892664.000
10/31/2011	15.12	15.79	15.12	15.79	422148	12046922.000
11/01/2011	15.71	15.99	15.63	15.90	352753	10261133.000
11/02/2011	15.52	16.39	15.51	16.38	295454	8701191.000
11/03/2011	16.62	16.63	16.35	16.37	411052	12437155.000
11/04/2011	16.41	16.58	16.25	16.42	169123	5096297.000
11/07/2011	16.38	16.47	16.19	16.29	116760	3500595.000
11/08/2011	16.38	16.46	15.80	15.82	244840	7248168.500
11/09/2011	15.91	15.99	15.65	15.85	230879	6687067.000
11/10/2011	15.76	16.25	15.68	16.11	416800	12259560.000
11/11/2011	16.11	16.66	16.01	16.38	498423	15020232.000
11/14/2011	16.73	17.07	16.47	16.98	385375	11929615.000
11/15/2011	16.98	17.28	16.93	17.11	268824	8441449.000
11/16/2011	17.10	17.16	16.72	16.74	259838	8050722.000
11/17/2011	16.89	17.40	16.76	17.12	219022	6855874.500
11/18/2011	16.87	17.09	16.75	16.88	323452	10031168.000
11/21/2011	16.97	17.18	16.75	17.18	284439	8849387.000
11/22/2011	17.15	17.27	16.83	17.12	123451	3852506.000
11/23/2011	17.07	17.56	17.02	17.47	322610	10320834.000
11/24/2011	17.46	17.93	17.24	17.71	475298	15399691.000
11/25/2011	17.84	17.88	17.57	17.70	192557	6244758.500
11/28/2011	17.70	18.43	17.70	18.36	1110664	37180088.000
11/29/2011	18.12	18.49	18.12	18.34	529718	17851352.000
11/30/2011	18.45	18.46	17.40	17.62	655124	21389864.000
12/01/2011	17.87	18.51	17.87	18.12	377449	12612704.000
12/02/2011	17.90	18.34	17.74	17.94	304399	10039645.000
12/05/2011	17.79	17.79	17.09	17.30	267339	8541642.000
12/06/2011	17.29	17.99	17.28	17.62	116429	3726163.500
12/07/2011	17.42	18.15	17.42	18.12	199665	6525852.500
12/08/2011	18.17	18.84	17.95	18.78	385876	13072431.000
