300223 北京君正 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/31/2011	29.90	30.91	28.98	30.84	6096024	244758496.000
06/01/2011	31.22	33.39	31.18	32.60	5731039	247142880.000
06/02/2011	31.45	33.39	31.35	32.88	3535205	152898576.000
06/03/2011	33.52	33.52	32.23	32.51	2532287	111239720.000
06/07/2011	32.30	32.75	31.18	31.22	2458630	104390720.000
06/08/2011	31.25	31.98	30.84	31.65	1678432	70494216.000
06/09/2011	31.45	31.45	29.06	29.21	2621267	105331728.000
06/10/2011	29.01	29.68	28.49	29.50	1622007	62817348.000
06/13/2011	29.12	29.41	28.54	29.07	619811	24128836.000
06/14/2011	28.83	29.79	28.81	29.68	1132199	44751044.000
06/15/2011	29.56	29.91	29.33	29.65	723503	28673056.000
06/16/2011	29.28	29.65	29.15	29.45	473471	18628206.000
06/17/2011	29.25	29.75	28.62	28.75	629871	24613528.000
06/20/2011	28.68	28.80	27.88	28.02	630212	23821034.000
06/21/2011	27.99	28.59	27.99	28.45	459204	17413934.000
06/22/2011	28.44	28.58	27.89	27.95	484665	18324222.000
06/23/2011	27.91	29.42	26.85	29.35	975774	37143844.000
06/24/2011	29.02	29.78	29.02	29.55	769227	30342038.000
06/27/2011	29.91	30.66	29.75	29.88	970550	39254500.000
06/28/2011	29.67	30.58	29.67	30.13	453978	18323526.000
06/29/2011	30.13	30.48	29.91	30.22	580103	23361682.000
06/30/2011	30.21	30.79	30.06	30.57	483702	19768618.000
07/01/2011	29.91	31.06	29.91	30.48	1001498	41116188.000
07/04/2011	30.75	31.56	30.49	31.28	768432	31951740.000
07/05/2011	31.29	31.65	30.83	31.52	675988	28233920.000
07/06/2011	31.29	31.89	30.91	31.83	716815	30084416.000
07/07/2011	31.92	33.64	31.60	32.58	1697222	74579576.000
07/08/2011	32.41	33.24	32.03	32.39	868260	37853928.000
07/11/2011	32.14	32.90	32.14	32.74	696636	30299986.000
07/12/2011	32.45	32.45	31.38	31.45	662403	28127486.000
07/13/2011	31.43	33.07	31.43	32.87	1020883	44095500.000
07/14/2011	32.74	33.34	32.32	33.05	731727	32075834.000
07/15/2011	33.02	34.64	32.06	32.22	2844733	126444024.000
07/18/2011	32.10	32.55	31.23	32.35	1744364	74085720.000
07/19/2011	31.88	32.51	31.68	31.98	701492	29917718.000
07/20/2011	32.18	32.42	30.68	31.79	625501	26523556.000
07/21/2011	31.52	31.98	31.28	31.62	374429	15795713.000
07/22/2011	31.64	33.23	31.64	32.37	1016210	44208192.000
07/25/2011	32.72	32.72	31.67	32.02	777559	33194528.000
