300224 正海磁材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/31/2011	13.61	16.27	13.61	15.59	28006781	657453376.000
06/01/2011	15.44	16.85	15.40	15.87	17499309	435623680.000
06/02/2011	15.60	17.11	15.60	16.83	14134769	355048608.000
06/03/2011	16.49	16.83	16.20	16.47	10193999	260223392.000
06/07/2011	16.31	17.17	16.31	16.33	9383625	242128800.000
06/08/2011	16.21	16.37	15.12	15.36	9809861	237295408.000
06/09/2011	15.18	15.37	14.85	14.90	6314052	147658320.000
06/10/2011	14.77	14.89	14.13	14.43	5949133	133959272.000
06/13/2011	14.20	14.87	14.05	14.65	4496518	101859912.000
06/14/2011	14.59	14.79	14.47	14.59	3803942	86601784.000
06/15/2011	14.49	15.03	14.47	14.47	3742521	85901704.000
06/16/2011	14.29	15.13	14.21	14.83	5780156	131841072.000
06/17/2011	14.70	14.80	13.81	13.82	5472195	121651504.000
06/20/2011	13.67	13.85	13.41	13.63	2572126	54557104.000
06/21/2011	13.64	13.92	13.33	13.71	3448319	73134144.000
06/22/2011	13.57	13.92	13.40	13.62	2994104	63966340.000
06/23/2011	13.49	14.04	13.13	13.93	4935251	105340808.000
06/24/2011	13.77	14.77	13.72	14.57	6000840	133562592.000
06/27/2011	14.55	15.13	14.47	14.75	5007473	115253968.000
06/28/2011	14.77	14.96	14.52	14.84	3264666	75085416.000
06/29/2011	14.80	14.87	14.28	14.28	3841196	86903400.000
06/30/2011	14.29	14.69	14.29	14.53	2155557	48631920.000
07/01/2011	14.59	15.25	14.53	14.80	3660106	85038752.000
07/04/2011	15.00	15.56	14.93	15.39	4411804	104834312.000
07/05/2011	15.33	15.53	15.01	15.30	3575328	84570656.000
07/06/2011	15.13	16.07	14.95	15.80	5052201	122223440.000
07/07/2011	15.77	17.43	15.65	16.78	9142334	237390304.000
07/08/2011	16.56	16.89	16.21	16.59	4479954	114956544.000
07/11/2011	16.60	17.46	16.34	17.23	4781085	126364552.000
07/12/2011	17.21	18.51	17.21	18.10	8257834	228373984.000
07/13/2011	18.19	19.97	17.95	19.97	6115281	179169728.000
07/14/2011	21.20	22.02	20.74	21.87	13128003	433240032.000
07/15/2011	21.77	22.71	21.37	21.50	9281230	312859136.000
07/18/2011	21.43	23.64	21.29	21.80	9895968	336644032.000
07/19/2011	21.34	22.73	21.34	21.94	6513376	220275056.000
07/20/2011	22.27	24.06	22.13	23.33	7706594	273412064.000
07/21/2011	23.13	23.46	22.00	22.08	6709369	234009616.000
07/22/2011	22.33	22.58	21.67	21.80	5647105	191125856.000
07/25/2011	21.71	22.30	20.47	21.31	7282603	239322864.000
07/26/2011	21.04	22.47	20.87	21.93	8287887	277670848.000
07/27/2011	21.53	23.20	21.27	22.85	7654811	260643088.000
07/28/2011	22.72	22.93	22.25	22.60	4208990	146084544.000
07/29/2011	22.57	23.06	20.87	21.23	6331485	215718464.000
08/01/2011	20.90	22.05	20.79	21.83	4732671	156268912.000
08/02/2011	21.48	21.71	20.67	21.59	4392094	142679856.000
08/03/2011	21.13	22.79	21.13	21.99	4867371	164479728.000
08/04/2011	22.00	22.18	21.16	21.33	4832245	159746336.000
08/05/2011	20.35	21.07	20.06	20.11	5054571	159626624.000
08/08/2011	19.82	20.45	19.27	19.60	4832746	147085984.000
08/09/2011	19.27	20.67	18.80	20.33	5946239	182796752.000
08/10/2011	20.33	21.17	20.23	20.33	4186508	133165808.000
08/11/2011	19.87	20.71	19.72	20.61	2702443	84520336.000
08/12/2011	20.65	21.36	20.61	21.03	2957938	95733456.000
08/15/2011	21.21	22.03	21.03	21.35	3678920	121510224.000
08/16/2011	21.46	21.69	20.80	20.94	2311458	75381056.000
08/17/2011	20.94	21.29	20.88	21.00	1690691	54750164.000
08/18/2011	21.27	22.80	21.13	21.93	5808099	197704256.000
08/19/2011	21.14	21.83	20.42	20.72	4103591	132645648.000
08/22/2011	20.72	21.65	20.53	20.67	2772956	89483504.000
08/23/2011	21.13	22.79	20.73	22.79	6289837	211206032.000
08/24/2011	23.57	25.12	23.27	24.49	12083235	450434304.000
08/25/2011	24.20	25.07	23.67	24.92	9032618	336940640.000
08/26/2011	24.53	26.11	24.39	24.90	7987839	308099680.000
08/29/2011	24.42	24.75	23.87	23.92	5279387	196448848.000
08/30/2011	24.00	24.38	22.89	23.07	4800754	173926736.000
08/31/2011	23.09	23.83	22.59	23.61	7491513	268036352.000
09/01/2011	23.47	23.78	22.24	22.59	6081543	215273744.000
09/02/2011	22.37	23.51	22.36	22.79	6137480	216905792.000
09/05/2011	22.13	22.27	20.68	21.34	5361165	176359312.000
09/06/2011	21.13	21.69	20.87	21.48	3656362	120068904.000
09/07/2011	21.68	22.46	21.54	22.19	5502905	186254272.000
09/08/2011	22.35	22.70	21.23	21.23	5919349	201091584.000
09/09/2011	21.00	22.33	20.94	21.80	5555433	184904496.000
09/13/2011	21.37	21.47	20.52	20.70	3498583	112644960.000
09/14/2011	20.91	21.65	20.54	21.57	3860317	125218840.000
09/15/2011	21.47	22.36	21.41	21.89	4637065	156730624.000
09/16/2011	22.10	22.10	21.58	21.81	2745850	91772208.000
09/19/2011	21.47	21.55	20.31	20.42	3420493	109385608.000
09/20/2011	20.26	20.86	20.26	20.77	2174792	68856368.000
09/21/2011	20.63	21.73	20.50	21.53	3409320	111176328.000
09/22/2011	21.26	21.44	19.53	19.77	3966928	125628920.000
09/23/2011	19.33	19.97	19.07	19.74	2907418	87560344.000
09/26/2011	19.47	20.13	19.40	19.52	1948595	59494308.000
09/27/2011	21.34	21.53	21.33	21.53	2668288	88096624.000
09/28/2011	22.55	22.95	21.67	21.96	10850300	374698752.000
09/29/2011	21.56	23.67	21.49	22.75	10770832	374289472.000
09/30/2011	22.70	23.19	22.14	22.63	5404321	188533984.000
10/10/2011	22.93	23.67	22.66	23.13	7013352	250370768.000
10/11/2011	23.53	23.77	21.15	21.61	7483119	258749104.000
10/12/2011	21.27	23.82	21.13	23.82	9945345	352195584.000
10/13/2011	23.65	24.48	23.47	23.75	9557435	350601504.000
10/14/2011	23.46	26.18	23.27	26.18	11577675	445395680.000
10/17/2011	26.73	28.03	26.22	27.47	11742475	485322272.000
10/18/2011	26.85	27.64	26.50	26.65	8336185	344362112.000
10/19/2011	26.80	27.43	24.92	25.67	10633001	421338400.000
