300225 金力泰 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/31/2011	6.14	6.58	6.12	6.34	4891984	129869208.000
06/01/2011	6.25	6.52	6.23	6.41	2872294	77038928.000
06/02/2011	6.29	6.42	6.15	6.29	1689963	44602408.000
06/03/2011	6.25	6.57	6.25	6.51	1898015	51100512.000
06/07/2011	6.51	6.65	6.46	6.47	1606723	43843456.000
06/08/2011	6.48	6.52	6.33	6.49	1129163	30439682.000
06/09/2011	6.48	6.48	6.25	6.25	897715	23900912.000
06/10/2011	6.20	6.27	6.02	6.12	914421	23608672.000
06/13/2011	6.08	6.11	5.92	6.05	471902	11910301.000
06/14/2011	6.02	6.13	6.02	6.08	431242	11040067.000
06/15/2011	6.05	6.13	6.02	6.02	429581	10961227.000
06/16/2011	6.01	6.01	5.92	5.95	482585	12079207.000
06/17/2011	5.94	6.01	5.92	5.93	311367	7813832.500
06/20/2011	5.92	5.97	5.89	5.97	291545	7281148.000
06/21/2011	5.98	6.08	5.94	6.06	416777	10539780.000
06/22/2011	6.06	6.06	5.95	5.97	301975	7607045.000
06/23/2011	5.99	6.24	5.91	6.20	1187827	30573766.000
06/24/2011	6.15	6.35	6.13	6.32	1276345	33508604.000
06/27/2011	6.29	6.50	6.29	6.39	1094158	29352716.000
06/28/2011	6.39	6.41	6.30	6.36	673658	17929686.000
06/29/2011	6.41	6.41	6.30	6.30	564952	15041856.000
06/30/2011	6.24	6.41	6.24	6.38	478496	12758713.000
07/01/2011	6.39	6.52	6.38	6.45	900216	24324586.000
07/04/2011	6.46	6.56	6.45	6.51	943940	25707322.000
07/05/2011	6.51	6.55	6.43	6.47	555484	15057670.000
07/06/2011	6.45	6.72	6.43	6.66	1481365	40982940.000
07/07/2011	6.74	7.16	6.73	6.92	3213359	92558696.000
07/08/2011	6.85	7.01	6.79	6.87	1279769	36742132.000
07/11/2011	6.85	7.09	6.85	6.99	1558802	45432888.000
07/12/2011	6.94	6.98	6.86	6.90	1415528	40812224.000
07/13/2011	6.89	7.34	6.89	7.25	1972144	58759796.000
07/14/2011	7.27	7.41	7.18	7.36	1553222	47010156.000
07/15/2011	7.35	7.68	7.29	7.32	1949748	60443444.000
07/18/2011	7.31	7.45	7.23	7.39	1235235	37728788.000
07/19/2011	7.38	7.38	7.18	7.22	1077670	32458188.000
07/20/2011	7.31	7.54	7.30	7.47	1235462	37962252.000
07/21/2011	7.43	7.52	7.28	7.37	798066	24433536.000
07/22/2011	7.40	7.62	7.39	7.46	1152315	35878136.000
07/25/2011	7.40	7.43	7.00	7.06	1181278	35313256.000
07/26/2011	7.05	7.09	6.93	7.04	538599	15749392.000
07/27/2011	6.99	7.40	6.97	7.33	1403769	42267040.000
07/28/2011	7.26	7.46	7.22	7.42	1279664	39048676.000
07/29/2011	7.44	7.44	7.12	7.13	1369726	41208516.000
08/01/2011	7.09	7.37	6.97	7.29	1379508	41576636.000
08/02/2011	7.23	7.34	7.07	7.32	1171438	35017236.000
08/03/2011	7.23	7.47	7.18	7.37	1329951	40585724.000
08/04/2011	7.42	7.60	7.17	7.26	1295186	39705344.000
08/05/2011	6.97	7.11	6.86	6.98	1318213	38442088.000
08/08/2011	6.82	6.90	6.46	6.53	1378189	38450608.000
08/09/2011	6.37	6.64	6.25	6.57	1232288	33459882.000
08/10/2011	6.71	6.73	6.59	6.63	1185766	32971336.000
08/11/2011	6.18	6.58	6.08	6.56	2236734	59489368.000
08/12/2011	6.58	6.59	6.45	6.47	1569782	42728864.000
08/15/2011	6.48	6.68	6.43	6.68	1380780	37844368.000
08/16/2011	6.68	6.76	6.60	6.63	1081698	30045150.000
08/17/2011	6.60	6.67	6.53	6.61	708306	19525178.000
08/18/2011	6.56	6.60	6.43	6.44	549038	14974757.000
08/19/2011	6.27	6.36	6.20	6.35	672568	17683584.000
08/22/2011	6.34	6.58	6.34	6.52	835529	22688426.000
08/23/2011	6.52	6.90	6.50	6.87	1534967	43080804.000
08/24/2011	6.85	7.00	6.81	6.83	1530911	44089468.000
08/25/2011	6.82	6.91	6.63	6.85	1152519	32451128.000
08/26/2011	6.82	7.09	6.72	7.04	1407631	40973084.000
08/29/2011	6.99	7.15	6.93	7.02	1110797	32575588.000
08/31/2011	6.80	6.85	6.58	6.72	1127965	31602048.000
09/01/2011	6.72	6.75	6.59	6.63	763170	21265964.000
09/02/2011	6.59	6.64	6.40	6.49	673112	18270626.000
09/05/2011	6.38	6.45	6.32	6.32	440444	11717769.000
09/06/2011	6.27	6.33	6.09	6.21	562898	14658627.000
09/07/2011	6.24	6.40	6.23	6.39	664297	17553780.000
09/08/2011	6.40	6.48	6.29	6.29	762197	20481836.000
09/09/2011	6.27	6.41	6.27	6.31	299960	7989339.500
09/13/2011	6.21	6.26	6.12	6.22	306552	7956290.500
09/14/2011	6.20	6.36	6.17	6.36	258159	6780155.000
09/15/2011	6.36	6.45	6.31	6.36	276562	7401765.000
09/16/2011	6.41	6.42	6.20	6.25	208906	5541961.500
09/19/2011	6.22	6.22	6.02	6.02	367869	9403369.000
09/20/2011	6.02	6.12	5.99	6.04	233850	5938899.000
09/21/2011	6.00	6.28	6.00	6.25	359569	9340308.000
09/22/2011	6.20	6.23	6.03	6.03	332838	8579402.000
09/23/2011	5.94	5.97	5.76	5.94	344022	8562889.000
09/26/2011	5.88	6.00	5.79	5.81	325239	8037171.500
09/27/2011	5.90	5.91	5.79	5.87	327773	8093193.000
09/28/2011	5.92	5.97	5.81	5.84	254025	6300264.000
09/29/2011	5.77	5.83	5.70	5.70	246671	5983116.000
09/30/2011	5.70	5.76	5.58	5.63	415958	9901799.000
10/10/2011	5.66	5.68	5.60	5.63	176824	4214273.500
10/11/2011	5.76	5.80	5.58	5.64	461295	11108436.000
10/12/2011	5.54	5.88	5.54	5.85	494998	12004259.000
10/13/2011	5.84	5.96	5.82	5.87	530690	13154934.000
10/14/2011	5.86	5.88	5.77	5.81	264837	6493233.500
10/17/2011	5.81	5.91	5.81	5.87	362002	8952539.000
10/18/2011	5.82	5.87	5.54	5.60	548920	13187588.000
10/19/2011	5.68	5.68	5.52	5.60	293373	6928259.000
10/20/2011	5.57	5.59	5.35	5.42	398451	9183243.000
10/21/2011	5.42	5.45	5.30	5.32	310830	7075609.000
10/24/2011	5.09	5.09	4.74	4.87	1754837	36544196.000
10/25/2011	4.87	5.03	4.81	4.99	928206	19560452.000
10/26/2011	4.98	5.11	4.91	5.07	890086	19091666.000
10/27/2011	5.13	5.13	5.00	5.04	664798	14132269.000
10/28/2011	5.08	5.23	5.07	5.20	830131	17899318.000
10/31/2011	5.20	5.36	5.20	5.28	938840	20789072.000
11/01/2011	5.25	5.31	5.19	5.31	784986	17287992.000
11/02/2011	5.22	5.52	5.20	5.49	1198021	26942660.000
11/03/2011	5.50	5.60	5.46	5.46	1364631	31555722.000
11/04/2011	5.47	5.52	5.43	5.51	702897	16082264.000
11/07/2011	5.52	5.55	5.47	5.49	477793	11000860.000
11/08/2011	5.50	5.73	5.42	5.42	684442	15807553.000
11/09/2011	5.42	5.50	5.33	5.49	617165	13997912.000
11/10/2011	5.46	5.59	5.42	5.49	825611	19042962.000
11/11/2011	5.49	5.58	5.43	5.51	666799	15343315.000
11/14/2011	5.55	5.73	5.54	5.72	984287	23296208.000
11/15/2011	5.73	5.74	5.67	5.70	670590	15923904.000
11/16/2011	5.70	5.70	5.42	5.47	899207	20888370.000
11/17/2011	5.47	5.71	5.46	5.59	1194411	27864938.000
11/18/2011	5.57	5.57	5.39	5.40	710802	16271570.000
11/21/2011	5.39	5.42	5.23	5.33	495315	11012900.000
11/22/2011	5.27	5.36	5.23	5.32	434260	9622390.000
11/23/2011	5.34	5.55	5.32	5.48	994555	22735346.000
11/24/2011	5.41	5.50	5.34	5.46	601076	13640330.000
11/25/2011	5.44	5.61	5.41	5.53	938224	21755026.000
11/28/2011	5.53	5.61	5.51	5.58	615541	14287076.000
11/29/2011	5.63	5.63	5.43	5.53	772834	17805792.000
11/30/2011	5.52	5.53	4.96	5.07	837922	18361054.000
12/01/2011	5.24	5.30	5.14	5.14	913948	19948014.000
12/02/2011	5.11	5.11	4.94	4.97	441212	9271274.000
12/05/2011	4.96	4.96	4.70	4.70	578505	11712481.000
12/06/2011	4.70	4.78	4.63	4.75	366809	7286387.500
12/07/2011	4.73	4.77	4.71	4.75	229130	4593435.000
12/08/2011	4.76	4.84	4.63	4.80	393110	7907632.000
12/09/2011	4.74	4.82	4.72	4.77	210320	4241355.500
12/12/2011	4.76	4.81	4.73	4.73	186076	3743698.000
12/13/2011	4.68	4.70	4.48	4.50	404219	7804379.000
12/14/2011	4.48	4.55	4.42	4.45	221464	4212457.000
12/15/2011	4.44	4.45	4.36	4.37	218597	4096318.250
12/16/2011	4.34	4.52	4.34	4.51	248323	4659398.500
12/19/2011	4.48	4.62	4.43	4.61	298334	5715514.000
12/20/2011	4.60	4.66	4.51	4.54	253367	4937152.500
12/22/2011	4.42	4.42	4.16	4.28	519816	9451104.000
12/23/2011	4.28	4.37	4.24	4.31	269814	4946093.000
12/26/2011	4.30	4.38	4.26	4.27	135328	2489620.250
12/27/2011	4.19	4.26	4.06	4.07	217010	3843259.250
12/28/2011	4.07	4.07	3.91	4.02	177033	3023454.250
12/29/2011	3.98	4.09	3.98	4.03	100333	1739964.125
12/30/2011	4.09	4.14	4.04	4.10	197643	3462345.250
01/04/2012	4.26	4.30	3.96	3.96	153578	2686403.250
01/05/2012	3.91	3.99	3.76	3.76	203338	3377877.750
01/06/2012	3.77	3.84	3.73	3.83	201595	3278757.750
01/09/2012	3.86	4.01	3.80	4.01	232472	3945169.750
01/10/2012	4.02	4.22	4.01	4.18	359903	6346823.500
01/11/2012	4.17	4.24	4.14	4.18	302809	5393501.500
01/12/2012	4.17	4.23	4.09	4.14	198918	3532926.500
01/13/2012	4.16	4.16	3.86	3.88	244900	4161815.250
01/16/2012	3.88	3.88	3.74	3.76	191143	3124988.250
01/17/2012	3.66	3.91	3.45	3.84	1391656	21859518.000
01/18/2012	3.78	3.80	3.61	3.63	761036	12229173.000
01/19/2012	3.62	3.70	3.53	3.69	386061	6075169.000
01/20/2012	3.71	3.83	3.70	3.76	549265	8920146.000
01/30/2012	3.78	3.82	3.76	3.76	478841	7811827.000
01/31/2012	3.75	3.80	3.65	3.71	289300	4614613.000
02/01/2012	3.71	3.77	3.66	3.68	350019	5622325.000
02/02/2012	3.68	3.74	3.68	3.74	267250	4285426.500
02/03/2012	3.76	3.86	3.74	3.84	710483	11614216.000
02/06/2012	3.85	3.91	3.83	3.89	661264	11007999.000
02/07/2012	3.88	3.88	3.78	3.81	460564	7558962.500
02/08/2012	3.81	3.94	3.78	3.94	548299	9146763.000
02/09/2012	3.94	4.02	3.91	3.98	678674	11582943.000
02/10/2012	3.99	4.10	3.98	4.04	741909	12821990.000
02/13/2012	4.00	4.16	3.97	4.10	689088	12040823.000
02/14/2012	4.09	4.13	4.02	4.08	392467	6827469.000
02/15/2012	4.08	4.16	4.03	4.14	465313	8179041.000
02/16/2012	4.12	4.21	4.10	4.15	542070	9607957.000
02/17/2012	4.14	4.19	4.04	4.08	398112	6953590.000
02/20/2012	4.12	4.14	4.07	4.08	645844	11349800.000
02/21/2012	4.07	4.16	4.02	4.14	455606	7956265.000
02/22/2012	4.14	4.30	4.13	4.30	923229	16717388.000
02/23/2012	4.31	4.47	4.31	4.42	1126641	21027130.000
02/24/2012	4.44	4.50	4.39	4.49	849556	16009512.000
02/27/2012	4.49	4.56	4.43	4.45	846763	16086587.000
02/28/2012	4.40	4.46	4.34	4.42	593129	11088510.000
02/29/2012	4.41	4.54	4.40	4.42	709003	13447417.000
03/01/2012	4.39	4.49	4.35	4.44	391004	7349644.000
03/02/2012	4.46	4.55	4.44	4.53	541435	10364944.000
03/05/2012	4.50	4.56	4.48	4.53	601780	11533194.000
03/06/2012	4.50	4.54	4.35	4.38	584673	10942065.000
03/07/2012	4.34	4.41	4.30	4.34	389130	7207439.500
03/08/2012	4.38	4.43	4.35	4.42	354615	6627431.500
03/09/2012	4.41	4.62	4.41	4.59	1051492	20270438.000
03/12/2012	4.58	4.63	4.53	4.62	597495	11585213.000
03/13/2012	4.61	4.64	4.57	4.64	627134	12213882.000
03/14/2012	4.65	4.78	4.34	4.40	1108581	21801604.000
03/15/2012	4.39	4.44	4.27	4.35	583492	10819663.000
03/16/2012	4.39	4.51	4.35	4.51	601763	11394864.000
03/19/2012	4.52	4.59	4.48	4.59	483818	9319196.000
03/20/2012	4.56	4.57	4.36	4.38	502174	9492718.000
03/21/2012	4.38	4.43	4.25	4.33	340058	6278054.000
03/22/2012	4.32	4.35	4.27	4.32	300922	5527099.000
03/23/2012	4.32	4.32	4.14	4.17	618501	11089307.000
03/26/2012	4.17	4.21	4.04	4.08	397517	6998245.500
03/27/2012	4.09	4.14	4.06	4.07	319042	5592780.000
03/28/2012	4.05	4.06	3.73	3.75	481201	8051877.500
03/29/2012	3.75	3.75	3.62	3.66	371704	5922277.500
03/30/2012	3.64	3.69	3.59	3.69	302266	4763052.000
04/05/2012	3.68	3.81	3.64	3.80	366233	5925730.000
04/06/2012	3.81	3.85	3.76	3.80	276370	4517373.000
04/09/2012	3.77	3.79	3.73	3.73	161330	2615544.000
04/10/2012	3.71	3.73	3.59	3.73	270387	4276921.500
04/11/2012	3.67	3.76	3.65	3.76	277576	4441503.000
04/12/2012	3.75	3.87	3.75	3.87	352796	5801706.500
04/13/2012	3.87	3.90	3.85	3.87	364638	6071080.500
04/16/2012	3.81	3.93	3.81	3.92	375131	6280039.500
04/17/2012	3.92	3.93	3.86	3.91	398899	6678098.000
04/18/2012	3.93	4.13	3.93	4.08	1156421	20111772.000
04/19/2012	4.09	4.09	4.03	4.05	459874	7977948.000
04/20/2012	4.05	4.09	4.04	4.09	384751	6705263.500
04/23/2012	4.08	4.11	3.91	3.96	588470	10020716.000
04/24/2012	3.95	3.95	3.79	3.85	350540	5825752.000
04/25/2012	3.85	3.92	3.84	3.90	237104	3954009.750
04/26/2012	3.90	3.93	3.89	3.92	160542	2699024.250
04/27/2012	3.91	4.08	3.91	4.02	307671	5282507.000
05/02/2012	4.04	4.08	4.02	4.06	248711	4310195.000
05/03/2012	4.06	4.07	4.00	4.07	199382	3448920.500
05/04/2012	4.07	4.18	4.06	4.15	513450	9057616.000
05/07/2012	4.13	4.20	4.08	4.20	501238	8918424.000
05/08/2012	4.19	4.22	4.15	4.20	410826	7340928.000
05/09/2012	4.18	4.18	4.08	4.08	317351	5584847.500
05/10/2012	4.08	4.17	4.08	4.13	324964	5740078.500
05/11/2012	4.19	4.19	4.09	4.11	322623	5687263.500
05/14/2012	4.14	4.19	4.08	4.08	256049	4513205.000
05/15/2012	4.04	4.07	3.97	4.02	254935	4372909.000
05/16/2012	4.00	4.03	3.97	3.98	219170	3752855.750
05/17/2012	4.00	4.03	3.97	4.03	273261	4694689.500
05/18/2012	3.99	4.09	3.98	4.05	307436	5314913.000
05/21/2012	4.04	4.18	4.02	4.13	378080	6634482.000
05/22/2012	4.17	4.17	4.09	4.15	311763	5500972.500
05/23/2012	4.13	4.19	4.09	4.11	338443	5971577.500
05/24/2012	4.09	4.11	4.02	4.02	219254	3814466.000
05/25/2012	4.01	4.05	3.94	3.95	154915	2649853.750
05/28/2012	3.93	3.95	3.79	3.95	327576	5446140.500
05/29/2012	3.94	3.98	3.90	3.98	315383	5343454.000
05/30/2012	3.95	4.05	3.95	4.00	430090	7401655.500
05/31/2012	4.00	4.07	3.98	4.05	282736	4882558.500
06/01/2012	4.03	4.09	4.03	4.05	212290	3689377.000
06/04/2012	3.97	4.00	3.90	3.90	221300	3748473.000
06/05/2012	3.90	3.95	3.89	3.94	156312	2630486.500
06/06/2012	3.94	4.05	3.91	4.03	402447	6915951.000
06/07/2012	4.06	4.09	3.97	3.98	556676	9576813.000
06/08/2012	4.01	4.03	3.97	3.99	244840	4191060.500
06/11/2012	4.01	4.13	3.98	4.12	778557	13594254.000
06/12/2012	4.14	4.16	4.05	4.06	688316	12031213.000
06/13/2012	4.05	4.05	3.92	4.03	859840	9519632.000
06/14/2012	4.02	4.11	4.02	4.03	752047	8470729.000
06/15/2012	4.07	4.07	3.97	4.04	581143	6469049.500
06/18/2012	4.05	4.13	4.05	4.13	824938	9355683.000
06/19/2012	4.12	4.42	4.08	4.29	2427294	28564030.000
06/20/2012	4.27	4.44	4.23	4.40	2405102	28870570.000
06/21/2012	4.40	4.40	4.23	4.31	1415055	16772121.000
06/25/2012	4.29	4.29	4.12	4.20	834067	9711787.000
06/26/2012	4.17	4.26	4.08	4.22	817965	9422809.000
06/27/2012	4.23	4.33	4.13	4.26	1164226	13676682.000
06/28/2012	4.28	4.29	4.16	4.18	796962	9332903.000
06/29/2012	4.08	4.19	4.03	4.19	769898	8768955.000
07/02/2012	4.22	4.31	4.19	4.30	1218494	14313779.000
07/03/2012	4.30	4.37	4.27	4.35	1224120	14578385.000
07/04/2012	4.34	4.37	4.22	4.24	846070	10013128.000
07/05/2012	4.20	4.20	3.95	3.96	1030687	11569574.000
07/06/2012	4.00	4.03	3.85	4.00	742728	8107819.000
07/09/2012	3.95	3.97	3.79	3.79	548477	5903369.500
