300226 上海钢联 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/08/2011	7.49	7.58	6.84	6.95	6890366	193538656.000
06/09/2011	6.92	7.65	6.92	7.47	4645487	134562000.000
06/10/2011	7.24	7.37	6.93	7.07	2459074	69353640.000
06/13/2011	6.99	7.06	6.58	6.68	2047774	54316664.000
06/14/2011	6.63	6.76	6.59	6.68	1180425	31211860.000
06/15/2011	6.68	6.70	6.46	6.50	1119301	29164534.000
06/16/2011	6.42	6.47	6.29	6.35	713744	18004936.000
06/17/2011	6.37	6.37	6.12	6.19	690197	17052266.000
06/20/2011	6.18	6.26	6.08	6.20	669325	16329085.000
06/21/2011	6.20	6.27	6.09	6.26	891983	21811444.000
06/22/2011	6.25	6.25	6.00	6.03	753337	18177916.000
06/23/2011	6.02	6.37	5.99	6.28	1149851	28353870.000
06/24/2011	6.25	6.63	6.22	6.53	1659447	42323864.000
06/27/2011	6.49	6.66	6.44	6.55	1199283	30972138.000
06/28/2011	6.55	6.55	6.41	6.52	626450	16052411.000
06/29/2011	6.50	6.61	6.42	6.43	504726	12993579.000
06/30/2011	6.43	6.56	6.40	6.53	649564	16686126.000
07/01/2011	6.51	6.70	6.51	6.59	967891	25319180.000
07/04/2011	6.61	6.74	6.58	6.71	924440	24350384.000
07/05/2011	6.67	6.77	6.57	6.65	1003775	26372094.000
07/06/2011	6.64	6.88	6.59	6.75	1201495	32017730.000
07/07/2011	6.72	7.23	6.70	6.97	1599620	44095588.000
07/08/2011	6.95	7.22	6.89	7.03	1123417	31262130.000
07/11/2011	7.00	7.14	6.83	7.06	555658	15470505.000
07/12/2011	6.89	7.03	6.88	6.91	693609	19065604.000
07/13/2011	6.91	7.61	6.91	7.61	1865225	54603112.000
07/14/2011	7.50	7.73	7.50	7.65	1258483	37718032.000
07/15/2011	7.60	8.01	7.55	7.60	1537642	47102624.000
07/18/2011	7.63	7.70	7.50	7.54	821551	24525912.000
07/19/2011	7.53	7.53	7.26	7.33	793559	23009872.000
07/20/2011	7.39	7.48	7.22	7.42	633351	18424314.000
07/21/2011	7.42	7.64	7.30	7.54	613009	18096390.000
07/22/2011	7.54	7.81	7.50	7.64	757244	22936640.000
07/25/2011	7.59	7.70	7.11	7.34	849947	24761548.000
07/26/2011	7.22	7.40	7.19	7.37	309047	8926461.000
07/27/2011	7.33	8.11	7.24	8.05	1434544	44922376.000
07/28/2011	7.89	8.10	7.74	8.08	1250262	39235200.000
07/29/2011	7.99	8.06	7.81	7.81	584775	18241948.000
08/01/2011	7.79	8.14	7.73	8.02	716372	22534816.000
08/02/2011	7.87	8.36	7.87	8.32	1145561	36841624.000
08/03/2011	8.21	8.32	8.07	8.08	842592	27148970.000
08/04/2011	8.12	8.16	7.81	7.86	763019	23896028.000
08/05/2011	7.47	7.76	7.40	7.68	647681	19390174.000
08/08/2011	7.60	7.60	6.97	7.26	680393	19653026.000
08/09/2011	7.06	7.59	6.86	7.40	733571	21381878.000
08/10/2011	7.59	7.73	7.40	7.43	821122	24534912.000
08/11/2011	7.27	7.60	7.19	7.54	514756	15178894.000
08/12/2011	7.86	8.01	7.73	7.84	946686	29426854.000
08/15/2011	7.94	8.10	7.84	8.05	664225	21004688.000
08/16/2011	8.05	8.08	7.88	7.99	363634	11438639.000
08/17/2011	7.94	8.29	7.93	8.18	572931	18385964.000
08/18/2011	8.21	8.25	8.02	8.03	388451	12460995.000
08/19/2011	7.88	7.97	7.69	7.88	435527	13456716.000
08/22/2011	7.99	8.57	7.91	8.31	622598	20445550.000
08/23/2011	8.32	9.01	8.32	8.98	1018772	35128908.000
08/24/2011	8.98	8.99	8.66	8.69	1031676	35808168.000
08/25/2011	8.71	8.82	8.25	8.50	1103280	36875088.000
08/26/2011	8.40	8.93	8.40	8.86	745489	25570850.000
08/29/2011	8.78	8.88	8.57	8.69	827817	28622924.000
08/30/2011	8.67	8.78	8.35	8.36	739740	24946794.000
08/31/2011	8.30	8.44	8.12	8.40	626189	20493376.000
09/01/2011	8.38	8.70	8.35	8.40	557474	18719314.000
09/02/2011	8.35	8.58	8.29	8.55	546687	18222584.000
09/07/2011	8.21	8.36	8.06	8.33	1123953	36412536.000
09/08/2011	8.24	8.32	7.73	7.78	1522096	48719412.000
09/09/2011	7.68	7.86	7.60	7.66	826683	25281078.000
09/13/2011	7.60	7.60	7.42	7.57	480689	14226820.000
09/14/2011	7.60	7.78	7.47	7.78	419308	12624945.000
09/15/2011	7.76	7.84	7.71	7.74	315658	9693318.000
09/16/2011	7.78	7.83	7.54	7.56	356326	10780476.000
09/19/2011	7.56	7.56	7.26	7.26	585365	16983662.000
09/20/2011	7.20	7.37	7.14	7.26	251110	7187001.000
09/21/2011	7.27	7.54	7.26	7.51	390904	11481430.000
09/22/2011	7.42	7.47	7.16	7.16	451449	13004621.000
09/23/2011	7.09	7.18	7.04	7.12	305786	8561357.000
09/26/2011	7.14	7.16	6.96	6.99	430085	12030789.000
09/27/2011	7.11	7.11	6.96	7.06	326764	9069102.000
09/28/2011	7.11	7.15	6.90	6.92	212474	5915806.500
09/29/2011	6.88	6.98	6.80	6.83	200370	5435065.500
