300227 光韵达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/08/2011	8.50	8.62	7.75	8.07	12092468	201323408.000
06/09/2011	7.88	8.19	7.57	7.64	6977082	111977024.000
06/10/2011	7.55	7.78	7.45	7.71	4371148	67915136.000
06/13/2011	7.57	7.78	7.53	7.67	2516883	39228032.000
06/14/2011	7.65	7.75	7.62	7.65	2590405	40554328.000
06/15/2011	7.65	7.68	7.41	7.45	2244016	34506008.000
06/16/2011	7.38	7.50	7.34	7.45	1245517	18862218.000
06/17/2011	7.45	7.46	7.25	7.26	1165051	17466428.000
06/20/2011	7.25	7.30	7.13	7.30	973267	14331508.000
06/21/2011	7.33	7.50	7.26	7.48	1466643	22181770.000
06/22/2011	7.41	7.45	7.25	7.31	880781	13193747.000
06/23/2011	7.27	7.68	7.20	7.62	1895188	29028340.000
06/24/2011	7.56	7.97	7.56	7.82	2675987	42331528.000
06/27/2011	7.82	7.99	7.76	7.83	1818657	29141978.000
06/28/2011	7.83	7.99	7.77	7.94	1147329	18416960.000
06/29/2011	7.95	7.99	7.68	7.68	1218110	19401354.000
06/30/2011	7.70	7.85	7.68	7.75	882018	13972613.000
07/01/2011	7.77	8.01	7.73	7.90	1265364	20413476.000
07/04/2011	7.95	8.12	7.91	8.05	1391754	22779736.000
07/05/2011	8.00	8.05	7.91	7.98	1133509	18435984.000
07/06/2011	7.99	8.41	7.95	8.25	2072832	34693912.000
07/07/2011	8.20	9.09	8.20	8.75	3723061	66811964.000
07/08/2011	8.70	8.92	8.61	8.67	2065203	36735020.000
07/11/2011	8.70	8.95	8.62	8.83	1213427	21680774.000
07/12/2011	8.74	8.79	8.44	8.50	1551951	27131616.000
07/13/2011	8.42	8.90	8.42	8.85	1568039	27872166.000
07/14/2011	8.85	9.03	8.77	8.98	1553223	28100434.000
07/15/2011	8.95	9.79	8.88	9.27	2837869	54024840.000
07/18/2011	9.29	9.52	9.15	9.32	1502049	28421884.000
07/19/2011	9.29	9.29	8.74	9.02	1637312	29960630.000
07/20/2011	9.10	9.27	8.75	8.95	1184837	21623546.000
07/21/2011	8.99	8.99	8.70	8.72	1308596	23472034.000
07/22/2011	8.80	9.09	8.77	9.05	1359791	24674658.000
07/25/2011	8.94	8.94	8.50	8.65	1570191	27809824.000
07/26/2011	8.65	8.82	8.55	8.78	1034144	18291912.000
07/27/2011	8.79	9.24	8.66	9.16	1887642	34756620.000
07/28/2011	9.05	9.45	9.00	9.18	1784858	33474768.000
07/29/2011	9.12	9.24	8.86	8.90	1387029	25416264.000
08/01/2011	8.86	9.36	8.85	9.34	1742819	32556702.000
08/02/2011	9.25	9.45	8.98	9.36	1965062	36754432.000
08/03/2011	9.20	9.57	8.97	9.09	2254703	42381540.000
