300228 富瑞特装 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/08/2011	13.61	15.33	13.47	14.76	12208937	357357184.000
06/09/2011	14.41	14.75	13.92	14.15	6261853	182934144.000
06/10/2011	14.05	14.06	13.00	13.61	4328281	119934568.000
06/13/2011	13.51	14.30	13.41	13.94	2536549	72422952.000
06/14/2011	13.68	13.97	13.49	13.82	1249735	35086140.000
06/15/2011	13.86	14.41	13.73	13.76	1777071	51021112.000
06/16/2011	13.65	13.69	13.05	13.36	1085237	29624448.000
06/17/2011	13.29	13.58	13.21	13.35	810673	22263524.000
06/20/2011	13.41	13.65	13.30	13.52	516157	14201960.000
06/21/2011	13.60	14.26	13.52	14.11	1304258	37317772.000
06/22/2011	14.11	14.46	13.86	14.30	1087488	31629394.000
06/23/2011	14.21	15.50	14.05	15.18	1828891	55700652.000
06/24/2011	15.00	15.96	14.99	15.71	1461863	45622140.000
06/27/2011	15.71	16.95	15.57	16.71	1643191	54587968.000
06/28/2011	16.46	17.33	16.38	16.93	1247537	42638716.000
06/29/2011	16.93	16.96	16.42	16.52	703453	23809824.000
06/30/2011	16.57	17.44	16.46	16.71	1062284	36491500.000
07/01/2011	16.71	17.61	16.57	17.16	1030660	35690932.000
07/04/2011	17.44	17.94	17.16	17.36	1148185	40617944.000
07/05/2011	17.26	17.46	17.06	17.36	761828	26690282.000
07/06/2011	17.36	17.95	16.99	17.76	856597	30548412.000
07/07/2011	17.91	18.41	17.54	17.54	1091258	39776628.000
07/08/2011	17.65	17.79	16.96	17.40	633791	22352180.000
07/11/2011	18.20	18.20	17.09	17.41	783952	27789032.000
07/12/2011	17.21	17.34	16.48	16.71	828466	28441672.000
07/13/2011	16.74	17.21	16.29	17.21	3157005	107043624.000
07/14/2011	17.01	17.31	16.64	17.06	2489907	85821216.000
07/15/2011	17.11	18.11	16.94	17.50	1610667	57544104.000
07/18/2011	17.46	17.71	16.97	17.52	996197	35036312.000
07/19/2011	17.48	19.10	17.11	18.96	1789576	66412632.000
07/20/2011	18.46	18.91	17.97	18.53	1432854	53513568.000
07/21/2011	18.32	18.65	17.97	18.26	536182	19994426.000
07/22/2011	18.32	19.46	18.32	19.15	1097350	42258620.000
07/25/2011	18.95	19.44	18.01	18.11	902698	33880536.000
07/26/2011	18.20	18.30	17.21	17.70	1249185	44458752.000
07/27/2011	17.55	19.00	17.34	18.98	1173534	43304104.000
07/28/2011	18.71	19.43	18.51	18.85	1819553	70480464.000
07/29/2011	18.84	18.84	17.89	18.15	1151921	42833540.000
08/01/2011	18.15	18.89	18.05	18.66	1026671	38957644.000
08/02/2011	18.37	19.34	17.57	19.24	2140334	78889904.000
08/03/2011	18.82	20.45	18.77	19.84	1488356	59527668.000
08/04/2011	19.80	20.44	19.36	19.61	718849	28749896.000
08/08/2011	19.25	19.60	18.76	19.34	1544778	60259060.000
08/09/2011	18.82	20.96	18.81	20.32	1088490	43927052.000
08/10/2011	20.36	21.68	20.36	21.46	1151777	49681224.000
08/11/2011	21.22	21.94	20.97	21.29	1089012	47109880.000
08/12/2011	21.34	21.70	20.67	20.81	1220311	52472464.000
08/15/2011	20.96	22.31	20.96	22.23	1836453	80683664.000
08/16/2011	22.16	22.69	21.93	22.40	1043213	47023036.000
08/17/2011	22.26	22.86	22.00	22.41	912259	41751440.000
08/18/2011	22.44	23.04	21.69	21.81	859364	38887952.000
08/19/2011	21.64	22.66	21.47	22.20	745179	33363136.000
08/22/2011	22.55	23.71	22.51	23.37	846992	39809984.000
08/23/2011	23.71	23.86	22.71	23.71	722421	34138028.000
08/24/2011	23.61	23.76	22.79	23.14	908121	42648208.000
08/25/2011	23.06	23.21	22.01	22.61	897601	40877424.000
08/26/2011	22.61	23.25	22.58	22.86	601506	27939916.000
08/30/2011	23.11	23.12	21.81	21.81	626727	28364044.000
08/31/2011	21.83	22.15	20.74	21.47	950987	41108808.000
09/01/2011	21.29	21.91	20.87	21.21	486770	21126402.000
09/02/2011	21.38	21.38	20.76	21.19	525337	22345522.000
09/05/2011	20.86	20.95	20.26	20.45	570545	23857828.000
09/06/2011	20.29	20.31	19.24	20.21	1541158	62092740.000
09/07/2011	19.97	21.15	19.97	20.89	956533	39957472.000
09/08/2011	20.89	20.96	19.56	19.71	1911375	78813584.000
