300229 拓尔思 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/15/2011	10.41	10.96	9.39	9.64	20148258	358770336.000
06/16/2011	9.31	9.43	8.95	9.11	8416232	135784224.000
06/17/2011	9.05	9.24	8.82	8.90	4532186	71247696.000
06/20/2011	8.96	9.22	8.87	9.13	4853612	77000224.000
06/21/2011	9.06	9.12	8.88	9.02	3682234	58096836.000
06/22/2011	8.96	8.99	8.71	8.71	3306888	51218720.000
06/23/2011	8.65	9.17	8.61	9.09	4210237	66049916.000
06/24/2011	9.02	9.45	8.99	9.26	4049444	65229660.000
06/27/2011	9.30	9.82	9.28	9.69	5116012	85814744.000
06/28/2011	9.55	9.61	9.35	9.48	2713274	44964884.000
06/29/2011	9.40	9.68	9.21	9.21	2159495	35795440.000
06/30/2011	9.26	9.43	9.24	9.26	2197076	35815660.000
07/01/2011	9.25	9.58	9.25	9.41	2314702	38317320.000
07/04/2011	9.44	9.63	9.38	9.59	2938172	49000916.000
07/05/2011	9.61	9.81	9.51	9.55	2421368	40763780.000
07/06/2011	9.51	9.94	9.51	9.79	3938524	67356720.000
07/07/2011	9.79	10.74	9.79	10.21	6107702	109407088.000
07/08/2011	10.25	10.84	10.21	10.61	5214224	96228000.000
07/11/2011	10.72	10.82	10.46	10.74	2181686	40556560.000
07/12/2011	10.59	10.69	10.42	10.55	2060576	37955764.000
07/13/2011	10.55	11.11	10.55	10.84	2909358	55199104.000
07/14/2011	10.86	11.45	10.80	11.38	3636574	70833352.000
07/15/2011	11.39	11.82	11.25	11.59	2964129	59601736.000
07/18/2011	11.52	11.91	11.25	11.34	3072346	61789224.000
07/19/2011	11.18	11.32	10.92	11.07	1509529	29268498.000
07/20/2011	11.16	11.28	10.68	10.87	1645405	31392246.000
07/21/2011	10.82	11.19	10.74	10.99	1332548	25518700.000
07/22/2011	11.04	11.29	10.95	11.03	1105063	21387316.000
07/25/2011	10.90	11.45	10.73	10.81	1682558	32543364.000
07/26/2011	10.78	11.15	10.55	11.14	1307047	24824974.000
07/27/2011	11.16	12.12	11.12	11.92	2013095	40928752.000
07/28/2011	11.61	11.75	11.43	11.43	2718018	54680040.000
07/29/2011	12.08	12.59	11.56	11.71	1993082	41301060.000
08/01/2011	11.61	12.29	11.61	12.20	1239487	25963616.000
