300230 永利带业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/15/2011	7.98	8.32	7.63	7.66	15852271	235897232.000
06/16/2011	7.79	8.02	7.66	7.81	7202650	105323288.000
06/17/2011	7.77	7.82	7.35	7.49	5165133	72714176.000
06/20/2011	7.50	7.82	7.48	7.71	4083450	58468916.000
06/21/2011	7.83	8.31	7.77	7.88	5297801	78846104.000
06/22/2011	7.78	7.98	7.66	7.80	3143327	45641420.000
06/23/2011	7.71	8.31	7.49	8.13	5972229	88998008.000
06/24/2011	8.03	8.58	7.96	8.29	5697369	87885544.000
06/27/2011	8.49	8.98	8.43	8.46	4490383	71983312.000
06/28/2011	8.37	8.77	8.37	8.70	3014983	48192316.000
06/29/2011	8.62	8.70	8.43	8.43	1715006	27268312.000
06/30/2011	8.41	8.67	8.38	8.47	1646439	26016242.000
07/01/2011	8.44	8.82	8.44	8.58	1826213	29399662.000
07/04/2011	8.60	8.82	8.51	8.80	1862015	29951720.000
07/05/2011	8.79	8.80	8.54	8.64	1582942	25454690.000
07/06/2011	8.64	9.16	8.56	8.81	2410443	39530632.000
07/07/2011	8.86	9.37	8.83	9.06	2245883	37815328.000
07/08/2011	9.04	9.27	8.93	9.07	1644273	27656914.000
07/11/2011	9.08	9.25	9.02	9.12	1025295	17379928.000
07/12/2011	9.11	9.26	8.70	8.71	1530625	25236348.000
07/13/2011	8.74	9.03	8.65	8.99	1596770	26297178.000
07/14/2011	8.99	9.06	8.77	9.02	2221193	36749564.000
07/15/2011	8.97	9.26	8.94	9.01	1828265	30862502.000
07/18/2011	9.04	9.36	8.98	9.13	1888809	32219910.000
07/19/2011	9.09	9.13	8.86	8.99	1046662	17422866.000
07/20/2011	9.04	9.12	8.74	8.84	1178307	19530228.000
07/21/2011	8.79	8.86	8.61	8.71	859205	13965442.000
07/22/2011	8.74	8.98	8.70	8.87	1533835	25206820.000
07/25/2011	8.77	8.87	8.64	8.66	998467	16228963.000
07/26/2011	8.66	8.90	8.64	8.90	596078	9737249.000
07/27/2011	8.88	9.35	8.77	9.22	1224973	20852726.000
07/28/2011	9.22	9.54	9.11	9.30	1132138	19523430.000
07/29/2011	9.21	9.48	9.17	9.34	1141746	19718440.000
08/01/2011	9.29	9.80	9.08	9.71	1455036	25894206.000
08/02/2011	9.63	9.81	9.39	9.77	883180	15640857.000
08/03/2011	9.60	9.82	9.48	9.54	890310	15949391.000
08/05/2011	9.04	10.10	8.89	9.93	2018029	36126116.000
08/08/2011	9.71	9.85	9.38	9.71	1212040	21533840.000
08/09/2011	9.42	9.64	9.18	9.38	657527	11441400.000
08/10/2011	9.50	10.12	9.50	9.56	938307	16999236.000
08/11/2011	9.41	10.02	9.29	9.76	949870	17165368.000
08/12/2011	9.96	9.96	9.72	9.85	594549	10813175.000
08/15/2011	9.78	10.32	9.77	10.16	792415	14724965.000
08/16/2011	10.17	10.27	9.94	10.16	728731	13611146.000
08/17/2011	10.14	10.34	10.07	10.20	679495	12825060.000
08/18/2011	10.19	10.19	9.73	9.86	1025789	18826804.000
08/19/2011	9.54	9.98	9.52	9.94	696811	12679351.000
08/22/2011	9.98	10.16	9.89	10.04	1056625	19657892.000
08/23/2011	10.08	10.52	9.98	10.42	1492236	28591638.000
08/24/2011	10.46	10.84	10.41	10.41	1748204	34380664.000
08/25/2011	10.35	10.54	10.07	10.38	1180245	22416784.000
08/26/2011	10.32	10.91	10.32	10.79	1485083	29469172.000
08/29/2011	10.92	11.04	10.67	10.88	1140477	22892514.000
08/30/2011	11.00	11.02	10.44	10.44	1458694	28866500.000
08/31/2011	10.43	10.54	10.11	10.27	1292690	24525918.000
09/01/2011	10.37	10.52	10.19	10.41	524975	10037070.000
09/02/2011	10.33	10.46	10.16	10.29	405100	7704310.000
09/05/2011	10.26	10.26	10.01	10.20	485535	9089135.000
09/06/2011	10.10	10.20	9.71	9.99	586096	10758685.000
09/07/2011	10.09	10.24	9.87	10.24	451339	8432799.000
09/08/2011	10.24	10.28	9.92	9.94	248174	4628426.500
09/09/2011	9.85	9.94	9.56	9.66	600274	10796802.000
09/13/2011	9.35	9.54	9.35	9.44	380744	6694084.500
09/14/2011	9.71	9.97	9.38	9.66	208496	3719957.000
09/15/2011	9.60	9.81	9.52	9.60	443392	7901203.000
09/16/2011	9.66	9.66	9.22	9.62	396976	6974945.000
09/19/2011	9.34	9.45	9.14	9.21	365302	6251058.000
09/20/2011	9.16	9.26	9.04	9.09	524329	8908250.000
09/21/2011	9.09	9.43	8.93	9.38	1497248	25753902.000
09/22/2011	9.32	9.38	8.61	8.74	961304	16216380.000
09/23/2011	8.56	9.16	8.41	9.16	1006071	16278233.000
09/26/2011	8.96	9.06	8.78	8.82	895940	14850044.000
09/27/2011	8.85	8.95	8.79	8.88	379786	6250866.500
09/28/2011	8.79	9.02	8.66	8.78	571201	9406102.000
09/29/2011	8.66	8.88	8.55	8.76	427228	6886798.000
09/30/2011	8.72	8.82	8.57	8.76	258991	4179457.250
