300231 银信科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/15/2011	4.48	4.86	4.34	4.51	7132349	180188272.000
06/16/2011	4.39	4.76	4.33	4.58	3778126	96295272.000
06/17/2011	4.54	4.64	4.33	4.34	2289093	57402304.000
06/20/2011	4.27	4.38	4.17	4.31	1492842	35632624.000
06/21/2011	4.29	4.43	4.27	4.38	1554064	37722104.000
06/22/2011	4.36	4.37	4.15	4.18	1730902	40923716.000
06/23/2011	4.13	4.42	4.05	4.35	1698036	40661380.000
06/24/2011	4.30	4.80	4.28	4.70	2511299	63792540.000
06/27/2011	4.63	4.88	4.63	4.81	1694124	45001420.000
06/28/2011	4.76	4.82	4.65	4.75	1291554	34081240.000
06/29/2011	4.70	4.75	4.57	4.57	1127148	29313418.000
06/30/2011	4.58	4.81	4.58	4.70	1040159	27307864.000
07/01/2011	4.76	5.16	4.71	4.94	1537069	42066252.000
07/04/2011	4.96	5.08	4.91	5.00	1256142	34772324.000
07/05/2011	5.03	5.16	4.95	5.06	961713	26929218.000
07/06/2011	5.05	5.26	5.01	5.16	1172881	33622440.000
07/07/2011	5.22	5.53	5.21	5.31	1390389	41220852.000
07/08/2011	5.26	5.35	5.18	5.29	945389	27525500.000
07/11/2011	5.22	5.38	5.21	5.35	651497	19151380.000
07/12/2011	5.30	5.32	5.13	5.14	900367	26007496.000
07/13/2011	5.13	5.51	5.13	5.47	1117434	33107118.000
07/14/2011	5.48	5.55	5.36	5.48	893319	26990406.000
07/15/2011	5.49	5.85	5.43	5.50	1125281	34860980.000
07/18/2011	5.52	5.57	5.46	5.49	658002	20081404.000
07/19/2011	5.50	5.50	5.23	5.26	1065826	31341258.000
07/20/2011	5.33	5.37	5.24	5.29	826769	24333406.000
07/21/2011	5.31	5.45	5.18	5.35	892266	26300776.000
07/22/2011	5.38	5.52	5.29	5.37	994245	29718804.000
07/25/2011	5.37	5.37	5.02	5.05	1172930	33648656.000
07/26/2011	5.04	5.11	4.96	5.09	690044	19265678.000
07/27/2011	5.23	5.61	5.23	5.61	1685730	51051208.000
07/28/2011	5.70	6.15	5.70	5.91	2987135	96710560.000
07/29/2011	5.85	6.09	5.85	5.91	1797801	59236140.000
08/01/2011	5.83	6.33	5.79	6.20	1823110	61599260.000
08/02/2011	6.11	6.22	5.96	6.20	1483685	49952948.000
08/03/2011	6.09	6.39	6.07	6.16	1191046	40871112.000
08/04/2011	6.13	6.19	5.98	6.02	923029	30921898.000
08/05/2011	5.81	5.98	5.80	5.89	935122	30489808.000
08/08/2011	5.86	5.86	5.52	5.66	1097827	34603664.000
08/09/2011	5.52	5.93	5.50	5.93	1159784	37099240.000
08/10/2011	5.98	6.40	5.98	6.15	1732392	59661936.000
08/11/2011	6.05	6.31	6.03	6.23	1111720	38033020.000
08/12/2011	6.26	6.47	6.22	6.37	1126555	39456204.000
08/15/2011	6.52	6.52	6.30	6.39	861433	30427978.000
08/16/2011	6.41	6.41	6.27	6.37	647134	22687478.000
08/17/2011	6.32	6.64	6.29	6.64	1158117	41488872.000
08/18/2011	6.61	6.76	6.39	6.44	853838	30995870.000
08/19/2011	6.33	6.59	6.27	6.58	814580	28904460.000
08/22/2011	6.55	6.90	6.55	6.79	1059265	39690704.000
08/23/2011	6.81	7.20	6.74	7.19	1185583	45492740.000
08/24/2011	7.19	7.19	6.91	6.95	1008814	39317748.000
08/25/2011	7.02	7.02	6.69	6.91	938001	35325544.000
08/26/2011	6.84	7.27	6.84	7.22	969847	38007656.000
08/29/2011	7.19	7.36	7.17	7.22	544676	21817070.000
08/30/2011	7.26	7.32	6.93	6.96	710184	27708350.000
08/31/2011	6.94	6.99	6.69	6.96	696991	26328724.000
09/01/2011	6.96	7.03	6.71	6.72	647132	24474764.000
09/02/2011	6.69	6.99	6.64	6.95	588278	22149298.000
09/05/2011	6.85	6.99	6.76	6.78	661138	25125256.000
09/06/2011	6.77	6.81	6.33	6.48	809136	29191798.000
09/07/2011	6.43	6.68	6.41	6.64	469227	17038940.000
09/08/2011	6.61	6.69	6.18	6.18	779717	27775082.000
09/09/2011	6.18	6.29	6.12	6.14	357979	12227036.000
09/13/2011	6.07	6.11	5.93	6.00	340140	11272295.000
09/14/2011	6.00	6.18	5.98	6.18	370986	12497243.000
09/15/2011	6.13	6.36	6.10	6.26	1524698	52302616.000
09/16/2011	6.21	6.26	6.02	6.04	805668	27340802.000
09/19/2011	5.97	5.97	5.66	5.68	566854	18275314.000
09/20/2011	5.67	5.81	5.66	5.72	394475	12516526.000
09/21/2011	5.76	6.02	5.68	5.96	804863	26248384.000
09/22/2011	5.89	5.94	5.63	5.63	724581	23318866.000
09/23/2011	5.54	5.66	5.44	5.60	528343	16230911.000
09/26/2011	5.57	5.66	5.49	5.53	449984	13947205.000
09/27/2011	5.58	5.64	5.49	5.56	345140	10680363.000
09/28/2011	5.61	5.70	5.41	5.44	562213	17357812.000
09/29/2011	5.39	5.40	5.22	5.24	402315	11795564.000
09/30/2011	5.33	5.33	5.18	5.27	268956	7845530.500
10/10/2011	5.26	5.31	5.19	5.22	286556	8340331.500
10/11/2011	5.42	5.48	5.20	5.23	483417	14361391.000
10/12/2011	5.28	5.74	5.19	5.68	919740	28175836.000
10/13/2011	5.60	5.81	5.60	5.75	846109	26883334.000
10/14/2011	5.71	5.83	5.66	5.79	611243	19474692.000
10/17/2011	5.81	5.91	5.78	5.87	555016	17969916.000
10/18/2011	5.80	5.87	5.55	5.56	679851	21386988.000
10/19/2011	5.61	5.72	5.57	5.63	406804	12697126.000
10/20/2011	5.56	5.59	5.34	5.46	496512	14970877.000
10/21/2011	5.04	5.06	4.89	4.89	840474	23117812.000
10/24/2011	4.67	4.78	4.40	4.74	1578759	40165408.000
10/25/2011	4.67	4.89	4.58	4.85	1333508	35288560.000
10/26/2011	4.78	4.94	4.76	4.83	956666	25802340.000
10/27/2011	4.83	4.89	4.78	4.80	580188	15608503.000
10/28/2011	4.83	4.99	4.80	4.97	848253	22997674.000
10/31/2011	4.98	5.07	4.96	5.02	671072	18690634.000
11/01/2011	4.96	5.14	4.90	5.12	935547	25988704.000
11/02/2011	5.00	5.51	4.99	5.43	1341507	38923944.000
11/03/2011	5.43	5.66	5.31	5.32	1383253	42019796.000
11/04/2011	5.41	5.44	5.26	5.34	736618	21793270.000
11/07/2011	5.38	5.41	5.28	5.32	401038	11899919.000
11/08/2011	5.34	5.34	5.17	5.19	521720	15282868.000
11/09/2011	5.22	5.40	5.17	5.39	648122	18982996.000
11/10/2011	5.33	5.57	5.31	5.37	943084	28475738.000
11/11/2011	5.44	5.44	5.30	5.37	414009	12324388.000
11/14/2011	5.41	5.59	5.41	5.57	698016	21396142.000
11/15/2011	5.57	5.59	5.50	5.55	448485	13778528.000
11/16/2011	5.53	5.58	5.22	5.29	637774	19222066.000
11/17/2011	5.32	5.59	5.29	5.55	1059997	32112712.000
11/18/2011	5.47	5.68	5.43	5.47	1041652	32013528.000
11/21/2011	5.42	5.50	5.17	5.30	806970	23688686.000
11/22/2011	5.23	5.30	5.16	5.30	488921	14226808.000
11/23/2011	5.36	5.72	5.31	5.53	1630452	50461608.000
11/24/2011	5.41	5.65	5.41	5.65	1080543	33253502.000
11/25/2011	5.63	5.66	5.43	5.49	822927	25292066.000
11/28/2011	5.50	5.55	5.35	5.41	538827	16328099.000
11/29/2011	5.46	5.48	5.31	5.45	571567	17140356.000
11/30/2011	5.43	5.44	4.93	5.01	913438	26163158.000
12/01/2011	5.19	5.28	5.04	5.09	613853	17616970.000
12/02/2011	5.09	5.10	4.89	4.90	444675	12271460.000
12/05/2011	4.88	4.91	4.71	4.72	308405	8212544.000
12/06/2011	4.75	4.90	4.72	4.85	249396	6673239.500
12/07/2011	4.85	4.96	4.81	4.90	243683	6641094.000
12/08/2011	4.91	5.07	4.80	4.99	384959	10607448.000
12/09/2011	4.93	5.03	4.90	4.93	206800	5697596.500
12/12/2011	4.94	5.03	4.94	4.96	247710	6855774.000
12/13/2011	4.91	4.94	4.86	4.89	435813	11875983.000
12/14/2011	4.89	4.96	4.83	4.89	250573	6826242.000
12/15/2011	4.83	5.00	4.82	4.94	279940	7655471.500
12/16/2011	4.94	5.14	4.94	5.11	416464	11655943.000
12/19/2011	5.07	5.20	5.02	5.18	470400	13340175.000
12/20/2011	5.09	5.19	5.09	5.10	371161	10619847.000
12/21/2011	5.14	5.18	4.91	4.91	301365	8464259.000
12/22/2011	4.83	4.92	4.71	4.85	344063	9234829.000
12/23/2011	4.85	4.98	4.81	4.86	206235	5617332.000
12/26/2011	4.83	4.96	4.83	4.85	128159	3493220.500
12/27/2011	4.85	4.85	4.53	4.56	296697	7737717.000
12/28/2011	4.56	4.56	4.35	4.46	294288	7274750.500
12/29/2011	4.41	4.55	4.40	4.48	128809	3226546.750
12/30/2011	4.50	4.61	4.50	4.58	123815	3159028.750
01/04/2012	4.62	4.62	4.36	4.37	239521	6008682.500
01/05/2012	4.31	4.31	4.02	4.03	367152	8548008.000
01/06/2012	4.02	4.11	3.93	4.07	286599	6436971.500
01/09/2012	4.04	4.25	3.94	4.23	273277	6320556.500
01/10/2012	4.22	4.48	4.19	4.43	394190	9596845.000
01/11/2012	4.43	4.56	4.37	4.45	268147	6715524.500
01/12/2012	4.40	4.50	4.35	4.36	224619	5531498.000
01/13/2012	4.35	4.41	4.02	4.09	370375	8617087.000
01/16/2012	4.01	4.09	3.68	3.69	455110	9873878.000
01/17/2012	3.88	4.07	3.81	4.07	605336	13547098.000
01/18/2012	4.28	4.44	3.93	4.02	1112674	26537982.000
01/19/2012	4.02	4.29	3.94	4.21	598378	13886342.000
01/20/2012	4.21	4.28	4.18	4.24	383263	9089978.000
01/30/2012	4.24	4.46	4.19	4.33	351463	8515318.000
01/31/2012	4.33	4.44	4.31	4.39	407936	9940017.000
02/01/2012	4.40	4.43	4.29	4.31	350755	8579529.000
02/02/2012	4.32	4.43	4.31	4.42	308021	7515876.500
02/03/2012	4.37	4.51	4.37	4.50	392213	9731817.000
02/06/2012	4.48	4.56	4.43	4.46	364447	9136845.000
02/07/2012	4.44	4.46	4.33	4.35	364400	8951790.000
02/08/2012	4.36	4.52	4.36	4.52	441324	10961564.000
02/09/2012	4.50	4.71	4.49	4.59	599946	15429214.000
02/10/2012	4.59	4.63	4.53	4.61	277744	7102029.000
02/13/2012	4.54	4.72	4.54	4.70	367637	9563074.000
02/14/2012	4.70	4.71	4.63	4.69	263441	6849793.500
02/15/2012	4.60	4.75	4.60	4.74	284109	7451420.000
02/16/2012	4.73	4.79	4.61	4.66	408417	10688212.000
02/17/2012	4.68	4.70	4.58	4.63	253935	6540028.000
02/20/2012	4.71	4.80	4.68	4.71	598031	15793427.000
02/21/2012	4.72	5.03	4.71	5.03	858678	23336644.000
02/22/2012	5.00	5.16	4.96	5.09	695476	19608834.000
02/23/2012	5.09	5.25	5.04	5.22	949008	27217424.000
02/24/2012	5.21	5.26	5.15	5.24	627253	18184592.000
02/27/2012	5.24	5.78	5.24	5.73	1570834	49018392.000
02/28/2012	5.75	6.13	5.75	5.88	2599766	84832448.000
02/29/2012	5.80	5.82	5.56	5.63	1091976	34487468.000
03/01/2012	5.59	5.65	5.52	5.61	495687	15409798.000
03/02/2012	5.57	5.70	5.57	5.68	389152	12184097.000
03/05/2012	5.69	5.70	5.59	5.63	606868	18952624.000
03/06/2012	5.59	5.66	5.46	5.57	516932	15914178.000
