300232 洲明科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/22/2011	6.75	6.84	6.52	6.55	8805774	154057312.000
06/23/2011	6.55	7.07	6.37	6.85	6877051	121491624.000
06/24/2011	6.76	7.40	6.73	7.18	6436924	119608472.000
06/27/2011	7.26	7.53	7.20	7.42	4617345	89373128.000
06/28/2011	7.35	7.53	7.28	7.36	2513715	48840172.000
06/29/2011	7.32	7.42	7.17	7.17	2265373	43366512.000
06/30/2011	7.17	7.26	7.09	7.18	1812374	34108632.000
07/01/2011	7.27	7.41	7.16	7.17	1887877	36140488.000
07/04/2011	7.18	7.35	7.15	7.29	1800275	34246160.000
07/05/2011	7.29	7.30	7.08	7.22	1437657	27239436.000
07/06/2011	7.21	7.76	7.19	7.47	3438343	67437448.000
07/07/2011	7.51	7.95	7.51	7.68	3889917	78980896.000
07/08/2011	7.70	7.83	7.55	7.71	1936746	39062164.000
07/11/2011	7.71	7.86	7.66	7.72	1773652	36148036.000
07/12/2011	7.65	7.70	7.38	7.41	1823484	36034044.000
07/13/2011	7.42	7.68	7.36	7.66	2617254	51686768.000
07/14/2011	7.66	7.85	7.56	7.85	2076395	41884204.000
07/15/2011	7.85	8.23	7.78	7.99	2820793	59446048.000
07/18/2011	8.01	8.06	7.81	7.85	1568765	32552678.000
07/19/2011	7.81	7.81	7.50	7.59	1820971	36392320.000
07/20/2011	7.68	7.69	7.44	7.56	1092618	21651268.000
07/21/2011	7.54	7.68	7.51	7.58	1241179	24739328.000
07/22/2011	7.66	7.81	7.60	7.71	1467313	29733682.000
07/25/2011	7.62	7.71	7.33	7.35	1510167	29754110.000
07/26/2011	7.41	7.43	7.25	7.43	952975	18383480.000
07/27/2011	7.42	8.15	7.35	7.93	3532706	72187256.000
07/28/2011	7.80	8.04	7.77	8.01	2161884	44889700.000
07/29/2011	7.96	8.04	7.74	7.80	2044250	41969620.000
08/01/2011	7.86	8.32	7.80	8.20	3312260	70842080.000
08/02/2011	8.08	8.24	7.89	8.21	2536114	53561376.000
08/03/2011	8.05	8.20	7.97	8.03	1924437	40760872.000
08/04/2011	8.08	8.08	7.78	7.83	1791884	37120648.000
08/05/2011	7.43	7.72	7.40	7.58	1609405	32110174.000
08/08/2011	7.51	7.58	6.88	7.05	1868950	35483696.000
08/09/2011	6.85	7.17	6.66	7.08	1334560	24465410.000
08/10/2011	7.26	7.34	7.11	7.13	1633530	30986906.000
08/11/2011	6.93	7.37	6.93	7.34	1423632	27034856.000
08/12/2011	7.45	7.56	7.38	7.41	1235896	24189044.000
08/15/2011	7.52	7.65	7.43	7.61	1152474	22844798.000
08/16/2011	7.64	7.73	7.54	7.58	1404158	28066754.000
08/17/2011	7.58	7.71	7.54	7.65	1256146	25149408.000
08/18/2011	7.61	7.70	7.45	7.47	1329443	26463560.000
08/19/2011	7.35	7.40	7.24	7.36	1344507	25822354.000
08/22/2011	7.37	7.79	7.37	7.69	1932930	38600708.000
08/23/2011	7.73	8.46	7.69	8.31	3837566	81463072.000
08/24/2011	8.31	8.58	8.24	8.41	4158122	91516744.000
08/26/2011	8.32	9.06	8.28	8.66	3055423	69775920.000
08/29/2011	8.66	9.01	8.64	8.69	2277687	52436620.000
08/30/2011	8.77	8.84	8.33	8.33	2180170	49149808.000
08/31/2011	8.22	8.68	8.22	8.59	2402299	53043052.000
09/01/2011	8.58	8.65	8.26	8.38	1462218	32484520.000
09/02/2011	8.33	8.74	8.26	8.70	2283147	51077848.000
09/05/2011	8.54	8.71	8.40	8.46	2001351	44917564.000
09/06/2011	8.28	8.37	7.63	7.79	2437653	50937600.000
09/07/2011	7.84	8.08	7.72	8.02	1231823	25595922.000
09/08/2011	8.01	8.16	7.63	7.76	1052786	22101144.000
09/09/2011	7.77	7.95	7.70	7.81	825097	16965438.000
09/13/2011	7.71	7.71	7.54	7.60	686219	13746552.000
09/14/2011	7.72	7.83	7.49	7.79	827481	16626055.000
09/15/2011	7.79	7.92	7.71	7.71	704635	14441847.000
09/16/2011	7.73	7.82	7.54	7.56	756241	15205873.000
09/19/2011	7.47	7.48	7.19	7.19	1080074	20650324.000
09/20/2011	7.19	7.30	7.11	7.23	520491	9842555.000
09/21/2011	7.22	7.52	7.16	7.46	861419	16729230.000
09/22/2011	7.34	7.42	7.03	7.08	3059219	57715084.000
09/23/2011	6.96	7.04	6.81	6.93	1584417	28884036.000
09/26/2011	6.87	7.00	6.78	6.82	755953	13655943.000
09/27/2011	6.92	6.95	6.81	6.91	710676	12853279.000
09/28/2011	6.99	7.00	6.68	6.74	873622	15767819.000
09/29/2011	6.69	6.77	6.52	6.55	622503	10828336.000
09/30/2011	6.55	6.61	6.42	6.59	603775	10364267.000
10/10/2011	6.59	6.65	6.53	6.58	314920	5451826.000
10/11/2011	6.77	6.81	6.43	6.54	737510	12916938.000
10/12/2011	6.45	6.85	6.41	6.81	971769	17145364.000
10/13/2011	6.76	6.98	6.72	6.87	1109121	20013460.000
10/14/2011	6.78	6.86	6.72	6.81	663195	11812609.000
10/17/2011	6.79	7.00	6.77	6.96	1246524	22640502.000
10/18/2011	6.89	7.01	6.67	6.68	1017489	18389276.000
10/19/2011	6.72	6.77	6.59	6.69	614474	10794606.000
10/20/2011	6.58	6.62	6.40	6.43	623548	10661034.000
10/21/2011	6.43	6.44	6.16	6.18	637168	10501393.000
10/24/2011	6.20	6.32	5.99	6.30	773766	12560588.000
10/25/2011	6.36	6.64	6.32	6.57	1273535	21765472.000
10/26/2011	6.48	6.75	6.47	6.67	1084740	18962262.000
10/27/2011	6.66	6.75	6.61	6.64	849686	14906929.000
10/28/2011	6.73	6.88	6.66	6.87	1513345	26929368.000
10/31/2011	6.85	7.00	6.81	6.93	1183771	21460976.000
11/01/2011	6.82	6.93	6.74	6.90	1039216	18706432.000
11/02/2011	6.70	7.59	6.70	7.59	4535011	87178128.000
11/03/2011	7.63	7.98	7.63	7.72	5714194	116805744.000
11/04/2011	7.72	7.85	7.54	7.64	2672527	53851756.000
11/07/2011	7.69	8.16	7.68	7.81	4351763	90845768.000
11/08/2011	7.73	7.76	7.51	7.62	2037996	40803884.000
11/09/2011	7.58	7.93	7.53	7.90	2584904	52607924.000
11/10/2011	7.76	8.20	7.74	7.74	3765431	78364752.000
11/11/2011	7.77	7.96	7.58	7.65	2256683	46089244.000
11/14/2011	7.81	8.31	7.78	8.08	3145544	66655608.000
11/16/2011	8.03	8.17	7.83	7.93	2504985	52479712.000
11/17/2011	8.00	8.25	7.88	8.04	2718481	57523476.000
11/18/2011	7.99	8.00	7.55	7.63	2392257	48527320.000
11/21/2011	7.58	7.70	7.19	7.41	1604464	31256788.000
11/22/2011	7.30	7.46	7.24	7.41	1115398	21537144.000
11/23/2011	7.41	7.54	7.38	7.40	1160819	22790520.000
11/24/2011	7.26	7.51	7.19	7.50	1249015	24151638.000
11/25/2011	7.51	7.53	7.21	7.39	1126298	21803728.000
11/28/2011	7.38	7.38	7.23	7.32	1126735	21594676.000
11/29/2011	7.39	7.43	7.26	7.41	1099513	21206346.000
11/30/2011	7.40	7.40	6.70	6.75	1708026	31386118.000
12/01/2011	6.98	7.11	6.74	6.75	1864731	34051076.000
12/02/2011	6.64	6.75	6.58	6.67	782552	13687708.000
12/05/2011	6.68	6.76	6.41	6.45	604950	10395240.000
12/06/2011	6.43	6.76	6.40	6.64	857933	14845805.000
12/07/2011	6.62	6.77	6.58	6.69	726356	12733491.000
12/08/2011	6.69	6.92	6.55	6.81	1185125	21142712.000
12/09/2011	6.71	6.87	6.68	6.71	625941	11108545.000
12/12/2011	6.73	6.85	6.70	6.71	662186	11766245.000
12/13/2011	6.69	6.70	6.47	6.55	556384	9571107.000
12/14/2011	6.54	6.77	6.45	6.56	873357	15227929.000
12/15/2011	6.50	6.79	6.50	6.66	1268359	22233408.000
12/16/2011	6.66	6.98	6.57	6.98	1264799	22527190.000
12/19/2011	6.89	7.12	6.78	7.08	1594310	29200826.000
12/20/2011	7.00	7.10	6.79	6.81	1178465	21506344.000
12/21/2011	6.93	6.99	6.47	6.55	1011503	18139736.000
12/22/2011	6.61	6.69	6.25	6.55	1177403	20027628.000
12/23/2011	6.53	6.70	6.46	6.51	831132	14321801.000
12/26/2011	6.49	6.60	6.43	6.50	594454	10189451.000
12/27/2011	6.41	6.48	6.05	6.09	924130	15113004.000
12/28/2011	6.08	6.11	5.86	6.05	603210	9468070.000
12/29/2011	5.97	6.16	5.97	5.99	342263	5447328.500
12/30/2011	6.09	6.18	6.02	6.09	546458	8752679.000
01/04/2012	6.16	6.18	5.73	5.75	894672	14050947.000
01/05/2012	5.70	5.70	5.36	5.37	692763	10050259.000
01/06/2012	5.33	5.53	5.28	5.47	584604	8297982.500
01/09/2012	5.49	5.75	5.41	5.70	683063	10077304.000
01/10/2012	5.70	5.91	5.66	5.87	857028	13124516.000
01/11/2012	5.87	6.03	5.83	5.89	726201	11335362.000
01/12/2012	5.88	5.98	5.80	5.82	490295	7582981.500
01/13/2012	5.80	5.80	5.36	5.38	1010560	14732207.000
01/16/2012	5.38	5.56	5.27	5.27	740107	10515157.000
01/17/2012	5.40	5.70	5.26	5.66	942467	13641720.000
01/18/2012	5.68	5.76	5.34	5.38	928201	13598725.000
01/19/2012	5.42	5.65	5.28	5.63	736730	10672511.000
01/20/2012	5.62	5.79	5.61	5.75	645378	9745537.000
01/30/2012	5.77	5.86	5.70	5.73	686874	10439473.000
01/31/2012	5.72	5.74	5.62	5.71	460423	6862428.500
02/01/2012	5.70	5.93	5.66	5.78	892999	13642400.000
02/02/2012	5.77	5.85	5.68	5.84	828841	12587194.000
02/03/2012	5.84	6.07	5.81	6.03	1042006	16266711.000
02/06/2012	6.01	6.05	5.94	6.03	901623	14242810.000
02/07/2012	5.97	6.01	5.85	5.89	641290	9986971.000
