300233 金城医药 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/22/2011	19.33	20.86	19.11	19.82	21542632	440752352.000
06/23/2011	19.05	20.01	18.50	19.68	12400649	245659248.000
06/24/2011	19.43	20.84	19.26	20.34	10446071	214895760.000
06/27/2011	20.53	21.23	20.03	20.40	8698133	184244704.000
06/28/2011	20.17	20.45	19.89	20.20	5615879	116160104.000
06/29/2011	19.98	20.50	19.77	19.85	4640358	95806400.000
06/30/2011	19.90	20.33	19.75	20.17	4144013	85484104.000
07/01/2011	20.83	21.01	20.35	20.53	5757336	122053992.000
07/04/2011	20.53	21.11	20.46	21.10	5452013	116280080.000
07/05/2011	21.05	21.18	20.62	20.82	4329877	92804080.000
07/06/2011	20.92	21.80	20.71	21.49	6869027	150428752.000
07/07/2011	21.50	22.58	21.40	21.83	8730931	196404752.000
07/08/2011	21.72	22.27	21.55	22.06	4288321	96269480.000
07/11/2011	22.00	23.08	21.85	22.77	4119910	95373672.000
07/12/2011	22.56	22.85	22.16	22.30	3916960	90258992.000
07/13/2011	22.45	23.40	22.12	23.12	4209036	98132672.000
07/14/2011	23.24	23.74	22.98	23.57	3258787	77722440.000
07/15/2011	23.49	24.19	23.31	23.34	3966478	96185440.000
07/18/2011	23.45	23.93	22.55	22.64	4303775	102328120.000
07/19/2011	21.75	21.84	21.15	21.29	6320439	139338096.000
07/20/2011	21.47	21.57	20.83	21.13	3227328	70034360.000
07/21/2011	21.15	21.20	20.61	20.77	2645670	56573456.000
07/22/2011	20.83	21.15	20.80	20.87	1919810	41292064.000
07/25/2011	20.80	20.98	20.10	20.20	2748665	57892168.000
07/26/2011	20.20	20.31	19.79	20.20	1710117	35200836.000
07/27/2011	20.18	21.12	20.01	20.94	3638615	77478592.000
07/28/2011	20.67	21.43	20.57	21.26	3513978	76213120.000
07/29/2011	21.35	21.57	20.85	20.93	2526732	54899336.000
08/01/2011	20.93	21.95	20.76	21.83	4022863	88727720.000
08/02/2011	21.55	21.94	21.10	21.92	2973499	65639944.000
08/03/2011	21.54	22.40	21.54	22.00	3578583	80938040.000
08/04/2011	21.96	22.13	21.22	21.34	2494477	55227916.000
08/05/2011	20.54	20.98	20.15	20.85	2394241	50779944.000
08/08/2011	20.53	20.93	19.45	19.76	2659927	55039380.000
08/09/2011	19.23	20.01	18.92	19.67	1649670	33098804.000
08/10/2011	20.14	20.29	19.45	19.62	2055910	42068700.000
08/11/2011	19.10	20.19	19.03	20.11	2358108	47638484.000
08/12/2011	20.34	20.40	19.96	20.02	2246475	46593704.000
08/15/2011	20.13	20.63	20.04	20.52	1885527	39474088.000
08/16/2011	20.50	20.90	20.29	20.56	2067017	43593604.000
08/17/2011	20.54	21.05	20.41	20.77	2219717	47242888.000
08/18/2011	20.65	20.89	20.27	20.27	1835961	38781860.000
08/19/2011	19.75	20.00	19.57	19.93	1520478	30951740.000
08/22/2011	19.90	20.82	19.90	20.62	2267766	47692132.000
08/23/2011	20.65	22.12	20.57	21.76	4063233	89423488.000
08/24/2011	21.73	22.28	21.30	21.40	2946847	66046116.000
08/25/2011	21.46	21.84	21.17	21.78	2476496	54707000.000
08/26/2011	21.69	24.01	21.63	23.17	7716128	186150032.000
08/29/2011	23.29	23.95	23.17	23.60	4958282	119554688.000
08/30/2011	23.63	23.71	22.31	22.34	4024169	94926088.000
08/31/2011	22.15	22.42	21.53	22.13	3010488	67717432.000
09/01/2011	22.17	22.61	21.55	21.55	2721229	61519876.000
09/02/2011	21.55	22.09	21.20	21.93	2425615	53848636.000
09/05/2011	21.56	22.22	21.30	21.79	1858499	41590592.000
09/06/2011	21.46	21.69	20.30	20.50	2432338	52117636.000
09/07/2011	20.61	21.20	20.61	21.16	1632701	35013128.000
09/08/2011	21.30	21.71	20.78	20.78	1622998	35470704.000
09/09/2011	20.67	21.22	20.45	20.54	1171880	25057538.000
09/13/2011	20.32	20.40	19.96	20.28	1075729	22291820.000
09/14/2011	20.36	20.62	19.71	20.60	1360337	28217582.000
09/15/2011	20.63	20.83	20.36	20.45	1473304	31172004.000
09/16/2011	20.56	20.69	20.18	20.23	1022164	21441546.000
09/19/2011	20.15	20.15	19.70	19.71	701206	14267376.000
09/20/2011	19.70	20.04	19.51	19.77	543358	11057131.000
09/21/2011	19.75	20.57	19.68	20.48	1214322	25252304.000
09/22/2011	20.26	20.40	19.38	19.44	2449047	49977880.000
09/23/2011	18.97	19.35	18.93	19.25	1714768	33701552.000
09/26/2011	19.11	19.52	18.81	18.88	1438301	28284964.000
09/27/2011	19.01	19.20	18.51	18.94	1429529	27732042.000
09/28/2011	19.08	19.09	18.22	18.30	1520805	29225928.000
09/29/2011	18.16	18.16	17.50	17.52	1479990	27127446.000
09/30/2011	17.63	17.65	16.89	17.18	1176162	20874064.000
10/10/2011	17.23	17.27	16.91	17.08	563412	9948888.000
10/11/2011	17.52	17.60	16.62	16.91	1584069	28130764.000
10/12/2011	16.75	17.63	16.47	17.52	1605935	28648428.000
10/13/2011	17.45	17.93	17.30	17.65	1909351	34868528.000
10/14/2011	17.55	17.85	17.31	17.53	1445280	26157486.000
10/17/2011	17.63	17.99	17.47	17.89	1901875	34885456.000
10/18/2011	17.75	18.15	17.00	17.18	1885943	34493412.000
10/19/2011	17.20	17.43	16.98	17.11	1028909	18268086.000
10/20/2011	17.10	17.10	16.18	16.21	1356151	23076618.000
10/21/2011	16.21	16.31	15.62	15.67	1208501	19957284.000
10/24/2011	15.88	16.15	15.35	16.06	1198345	19628334.000
10/25/2011	15.50	16.40	15.36	16.37	4158745	68070048.000
10/26/2011	16.00	16.38	15.91	16.08	3008937	50209636.000
10/27/2011	16.03	16.32	15.86	15.97	1588130	26445494.000
10/28/2011	16.15	16.48	16.02	16.38	2230074	37431180.000
10/31/2011	16.33	16.67	16.29	16.56	1886837	32108518.000
11/01/2011	16.35	16.88	16.29	16.85	2625850	45046628.000
11/02/2011	16.55	17.33	16.36	17.19	2689240	46861476.000
11/03/2011	17.38	17.78	17.09	17.10	2886833	51649760.000
11/04/2011	17.20	17.25	16.91	17.09	1374071	24239244.000
11/07/2011	17.05	17.40	16.93	17.10	958878	16965028.000
11/08/2011	17.13	17.14	16.62	16.71	1456557	25381678.000
11/09/2011	16.70	16.93	16.50	16.93	1244667	21534230.000
11/10/2011	16.73	17.43	16.70	17.06	2588730	45692436.000
11/11/2011	17.05	17.70	16.88	17.27	2731232	48899240.000
11/14/2011	17.38	17.93	17.34	17.89	2862681	52221764.000
11/15/2011	17.90	17.90	17.54	17.65	1738451	31666926.000
11/16/2011	17.72	17.87	16.79	16.96	1885677	33819348.000
11/17/2011	16.94	17.40	16.91	17.15	1938174	34330080.000
11/18/2011	17.00	17.15	16.43	16.49	1805247	31195364.000
11/21/2011	16.52	16.66	16.07	16.23	895311	15026497.000
11/22/2011	16.13	16.28	15.97	16.26	521410	8703142.000
11/23/2011	16.31	16.40	16.14	16.35	607155	10241850.000
11/24/2011	16.15	16.45	16.05	16.45	689940	11604629.000
11/25/2011	16.44	16.60	16.05	16.13	594897	10058802.000
11/28/2011	16.20	16.32	16.05	16.19	501278	8394256.000
