300234 开尔新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/22/2011	4.50	4.90	4.34	4.54	14815863	223929552.000
06/23/2011	4.42	5.00	4.37	5.00	9879609	158552656.000
06/24/2011	5.15	5.51	5.14	5.50	9674914	171916448.000
06/27/2011	5.36	5.63	5.31	5.58	7976315	146342064.000
06/28/2011	5.42	5.78	5.35	5.59	5601666	103816184.000
06/29/2011	5.52	5.75	5.31	5.31	5251289	97085408.000
06/30/2011	5.27	5.39	5.22	5.35	3539071	63114328.000
07/01/2011	5.35	5.81	5.33	5.52	5393570	101080168.000
07/04/2011	5.52	5.71	5.40	5.60	4096349	76172728.000
07/05/2011	5.59	6.14	5.46	5.97	4958151	94129224.000
07/06/2011	5.84	6.12	5.80	5.92	4275840	85064072.000
07/07/2011	5.87	6.48	5.87	6.06	4986674	103439400.000
07/08/2011	6.03	6.32	5.96	6.21	3826193	78811016.000
07/11/2011	6.21	6.35	6.09	6.23	2459959	51183440.000
07/12/2011	6.12	6.16	5.93	5.95	3178600	64005704.000
07/13/2011	5.94	6.33	5.94	6.25	2786698	57355224.000
07/14/2011	6.25	6.29	6.00	6.19	3263438	67276344.000
07/15/2011	6.19	6.36	6.09	6.14	2843903	59347556.000
07/18/2011	6.15	6.18	5.95	5.98	2626934	53130068.000
07/19/2011	5.93	5.93	5.68	5.69	2940442	57074312.000
07/20/2011	5.73	5.84	5.64	5.80	2244379	43245908.000
07/21/2011	5.76	5.81	5.54	5.66	1740248	33009396.000
07/22/2011	5.66	5.87	5.66	5.76	2034276	39356796.000
07/25/2011	5.70	5.75	5.35	5.35	2210386	40831468.000
07/26/2011	5.30	5.48	5.27	5.48	1645490	29890586.000
07/27/2011	5.43	5.79	5.39	5.72	2526001	47696684.000
07/28/2011	5.62	5.85	5.59	5.84	2328303	44833960.000
07/29/2011	5.77	5.85	5.55	5.61	2070563	39530168.000
08/01/2011	5.57	6.17	5.56	6.03	3554392	70459992.000
08/02/2011	5.97	6.27	5.78	6.27	3918249	79178664.000
08/03/2011	6.15	6.60	6.11	6.27	5228468	112028728.000
08/04/2011	6.27	6.27	6.05	6.17	2593175	53425344.000
08/05/2011	5.90	6.30	5.81	6.13	2243120	45709140.000
08/08/2011	6.03	6.41	5.87	6.27	3757862	78097528.000
08/09/2011	5.99	6.25	5.63	6.01	2668681	53012328.000
08/10/2011	6.13	6.62	6.13	6.62	4818555	104934088.000
08/11/2011	6.55	6.98	6.54	6.85	6649470	150166320.000
08/12/2011	6.73	6.94	6.64	6.73	4419488	99867000.000
08/15/2011	6.70	6.94	6.70	6.79	2675084	60615748.000
08/16/2011	6.76	6.85	6.52	6.62	2718656	60709476.000
08/17/2011	6.58	6.76	6.46	6.75	2720081	60224168.000
08/18/2011	6.69	6.94	6.58	6.62	2785016	63116024.000
08/19/2011	6.36	6.52	6.24	6.42	2052915	43940912.000
08/22/2011	6.43	6.73	6.42	6.68	2612799	57603636.000
08/23/2011	6.68	7.36	6.62	7.36	6762121	161935104.000
08/24/2011	7.28	7.44	7.17	7.23	4763507	116170072.000
08/25/2011	7.24	7.26	6.95	7.15	3191543	75675240.000
08/26/2011	7.11	7.75	7.03	7.38	4400314	109387664.000
08/29/2011	7.32	7.56	7.27	7.40	3257126	80626008.000
08/30/2011	7.43	7.45	7.11	7.11	2375069	57600872.000
08/31/2011	7.03	7.31	6.82	7.31	2861194	67380648.000
09/01/2011	7.27	7.60	7.13	7.58	3529784	87618320.000
09/02/2011	7.54	7.66	7.36	7.43	2296787	57409844.000
09/05/2011	7.23	7.64	7.06	7.29	2669874	65905288.000
09/06/2011	7.12	7.23	6.69	6.73	3078631	71322808.000
09/07/2011	6.77	7.41	6.73	7.15	2606318	61182196.000
09/08/2011	7.18	7.45	7.04	7.05	2542340	61537412.000
09/09/2011	7.12	7.18	6.71	6.75	2546004	58811540.000
09/13/2011	6.52	6.64	6.35	6.48	1743895	37961692.000
09/14/2011	6.55	6.79	6.49	6.76	1514318	33608364.000
09/15/2011	6.76	6.85	6.68	6.70	1109992	25060140.000
09/16/2011	6.74	6.78	6.50	6.52	1129295	25024660.000
09/19/2011	6.42	6.42	6.20	6.21	1101815	23165686.000
09/20/2011	6.22	6.42	6.16	6.26	821253	17263938.000
09/21/2011	6.24	6.57	6.24	6.51	1551964	33571816.000
09/22/2011	6.42	6.55	6.09	6.10	1661818	35230672.000
09/23/2011	5.91	6.12	5.85	6.07	1149757	23113594.000
09/26/2011	6.06	6.14	5.92	5.94	855605	17263672.000
09/27/2011	6.02	6.07	5.70	5.82	1606018	31477996.000
09/28/2011	5.86	5.93	5.52	5.60	1681981	32191534.000
09/29/2011	5.48	5.66	5.33	5.54	1784694	32932464.000
09/30/2011	5.48	5.58	5.27	5.37	1149261	20830522.000
10/10/2011	5.45	5.48	5.29	5.39	916837	16563324.000
10/11/2011	5.52	5.65	5.37	5.44	1977269	36841524.000
10/12/2011	5.38	5.97	5.31	5.90	2848520	54559400.000
10/13/2011	5.82	6.10	5.78	6.02	3194839	64175212.000
10/14/2011	5.98	6.08	5.91	6.00	1952168	39222760.000
10/17/2011	6.01	6.18	5.94	6.09	2736739	55434096.000
10/18/2011	5.98	6.02	5.67	5.68	2073000	40751872.000
10/19/2011	5.68	5.82	5.58	5.68	1233588	23546966.000
10/20/2011	5.68	5.68	5.35	5.47	1406157	25744690.000
10/21/2011	5.44	5.49	5.18	5.18	1211317	21426490.000
10/24/2011	5.11	5.39	5.01	5.34	1543095	27029100.000
10/25/2011	5.36	5.66	5.25	5.60	1879911	34446692.000
10/26/2011	5.55	5.69	5.52	5.63	2306446	43448836.000
10/27/2011	5.69	5.80	5.57	5.76	2704129	51526308.000
10/28/2011	5.95	6.27	5.95	6.06	4457527	90293520.000
10/31/2011	5.98	6.16	5.97	6.06	2515850	51011768.000
11/01/2011	5.98	6.13	5.91	6.09	2669004	54022720.000
11/02/2011	5.97	6.42	5.93	6.42	3978069	82829800.000
11/03/2011	6.39	6.50	6.24	6.27	3331148	70907016.000
11/04/2011	6.30	6.36	6.15	6.25	1849637	38581088.000
11/07/2011	6.22	6.29	6.12	6.22	1388887	28817092.000
11/08/2011	6.22	6.26	5.98	5.98	1560753	32049524.000
11/09/2011	6.03	6.17	5.90	6.17	1860060	37539864.000
11/10/2011	6.06	6.32	6.03	6.12	2171381	45046584.000
11/11/2011	6.12	6.23	6.03	6.15	1512189	31087470.000
11/14/2011	6.24	6.73	6.20	6.53	3127996	67736288.000
11/15/2011	6.52	6.70	6.45	6.58	2975792	65354564.000
11/16/2011	6.54	6.78	6.48	6.55	3569892	78930928.000
11/17/2011	6.55	7.14	6.55	6.95	4497176	102963616.000
11/18/2011	6.83	6.95	6.64	6.68	2772186	62755104.000
11/21/2011	6.71	6.85	6.52	6.71	2435681	54539012.000
11/22/2011	6.61	6.94	6.61	6.94	2752086	62642432.000
11/23/2011	6.97	7.09	6.88	6.92	2418609	56625804.000
11/24/2011	6.73	6.94	6.72	6.80	1723309	39290920.000
11/25/2011	6.78	7.03	6.77	7.02	2541450	59163468.000
11/28/2011	7.03	7.27	6.95	6.98	3014903	71813416.000
11/29/2011	7.01	7.06	6.73	6.82	2087790	47713928.000
11/30/2011	6.82	6.87	6.29	6.40	1734061	38022772.000
12/01/2011	6.69	6.72	6.46	6.46	1835178	40576584.000
12/02/2011	6.39	6.48	6.03	6.21	1359482	28497686.000
12/05/2011	6.15	6.21	5.82	5.89	956593	19207856.000
12/06/2011	5.83	6.08	5.83	6.04	1137927	22814572.000
12/07/2011	6.05	6.17	6.01	6.15	969781	19793006.000
12/08/2011	6.11	6.38	5.98	6.25	1343898	27963158.000
12/09/2011	6.18	6.42	6.16	6.34	1105219	23416810.000
12/12/2011	6.35	6.41	6.21	6.23	600891	12679941.000
