300235 方直科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/29/2011	7.39	8.16	7.39	7.73	8049948	227036720.000
06/30/2011	7.62	8.19	7.47	7.85	4715926	135721936.000
07/01/2011	7.72	8.18	7.71	7.89	3177722	92283864.000
07/04/2011	7.96	8.05	7.81	7.99	2295235	66754468.000
07/05/2011	8.01	8.74	7.99	8.38	2390725	73029656.000
07/06/2011	8.22	8.72	8.16	8.50	2293637	71228232.000
07/07/2011	8.55	9.36	8.55	9.36	2034299	67100000.000
07/08/2011	9.36	9.55	8.99	9.10	2955246	99947456.000
07/11/2011	9.08	9.27	8.99	9.21	1583939	52999024.000
07/12/2011	9.08	9.11	8.76	8.78	1881010	61097260.000
07/13/2011	8.78	9.29	8.72	9.27	1887394	62191364.000
07/14/2011	9.27	9.43	8.87	9.13	2092957	69701256.000
07/15/2011	9.02	9.58	8.97	9.13	2151026	72987032.000
07/18/2011	9.09	9.35	9.03	9.17	1376800	46152072.000
07/19/2011	9.02	9.17	8.75	8.78	1093789	35378056.000
07/20/2011	8.84	8.91	8.50	8.66	1145972	36547572.000
07/21/2011	8.66	8.78	8.48	8.66	721073	22717036.000
07/22/2011	8.69	8.90	8.66	8.74	855656	27489216.000
07/25/2011	8.72	8.72	8.22	8.25	855904	26437946.000
07/26/2011	8.26	8.41	8.19	8.39	579268	17582204.000
07/27/2011	8.30	8.88	8.29	8.79	1299414	41408592.000
07/28/2011	8.71	9.16	8.66	9.10	1368597	44743456.000
07/29/2011	9.04	9.11	8.78	8.78	948774	31033362.000
08/01/2011	8.79	9.54	8.67	9.23	1454984	48736056.000
08/02/2011	9.13	9.47	8.84	9.44	1807257	60456504.000
08/03/2011	8.69	9.01	8.48	8.86	3448450	110488992.000
08/04/2011	8.74	8.81	8.47	8.49	1528839	48236236.000
08/05/2011	8.13	8.18	7.91	8.04	1468905	43487148.000
08/08/2011	7.86	7.94	7.24	7.45	1600560	44503008.000
08/09/2011	7.27	7.66	7.08	7.50	1152617	31133434.000
08/10/2011	7.63	7.79	7.55	7.56	1194837	33557968.000
08/11/2011	7.30	7.79	7.25	7.77	1175324	32880826.000
08/12/2011	7.81	8.04	7.79	7.93	993664	28830870.000
08/15/2011	7.98	8.05	7.86	8.01	938063	27377414.000
08/16/2011	8.01	8.28	8.01	8.16	1328657	39648392.000
08/17/2011	8.09	8.18	8.01	8.10	752211	22315854.000
08/18/2011	8.06	8.26	7.96	7.98	717020	21299812.000
08/19/2011	7.77	7.77	7.46	7.73	831651	23305952.000
08/22/2011	7.69	7.95	7.69	7.86	904614	26040634.000
08/23/2011	7.90	8.54	7.88	8.45	1728353	52115684.000
08/24/2011	8.41	8.74	8.29	8.31	1581870	49392696.000
08/25/2011	8.33	8.41	8.04	8.25	986237	29617374.000
08/26/2011	8.25	8.87	8.14	8.69	2026274	64315200.000
08/29/2011	8.66	8.82	8.55	8.69	1183476	37808388.000
08/30/2011	8.69	8.80	8.49	8.55	883636	27901994.000
08/31/2011	8.55	8.60	8.16	8.45	757833	23210094.000
09/01/2011	8.45	8.60	8.18	8.24	811468	24871266.000
09/02/2011	8.19	8.42	8.06	8.35	772827	23156200.000
09/06/2011	7.78	8.10	7.74	7.80	693526	20063328.000
09/07/2011	7.80	8.04	7.80	8.00	419308	12192994.000
09/08/2011	8.00	8.04	7.72	7.72	516190	14969118.000
09/09/2011	7.68	7.85	7.52	7.63	300459	8477962.000
09/13/2011	7.56	7.56	7.39	7.48	229981	6292245.000
09/14/2011	7.62	7.66	7.41	7.66	302276	8394471.000
09/15/2011	7.71	7.78	7.64	7.71	216159	6118411.500
09/16/2011	7.80	7.80	7.50	7.55	240100	6695323.500
09/19/2011	7.45	7.55	7.27	7.27	372764	10061705.000
09/20/2011	7.19	7.44	7.19	7.36	145995	3932145.000
09/21/2011	7.37	7.65	7.28	7.59	303017	8356473.500
09/22/2011	7.56	7.63	7.28	7.29	313151	8488054.000
09/23/2011	7.16	7.38	7.13	7.29	278506	7342521.000
09/26/2011	7.27	7.36	7.16	7.19	149100	3937598.750
09/27/2011	7.32	7.36	7.08	7.23	215959	5684415.500
09/28/2011	7.25	7.28	6.94	6.95	233138	6054772.500
09/29/2011	6.96	6.96	6.40	6.40	1366434	32634452.000
09/30/2011	6.41	6.48	6.34	6.46	371120	8688128.000
10/10/2011	6.47	6.50	6.38	6.47	225361	5291874.000
10/11/2011	6.64	6.71	6.33	6.41	338811	8134571.500
10/12/2011	6.34	6.71	6.31	6.70	432300	10369497.000
10/13/2011	6.69	7.02	6.66	6.89	654098	16418500.000
10/14/2011	6.90	7.19	6.84	7.09	1034000	26599516.000
10/17/2011	7.13	7.54	7.13	7.38	1049801	28087734.000
10/18/2011	7.30	7.33	6.86	6.88	784958	20432454.000
10/19/2011	6.94	7.16	6.93	6.95	569613	14604937.000
10/20/2011	6.89	6.98	6.77	6.92	461149	11509160.000
10/21/2011	6.95	6.95	6.66	6.68	546662	13422414.000
10/24/2011	6.58	7.19	6.47	7.19	736490	18377792.000
10/25/2011	6.78	7.38	6.69	7.18	2408361	61728980.000
10/26/2011	7.09	7.68	7.04	7.40	2570207	69751232.000
10/27/2011	7.39	7.46	7.25	7.31	1189901	31815534.000
10/28/2011	7.41	7.74	7.33	7.48	1919085	52556056.000
10/31/2011	7.59	7.79	7.46	7.62	1599164	44380380.000
11/01/2011	7.53	7.66	7.29	7.52	1273669	34893432.000
11/02/2011	7.30	8.28	7.30	8.28	2388492	68495168.000
11/03/2011	8.52	8.88	8.16	8.18	3301250	102403496.000
11/04/2011	8.18	8.29	7.94	8.04	1714386	50487520.000
11/07/2011	8.00	8.20	7.93	8.08	814392	23948248.000
11/08/2011	8.13	8.24	7.88	7.89	992651	29121054.000
11/09/2011	7.92	8.29	7.75	8.22	1427324	41729916.000
11/10/2011	8.13	8.36	7.93	7.94	1668268	49269068.000
11/11/2011	7.94	8.14	7.70	7.78	1152131	33152070.000
11/14/2011	7.91	8.10	7.81	8.04	964853	28043744.000
11/15/2011	8.02	8.24	8.00	8.09	945962	27893160.000
11/16/2011	8.05	8.09	7.71	7.80	1044328	29997242.000
11/17/2011	7.80	8.16	7.78	7.99	1043619	30334076.000
11/18/2011	7.91	8.23	7.85	8.19	2200777	65092496.000
11/21/2011	8.33	8.59	8.16	8.26	2568547	77871912.000
11/22/2011	7.94	8.38	7.91	8.38	1609944	47725576.000
11/23/2011	8.36	8.60	8.19	8.19	1477593	45186196.000
11/24/2011	8.08	8.13	7.84	8.00	1305294	38042424.000
11/25/2011	7.91	8.05	7.74	7.74	950664	27254334.000
11/28/2011	7.78	7.80	7.50	7.52	862304	23954732.000
11/29/2011	7.59	7.61	7.42	7.56	951682	25985006.000
11/30/2011	7.53	7.56	6.80	6.89	1104958	28780468.000
12/01/2011	7.13	7.36	7.02	7.06	950265	24751896.000
12/02/2011	7.04	7.12	6.86	6.90	521114	13239750.000
12/05/2011	6.88	6.90	6.30	6.57	440400	10787280.000
12/06/2011	6.56	6.82	6.45	6.73	543978	13243526.000
12/07/2011	6.66	6.91	6.66	6.83	436755	10853181.000
12/08/2011	6.82	7.18	6.77	7.01	753165	19213952.000
12/09/2011	6.85	7.01	6.80	6.81	461369	11573798.000
12/12/2011	6.80	6.87	6.75	6.75	210604	5236476.500
12/13/2011	6.78	6.78	6.30	6.55	392549	9342535.000
12/14/2011	6.51	6.75	6.39	6.58	370683	8876108.000
12/15/2011	6.54	6.81	6.48	6.66	629614	15310583.000
12/16/2011	6.61	6.93	6.55	6.93	735747	18011484.000
12/19/2011	6.86	7.10	6.69	7.04	771324	19338090.000
12/20/2011	6.97	7.10	6.81	6.82	648747	16404939.000
12/21/2011	6.88	6.94	6.58	6.58	457833	11361300.000
12/22/2011	6.52	6.58	6.21	6.42	608149	14145810.000
12/23/2011	6.38	6.55	6.36	6.51	371460	8763102.000
12/26/2011	6.46	6.54	6.37	6.37	231940	5470501.000
12/27/2011	6.29	6.36	5.97	5.97	431033	9639783.000
12/28/2011	5.93	5.93	5.61	5.85	473234	9973856.000
12/29/2011	5.88	5.90	5.79	5.80	189492	4045247.250
12/30/2011	5.88	5.99	5.82	5.93	207600	4494510.000
01/04/2012	5.95	6.02	5.48	5.48	317260	6721115.500
01/05/2012	5.52	5.52	4.92	4.92	847203	15922252.000
01/06/2012	4.88	5.08	4.88	5.01	484017	8836354.000
01/09/2012	4.97	5.25	4.63	5.21	738773	13622692.000
01/10/2012	5.13	5.43	5.13	5.39	805731	15602914.000
01/11/2012	5.36	5.57	5.34	5.44	656917	13131084.000
01/12/2012	5.39	5.51	5.30	5.34	457219	9002184.000
01/13/2012	5.32	5.32	4.92	4.94	468799	8688182.000
01/16/2012	4.88	4.91	4.62	4.62	315674	5522242.000
01/17/2012	4.60	5.03	4.60	5.03	562495	9989662.000
01/18/2012	5.07	5.13	4.75	4.77	500959	9081241.000
01/19/2012	4.78	4.98	4.77	4.91	333849	5999578.500
01/20/2012	4.94	5.06	4.94	5.02	428005	7870351.500
01/30/2012	5.00	5.18	4.86	5.04	468799	8685366.000
01/31/2012	4.91	4.91	4.74	4.81	863293	15185408.000
02/01/2012	4.78	4.91	4.75	4.87	605032	10738048.000
02/02/2012	4.87	4.97	4.83	4.96	382640	6860918.000
02/03/2012	4.94	5.11	4.92	5.08	613319	11289127.000
02/06/2012	5.12	5.23	5.06	5.09	792791	14904617.000
02/07/2012	5.10	5.61	5.09	5.61	3226075	65285560.000
02/08/2012	5.52	5.73	5.46	5.67	2639545	54105284.000
02/09/2012	5.65	5.79	5.58	5.62	1880063	38919804.000
02/10/2012	5.58	5.73	5.47	5.65	1252712	25832674.000
02/13/2012	5.58	5.81	5.54	5.74	1544910	32193066.000
02/14/2012	5.74	5.74	5.61	5.66	896226	18524428.000
02/15/2012	5.61	5.84	5.61	5.77	1152636	24183028.000
02/16/2012	5.78	6.02	5.75	5.81	1319157	28356284.000
02/17/2012	5.81	5.88	5.69	5.73	596631	12509053.000
02/20/2012	5.75	5.91	5.74	5.76	886341	18824290.000
02/21/2012	5.79	6.07	5.72	5.96	1269444	27358388.000
02/22/2012	6.01	6.21	5.98	6.14	1638319	36607296.000
02/23/2012	6.12	6.17	5.94	6.06	1122744	24877762.000
02/24/2012	6.03	6.24	6.00	6.18	1070361	23895716.000
02/27/2012	6.19	6.21	6.07	6.10	1032596	23143038.000
02/28/2012	6.04	6.14	6.02	6.09	670051	14889236.000
02/29/2012	5.99	6.21	5.91	5.92	688598	15303368.000
03/01/2012	5.91	5.95	5.80	5.87	751508	16100154.000
03/02/2012	5.87	6.00	5.87	6.00	533743	11573157.000
03/05/2012	6.01	6.08	5.94	5.95	600501	13154131.000
03/06/2012	6.02	6.54	5.98	6.35	2359947	54389764.000
03/07/2012	6.26	6.29	6.11	6.24	1323904	29911404.000
03/08/2012	6.24	6.33	6.18	6.29	863508	19702042.000
03/09/2012	6.93	6.93	6.93	6.93	581056	14683285.000
03/12/2012	7.16	7.55	7.08	7.46	3381010	89902680.000
03/13/2012	7.35	7.41	7.22	7.38	1803260	48052440.000
03/14/2012	7.59	8.13	7.59	8.05	5773134	169007840.000
03/15/2012	7.69	7.96	7.54	7.80	2842724	80434088.000
03/16/2012	7.79	7.79	7.45	7.67	2265239	62716720.000
03/19/2012	7.53	7.66	7.44	7.58	1360371	37335572.000
03/20/2012	7.49	7.54	7.13	7.13	1478488	39503076.000
03/21/2012	7.15	7.21	6.91	7.08	1175124	30269302.000
03/22/2012	7.00	7.21	7.00	7.04	953103	24779978.000
03/23/2012	6.98	7.18	6.92	6.96	775757	19974954.000
03/26/2012	6.98	7.24	6.98	7.16	997743	25958334.000
03/27/2012	7.19	7.29	7.00	7.01	804666	20773290.000
03/28/2012	6.86	6.93	6.30	6.32	1329199	31456370.000
03/29/2012	6.21	6.35	6.14	6.25	721747	16495051.000
03/30/2012	6.24	6.27	5.99	6.07	554286	12419880.000
04/05/2012	6.07	6.35	6.03	6.34	670914	15273277.000
04/06/2012	6.30	6.40	6.24	6.31	617242	14211742.000
04/09/2012	6.25	6.40	6.19	6.34	550000	12702169.000
04/10/2012	6.31	6.36	6.11	6.36	428749	9806296.000
04/11/2012	6.32	6.54	6.25	6.47	665548	15576096.000
04/12/2012	6.46	6.58	6.39	6.54	700791	16649035.000
04/13/2012	6.54	6.67	6.49	6.54	560341	13436075.000
04/16/2012	6.54	6.54	6.33	6.38	557141	13058175.000
04/17/2012	6.33	6.40	6.17	6.22	409919	9447588.000
04/18/2012	6.25	6.58	6.25	6.56	914327	21638170.000
04/19/2012	6.56	6.66	6.45	6.52	493018	11689263.000
04/20/2012	6.52	6.85	6.48	6.84	1060399	26159554.000
04/23/2012	6.83	6.83	6.15	6.19	1381292	32296428.000
04/24/2012	6.08	6.16	5.69	5.87	806865	17370934.000
04/25/2012	5.86	6.16	5.81	5.95	448978	9801958.000
04/26/2012	5.97	5.99	5.80	5.87	300087	6479394.000
04/27/2012	5.93	6.30	5.93	6.13	774830	17477588.000
05/02/2012	6.16	6.26	6.08	6.22	426114	9583752.000
05/03/2012	6.11	6.25	6.03	6.24	298270	6741956.500
05/04/2012	6.25	6.41	6.17	6.38	588256	13612698.000
05/07/2012	6.35	6.66	6.31	6.64	846841	20255066.000
05/08/2012	6.64	6.85	6.59	6.59	1006280	24671470.000
05/09/2012	6.52	6.64	6.48	6.54	614616	14696514.000
05/10/2012	6.54	6.68	6.53	6.61	392734	9473130.000
05/11/2012	6.66	6.85	6.66	6.67	888457	21929454.000
05/14/2012	6.73	6.73	6.46	6.46	672204	16017377.000
05/15/2012	6.46	6.46	6.35	6.41	270969	6310268.500
05/16/2012	6.37	6.41	6.22	6.24	242401	5582362.500
05/17/2012	6.24	6.37	6.23	6.33	305502	7014495.000
05/18/2012	6.30	6.30	6.03	6.06	391355	8815864.000
05/21/2012	6.03	6.18	6.03	6.11	230430	5149414.500
05/22/2012	6.20	6.29	6.14	6.27	271302	6166240.500
05/23/2012	6.23	6.24	6.08	6.13	245639	5533218.500
05/24/2012	6.11	6.23	6.11	6.21	198793	4492371.000
05/25/2012	6.19	6.23	6.04	6.08	194311	4359854.500
05/28/2012	6.05	6.21	5.92	6.19	266245	5909632.500
05/29/2012	6.11	6.34	6.11	6.33	311952	7133294.000
05/30/2012	6.30	6.41	6.26	6.35	267039	6188814.000
05/31/2012	6.37	6.54	6.27	6.45	419872	9834931.000
06/01/2012	6.46	6.52	6.36	6.40	301199	7065258.500
06/04/2012	6.32	6.32	6.02	6.07	387437	8708845.000
06/05/2012	6.08	6.13	6.04	6.06	200010	4443603.500
06/06/2012	6.04	6.14	5.99	6.05	173850	3848609.500
06/07/2012	6.10	6.15	6.03	6.05	160340	3565262.750
06/08/2012	6.09	6.60	6.05	6.52	1098177	25624824.000
06/11/2012	6.49	6.81	6.41	6.72	1580631	38437424.000
06/12/2012	6.63	6.76	6.56	6.63	790007	19143146.000
06/13/2012	6.73	6.73	6.60	6.69	687979	16760798.000
06/14/2012	6.64	6.71	6.55	6.58	500789	12096678.000
06/15/2012	6.63	6.65	6.47	6.59	416706	10003294.000
06/18/2012	6.57	7.08	6.57	6.93	1124710	28125894.000
06/19/2012	6.88	7.05	6.81	7.00	919835	23224796.000
06/20/2012	6.98	7.19	6.92	6.96	995464	25631344.000
06/21/2012	6.91	7.04	6.86	7.02	709272	17968318.000
06/25/2012	6.96	7.12	6.88	6.91	595387	15126337.000
06/26/2012	6.89	6.89	6.47	6.61	648859	15708018.000
06/27/2012	6.58	6.66	6.45	6.53	521726	12498507.000
06/28/2012	6.52	6.61	6.51	6.52	289970	6942408.500
06/29/2012	6.46	6.84	6.46	6.83	603587	14682329.000
07/02/2012	6.98	7.18	6.93	7.06	893539	22950518.000
07/03/2012	6.99	7.05	6.88	6.95	812896	20609532.000
07/04/2012	6.93	7.09	6.90	6.98	529724	13466437.000
07/05/2012	6.92	6.96	6.61	6.68	673004	16449119.000
07/06/2012	6.75	6.76	6.25	6.58	872013	20685130.000
07/09/2012	6.47	6.74	6.21	6.27	1356986	15967346.000
