300236 上海新阳 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/29/2011	15.46	16.15	15.15	15.15	15670146	253354864.000
06/30/2011	14.54	15.05	14.26	14.93	9536348	145729968.000
07/01/2011	15.05	16.13	14.95	15.55	8404471	136036912.000
07/04/2011	15.55	15.75	15.35	15.73	6222903	100710312.000
07/05/2011	15.65	15.65	15.08	15.34	4563021	73283536.000
07/06/2011	15.25	16.85	15.25	16.06	6298974	104632752.000
07/07/2011	15.86	17.19	15.85	16.50	6593233	113245696.000
07/08/2011	16.40	16.62	16.07	16.25	3715590	63066024.000
07/11/2011	16.20	16.62	16.11	16.52	2540906	43427624.000
07/12/2011	16.16	16.30	15.65	15.87	3699698	61445980.000
07/13/2011	15.85	16.59	15.79	16.54	3694645	62317572.000
07/14/2011	16.51	16.80	16.20	16.75	3311306	56790244.000
07/15/2011	16.74	17.19	16.50	16.52	3578235	62747116.000
07/18/2011	16.49	16.68	16.30	16.37	2420544	41462464.000
07/19/2011	16.17	16.30	15.95	16.07	1626938	27227242.000
07/20/2011	16.04	16.29	15.77	16.07	1443477	24086910.000
07/21/2011	16.00	16.06	15.63	15.63	1273397	20909466.000
07/22/2011	15.73	16.13	15.68	15.88	1412319	23378034.000
07/25/2011	15.81	16.09	15.43	15.53	1520248	24849988.000
07/26/2011	15.41	17.15	15.41	17.15	5373695	91607272.000
07/27/2011	16.77	17.68	16.76	17.34	6175342	110446768.000
07/28/2011	17.27	17.88	17.15	17.77	4073082	74086840.000
07/29/2011	17.57	17.65	17.16	17.53	2467420	44575896.000
08/01/2011	17.35	18.73	17.34	18.06	4215888	78513688.000
08/02/2011	17.95	17.96	17.07	17.89	3110931	56550516.000
08/03/2011	17.55	17.90	17.20	17.25	2225683	40457524.000
08/04/2011	17.31	17.62	16.98	17.42	1996613	35850744.000
08/05/2011	16.81	17.11	16.66	16.82	1689137	29619890.000
08/08/2011	16.57	16.65	15.14	15.96	2523399	41764132.000
08/09/2011	15.34	16.19	15.00	16.08	1569845	25800788.000
08/10/2011	16.34	16.65	16.11	16.18	1623421	27623944.000
08/11/2011	15.65	16.71	15.58	16.65	1751554	29676344.000
08/12/2011	16.81	17.60	16.59	17.47	2311660	41074148.000
08/15/2011	17.46	17.85	17.19	17.60	1684461	30624856.000
08/16/2011	17.50	17.74	17.27	17.41	1465183	26603462.000
08/17/2011	17.53	17.98	17.46	17.61	1797483	32946608.000
08/18/2011	17.43	17.88	17.20	17.21	1784845	32514664.000
08/19/2011	16.75	16.83	16.21	16.70	1656063	28471548.000
08/22/2011	16.70	18.44	16.69	18.01	4339181	80587704.000
