300237 美晨科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/29/2011	16.12	17.67	15.62	16.99	10085777	306739872.000
06/30/2011	16.36	17.57	16.26	17.42	5633684	174478352.000
07/01/2011	17.08	18.01	17.08	17.24	4273261	138464048.000
07/04/2011	17.29	17.89	17.08	17.80	3263199	105381616.000
07/05/2011	17.78	18.23	17.48	17.61	2652069	86902432.000
07/06/2011	17.41	18.52	17.36	17.98	3219871	106300408.000
07/07/2011	18.01	19.62	18.01	18.90	3838759	133503488.000
07/08/2011	18.69	20.02	18.58	19.69	3574689	127842552.000
07/11/2011	19.63	20.23	19.51	20.02	2300948	83773328.000
07/12/2011	19.69	19.86	19.27	19.38	1768209	63632784.000
07/13/2011	19.49	21.23	19.41	20.72	1992605	74351472.000
07/14/2011	20.91	21.52	20.42	21.13	1994151	76608488.000
07/15/2011	20.86	21.78	20.86	20.96	1799317	70218744.000
07/18/2011	21.06	21.23	20.71	20.80	1118099	42859324.000
07/19/2011	20.63	20.63	20.05	20.09	1365069	50739048.000
07/20/2011	20.27	20.94	20.22	20.52	1496333	56563496.000
07/21/2011	20.42	20.58	20.00	20.19	1119668	41584844.000
07/22/2011	20.25	20.79	20.11	20.41	843493	31713238.000
07/25/2011	20.39	20.47	18.97	19.19	1563128	56362404.000
07/26/2011	19.10	19.46	19.08	19.35	778614	27590928.000
07/27/2011	19.29	20.58	19.12	20.38	1528154	56440544.000
07/28/2011	20.03	20.93	19.97	20.69	1219750	46011376.000
07/29/2011	20.69	20.76	19.80	19.86	1425502	52752664.000
08/01/2011	19.69	21.52	19.48	20.98	1785578	67869280.000
08/02/2011	20.86	21.74	20.52	21.74	1741767	67314904.000
08/03/2011	21.34	21.86	20.98	21.24	1563093	61274168.000
08/04/2011	21.18	21.45	20.70	20.91	844662	32521914.000
08/05/2011	19.86	20.41	19.63	19.97	1209690	44709056.000
08/08/2011	19.72	19.84	18.23	18.80	1393305	48884812.000
08/09/2011	18.08	19.58	17.94	19.58	1071852	37525512.000
08/10/2011	18.39	18.93	18.08	18.37	3452238	117521256.000
08/11/2011	17.58	18.12	17.36	18.04	2161554	70442144.000
08/12/2011	18.02	18.29	17.80	17.83	1594466	52863264.000
08/15/2011	17.86	18.44	17.74	18.42	1542960	51657860.000
08/16/2011	18.47	18.96	18.21	18.60	1578728	53746604.000
08/17/2011	18.57	18.80	18.24	18.52	1142924	38906068.000
08/18/2011	18.60	18.61	17.85	17.86	934814	31277838.000
08/19/2011	17.34	17.40	16.26	16.66	2194031	67533992.000
08/22/2011	16.47	17.17	16.47	17.01	1420236	44238792.000
08/23/2011	16.92	18.46	16.92	18.13	2036336	66413372.000
08/24/2011	18.19	18.72	17.84	17.93	1937143	65420180.000
08/25/2011	17.97	18.23	17.44	17.91	1226869	40102340.000
08/26/2011	17.86	18.74	17.74	18.57	1835797	62468788.000
08/29/2011	18.58	19.36	18.41	18.97	2170459	75661632.000
08/30/2011	18.97	19.14	18.14	18.16	1505629	51522572.000
08/31/2011	18.19	18.34	17.36	17.75	1217635	39695908.000
09/01/2011	17.76	18.00	17.46	17.70	742110	24252360.000
09/02/2011	17.57	17.74	17.13	17.55	569648	18294322.000
09/05/2011	17.24	17.46	16.91	17.00	529728	16737785.000
09/06/2011	16.80	17.07	16.29	16.52	707562	21703304.000
09/07/2011	16.65	17.12	16.61	17.09	596088	18640228.000
09/08/2011	17.23	17.33	16.54	16.54	547799	17174096.000
09/09/2011	16.37	16.72	16.37	16.52	348112	10643048.000
09/13/2011	16.26	16.27	15.84	15.98	480448	14180515.000
09/14/2011	16.02	16.38	15.81	16.35	410899	12211270.000
09/15/2011	16.34	16.52	16.33	16.34	389159	11796819.000
09/16/2011	16.38	16.50	16.02	16.07	386985	11580152.000
09/19/2011	15.90	16.01	15.50	15.51	405932	11739933.000
09/20/2011	15.44	15.74	15.36	15.54	179484	5169750.500
09/21/2011	15.74	16.06	15.46	16.01	492648	14410485.000
09/22/2011	15.88	15.95	15.29	15.29	443452	12829673.000
09/23/2011	15.13	15.13	14.74	14.98	494479	13665221.000
09/26/2011	14.83	15.01	14.56	14.56	396500	10839007.000
09/27/2011	14.79	14.83	14.47	14.77	334892	9110081.000
09/28/2011	14.82	14.85	14.23	14.28	340269	9169422.000
09/29/2011	14.02	14.19	13.69	13.87	638389	16465884.000
09/30/2011	13.83	13.98	13.41	13.46	522644	13207802.000
10/10/2011	13.48	13.67	13.40	13.57	366964	9217973.000
10/11/2011	13.97	14.01	13.24	13.41	1214553	30682708.000
10/12/2011	13.36	13.91	13.12	13.88	1108439	28070664.000
10/13/2011	13.86	14.38	13.74	14.20	1373372	36045128.000
10/14/2011	14.24	14.24	13.80	14.07	704064	18261872.000
10/17/2011	14.17	14.43	14.01	14.34	919377	24305058.000
10/18/2011	14.23	14.23	13.69	13.74	958394	24892448.000
10/19/2011	13.68	13.87	13.31	13.36	816224	20553706.000
10/20/2011	13.31	13.41	12.59	12.72	669647	16027428.000
