300238 冠昊生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/06/2011	16.18	23.94	15.82	22.13	11798099	426974336.000
07/07/2011	19.89	19.89	19.89	19.89	313100	12655502.000
07/08/2011	18.43	19.16	17.87	17.87	7345982	274665216.000
07/11/2011	18.36	18.78	17.93	18.26	4265968	158784880.000
07/12/2011	18.05	18.21	17.45	18.13	2979592	108167464.000
07/13/2011	18.03	19.14	17.99	18.68	2987085	112711768.000
07/14/2011	18.77	20.57	18.58	19.52	3653473	145179216.000
07/15/2011	19.23	19.92	19.23	19.33	2403080	95781976.000
07/18/2011	19.43	20.17	19.13	19.66	2161828	86587632.000
07/19/2011	19.50	20.15	19.34	19.34	1755776	70642736.000
07/20/2011	19.48	19.77	18.38	18.43	1983338	76385792.000
07/21/2011	18.48	18.76	18.19	18.47	1061651	40021080.000
07/22/2011	18.49	20.35	18.49	20.35	1536153	61284036.000
07/25/2011	21.43	22.18	20.77	21.67	3504974	152224256.000
07/26/2011	21.63	23.51	21.29	22.41	2626067	119998264.000
07/27/2011	22.27	24.68	22.27	24.68	2857318	137996320.000
07/28/2011	25.18	26.52	24.18	24.98	3376775	172560032.000
07/29/2011	24.73	27.51	24.24	27.51	3023067	156710464.000
08/01/2011	27.69	30.30	27.39	30.30	2656228	154843328.000
08/02/2011	30.63	32.86	28.97	31.25	3212688	201663056.000
08/03/2011	31.24	31.60	29.73	30.28	2473502	152173776.000
08/04/2011	30.13	31.08	29.18	29.75	2907647	176465264.000
08/08/2011	28.93	32.43	28.18	31.93	4137248	252474144.000
08/09/2011	29.68	30.57	28.70	28.70	3509184	206778336.000
08/10/2011	29.18	29.93	27.78	28.68	2800765	163410048.000
08/11/2011	28.15	30.93	27.98	30.33	2827159	167538352.000
08/12/2011	30.17	30.57	28.68	28.82	2787290	166454144.000
08/15/2011	28.28	29.47	28.21	28.84	1844407	107367784.000
08/16/2011	28.72	31.76	28.72	30.97	3877175	243335712.000
08/17/2011	30.67	34.10	30.23	34.10	3743310	245308928.000
08/18/2011	34.23	37.08	33.43	34.83	3664087	260844320.000
08/19/2011	34.68	38.18	34.18	37.54	3063072	224313792.000
