300239 东宝生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/06/2011	6.73	10.19	6.54	10.15	14375755	287392960.000
07/07/2011	9.12	9.12	9.12	9.12	400900	9705789.000
07/08/2011	8.19	8.81	8.19	8.23	10874451	241842704.000
07/11/2011	7.89	8.35	7.89	8.07	5142312	110797160.000
07/12/2011	7.96	8.04	7.49	7.57	4432717	91491280.000
07/13/2011	7.59	7.86	7.59	7.69	3428328	70539200.000
07/14/2011	7.69	8.24	7.61	8.16	5652187	119816312.000
07/15/2011	8.05	8.13	7.95	8.00	3743709	80002232.000
07/18/2011	8.18	8.49	8.08	8.10	4470039	98759368.000
07/19/2011	8.02	8.02	7.62	7.67	2799429	57718244.000
07/20/2011	7.75	7.79	7.62	7.74	1325596	27286414.000
07/21/2011	7.78	7.80	7.39	7.40	1895186	38152416.000
07/22/2011	7.40	8.07	7.39	7.85	3654061	75929264.000
07/25/2011	7.81	8.26	7.69	7.80	4087597	87251752.000
07/26/2011	7.67	8.17	7.12	8.15	3374103	70099144.000
07/27/2011	8.07	8.99	7.96	8.99	7076127	163165360.000
07/28/2011	8.79	9.80	8.77	9.03	7575682	185788304.000
07/29/2011	8.89	9.95	8.88	9.95	7552331	190436112.000
08/01/2011	10.00	10.97	9.61	10.75	8669128	238055472.000
08/02/2011	10.46	11.46	9.67	10.48	7637826	211366640.000
08/03/2011	10.19	10.42	9.80	9.88	4914950	130917760.000
08/04/2011	9.76	10.07	9.60	9.95	4676860	121642936.000
08/05/2011	9.53	10.11	9.44	9.73	3902119	101266992.000
08/08/2011	9.44	9.95	8.74	9.60	5192850	129494752.000
08/09/2011	9.04	9.43	8.64	9.10	3786930	91077264.000
08/10/2011	9.29	9.59	9.10	9.14	3733292	92568712.000
08/11/2011	8.95	10.08	8.82	10.08	5711164	144741136.000
08/12/2011	10.25	10.45	9.80	9.86	5718253	154155568.000
08/15/2011	9.80	10.11	9.73	9.90	3182555	83647888.000
