300240 飞力达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/06/2011	15.49	23.45	15.43	21.27	19933638	550530048.000
07/07/2011	19.10	19.10	19.10	19.10	558200	16355260.000
07/08/2011	17.15	19.57	17.15	18.11	12613044	346108896.000
07/11/2011	18.57	19.65	18.47	19.12	8056594	233775680.000
07/12/2011	19.10	20.07	18.78	19.53	6006731	180153456.000
07/13/2011	19.90	20.20	19.23	20.05	4876848	147356368.000
07/14/2011	19.89	21.01	19.57	20.97	4797484	149421328.000
07/15/2011	20.74	21.20	20.17	20.45	3918001	123653760.000
07/18/2011	20.57	20.75	19.57	20.20	3041325	94268792.000
07/19/2011	19.80	20.63	19.33	20.21	3265398	100313608.000
07/20/2011	20.23	20.43	19.10	19.39	2906089	88300824.000
07/21/2011	19.23	19.29	18.50	18.57	2523144	72865112.000
07/22/2011	18.63	19.26	18.30	18.96	2338391	67691216.000
07/25/2011	18.59	19.44	18.44	18.53	2143843	62217364.000
07/26/2011	18.53	18.75	17.43	17.96	1685484	46377328.000
07/27/2011	18.01	19.31	17.77	19.09	2736757	77862296.000
07/28/2011	18.79	19.43	18.51	18.73	2491835	72321768.000
07/29/2011	18.58	19.35	17.90	19.23	3260726	93268216.000
08/01/2011	19.24	21.20	19.23	20.69	6369706	199146400.000
08/02/2011	20.30	21.57	20.14	21.54	5200516	164579008.000
08/03/2011	21.20	21.56	20.10	20.10	4050663	129002584.000
08/04/2011	19.73	19.93	18.25	18.83	4114323	120775312.000
08/05/2011	17.57	18.33	17.44	17.90	2987488	82646824.000
08/08/2011	17.70	17.70	16.07	16.77	3646337	93735400.000
08/09/2011	16.20	16.83	15.49	16.43	1829563	45756752.000
08/10/2011	16.89	17.16	16.58	16.87	2098572	54622112.000
08/11/2011	16.37	17.42	16.23	17.27	1769630	46151472.000
08/12/2011	17.47	17.61	16.93	17.07	2049170	54298324.000
08/15/2011	17.11	17.82	17.11	17.57	1655809	44516308.000
