300241 瑞丰光电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/12/2011	10.66	10.96	9.41	9.42	18853645	386305504.000
07/13/2011	9.19	9.66	9.13	9.54	8690273	163673232.000
07/14/2011	9.50	9.55	9.30	9.46	5620990	106039432.000
07/15/2011	9.48	9.78	9.45	9.53	5269194	101072264.000
07/18/2011	9.44	9.53	9.23	9.27	3881554	72583080.000
07/19/2011	9.14	9.14	8.58	8.63	4652189	81404520.000
07/20/2011	8.69	8.74	8.54	8.74	2720462	47220664.000
07/21/2011	8.74	8.74	8.54	8.58	1719834	29631308.000
07/22/2011	8.64	9.04	8.59	8.95	4325046	76724920.000
07/25/2011	8.85	9.25	8.84	8.93	4071147	73751160.000
07/26/2011	8.88	9.23	8.57	9.20	2882547	51492356.000
07/27/2011	9.09	9.74	9.04	9.69	6340081	121025536.000
07/28/2011	9.50	9.94	9.38	9.72	5162170	99751552.000
07/29/2011	9.66	9.80	9.30	9.33	3437750	65690444.000
08/01/2011	9.19	10.28	9.17	10.07	6327763	124334672.000
08/02/2011	9.90	10.50	9.81	10.26	8295082	168637600.000
08/03/2011	10.08	10.25	9.88	9.95	3960530	79501952.000
08/04/2011	10.00	10.04	9.57	9.65	3244422	62971952.000
08/05/2011	9.22	9.46	9.08	9.17	2392480	44347532.000
08/08/2011	9.07	9.07	8.25	8.32	2896636	49518496.000
08/09/2011	8.03	8.38	7.63	8.21	2220419	35824764.000
08/10/2011	8.36	8.58	8.32	8.34	2047377	34580316.000
08/11/2011	8.03	8.89	7.88	8.84	3183468	55261780.000
08/12/2011	8.85	9.35	8.75	9.27	3731025	67938216.000
08/15/2011	9.27	9.50	9.15	9.29	3285087	61134816.000
08/16/2011	9.30	9.32	8.97	9.10	2979725	54539528.000
08/17/2011	9.02	9.23	8.99	9.12	1564195	28610210.000
08/18/2011	9.02	9.60	9.02	9.37	4365638	82297456.000
08/19/2011	8.94	9.64	8.94	9.57	3366910	63351608.000
08/22/2011	9.54	10.20	9.44	9.87	4370057	85901088.000
08/23/2011	9.87	10.62	9.71	10.62	5335312	108720496.000
08/24/2011	10.63	10.76	10.30	10.36	4119184	86142416.000
08/25/2011	10.39	10.41	9.78	10.21	3222296	65117712.000
08/26/2011	10.07	11.24	10.00	10.94	5064099	109092128.000
08/29/2011	10.86	11.37	10.74	10.89	3817868	84147960.000
08/30/2011	10.99	11.01	10.25	10.41	2514501	53324588.000
08/31/2011	10.27	10.58	9.85	10.36	2449079	50037760.000
09/01/2011	10.31	10.60	9.90	9.90	2055689	41998096.000
09/02/2011	9.65	10.15	9.60	9.85	1911824	37553252.000
09/05/2011	9.74	10.05	9.66	9.81	1793931	35372572.000
09/06/2011	9.70	9.78	8.82	8.86	2859502	52229836.000
09/07/2011	8.89	9.29	8.89	9.19	1267243	23086930.000
09/08/2011	9.21	9.39	8.87	8.87	1141822	20904210.000
09/09/2011	8.84	9.08	8.60	8.90	1113028	19736080.000
09/13/2011	8.73	8.88	8.54	8.80	704610	12314169.000
09/14/2011	8.92	9.56	8.85	9.50	2330661	43182396.000
09/15/2011	9.50	9.62	9.37	9.44	1740509	33090998.000
09/16/2011	9.43	9.55	9.09	9.14	1208608	22522252.000
09/19/2011	9.04	9.09	8.62	8.64	1197093	20913544.000
09/20/2011	8.64	8.84	8.55	8.73	781203	13596440.000
09/21/2011	8.66	9.13	8.66	9.12	1054875	18894594.000
09/22/2011	8.98	9.04	8.63	8.74	966174	17119680.000
09/23/2011	8.49	8.72	8.36	8.57	752563	12951997.000
09/26/2011	8.49	8.69	8.33	8.38	552754	9419929.000
09/27/2011	8.49	8.59	8.04	8.31	1005255	16674533.000
09/28/2011	8.45	8.57	8.12	8.20	858383	14420170.000
09/29/2011	8.07	8.08	7.64	7.75	925534	14608509.000
09/30/2011	7.76	7.85	7.40	7.63	432154	6580974.500
10/10/2011	7.73	7.76	7.54	7.64	340916	5215849.000
10/11/2011	7.93	7.93	7.44	7.57	602217	9317559.000
10/12/2011	7.53	7.90	7.17	7.83	1049445	16191597.000
10/13/2011	7.77	8.45	7.58	8.13	4410582	69929536.000
10/14/2011	7.98	8.08	7.68	7.94	2735745	43144868.000
10/17/2011	7.90	8.18	7.82	8.10	2144873	34572888.000
10/18/2011	7.99	8.10	7.63	7.63	1833460	28970884.000
10/19/2011	7.57	7.73	7.53	7.53	1003546	15375046.000
10/20/2011	7.52	7.53	6.86	7.00	2132613	30332954.000
10/21/2011	6.87	7.02	6.61	6.65	1541734	20921806.000
10/24/2011	6.71	6.89	6.44	6.86	1599168	21510654.000
10/25/2011	6.82	7.12	6.72	7.05	2143137	29949334.000
10/26/2011	7.01	7.25	6.90	7.09	2100130	29990742.000
10/27/2011	7.09	7.21	7.01	7.05	1459353	20854486.000
10/28/2011	7.19	7.43	7.06	7.35	2382095	34561472.000
10/31/2011	7.38	7.56	7.29	7.44	2029042	30260912.000
11/01/2011	7.29	7.62	7.24	7.62	2280655	33908388.000
11/02/2011	7.46	8.39	7.41	8.39	6020903	96426528.000
11/03/2011	9.24	9.24	9.04	9.24	14020763	258762592.000
11/04/2011	9.19	9.24	8.80	9.07	9259454	167492352.000
11/07/2011	9.18	9.76	8.96	9.32	12670269	237041344.000
11/08/2011	9.04	9.19	8.80	8.96	6169882	111002152.000
11/09/2011	8.95	9.60	8.79	9.56	8133118	150240400.000
11/10/2011	9.31	9.84	9.21	9.26	9464606	179962464.000
11/11/2011	9.09	9.22	8.85	8.95	4857361	87517400.000
11/14/2011	9.13	9.86	9.00	9.86	5394236	103371056.000
11/15/2011	9.99	10.09	9.54	9.83	7626920	148419664.000
11/16/2011	9.70	9.84	9.30	9.36	5282252	101107008.000
11/17/2011	9.35	9.75	9.33	9.41	5325064	101411760.000
11/18/2011	9.22	9.28	8.95	9.04	3569766	64921304.000
11/21/2011	9.00	9.09	8.53	8.75	2808360	49107768.000
11/22/2011	8.61	8.90	8.55	8.88	2523934	44174196.000
