300242 明家科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/12/2011	18.78	18.78	15.85	16.01	13294988	230871072.000
07/13/2011	15.66	16.46	15.66	16.23	6253353	101571720.000
07/14/2011	16.18	16.61	16.05	16.48	5197796	86482968.000
07/15/2011	16.33	16.77	16.28	16.55	3912819	65669680.000
07/18/2011	16.56	16.66	15.99	16.03	3783398	62533012.000
07/19/2011	15.90	15.91	15.43	15.44	2421261	38384020.000
07/20/2011	15.58	15.87	15.46	15.77	1668559	26414692.000
07/21/2011	15.64	15.75	15.42	15.52	1109619	17488766.000
07/22/2011	15.57	15.95	15.49	15.76	1547020	24723380.000
07/25/2011	17.13	17.36	17.08	17.36	5331342	93511224.000
07/26/2011	17.77	17.78	16.28	17.33	8517729	147498032.000
07/27/2011	16.98	18.33	16.71	17.99	6884420	122413648.000
07/28/2011	17.47	18.58	17.36	17.73	5953560	107613512.000
07/29/2011	17.58	17.98	17.36	17.52	3196294	57041228.000
08/01/2011	17.33	18.66	16.99	18.31	5809245	106000808.000
08/02/2011	18.04	18.26	17.58	17.99	3550263	64228624.000
08/03/2011	17.67	18.28	17.38	17.49	3263929	58504512.000
08/04/2011	17.48	17.63	16.61	16.91	3338966	57587540.000
08/05/2011	16.44	16.52	16.09	16.19	1975372	32637468.000
08/08/2011	15.98	16.17	14.55	14.70	2589239	39877740.000
08/09/2011	14.36	15.05	13.84	14.75	2084601	30439086.000
08/10/2011	15.07	15.29	14.83	14.88	1588900	24250300.000
08/11/2011	14.38	15.30	14.32	15.24	1674347	25466074.000
08/12/2011	15.31	15.64	15.16	15.37	1438588	22483504.000
08/15/2011	15.48	15.94	15.37	15.90	1698003	27170878.000
08/16/2011	15.87	15.93	15.57	15.64	1158206	18473674.000
08/17/2011	15.58	15.83	15.41	15.70	1159134	18364132.000
08/18/2011	15.67	15.92	15.40	15.41	1382248	22008746.000
08/19/2011	14.99	15.33	14.90	15.32	932096	14284076.000
08/22/2011	15.32	16.00	15.08	15.99	1647871	26299980.000
08/23/2011	15.83	17.02	15.78	16.80	3290445	54864340.000
08/24/2011	16.78	17.25	16.49	16.58	3167594	54069768.000
08/25/2011	16.59	16.87	16.30	16.86	1859075	31233430.000
08/26/2011	16.68	17.78	16.68	17.47	3509230	61833256.000
08/29/2011	17.30	17.88	17.17	17.54	2225231	39636284.000
08/30/2011	17.58	17.71	16.58	16.58	1953502	33971228.000
08/31/2011	16.35	17.27	16.35	17.09	1521181	26057194.000
