300243 瑞丰高材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/12/2011	7.23	7.49	6.71	6.85	9717981	265599856.000
07/13/2011	6.82	7.23	6.82	6.95	5278082	142786464.000
07/14/2011	6.84	6.97	6.74	6.90	4249769	112653072.000
07/15/2011	6.85	6.99	6.82	6.86	3246921	86787800.000
07/18/2011	6.86	6.90	6.59	6.60	3277081	85090488.000
07/19/2011	6.45	6.45	6.19	6.26	2206136	54008836.000
07/20/2011	6.31	6.34	6.25	6.30	1187546	28989154.000
07/21/2011	6.29	6.40	6.27	6.30	963225	23695400.000
07/22/2011	6.36	6.45	6.31	6.36	1060303	26228336.000
07/25/2011	6.32	6.57	6.32	6.35	1734724	43255984.000
07/26/2011	6.35	6.40	6.01	6.26	1275284	30466680.000
07/27/2011	6.19	6.58	6.13	6.53	2094627	52464132.000
07/28/2011	6.42	6.75	6.38	6.70	2524744	64894236.000
07/29/2011	6.67	6.68	6.48	6.53	1514251	38590812.000
08/01/2011	6.53	7.19	6.50	7.04	4217746	113610608.000
08/02/2011	6.92	7.18	6.87	7.18	3569447	96998568.000
08/03/2011	7.10	7.26	6.89	6.90	2597785	70591512.000
08/04/2011	6.84	6.92	6.49	6.70	2241129	58110288.000
08/05/2011	6.42	6.55	6.37	6.37	1300107	32565788.000
08/08/2011	6.21	6.32	5.73	5.73	2228796	51227100.000
08/09/2011	5.51	5.75	5.20	5.62	1441967	30711122.000
08/10/2011	5.70	5.89	5.70	5.73	1376595	30966124.000
08/11/2011	5.57	5.92	5.49	5.90	1533897	34321160.000
08/12/2011	5.94	6.16	5.94	6.03	1232535	28877180.000
08/15/2011	6.53	6.64	6.53	6.64	967501	24817250.000
08/16/2011	7.07	7.31	7.00	7.28	5803840	161339696.000
08/17/2011	7.16	7.46	7.12	7.28	4108934	115760120.000
08/18/2011	7.23	7.91	7.23	7.64	4256642	125409704.000
08/19/2011	7.50	7.88	7.34	7.70	3455502	101711512.000
08/22/2011	7.71	8.48	7.65	8.48	4593953	146733088.000
08/23/2011	8.33	9.05	8.32	9.00	4842840	161011584.000
08/24/2011	8.87	9.08	8.77	8.87	3191905	109818352.000
08/25/2011	8.87	8.97	8.57	8.78	3003251	101151112.000
