300244 迪安诊断 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/19/2011	9.71	11.19	9.57	10.31	9330073	387673536.000
07/20/2011	10.35	10.47	9.32	9.38	4615535	183145504.000
07/21/2011	9.49	9.63	9.31	9.34	2529606	97711536.000
07/22/2011	9.06	9.35	8.90	9.35	2790754	103411112.000
07/25/2011	9.35	9.69	9.24	9.37	2782153	107368872.000
07/26/2011	9.21	9.31	8.48	8.79	2265113	81211432.000
07/27/2011	8.69	9.36	8.61	9.13	2020794	74497280.000
07/28/2011	9.00	9.81	8.81	9.57	3374576	131405936.000
07/29/2011	9.49	9.81	9.39	9.66	2270525	89289712.000
08/01/2011	9.64	10.65	9.52	10.65	2087248	87661528.000
08/02/2011	11.10	11.74	11.05	11.74	4825910	225668032.000
08/03/2011	12.08	12.58	11.47	12.18	4797018	232024976.000
08/04/2011	12.08	12.08	11.24	11.46	3252554	153480944.000
08/05/2011	10.90	11.46	10.84	10.95	2941595	132578504.000
08/08/2011	10.84	11.17	10.20	10.82	2805619	122695336.000
08/09/2011	10.40	11.12	9.90	10.70	2840335	122325920.000
08/10/2011	10.79	10.99	10.44	10.48	2778799	121200976.000
08/11/2011	10.15	11.32	10.15	11.12	2882161	126421032.000
08/12/2011	10.96	11.46	10.85	11.37	2526062	114946904.000
08/15/2011	11.33	11.79	11.08	11.24	2658052	123453656.000
08/16/2011	11.12	11.65	11.00	11.02	1994263	91705928.000
08/17/2011	10.98	11.82	10.88	11.64	2833396	131847936.000
08/18/2011	11.58	11.82	11.12	11.17	2264841	105968088.000
08/19/2011	10.82	10.87	10.23	10.50	2082952	88898400.000
08/22/2011	10.40	10.79	10.27	10.60	1596226	68377688.000
08/23/2011	10.84	11.68	10.63	11.68	2071442	94959560.000
08/24/2011	12.36	12.85	11.80	12.08	3666344	182013824.000
08/25/2011	11.90	13.26	11.85	13.01	3350569	170807104.000
08/26/2011	12.71	13.46	12.32	13.01	2648541	138522032.000
08/29/2011	13.05	13.41	12.70	12.83	1848906	97115232.000
08/30/2011	12.80	13.18	12.09	12.19	2276267	116382432.000
08/31/2011	12.12	13.11	11.83	13.03	2197342	110600272.000
09/01/2011	12.86	13.28	12.45	12.80	1821262	95099248.000
09/02/2011	12.71	14.11	12.34	14.11	3065043	165540144.000
09/05/2011	13.93	14.80	13.34	13.96	3111020	177148032.000
09/06/2011	13.92	14.31	12.79	13.31	2336071	127735056.000
09/07/2011	13.20	14.67	13.20	14.34	2809444	159210656.000
09/08/2011	14.09	14.59	13.76	13.86	2164818	123957952.000
09/09/2011	13.75	13.88	13.19	13.22	1738295	95126976.000
09/13/2011	12.83	13.08	12.17	12.33	1493434	76364056.000
09/14/2011	12.48	13.44	12.45	13.21	2032186	107182560.000
09/15/2011	13.18	13.81	12.98	13.35	1868070	101591608.000
09/16/2011	13.29	13.45	12.79	12.84	1181269	62369604.000
09/19/2011	12.61	12.73	12.08	12.08	990675	49537300.000
09/20/2011	11.86	12.59	11.86	12.38	851699	42613396.000
09/21/2011	12.33	12.71	11.88	12.61	1216116	60984312.000
09/22/2011	12.53	12.53	11.70	11.77	1102919	54087756.000
09/23/2011	11.41	11.69	11.23	11.42	608061	28258434.000
09/26/2011	11.41	11.97	11.36	11.56	721698	34188748.000
09/27/2011	11.68	12.33	11.58	11.74	675011	32378912.000
09/28/2011	11.74	11.92	11.17	11.21	798183	36959020.000
09/29/2011	10.96	11.18	10.57	10.65	648459	28675024.000
09/30/2011	10.77	10.92	10.51	10.65	502643	21852566.000
10/10/2011	10.79	11.22	10.62	10.97	719793	32086244.000
10/11/2011	11.24	11.44	10.75	11.00	887055	40225612.000
10/12/2011	10.73	11.48	10.54	11.47	1019937	46168984.000
10/13/2011	11.43	11.98	11.30	11.68	1001985	47565492.000
10/14/2011	11.58	11.65	11.34	11.49	620640	28836676.000
10/17/2011	11.35	11.98	11.35	11.80	925062	44074004.000
10/18/2011	11.61	11.78	11.04	11.08	1023705	47512348.000
10/19/2011	11.08	11.35	10.95	10.95	731702	33123734.000
10/20/2011	10.83	11.07	10.45	10.51	683797	29736950.000
10/21/2011	10.49	10.79	9.76	9.82	751061	30896034.000
10/24/2011	9.91	10.41	9.29	10.28	1080783	43864620.000
10/25/2011	10.12	10.87	9.96	10.70	1465208	63234924.000
10/26/2011	10.57	10.89	10.52	10.67	810646	35301072.000
10/27/2011	10.67	11.07	10.53	10.55	580149	25421542.000
10/28/2011	10.67	10.87	10.37	10.72	932022	40194036.000
10/31/2011	10.72	11.38	10.65	11.24	971398	44032996.000
11/01/2011	11.07	11.71	10.99	11.61	1142739	53325700.000
11/02/2011	11.42	11.92	11.28	11.83	991510	46913832.000
11/03/2011	11.85	11.95	11.54	11.55	861023	40940284.000
11/04/2011	11.55	11.80	11.42	11.43	544150	25442582.000
11/07/2011	11.38	11.57	11.25	11.44	350932	16282292.000
11/08/2011	11.48	11.48	11.07	11.09	432511	19755514.000
11/09/2011	11.17	11.17	10.77	11.14	864674	38529532.000
11/10/2011	10.97	11.65	10.90	11.36	1240636	56988376.000
11/11/2011	11.40	11.78	11.15	11.28	1026377	47931560.000
11/14/2011	11.33	12.43	11.33	12.43	1743074	84560224.000
11/15/2011	12.59	12.82	12.21	12.65	1941622	98971136.000
11/16/2011	12.76	13.03	12.28	12.32	1315433	67159064.000
11/17/2011	12.33	13.21	12.33	12.59	1594598	82533200.000
11/18/2011	12.45	12.67	12.03	12.33	986021	49579400.000
11/21/2011	12.15	12.43	11.65	11.90	1051993	50655476.000
11/22/2011	11.70	12.15	11.66	12.15	668125	32221488.000
11/23/2011	12.11	12.57	12.11	12.29	990437	49568900.000
11/24/2011	12.08	12.55	11.86	12.46	753680	37447212.000
11/25/2011	12.45	12.66	12.05	12.23	674844	33679672.000
11/28/2011	12.23	12.58	11.93	12.58	1053660	52306344.000
11/29/2011	12.73	12.90	12.55	12.70	1217991	62916184.000
11/30/2011	12.70	12.96	11.95	12.29	991924	50256388.000
12/01/2011	12.78	13.46	12.59	13.02	1985584	104451888.000
12/02/2011	12.81	13.02	12.33	12.58	948345	48779920.000
12/05/2011	12.45	12.45	11.30	11.30	1175173	56440840.000
12/06/2011	11.30	11.75	11.09	11.63	672421	31153142.000
12/07/2011	11.62	12.19	11.53	12.00	794995	38494716.000
12/08/2011	11.86	12.77	11.75	12.49	875287	43655980.000
12/09/2011	12.33	12.71	12.28	12.41	665491	33646024.000
12/12/2011	12.46	13.00	12.38	12.80	901884	46607940.000
12/13/2011	12.71	12.93	12.34	12.61	961108	48997256.000
12/14/2011	12.54	12.83	11.95	12.31	844344	42688056.000
12/15/2011	12.07	12.46	11.84	12.25	642337	31795886.000
12/16/2011	11.98	12.52	11.83	12.50	1014618	50373324.000
12/19/2011	12.34	12.71	12.12	12.65	966982	48732116.000
12/20/2011	12.61	12.92	12.48	12.48	798050	41144108.000
12/21/2011	12.55	12.72	11.95	12.08	1142099	56368456.000
12/22/2011	11.87	12.14	11.49	11.89	494692	23637744.000
12/23/2011	11.83	12.18	11.78	11.91	369045	17973234.000
12/26/2011	11.84	11.95	11.29	11.29	527495	24701110.000
12/27/2011	11.20	11.30	10.76	11.10	538708	24042286.000
12/28/2011	10.86	10.99	10.45	10.83	377344	16430558.000
12/29/2011	10.69	11.07	10.69	10.83	286568	12710239.000
12/30/2011	10.84	11.12	10.70	10.92	338795	15044220.000
01/04/2012	10.92	11.04	10.32	10.45	408625	17742382.000
01/05/2012	10.40	10.40	9.38	9.72	736117	29158492.000
01/06/2012	9.54	9.69	9.15	9.54	529557	20204686.000
01/09/2012	9.56	10.06	9.35	10.03	544875	21644672.000
01/10/2012	9.84	10.40	9.84	10.22	512523	21348978.000
01/11/2012	10.23	10.66	10.22	10.34	590977	25071196.000
01/12/2012	10.24	10.39	9.98	10.02	358699	14838458.000
01/13/2012	10.07	10.18	9.14	9.26	780317	29968316.000
01/16/2012	8.94	9.06	8.70	8.77	506486	18364570.000
01/17/2012	8.88	9.31	8.69	9.29	803983	29638028.000
01/18/2012	9.29	9.31	8.36	8.40	597056	21620348.000
01/19/2012	8.31	8.98	8.06	8.46	961249	34043480.000
01/20/2012	8.43	8.61	8.31	8.42	680810	23664172.000
01/30/2012	8.46	8.71	8.28	8.53	687815	24115948.000
01/31/2012	8.52	8.61	8.31	8.42	660128	22677904.000
02/01/2012	8.42	8.65	8.32	8.38	777925	27058026.000
02/02/2012	8.33	8.61	8.33	8.61	609093	21217952.000
02/03/2012	8.68	9.19	8.61	9.04	1129262	41249824.000
02/06/2012	9.11	9.12	8.89	9.04	718725	26505768.000
02/07/2012	8.96	9.03	8.61	8.73	794121	28363686.000
02/08/2012	8.69	8.95	8.66	8.95	646776	23367052.000
02/09/2012	8.87	9.44	8.87	9.18	924395	34749904.000
02/10/2012	9.16	9.26	9.01	9.11	685823	25530264.000
02/13/2012	9.01	9.41	8.94	9.29	769717	29116044.000
02/14/2012	9.30	9.59	9.29	9.44	785944	30302644.000
02/15/2012	9.34	9.54	9.21	9.54	646408	24782200.000
02/16/2012	9.54	9.64	9.26	9.39	582670	22468754.000
02/17/2012	9.52	9.81	9.18	9.64	1023870	39685688.000
02/20/2012	9.64	10.02	9.64	9.68	987620	39415588.000
02/21/2012	9.68	9.78	9.52	9.78	698104	27510980.000
02/22/2012	9.77	10.02	9.69	9.99	967841	38922940.000
02/23/2012	10.05	10.22	9.83	9.96	775761	31812546.000
02/24/2012	9.86	10.31	9.86	10.26	967316	39774972.000
02/27/2012	10.17	10.37	10.11	10.11	908351	37767092.000
02/28/2012	10.04	10.19	9.85	9.94	654816	26672022.000
02/29/2012	9.87	10.00	9.64	9.64	464185	18585974.000
03/01/2012	9.63	9.75	9.60	9.67	331286	13083314.000
03/02/2012	9.70	10.14	9.67	10.09	673248	27497280.000
03/05/2012	10.11	10.21	9.88	10.06	545167	22241914.000
03/06/2012	10.01	10.10	9.75	9.79	463233	18561256.000
03/07/2012	9.71	9.87	9.45	9.73	375298	14884250.000
03/08/2012	10.07	10.07	9.67	9.82	335574	13471479.000
03/09/2012	9.92	10.22	9.91	10.18	662062	27208144.000
03/12/2012	10.18	10.47	10.07	10.36	753197	31638556.000
03/13/2012	10.35	10.42	10.22	10.38	451882	18962102.000
03/14/2012	10.51	11.42	10.51	10.81	2375965	106777144.000
03/15/2012	10.75	11.19	10.37	10.97	1500230	66155520.000
03/16/2012	10.85	11.16	10.74	10.98	904850	40316972.000
03/19/2012	10.90	11.15	10.90	11.05	590545	26491778.000
03/20/2012	10.99	11.36	10.88	11.09	1161254	52681408.000
03/21/2012	11.07	11.26	10.44	10.66	929964	40680904.000
03/22/2012	10.56	10.65	10.42	10.60	360445	15445633.000
03/23/2012	10.61	10.61	10.15	10.21	428111	17959910.000
03/26/2012	10.10	10.27	10.04	10.07	292741	12125142.000
03/27/2012	10.15	10.32	10.12	10.16	394425	16406212.000
03/28/2012	10.17	10.17	9.49	9.56	596037	23602650.000
03/29/2012	9.52	9.59	9.13	9.27	411653	15690287.000
03/30/2012	9.43	9.54	8.81	8.91	531493	19839028.000
04/05/2012	8.96	9.21	8.83	9.20	787422	28976198.000
04/06/2012	9.20	9.28	9.07	9.21	533147	20036142.000
04/09/2012	9.43	9.64	9.38	9.46	957910	37143848.000
04/10/2012	9.11	9.38	8.86	9.38	631621	23514800.000
04/11/2012	9.26	9.47	9.07	9.39	435568	16530927.000
04/12/2012	9.47	9.53	9.19	9.52	501390	19185888.000
04/13/2012	9.52	9.77	9.44	9.63	546738	21447964.000
04/16/2012	9.60	9.77	9.48	9.59	398917	15692065.000
04/17/2012	9.57	9.71	9.49	9.58	415544	16215779.000
04/18/2012	9.59	9.79	9.48	9.79	539970	21196478.000
04/19/2012	9.78	9.99	9.72	9.85	531784	21297878.000
04/20/2012	9.91	10.29	9.80	10.13	604400	24870862.000
04/23/2012	10.12	10.18	9.58	9.65	612244	24381720.000
04/24/2012	9.64	9.80	9.10	9.46	438843	16887846.000
04/25/2012	9.47	9.48	9.34	9.47	238786	9159074.000
