300245 天玑科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/19/2011	10.54	10.92	10.49	10.57	11750055	333357600.000
07/20/2011	10.47	10.54	9.65	9.79	5788226	152914848.000
07/21/2011	9.92	10.45	9.82	10.15	4895087	131633504.000
07/22/2011	10.02	10.40	9.86	10.02	4212506	113334096.000
07/25/2011	10.35	11.02	10.35	10.66	6574189	186824352.000
07/26/2011	10.42	11.15	9.92	11.03	5448557	152275344.000
07/27/2011	10.77	11.46	10.77	11.08	5364807	158678352.000
07/28/2011	10.87	11.26	10.79	11.13	3421485	100413488.000
07/29/2011	11.13	11.45	10.65	10.69	4290915	126142640.000
08/01/2011	10.69	11.68	10.41	11.42	4746974	140000608.000
08/02/2011	11.22	11.69	11.15	11.33	3944826	118748688.000
08/03/2011	11.08	11.58	11.05	11.20	2991749	89792712.000
08/04/2011	11.23	11.29	10.54	10.95	2916805	84781344.000
08/05/2011	10.42	11.13	10.23	10.85	2065328	59194104.000
08/08/2011	10.67	10.99	9.77	10.00	2613417	71446592.000
08/09/2011	9.42	10.27	9.09	10.09	2235313	58211108.000
08/10/2011	10.23	10.61	10.13	10.28	2119149	58275300.000
08/11/2011	10.02	10.57	10.00	10.49	1392419	38358336.000
08/12/2011	10.61	11.22	10.58	11.04	2204113	64005008.000
08/15/2011	10.93	11.68	10.93	11.58	3070600	92949000.000
08/16/2011	11.54	11.61	11.12	11.31	1442661	43427612.000
08/17/2011	11.30	11.53	11.19	11.33	1304634	39234368.000
08/18/2011	11.33	11.63	11.19	11.29	1234960	37405860.000
08/19/2011	10.96	11.29	10.65	10.94	1188741	34424584.000
08/22/2011	10.96	12.03	10.88	11.72	2427123	74077728.000
08/23/2011	11.59	12.72	11.56	12.41	3514741	112469432.000
08/24/2011	12.27	12.57	12.12	12.35	2377159	77413768.000
08/25/2011	12.28	12.68	11.95	12.43	2039837	66970516.000
08/26/2011	12.39	13.30	12.31	13.08	1960824	66718964.000
08/29/2011	12.87	13.40	12.73	12.75	1589425	54473224.000
08/30/2011	12.73	12.92	12.31	12.42	1527468	50677796.000
08/31/2011	12.41	12.60	11.93	12.49	1696279	54938084.000
09/01/2011	12.39	12.53	11.92	11.92	1670390	53992084.000
09/02/2011	11.76	12.52	11.58	12.46	2066317	66055068.000
09/05/2011	12.21	12.57	11.93	12.27	1755496	57070112.000
09/06/2011	11.93	12.12	11.06	11.31	1909632	58673216.000
09/07/2011	11.47	11.69	11.28	11.59	851789	26041262.000
09/08/2011	11.60	11.83	11.03	11.03	1160653	35363220.000
