300246 宝莱特 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/19/2011	10.77	11.78	10.55	11.77	7739694	309822656.000
07/20/2011	11.32	11.44	10.70	10.73	4174595	169624256.000
07/21/2011	10.73	10.90	10.44	10.66	2118176	83575424.000
07/22/2011	10.57	10.68	10.33	10.43	1866251	72479560.000
07/25/2011	10.36	10.86	10.36	10.50	2252131	88729976.000
07/26/2011	10.42	10.54	9.59	10.07	1640187	60495076.000
07/27/2011	9.91	10.93	9.85	10.74	2016138	78453848.000
07/28/2011	10.60	11.00	10.48	10.78	1763182	70391688.000
07/29/2011	10.68	10.91	10.52	10.62	1215950	47871476.000
08/01/2011	10.61	11.71	10.51	11.71	3658065	154480864.000
08/02/2011	11.73	12.91	11.52	12.91	4660046	211028784.000
08/03/2011	12.66	13.35	12.13	12.48	3165390	147738912.000
08/04/2011	12.34	12.65	11.88	12.04	2576785	115606312.000
08/05/2011	11.66	11.81	11.21	11.49	1905927	81192048.000
08/08/2011	11.38	11.48	10.32	10.71	2076127	84079272.000
08/09/2011	10.27	11.16	9.99	10.82	1644448	64479032.000
08/10/2011	11.04	11.28	10.63	10.63	1587714	64439480.000
08/11/2011	10.27	11.46	10.27	11.39	1758131	70764784.000
08/12/2011	11.39	11.60	11.13	11.30	1441185	60317760.000
08/15/2011	11.33	11.81	11.23	11.60	1563872	66695484.000
08/16/2011	11.57	12.04	11.41	11.51	1606158	69528816.000
08/17/2011	11.49	12.01	11.43	11.76	1659027	71988832.000
08/18/2011	11.66	12.12	11.38	11.38	1816463	79030992.000
08/19/2011	10.95	11.02	10.55	10.85	1139998	45698752.000
08/22/2011	10.88	11.18	10.82	10.99	939866	38223520.000
08/23/2011	11.00	12.12	11.00	12.12	1314837	57264076.000
08/24/2011	13.04	13.27	12.49	12.69	3968956	187921840.000
08/25/2011	12.61	13.21	12.29	12.88	3058798	144207104.000
08/26/2011	12.58	13.36	12.35	12.93	2486069	118310760.000
08/29/2011	12.76	13.18	12.66	13.01	1734911	82241904.000
08/30/2011	12.98	13.73	12.35	12.36	2183593	104422304.000
08/31/2011	12.29	12.89	11.86	12.88	1965679	89399392.000
