300247 桑乐金 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/29/2011	9.13	9.47	8.17	8.58	14469680	387222720.000
08/01/2011	8.47	9.46	8.30	9.46	11083482	305296352.000
08/02/2011	9.30	10.35	9.25	9.90	11903726	354173984.000
08/03/2011	9.49	9.63	9.14	9.19	6890203	198304624.000
08/04/2011	9.16	9.21	8.70	8.88	5318611	145751776.000
08/05/2011	8.47	8.80	8.30	8.77	4028250	105954936.000
08/08/2011	8.57	8.76	7.87	7.87	3686757	92830136.000
08/09/2011	7.15	7.83	7.06	7.39	5103694	115020584.000
08/10/2011	7.47	7.67	7.13	7.24	4012743	92403456.000
08/11/2011	6.85	7.63	6.85	7.54	4007180	89204632.000
08/12/2011	7.61	7.61	7.37	7.40	3418675	78971680.000
08/15/2011	7.41	7.99	7.41	7.86	4288563	102060952.000
08/16/2011	7.80	8.09	7.76	7.85	3477587	84825816.000
08/17/2011	7.81	8.06	7.73	7.95	2739250	66455252.000
08/18/2011	7.80	8.03	7.14	7.42	3001674	70622336.000
08/19/2011	7.13	7.22	6.97	7.14	1753028	38464584.000
08/22/2011	7.14	7.86	7.14	7.57	2900051	67586016.000
08/23/2011	7.57	8.30	7.47	8.13	4957367	120784672.000
08/24/2011	8.15	8.46	7.98	8.02	4807396	121213368.000
08/25/2011	8.09	8.20	7.78	8.05	2802224	68503104.000
08/26/2011	8.03	8.88	7.97	8.67	5757389	149244480.000
08/29/2011	8.55	8.71	8.41	8.47	3643022	95642400.000
08/30/2011	8.44	8.65	8.07	8.07	2924685	75227264.000
08/31/2011	8.07	8.26	7.52	8.23	2775224	67834736.000
09/01/2011	8.23	8.33	7.80	7.97	1968785	49140804.000
09/02/2011	7.83	8.15	7.61	7.97	1886386	45975576.000
09/05/2011	7.80	7.99	7.67	7.75	1543310	37224704.000
09/06/2011	7.67	7.74	7.07	7.18	2146569	48623484.000
09/07/2011	7.26	7.47	7.18	7.41	1551581	34977280.000
09/08/2011	7.45	7.53	7.09	7.09	1377366	31014378.000
09/09/2011	7.00	7.20	6.90	7.12	927208	20210562.000
09/13/2011	7.06	7.06	6.63	6.69	959660	20136666.000
09/14/2011	6.73	6.92	6.63	6.90	975191	20474714.000
09/15/2011	6.92	7.05	6.88	6.88	930244	19979150.000
09/16/2011	6.93	7.02	6.69	6.73	905321	19150978.000
09/19/2011	6.67	6.67	6.30	6.31	900509	17965324.000
09/20/2011	6.23	6.35	6.08	6.25	1114026	21411306.000
09/21/2011	6.23	6.53	6.13	6.48	1423755	28044422.000
09/22/2011	6.39	6.46	6.07	6.07	1159283	22451278.000
09/23/2011	5.89	6.02	5.82	5.93	748759	13755455.000
09/26/2011	5.87	6.10	5.87	5.89	764195	14159960.000
09/27/2011	5.97	6.02	5.82	5.95	591607	10865718.000
09/28/2011	6.01	6.01	5.71	5.72	657788	12011106.000
09/29/2011	5.66	5.70	5.23	5.26	1084389	18325908.000
09/30/2011	5.25	5.33	5.10	5.24	641767	10412235.000
10/10/2011	5.32	5.33	5.23	5.32	780909	12862972.000
10/11/2011	5.53	5.53	5.27	5.40	955564	16044868.000
10/12/2011	5.30	5.79	5.23	5.71	1497155	25895136.000
10/13/2011	5.71	5.95	5.68	5.82	1836570	33278988.000
10/14/2011	5.80	5.80	5.67	5.77	878379	15604279.000
10/17/2011	5.77	5.98	5.74	5.90	1146949	20918544.000
10/18/2011	5.81	5.88	5.50	5.51	1047873	18586388.000
10/19/2011	5.58	5.65	5.51	5.52	621624	10758291.000
10/20/2011	5.44	5.47	5.19	5.22	747217	12284401.000
10/21/2011	5.27	5.28	5.08	5.09	500625	8065888.000
10/24/2011	5.13	5.22	4.88	5.20	769784	12123931.000
10/25/2011	5.20	5.44	5.14	5.38	1025542	16962012.000
10/26/2011	5.30	5.63	5.25	5.47	1481878	25306824.000
10/27/2011	5.47	5.52	5.38	5.47	1197544	20279268.000
10/28/2011	5.53	5.65	5.43	5.64	1760064	30334258.000
10/31/2011	5.63	5.69	5.51	5.57	2734626	47275360.000
11/01/2011	5.48	6.14	5.47	6.14	5508498	99924728.000
11/02/2011	5.97	6.30	5.87	6.29	5687308	107641216.000
11/03/2011	6.25	6.30	6.04	6.05	3810403	73010944.000
11/04/2011	6.05	6.13	5.91	6.00	2306594	42908200.000
11/07/2011	6.00	6.30	5.94	6.23	3196752	60871580.000
11/08/2011	6.17	6.20	5.90	5.91	1886803	35301736.000
11/09/2011	5.92	6.05	5.84	6.04	1343566	24906570.000
11/10/2011	6.00	6.37	5.95	6.10	3866941	74043808.000
11/11/2011	6.12	6.18	5.95	6.03	1660778	31190286.000
11/14/2011	6.06	6.35	6.02	6.27	2976012	57348712.000
11/15/2011	6.22	6.35	6.20	6.32	2393707	46544368.000
11/16/2011	6.34	6.34	5.94	5.98	2355490	44668932.000
11/17/2011	5.98	6.20	5.88	6.04	2217372	41452464.000
11/18/2011	5.94	6.00	5.64	5.67	1918478	34635152.000
11/21/2011	5.70	5.74	5.40	5.55	1057264	18090878.000
11/22/2011	5.48	5.54	5.31	5.53	874584	14871647.000
11/23/2011	5.52	5.62	5.51	5.52	965157	16689693.000
11/24/2011	5.44	5.55	5.34	5.48	804976	13606082.000
11/25/2011	5.50	5.56	5.34	5.36	981191	16682336.000
11/28/2011	5.41	5.41	5.21	5.28	838680	13850480.000
11/29/2011	5.32	5.45	5.30	5.43	950196	15899227.000
11/30/2011	5.42	5.50	4.88	5.05	1767910	28611672.000
12/01/2011	5.23	5.28	5.11	5.13	1266348	20494076.000
12/02/2011	5.10	5.11	4.90	4.95	886894	13747610.000
12/05/2011	4.86	4.96	4.70	4.71	672138	10050232.000
12/06/2011	4.71	4.79	4.66	4.77	545852	8078461.000
12/07/2011	4.75	4.85	4.75	4.81	620396	9318328.000
12/08/2011	4.81	4.96	4.66	4.87	1081709	16328657.000
12/09/2011	4.82	4.89	4.76	4.80	514743	7743109.500
12/12/2011	4.81	4.87	4.77	4.77	395726	5947022.000
12/13/2011	4.74	4.76	4.47	4.50	722330	10376510.000
12/14/2011	4.56	4.56	4.40	4.43	476116	6698025.000
12/15/2011	4.38	4.45	4.30	4.35	639667	8775898.000
12/16/2011	4.37	4.55	4.34	4.54	697690	9681630.000
12/19/2011	4.48	4.72	4.42	4.71	1229132	17601008.000
12/20/2011	4.66	4.78	4.59	4.60	1082764	15934711.000
12/21/2011	4.63	4.86	4.60	4.60	1572178	23270918.000
12/22/2011	4.60	4.72	4.31	4.67	1479913	20799906.000
12/23/2011	4.60	4.77	4.53	4.77	1316363	19339986.000
12/26/2011	4.77	4.78	4.61	4.63	842844	12408833.000
12/27/2011	4.62	4.62	4.40	4.41	848589	11935240.000
12/28/2011	4.33	4.38	4.21	4.32	747012	10046032.000
12/29/2011	4.33	4.40	4.29	4.35	396973	5417316.500
12/30/2011	4.40	4.50	4.36	4.44	482485	6679676.500
01/04/2012	4.44	4.52	4.11	4.12	750599	10146885.000
01/05/2012	4.02	4.12	3.80	3.86	960207	11945886.000
01/06/2012	3.92	3.92	3.75	3.90	644501	7817229.500
01/09/2012	3.89	4.13	3.78	4.09	1228230	15354196.000
01/10/2012	4.03	4.27	4.03	4.25	1173841	15400410.000
01/11/2012	4.24	4.33	4.20	4.25	828168	11062335.000
01/12/2012	4.17	4.30	4.13	4.20	654512	8705256.000
01/13/2012	4.20	4.20	3.81	3.84	1222246	15194073.000
01/16/2012	3.78	3.82	3.59	3.59	819083	9609814.000
01/17/2012	3.58	3.86	3.58	3.86	943646	11147305.000
01/18/2012	3.83	3.90	3.64	3.64	962829	11479601.000
01/19/2012	3.64	3.94	3.64	3.84	1143853	13831359.000
01/20/2012	3.78	3.94	3.78	3.90	1049751	12911186.000
01/30/2012	3.92	4.00	3.85	3.90	913104	11342824.000
01/31/2012	3.90	3.93	3.82	3.91	623381	7581857.500
02/01/2012	3.86	4.00	3.86	3.91	895014	11128658.000
02/02/2012	3.93	4.00	3.90	3.99	672141	8366553.000
02/03/2012	3.98	4.15	3.97	4.11	929792	11881894.000
02/06/2012	4.10	4.19	4.06	4.16	1076116	13975067.000
02/07/2012	4.12	4.12	4.01	4.05	762073	9759514.000
02/08/2012	4.03	4.21	4.02	4.20	1020063	13240694.000
02/09/2012	4.18	4.53	4.17	4.29	1935373	26438850.000
02/10/2012	4.24	4.32	4.24	4.28	1142250	15360747.000
02/13/2012	4.21	4.39	4.21	4.33	977501	13276348.000
02/14/2012	4.32	4.40	4.30	4.36	808237	11043085.000
02/15/2012	4.37	4.45	4.30	4.43	1121568	15431923.000
02/16/2012	4.43	4.56	4.37	4.42	1418302	19851470.000
02/17/2012	4.42	4.43	4.26	4.33	963443	13156244.000
02/20/2012	4.40	4.49	4.35	4.38	1033503	14316177.000
02/21/2012	4.37	4.56	4.34	4.53	1322042	18439468.000
02/23/2012	4.73	4.97	4.68	4.72	3513066	52676412.000
02/24/2012	4.69	4.83	4.66	4.76	1945626	28843700.000
02/27/2012	4.86	4.92	4.70	4.72	2439143	36858032.000
02/28/2012	4.70	4.83	4.66	4.81	1782503	26496354.000
02/29/2012	4.77	4.80	4.65	4.65	1404857	20761748.000
03/01/2012	4.64	4.76	4.62	4.72	678514	9954920.000
03/02/2012	4.73	4.82	4.70	4.80	1052537	15686333.000
03/05/2012	4.79	4.85	4.73	4.74	913229	13656528.000
03/06/2012	4.74	4.79	4.66	4.77	1008061	14889598.000
03/07/2012	4.72	4.86	4.65	4.78	1292733	19343324.000
03/08/2012	4.80	5.01	4.80	4.95	1911227	29377718.000
03/09/2012	4.97	5.02	4.87	4.98	1642982	25487084.000
03/12/2012	4.96	5.08	4.95	5.03	1380620	21568614.000
03/13/2012	5.03	5.11	4.95	5.08	1338309	21042908.000
03/14/2012	5.10	5.28	4.80	4.86	2558552	40476612.000
03/15/2012	4.90	4.99	4.63	4.71	1429280	21360890.000
03/16/2012	4.72	4.85	4.69	4.82	1097754	16377452.000
03/19/2012	4.78	4.93	4.78	4.92	978926	14877316.000
03/20/2012	4.88	4.91	4.68	4.69	1150326	17117520.000
03/21/2012	4.70	4.75	4.50	4.61	1227447	17697286.000
03/22/2012	4.58	4.65	4.54	4.61	474640	6831227.500
03/23/2012	4.60	4.60	4.45	4.48	764209	10818180.000
03/26/2012	4.45	4.50	4.39	4.43	417107	5802742.000
03/27/2012	4.46	4.53	4.43	4.45	424739	5957265.000
03/28/2012	4.43	4.43	4.10	4.11	883518	11781220.000
03/29/2012	4.09	4.14	4.00	4.00	546917	7002959.000
03/30/2012	4.01	4.03	3.80	3.82	1038564	12691469.000
04/05/2012	3.82	3.93	3.79	3.91	541569	6627111.000
04/06/2012	3.93	3.96	3.88	3.95	556900	6901010.500
04/09/2012	3.97	4.02	3.94	3.97	538166	6736743.000
04/10/2012	3.96	3.99	3.82	3.99	526821	6481576.500
04/11/2012	3.93	4.02	3.90	4.02	445668	5587295.000
04/12/2012	4.08	4.15	4.00	4.13	649490	8347436.500
04/13/2012	4.16	4.16	4.09	4.14	511852	6640744.000
04/16/2012	4.14	4.15	4.09	4.12	410421	5319889.500
04/17/2012	4.10	4.14	4.04	4.07	396943	5102172.000
04/18/2012	4.12	4.20	4.08	4.18	729800	9521812.000
04/19/2012	4.18	4.25	4.14	4.22	786505	10338419.000
04/20/2012	4.12	4.16	4.02	4.13	2056303	26425420.000
04/23/2012	4.10	4.12	3.77	3.77	2165580	26641182.000
04/24/2012	3.77	3.86	3.64	3.76	916861	10820581.000
04/25/2012	3.74	3.79	3.71	3.77	721348	8576585.000
04/26/2012	3.80	3.80	3.74	3.74	498959	5922750.000
04/27/2012	3.75	3.81	3.71	3.76	435540	5190134.000
05/02/2012	3.82	3.83	3.77	3.79	516624	6206791.500
05/03/2012	3.78	3.82	3.77	3.80	429831	5147863.500
05/04/2012	3.80	3.90	3.79	3.89	680223	8283444.000
05/07/2012	3.87	3.93	3.86	3.93	731298	8978976.000
05/08/2012	3.93	4.06	3.88	3.98	1038900	13040728.000
05/09/2012	3.96	3.96	3.85	3.87	664689	8187507.500
05/10/2012	3.90	4.18	3.90	3.99	1309656	16630411.000
05/11/2012	3.95	4.00	3.91	3.92	643097	8004670.500
05/14/2012	3.96	3.96	3.89	3.89	399853	4950377.000
05/15/2012	3.86	3.90	3.81	3.89	350690	4258679.000
05/16/2012	3.90	3.90	3.84	3.85	297605	3631912.000
05/17/2012	3.85	3.99	3.84	3.95	529205	6551668.000
05/18/2012	3.89	4.07	3.89	3.99	1181987	14872128.000
05/21/2012	3.98	4.00	3.90	3.92	544514	6767145.500
05/22/2012	3.96	3.98	3.92	3.95	420615	5231200.500
05/23/2012	3.95	3.97	3.84	3.85	624376	7660023.500
05/24/2012	3.86	3.89	3.84	3.84	322939	3931131.500
05/25/2012	3.85	3.85	3.71	3.72	502839	5993634.000
05/28/2012	3.70	3.73	3.60	3.72	479927	5564077.500
05/29/2012	3.72	3.82	3.69	3.79	394500	4704004.000
05/30/2012	3.80	3.84	3.76	3.80	411541	4934625.000
05/31/2012	3.79	3.90	3.77	3.87	669701	8120172.500
06/01/2012	3.87	3.95	3.85	3.90	810930	9992205.000
06/04/2012	3.85	3.85	3.73	3.75	469240	5610566.500
06/05/2012	3.73	3.80	3.69	3.70	308364	3639777.000
06/06/2012	3.71	3.74	3.68	3.73	278707	3276678.000
06/07/2012	3.78	3.78	3.68	3.69	249510	2942229.500
06/08/2012	3.74	3.76	3.68	3.71	406946	4783784.000
06/11/2012	3.71	3.84	3.71	3.83	522409	6250597.500
06/12/2012	3.80	3.82	3.77	3.77	262486	3140983.250
06/13/2012	3.80	3.92	3.78	3.89	739782	9020912.000
06/14/2012	3.97	4.09	3.88	3.90	1570394	19696198.000
06/15/2012	3.86	3.92	3.81	3.86	767766	9334838.000
06/18/2012	3.86	3.93	3.84	3.90	625205	7677864.500
06/19/2012	3.90	3.95	3.87	3.92	549619	6767926.000
06/20/2012	3.91	4.03	3.89	3.99	1008096	12628853.000
06/21/2012	3.98	3.99	3.87	3.89	628365	7741346.000
06/25/2012	3.92	3.92	3.78	3.78	351143	4269061.500
06/26/2012	3.78	3.85	3.72	3.82	339297	4054472.250
06/27/2012	3.83	3.92	3.80	3.85	495720	6052247.000
06/28/2012	3.85	4.13	3.85	3.91	1612342	20241508.000
06/29/2012	3.86	3.86	3.64	3.85	1212756	14448587.000
07/02/2012	3.88	3.99	3.81	3.94	905285	11146660.000
07/03/2012	3.97	4.03	3.93	4.01	1457281	18347110.000
07/04/2012	4.05	4.05	3.91	3.94	851550	10632477.000
07/05/2012	3.94	3.94	3.82	3.83	591718	7199796.000
07/06/2012	3.87	3.98	3.80	3.98	846990	10396059.000
07/09/2012	3.94	4.02	3.88	3.90	723375	9034939.000
07/10/2012	3.83	3.90	3.67	3.73	643258	7668380.000
07/11/2012	3.73	3.78	3.71	3.76	270984	3204753.250
07/12/2012	3.75	3.81	3.69	3.78	650040	7708441.000
07/13/2012	3.72	3.75	3.57	3.59	889540	10046620.000
07/16/2012	3.58	3.58	3.28	3.29	809750	8542401.000
07/17/2012	3.28	3.36	3.27	3.33	206965	2121814.000
07/18/2012	3.33	3.34	3.27	3.34	163694	1674098.125
07/19/2012	3.34	3.42	3.33	3.39	328499	3434252.500
07/20/2012	3.36	3.43	3.36	3.40	275953	2896129.750
07/23/2012	3.37	3.37	3.28	3.32	155141	1589630.625
07/24/2012	3.34	3.38	3.32	3.35	243312	2514769.250
07/25/2012	3.34	3.41	3.32	3.33	213582	2219138.000
07/26/2012	3.30	3.36	3.30	3.30	259712	2672145.750
07/27/2012	3.30	3.32	3.28	3.28	218645	2229476.750
07/30/2012	3.24	3.29	3.10	3.13	528684	5193912.500
07/31/2012	3.11	3.13	3.03	3.04	305555	2893670.750
08/01/2012	3.03	3.12	3.01	3.09	462241	4419094.000
08/02/2012	3.09	3.10	3.03	3.04	226270	2145702.250
08/03/2012	3.05	3.11	3.04	3.11	200066	1905732.250
08/06/2012	3.07	3.21	3.07	3.20	437917	4278506.500
08/07/2012	3.19	3.26	3.19	3.22	385702	3843489.500
08/08/2012	3.23	3.23	3.19	3.22	219988	2184949.500
08/09/2012	3.22	3.28	3.20	3.27	334266	3356335.500
08/10/2012	3.28	3.30	3.24	3.26	275540	2775608.750
08/13/2012	3.28	3.30	3.18	3.18	246836	2469435.500
08/14/2012	3.18	3.23	3.13	3.21	312951	3077530.250
08/15/2012	3.19	3.21	3.16	3.16	188705	1853700.000
08/16/2012	3.16	3.16	3.07	3.11	496290	4781813.000
08/17/2012	3.10	3.12	3.08	3.11	184890	1774481.250
08/20/2012	3.10	3.23	3.07	3.23	477383	4671355.000
08/21/2012	3.23	3.43	3.17	3.36	1187640	12201740.000
08/22/2012	3.34	3.50	3.30	3.39	889357	9310032.000
08/23/2012	3.35	3.37	3.29	3.37	493875	5082841.500
08/24/2012	3.34	3.35	3.24	3.24	465085	4728731.500
08/27/2012	3.24	3.24	3.17	3.18	217860	2153049.250
08/28/2012	3.17	3.26	3.17	3.24	241750	2409562.000
08/29/2012	3.20	3.29	3.20	3.24	280629	2821914.250
08/30/2012	3.22	3.28	3.12	3.15	299019	2949355.750
08/31/2012	3.15	3.18	3.14	3.17	135810	1325865.750
09/03/2012	3.15	3.25	3.14	3.24	407677	4046264.750
09/04/2012	3.23	3.28	3.23	3.25	456846	4594011.500
09/05/2012	3.25	3.33	3.23	3.32	587002	5990107.500
09/06/2012	3.33	3.38	3.29	3.35	558117	5738627.000
09/07/2012	3.37	3.45	3.34	3.41	980442	10329630.000
09/10/2012	3.40	3.47	3.38	3.41	533828	5627144.500
09/11/2012	3.41	3.41	3.33	3.39	499051	5200138.000
09/12/2012	3.40	3.42	3.36	3.41	473715	4952726.500
09/13/2012	3.40	3.42	3.35	3.36	282157	2950056.000
09/14/2012	3.37	3.38	3.31	3.34	424538	4387069.500
09/17/2012	3.33	3.34	3.17	3.18	587805	5883822.500
09/18/2012	3.17	3.21	3.12	3.15	375308	3681749.750
09/19/2012	3.15	3.19	3.15	3.17	361498	3536521.750
09/20/2012	3.17	3.17	3.05	3.06	366849	3528985.750
09/21/2012	3.04	3.10	3.03	3.04	196861	1866134.625
09/24/2012	3.03	3.05	2.90	3.04	319550	2971769.750
09/25/2012	3.05	3.05	2.99	2.99	186392	1740704.500
09/26/2012	2.97	2.99	2.89	2.90	229439	2080385.000
09/27/2012	2.92	2.98	2.89	2.95	215732	1969152.625
09/28/2012	2.95	3.13	2.93	3.10	687209	6479863.500
10/08/2012	3.09	3.12	3.05	3.07	116601	1108733.500
10/09/2012	3.10	3.16	3.07	3.16	372130	3610258.000
10/10/2012	3.16	3.18	3.12	3.16	414781	4042376.000
10/11/2012	3.17	3.25	3.14	3.14	768765	7603305.000
10/12/2012	3.13	3.17	3.06	3.11	402926	3881792.750
10/15/2012	3.12	3.12	2.95	2.98	549646	5113635.500
10/16/2012	2.99	3.01	2.97	2.99	295259	2740227.500
10/17/2012	3.01	3.01	2.94	2.99	232044	2146734.000
10/18/2012	3.00	3.06	2.97	3.03	387970	3633471.750
10/19/2012	3.04	3.07	3.01	3.02	325884	3063421.750
10/22/2012	3.02	3.05	2.99	3.04	217059	2035777.625
10/23/2012	3.03	3.05	2.99	3.00	268661	2516058.750
10/24/2012	3.00	3.02	2.95	2.97	641248	5915898.500
10/25/2012	2.97	2.99	2.96	2.97	345064	3183809.000
10/26/2012	2.98	2.98	2.88	2.88	411330	3710427.500
10/29/2012	2.88	2.89	2.86	2.87	193659	1727631.125
10/30/2012	2.86	2.90	2.86	2.88	159900	1430917.000
10/31/2012	2.88	2.91	2.87	2.91	155950	1397022.500
11/01/2012	2.92	2.98	2.91	2.96	415144	3802489.750
11/02/2012	2.95	2.98	2.95	2.97	161051	1480964.250
11/05/2012	2.95	2.98	2.95	2.96	172400	1585712.000
11/06/2012	2.98	2.98	2.91	2.95	219332	1996208.375
11/07/2012	2.96	2.98	2.93	2.97	226726	2074398.000
11/08/2012	2.96	2.96	2.87	2.87	291400	2630082.000
11/09/2012	2.87	2.89	2.85	2.87	151881	1354317.500
11/12/2012	2.84	2.92	2.84	2.89	144064	1294631.500
11/13/2012	2.92	2.92	2.87	2.88	224690	2010316.625
11/14/2012	2.83	2.93	2.83	2.92	221074	1992154.750
11/15/2012	2.92	2.97	2.89	2.89	467604	4271322.500
11/16/2012	2.96	2.96	2.85	2.85	179810	1604610.250
11/19/2012	2.86	2.91	2.83	2.90	165468	1472468.250
11/20/2012	2.95	2.97	2.91	2.93	314927	2874911.500
11/21/2012	2.94	2.96	2.91	2.96	218083	1986316.875
11/22/2012	2.94	2.99	2.93	2.97	555365	5115066.500
11/23/2012	2.97	2.97	2.93	2.94	264765	2423702.250
11/26/2012	2.96	2.97	2.81	2.83	366791	3277933.500
11/27/2012	2.82	2.84	2.73	2.73	263650	2263514.000
11/28/2012	2.70	2.71	2.64	2.68	143520	1194090.625
11/29/2012	2.71	2.71	2.59	2.59	135500	1117216.500
11/30/2012	2.59	2.63	2.58	2.61	158069	1281096.250
12/03/2012	2.59	2.62	2.57	2.57	150803	1219959.625
12/04/2012	2.57	2.61	2.50	2.59	169077	1341293.125
12/05/2012	2.59	2.71	2.58	2.70	353073	2944479.000
12/06/2012	2.71	2.71	2.66	2.67	137400	1145495.875
12/07/2012	2.67	2.73	2.66	2.73	332714	2794678.250
12/10/2012	2.71	2.79	2.71	2.78	374583	3201472.250
12/11/2012	2.80	2.80	2.72	2.75	337600	2886318.000
12/12/2012	2.72	2.76	2.69	2.74	191308	1623765.875
12/13/2012	2.72	2.83	2.72	2.74	771518	6665247.500
12/14/2012	2.74	2.86	2.70	2.85	731382	6405845.000
12/17/2012	2.86	2.86	2.82	2.84	472947	4180755.000
12/18/2012	2.82	2.89	2.81	2.84	515000	4561849.000
12/19/2012	2.83	2.87	2.82	2.85	343318	3028617.750
12/20/2012	2.83	3.06	2.83	2.93	1475721	13510374.000
12/21/2012	2.91	3.00	2.90	2.97	1274840	11645645.000
