300248 新开普 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/29/2011	12.59	15.09	12.50	13.92	8011632	347134240.000
08/01/2011	13.10	15.16	12.63	14.37	5894934	263348576.000
08/02/2011	13.72	14.81	13.67	13.88	4472246	205804112.000
08/03/2011	13.25	13.84	12.94	13.11	2739271	119293640.000
08/04/2011	13.13	13.77	13.13	13.34	2116183	92212880.000
08/05/2011	12.66	12.94	11.99	12.50	2040026	82949616.000
08/08/2011	12.30	12.31	11.23	11.23	1900638	71391984.000
08/09/2011	10.41	11.45	10.13	10.92	2003833	69676232.000
08/10/2011	11.06	11.65	10.85	10.91	1603552	58281768.000
08/11/2011	10.45	11.25	10.38	11.18	1461067	51820148.000
08/12/2011	11.26	11.51	11.08	11.09	1166269	42731364.000
08/15/2011	11.13	11.81	11.09	11.73	2017059	75788408.000
08/16/2011	11.69	11.99	11.66	11.96	1749876	67261512.000
08/17/2011	12.02	12.28	11.87	12.06	1409578	55575036.000
08/18/2011	11.93	11.99	11.22	11.26	1553451	58533212.000
08/19/2011	10.86	10.98	10.63	10.81	1018452	35764656.000
08/22/2011	10.91	11.91	10.85	11.58	1904887	71882192.000
08/23/2011	11.68	12.58	11.50	12.40	2409001	94701072.000
08/24/2011	12.31	12.78	12.06	12.09	2355156	94334224.000
08/25/2011	12.03	12.29	11.73	12.09	1403228	54593556.000
08/26/2011	12.03	12.90	12.00	12.82	2242201	91725336.000
08/29/2011	12.79	12.87	12.51	12.65	1390938	57281916.000
08/30/2011	12.66	12.91	12.07	12.09	1420478	57598088.000
08/31/2011	11.94	12.39	11.55	12.38	1355947	52777836.000
09/01/2011	12.31	12.69	11.95	12.03	1204904	48093060.000
09/02/2011	11.86	12.40	11.69	12.25	1229856	48251732.000
09/05/2011	11.96	12.30	11.72	11.95	1006182	39438036.000
09/06/2011	11.77	11.90	11.00	11.00	1215939	44716812.000
09/07/2011	11.06	11.41	11.03	11.35	626823	22904228.000
09/08/2011	11.53	11.53	10.68	10.75	843965	30520532.000
09/09/2011	10.54	10.91	10.44	10.65	530584	18488574.000
09/13/2011	10.59	10.65	10.17	10.53	364396	12332131.000
09/14/2011	10.55	11.05	10.55	11.05	677579	23857270.000
09/15/2011	11.09	11.28	10.94	10.96	454834	16431504.000
09/16/2011	10.94	11.12	10.57	10.58	474676	16647229.000
09/19/2011	10.63	10.63	9.93	9.94	530461	17629240.000
09/20/2011	9.82	10.10	9.80	9.95	472875	15323103.000
09/21/2011	10.06	10.33	9.81	10.24	496223	16448638.000
09/22/2011	10.15	10.24	9.67	9.69	626048	20275788.000
09/23/2011	9.43	9.77	9.43	9.66	293042	9167918.000
09/26/2011	9.62	9.78	9.52	9.57	208296	6549024.500
09/27/2011	9.78	9.78	9.45	9.59	270390	8467901.000
09/28/2011	9.74	9.74	9.19	9.29	325502	10071077.000
09/29/2011	9.21	9.29	9.04	9.19	434989	13011150.000
09/30/2011	9.19	9.41	9.06	9.35	248030	7481689.500
10/10/2011	9.19	9.48	9.19	9.33	201523	6175098.000
10/11/2011	9.57	9.66	9.19	9.31	301476	9254565.000
10/12/2011	9.22	9.75	9.04	9.72	425172	13256900.000
10/13/2011	9.63	9.95	9.57	9.85	672713	21474516.000
10/14/2011	9.75	9.81	9.51	9.69	409742	12864021.000
10/17/2011	9.74	9.97	9.63	9.88	499410	16041235.000
10/18/2011	9.81	9.92	9.46	9.46	394721	12517238.000
10/19/2011	9.46	9.59	9.08	9.12	548142	16554435.000
10/20/2011	9.06	9.14	8.59	8.70	701042	20304490.000
10/21/2011	8.73	8.79	8.34	8.35	271376	7543486.000
10/24/2011	8.34	8.48	8.01	8.48	278901	7569718.500
10/25/2011	8.35	8.81	8.34	8.80	326137	9270616.000
10/26/2011	8.94	9.24	8.88	9.07	623000	18555244.000
10/27/2011	8.98	9.15	8.94	8.98	488926	14410518.000
10/28/2011	9.12	9.41	8.99	9.35	653686	19649630.000
10/31/2011	9.35	9.53	9.30	9.47	610237	18774736.000
11/01/2011	9.37	9.81	9.31	9.65	710681	22012522.000
11/02/2011	9.44	10.18	9.34	10.04	1026394	32906998.000
11/03/2011	10.34	10.56	9.96	9.97	1514703	50819956.000
11/04/2011	10.03	10.22	9.83	9.89	886698	28808228.000
11/07/2011	9.94	9.96	9.72	9.90	506466	16272276.000
11/08/2011	9.82	10.00	9.73	9.77	411419	13256141.000
11/09/2011	9.90	10.16	9.74	10.15	810863	26312256.000
11/10/2011	10.12	11.05	10.00	10.48	2024803	70068328.000
11/11/2011	10.48	10.79	10.24	10.44	1026466	35168692.000
11/14/2011	10.48	10.91	10.48	10.77	854074	29723688.000
11/15/2011	10.74	10.83	10.56	10.67	656236	22811446.000
11/16/2011	10.68	10.97	10.13	10.31	788224	27330802.000
11/17/2011	10.38	11.00	10.37	10.83	1172360	40870512.000
11/18/2011	10.75	10.81	10.39	10.50	835256	28839932.000
11/21/2011	10.56	10.99	10.47	10.73	1493025	52257740.000
11/22/2011	10.53	11.16	10.28	11.13	1444394	50112216.000
11/23/2011	11.13	11.49	11.07	11.43	1537746	56454832.000
11/24/2011	11.22	11.53	11.10	11.35	978987	36105752.000
11/25/2011	11.25	11.48	11.08	11.24	847971	31058320.000
11/28/2011	11.23	11.30	10.99	11.22	589312	21374500.000
11/29/2011	11.28	11.34	11.03	11.18	544491	19739430.000
11/30/2011	11.18	11.20	10.04	10.07	1104499	37355416.000
12/01/2011	10.44	10.55	10.20	10.43	916397	31026978.000
12/02/2011	10.31	10.40	9.89	9.96	375451	12375840.000
12/05/2011	9.95	9.96	9.19	9.19	518947	16040651.000
12/06/2011	9.04	9.43	9.04	9.33	347035	10524600.000
12/07/2011	9.30	9.50	9.21	9.45	342585	10515573.000
12/08/2011	9.28	9.86	9.15	9.50	560270	17400062.000
12/09/2011	9.47	9.70	9.34	9.46	644041	19941394.000
12/12/2011	9.46	9.49	9.21	9.24	648011	19728208.000
12/13/2011	9.23	9.26	8.75	8.76	787558	22969318.000
12/14/2011	8.84	8.89	8.70	8.72	354263	10174365.000
12/15/2011	8.69	8.91	8.62	8.75	457117	13091585.000
12/16/2011	8.75	9.11	8.75	9.09	355780	10389898.000
12/19/2011	9.00	9.37	8.94	9.31	560196	16637496.000
12/20/2011	9.31	9.44	9.14	9.18	424012	12869921.000
12/21/2011	9.30	9.36	8.84	8.94	414609	12355565.000
12/22/2011	8.81	8.97	8.47	8.81	310634	8850428.000
12/23/2011	8.71	9.00	8.64	8.84	277496	8031850.000
12/27/2011	8.69	8.69	8.25	8.38	520611	14496464.000
12/28/2011	8.24	8.25	7.78	7.98	573905	14985527.000
12/29/2011	7.94	8.10	7.94	8.06	420778	11028726.000
12/30/2011	8.08	8.35	8.05	8.30	431565	11588380.000
01/04/2012	8.31	8.34	7.75	7.75	446802	11894651.000
01/05/2012	7.71	7.71	7.31	7.31	442095	10862577.000
01/06/2012	7.36	7.80	7.23	7.78	585281	14544267.000
01/09/2012	7.73	8.12	7.54	8.06	698121	18060784.000
01/10/2012	7.99	8.34	7.95	8.27	492711	13211186.000
01/11/2012	8.20	8.62	8.18	8.55	625183	17193612.000
01/12/2012	8.44	8.59	8.34	8.42	352420	9773299.000
01/13/2012	8.36	8.46	7.85	7.88	449854	11925912.000
01/16/2012	7.66	7.69	7.41	7.46	350791	8692646.000
01/17/2012	7.47	8.02	7.46	7.95	314545	7990018.000
01/18/2012	7.99	8.06	7.29	7.31	410450	10310916.000
01/19/2012	7.31	7.74	7.25	7.65	300132	7474984.000
01/20/2012	7.64	8.02	7.61	7.84	291081	7484207.000
01/30/2012	7.91	8.30	7.89	8.19	415650	11077353.000
01/31/2012	8.10	8.28	7.97	8.28	300561	7985831.500
02/01/2012	8.28	8.39	8.13	8.20	223153	6034840.500
02/02/2012	8.20	8.31	8.16	8.31	290276	7847690.000
02/03/2012	8.33	8.42	8.26	8.39	356927	9753626.000
02/06/2012	8.41	8.46	8.32	8.39	314300	8632949.000
02/07/2012	8.33	8.33	8.08	8.12	315345	8449746.000
02/08/2012	8.15	8.37	8.07	8.29	343088	9246432.000
02/09/2012	8.28	8.73	8.25	8.43	560184	15557698.000
02/10/2012	8.41	8.68	8.36	8.67	524400	14592601.000
02/13/2012	8.53	8.87	8.53	8.75	402475	11507981.000
02/14/2012	8.72	8.81	8.64	8.73	358081	10196505.000
02/15/2012	8.73	8.87	8.73	8.83	413450	11895655.000
02/16/2012	8.80	9.02	8.76	8.88	517552	15024419.000
02/17/2012	8.92	9.01	8.63	8.80	562082	16118217.000
02/20/2012	9.70	9.70	9.70	9.70	400834	12686396.000
02/21/2012	10.06	10.53	9.89	10.39	4481269	148009824.000
02/22/2012	10.15	10.74	10.02	10.55	3228617	108779912.000
02/23/2012	10.42	10.58	10.22	10.45	2021669	68725640.000
02/24/2012	10.39	10.74	10.39	10.51	1801749	61958656.000
02/27/2012	10.66	11.45	10.50	10.94	2654846	94590984.000
02/28/2012	10.91	11.09	10.47	10.62	1793663	63025360.000
02/29/2012	10.50	10.62	10.19	10.23	1335595	45029200.000
03/01/2012	10.19	10.55	10.13	10.40	960768	32437654.000
03/02/2012	10.35	10.61	10.35	10.59	668358	22787776.000
03/05/2012	10.58	10.60	10.35	10.36	996795	34005200.000
03/06/2012	10.32	10.43	10.06	10.25	729931	24298448.000
03/07/2012	10.13	10.37	10.10	10.20	690464	22988944.000
03/08/2012	10.21	10.31	10.19	10.23	600232	20022590.000
03/09/2012	10.31	10.55	10.24	10.52	758003	25726326.000
03/12/2012	10.55	10.59	10.38	10.55	719953	24504722.000
03/13/2012	10.45	10.78	10.45	10.75	1317621	45877716.000
03/14/2012	10.84	10.93	9.75	9.92	1856058	63510312.000
03/15/2012	9.88	9.97	9.51	9.63	1009942	32080142.000
03/16/2012	9.68	9.86	9.61	9.85	679081	21617092.000
03/19/2012	9.85	9.99	9.69	9.98	641885	20541144.000
03/20/2012	9.88	9.94	9.44	9.47	832564	26254920.000
03/21/2012	9.56	9.58	9.20	9.30	739201	22671576.000
03/22/2012	9.28	9.46	9.26	9.43	431003	13152174.000
03/23/2012	9.43	9.48	9.14	9.22	468130	14209835.000
03/26/2012	9.28	9.36	9.16	9.35	275816	8366644.000
03/27/2012	9.43	9.58	9.38	9.56	639216	19752282.000
03/28/2012	9.34	9.41	8.78	8.79	986280	28893130.000
03/29/2012	8.70	8.80	8.47	8.47	556112	15638821.000
03/30/2012	8.47	8.59	8.28	8.34	407168	11173388.000
04/05/2012	8.50	8.70	8.32	8.66	432524	12148543.000
04/06/2012	8.66	8.70	8.54	8.59	398829	11238629.000
04/09/2012	8.55	8.62	8.43	8.44	273239	7613269.500
04/10/2012	8.41	8.49	8.03	8.47	461894	12486669.000
04/11/2012	8.29	8.56	8.26	8.52	325557	9003192.000
04/12/2012	8.52	8.77	8.44	8.75	426892	12079692.000
04/13/2012	8.75	8.88	8.72	8.79	406006	11703479.000
04/16/2012	8.72	8.80	8.68	8.77	238710	6818969.000
04/17/2012	8.73	8.83	8.62	8.63	298912	8518127.000
04/19/2012	8.78	9.01	8.78	8.87	660959	19207210.000
04/20/2012	8.81	9.20	8.81	9.13	588680	17460376.000
04/23/2012	9.13	9.13	8.21	8.21	975917	27047318.000
04/24/2012	8.18	8.31	7.94	8.16	482423	12837121.000
04/25/2012	8.14	8.18	8.04	8.14	291700	7752604.500
04/26/2012	7.94	8.09	7.79	7.97	594729	15385010.000
04/27/2012	7.97	8.30	7.94	8.21	538252	14331904.000
05/02/2012	8.25	8.31	8.12	8.20	405044	10859030.000
05/03/2012	8.25	8.25	8.06	8.15	270793	7221865.000
05/04/2012	8.16	8.45	8.16	8.43	616339	16796648.000
05/07/2012	8.42	8.96	8.42	8.93	1363657	39354136.000
05/08/2012	9.02	9.02	8.57	8.74	1216484	34985768.000
05/09/2012	8.50	8.68	8.16	8.23	1387486	18741434.000
05/10/2012	8.23	8.93	8.18	8.43	1309048	18166816.000
05/11/2012	8.38	8.40	8.16	8.16	951993	12775393.000
05/14/2012	8.30	8.30	8.03	8.05	659665	8718070.000
05/15/2012	8.01	8.01	7.83	7.95	555521	7145249.500
05/16/2012	7.95	7.96	7.82	7.86	491219	6303656.000
05/17/2012	7.86	7.99	7.83	7.93	638961	8197594.500
05/18/2012	7.81	7.95	7.73	7.81	481291	6129717.000
05/21/2012	7.83	7.84	7.55	7.63	580297	7233609.500
05/22/2012	7.72	7.78	7.68	7.77	450338	5653241.000
05/23/2012	7.73	7.77	7.57	7.64	373295	4653353.000
05/24/2012	7.67	7.68	7.55	7.61	310804	3844456.250
05/25/2012	7.68	7.72	7.39	7.44	356680	4372169.000
05/28/2012	7.38	7.47	7.23	7.44	560358	6671904.000
05/29/2012	7.45	7.61	7.39	7.55	484296	5928648.000
05/30/2012	7.56	7.69	7.50	7.63	594403	7368890.500
05/31/2012	7.57	7.83	7.56	7.76	1013424	12770543.000
06/01/2012	7.76	8.24	7.76	7.91	2011711	26230770.000
06/04/2012	7.68	7.68	7.38	7.44	915183	11200606.000
06/05/2012	7.45	7.56	7.28	7.34	622258	7448598.000
06/06/2012	7.42	7.47	7.28	7.33	321459	3846994.000
06/07/2012	7.44	7.49	7.29	7.33	417846	4994972.000
06/08/2012	7.38	7.44	7.28	7.32	408416	4882598.000
06/11/2012	7.33	7.59	7.33	7.57	700752	8506445.000
06/12/2012	7.49	7.55	7.43	7.44	416615	5068768.000
06/13/2012	7.47	7.68	7.45	7.64	707091	8712982.000
06/14/2012	7.58	7.71	7.55	7.59	552300	6848450.000
06/15/2012	7.57	7.69	7.54	7.66	669797	8301376.000
