300249 依米康 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/03/2011	13.90	16.70	13.70	16.70	14658545	435482368.000
08/04/2011	15.86	17.34	15.03	15.23	11381622	367201536.000
08/05/2011	13.90	14.83	13.90	14.18	6309599	181618704.000
08/08/2011	13.53	13.74	12.75	12.80	5693291	149286640.000
08/09/2011	12.16	13.55	11.68	13.02	4829998	123217408.000
08/10/2011	13.04	13.38	12.73	12.73	4325508	114133472.000
08/11/2011	11.98	13.08	11.97	12.98	3247657	82704304.000
08/12/2011	13.10	13.47	12.95	13.11	3260992	86690024.000
08/15/2011	13.05	14.43	13.05	14.43	7487873	212190944.000
08/16/2011	14.45	14.58	13.93	14.20	5268362	151166128.000
08/17/2011	14.18	14.80	13.96	14.66	5322753	155251584.000
08/18/2011	14.46	15.00	13.78	13.80	4432877	128827696.000
08/19/2011	13.15	13.40	12.56	12.84	3601086	93343888.000
08/22/2011	12.73	13.35	12.71	12.98	2698619	70727920.000
08/23/2011	13.11	14.29	12.98	14.29	5892744	165272608.000
08/24/2011	14.69	15.49	14.48	15.05	8027204	241340528.000
08/25/2011	14.80	15.53	14.56	15.49	5209316	156950480.000
08/26/2011	15.28	16.49	15.10	15.70	6157491	194723040.000
08/29/2011	15.40	15.85	15.24	15.35	3312196	103300488.000
08/30/2011	15.20	15.60	14.63	14.80	3554319	107767928.000
08/31/2011	14.70	15.71	14.30	15.51	4610820	139139952.000
09/01/2011	15.25	15.48	14.40	14.89	3758786	113949240.000
09/02/2011	14.57	16.30	14.57	15.56	5472118	171562848.000
09/05/2011	15.25	16.65	15.21	16.04	5551301	177831776.000
09/06/2011	15.74	16.90	14.55	16.48	6737136	216490880.000
09/07/2011	16.16	17.29	15.92	16.97	5723852	192198112.000
09/08/2011	17.01	17.85	15.80	15.90	6746372	229973040.000
09/09/2011	15.75	16.22	15.35	15.79	3715685	118208728.000
09/13/2011	15.44	15.44	14.20	14.20	3877316	113106080.000
09/14/2011	14.06	14.60	13.58	14.59	3448377	97899080.000
09/15/2011	14.41	14.55	14.05	14.05	2913193	84036872.000
09/16/2011	14.15	14.33	13.08	13.31	3524053	96476280.000
09/19/2011	13.31	13.43	12.95	12.98	1541069	41028728.000
09/20/2011	13.00	13.25	12.81	13.04	1712810	45008380.000
09/21/2011	13.08	13.54	12.70	13.47	2847014	75616368.000
09/22/2011	13.29	13.46	12.21	12.21	2446070	63497892.000
09/23/2011	11.78	12.14	11.70	11.98	1459049	35145076.000
09/26/2011	11.86	12.35	11.86	12.01	1117616	27252958.000
09/27/2011	12.12	12.23	11.40	11.86	1111758	26746430.000
09/28/2011	12.00	12.11	11.06	11.25	1514929	35866352.000
09/29/2011	11.25	11.25	10.49	10.56	1516524	33205858.000
09/30/2011	10.64	10.74	10.31	10.60	976983	20830712.000
10/10/2011	10.70	10.93	10.56	10.71	1098625	23931488.000
10/11/2011	11.01	11.14	10.50	10.75	1348007	29645710.000
10/12/2011	10.72	11.24	10.40	11.18	1781435	39508300.000
10/13/2011	11.20	11.54	11.07	11.48	2204395	50546332.000
10/14/2011	11.38	11.43	11.10	11.24	1561246	35303396.000
10/17/2011	11.25	11.73	11.18	11.53	1925646	44608432.000
10/18/2011	11.41	11.44	10.44	10.52	1972321	43804152.000
10/19/2011	10.63	10.69	10.20	10.50	1146495	24372548.000
10/20/2011	10.50	10.50	9.55	9.81	1476184	29335476.000
10/21/2011	9.85	9.85	9.35	9.35	972056	18747562.000
10/24/2011	9.45	9.65	8.99	9.65	1357092	25744828.000
10/25/2011	9.51	10.11	9.51	10.04	1888267	37591564.000
10/26/2011	9.90	10.38	9.90	10.13	2041426	41673888.000
10/27/2011	10.05	10.33	10.01	10.05	1376818	28197190.000
10/28/2011	10.08	10.25	9.83	10.23	2233066	45411288.000
10/31/2011	10.24	10.49	10.10	10.43	1819682	38011752.000
