300250 初灵信息 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/03/2011	21.53	22.18	20.93	22.09	7146517	313417152.000
08/04/2011	21.63	23.88	21.46	22.09	5128684	236224256.000
08/05/2011	20.78	21.60	19.96	20.83	2979685	126299472.000
08/08/2011	20.13	20.63	18.71	18.71	2512142	99000184.000
08/09/2011	17.64	20.58	16.81	19.71	2597623	98519048.000
08/10/2011	19.72	20.51	19.28	19.73	2106527	85953904.000
08/11/2011	18.93	20.40	18.92	20.32	1719033	69440320.000
08/12/2011	20.49	21.57	20.49	20.53	1909427	81534816.000
08/15/2011	20.53	21.48	20.34	21.15	2027528	86487424.000
08/16/2011	20.98	22.07	20.59	21.99	2516903	108134880.000
08/17/2011	21.63	23.46	21.51	22.08	2901573	131992848.000
08/18/2011	21.74	22.13	20.83	20.90	1699641	74548976.000
08/19/2011	20.28	20.29	19.64	19.88	1466356	59441288.000
08/22/2011	19.92	20.62	19.92	20.12	1057798	43566680.000
08/23/2011	20.12	22.17	20.12	22.17	2842191	124823208.000
08/24/2011	22.76	23.13	21.89	22.20	2974901	136126288.000
08/25/2011	22.16	22.48	21.34	22.43	1923970	86094792.000
08/26/2011	22.18	24.60	22.03	24.03	3295952	157373360.000
08/29/2011	23.68	24.60	23.18	24.53	1963543	95162864.000
08/30/2011	24.38	25.71	23.28	23.37	2424546	120785808.000
08/31/2011	23.17	25.74	22.43	25.74	2786324	137493040.000
09/01/2011	25.74	27.82	25.05	27.57	3326587	176878112.000
09/02/2011	27.13	28.57	26.42	26.53	2787028	154483200.000
09/05/2011	26.13	28.38	25.89	26.81	2496264	137258352.000
09/06/2011	26.02	26.67	24.09	25.67	2535343	130584352.000
09/07/2011	25.44	27.01	24.94	26.60	2372597	125400440.000
09/08/2011	26.14	27.03	24.63	24.75	2015878	106551712.000
09/09/2011	24.63	24.95	23.41	23.56	2044518	99915480.000
09/13/2011	22.88	23.12	21.88	22.07	1640595	74269224.000
09/14/2011	22.38	23.03	22.03	23.02	1714899	78557136.000
09/15/2011	22.98	23.38	22.35	22.72	1554220	72045720.000
09/16/2011	22.72	22.79	21.23	21.32	1643000	73379016.000
09/19/2011	21.13	21.80	20.73	20.85	924267	39991480.000
09/20/2011	20.75	21.46	20.74	21.07	825189	35449916.000
09/21/2011	21.17	22.72	20.88	22.06	1331109	59230076.000
09/22/2011	21.63	22.06	20.13	20.18	1416462	60659068.000
09/23/2011	19.57	20.26	19.28	20.13	716924	28861478.000
09/26/2011	20.03	20.63	19.69	19.92	519886	21423754.000
09/27/2011	20.20	20.37	19.08	19.70	743583	29789692.000
09/28/2011	19.88	19.90	18.44	18.58	939428	36438476.000
09/29/2011	18.38	18.58	17.88	17.89	543422	20220658.000
09/30/2011	18.07	18.13	17.57	17.72	388875	14158068.000
10/10/2011	17.88	18.42	17.74	18.15	582236	21516288.000
10/11/2011	18.87	18.92	17.90	18.16	784239	29562736.000
10/12/2011	17.74	19.42	17.38	19.13	1140857	43391984.000
10/13/2011	19.13	19.88	18.89	19.34	1116053	44236036.000
10/14/2011	19.41	19.54	18.93	19.28	596603	23372896.000
10/17/2011	19.47	19.88	19.13	19.88	900282	36092692.000
10/18/2011	19.68	19.86	18.31	18.32	915527	35828852.000
10/19/2011	18.53	18.78	18.13	18.49	475043	17902936.000
10/20/2011	18.33	18.48	17.22	17.63	599553	21737782.000
10/21/2011	17.15	17.15	15.83	15.83	1028958	34154152.000
10/24/2011	15.83	16.12	14.83	15.93	788311	25003662.000
10/25/2011	15.88	16.62	15.20	16.39	1152320	37798076.000
10/26/2011	16.08	17.38	15.93	16.91	1479531	50156776.000
10/27/2011	16.88	17.07	16.44	16.48	823137	28125988.000
10/28/2011	16.65	16.91	16.43	16.88	799265	27295102.000
10/31/2011	16.89	17.42	16.73	17.24	766834	26915468.000
11/01/2011	16.93	18.06	16.67	17.75	1269712	44764768.000
11/02/2011	17.28	19.56	17.15	19.56	2229018	84242712.000
11/03/2011	19.84	21.03	19.63	19.63	3645131	149617984.000
11/04/2011	19.63	19.96	19.08	19.81	1879966	74529112.000
11/07/2011	19.53	19.67	19.03	19.08	1011794	39972412.000
11/08/2011	19.17	19.35	18.45	18.53	928828	35660932.000
11/09/2011	18.58	19.17	18.22	19.17	991713	37854756.000
11/10/2011	18.88	20.10	18.13	18.93	1497053	59262428.000
11/11/2011	18.98	19.24	18.56	18.77	832752	32070296.000
11/14/2011	18.88	20.08	18.87	19.53	1319648	52566532.000
11/15/2011	19.43	20.10	19.43	19.77	1161956	46823380.000
11/16/2011	19.77	20.07	18.82	18.97	1088943	43414912.000
11/17/2011	18.93	20.23	18.88	19.94	1505422	60405992.000
11/18/2011	19.77	20.78	19.67	20.58	2364388	98175712.000
11/21/2011	20.57	20.57	19.44	19.88	1346762	54429592.000
11/22/2011	19.59	19.61	18.96	19.49	913203	35939132.000
11/23/2011	19.51	20.87	19.51	20.34	1649464	68076672.000
11/24/2011	19.83	20.59	19.65	19.97	1251375	51202060.000
11/25/2011	19.95	20.61	19.67	19.88	1046154	42877548.000
11/28/2011	19.73	20.33	19.13	19.37	1169371	47065888.000
11/29/2011	19.51	19.60	18.77	19.00	1076387	41895904.000
11/30/2011	18.99	19.00	17.07	17.23	1334898	48242940.000
12/01/2011	17.87	18.05	17.39	17.39	822986	29828298.000
12/02/2011	17.31	17.43	16.33	16.46	697561	23871106.000
