300251 光线传媒 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/03/2011	7.42	7.85	7.32	7.76	19314312	1402263424.000
08/04/2011	8.04	8.08	7.57	7.61	9177485	680874752.000
08/05/2011	7.47	8.00	7.22	7.91	9588051	708504192.000
08/08/2011	7.92	8.03	7.36	7.76	7430052	543373504.000
08/09/2011	7.65	8.57	7.63	8.36	8465013	660703296.000
08/10/2011	8.21	8.58	8.17	8.18	6295231	498509120.000
08/11/2011	8.12	8.66	8.12	8.49	4086482	327452640.000
08/12/2011	8.51	8.71	8.37	8.50	3526567	285879712.000
08/15/2011	8.51	8.60	8.37	8.38	2992727	240840784.000
08/16/2011	8.41	8.62	8.37	8.44	2745428	221410384.000
08/17/2011	8.30	8.40	8.04	8.11	3879882	301598432.000
08/18/2011	7.98	8.23	7.98	8.08	2368370	183426784.000
08/19/2011	7.94	8.06	7.73	7.97	2832439	212634800.000
08/22/2011	7.97	8.11	7.79	7.83	1705801	128844064.000
08/23/2011	7.86	8.24	7.76	8.23	2772195	213716672.000
08/24/2011	8.23	8.48	8.07	8.09	2972300	234885760.000
08/25/2011	8.04	8.13	7.79	7.97	2040829	154462816.000
08/26/2011	8.00	8.79	7.93	8.79	4524749	367824832.000
08/29/2011	8.73	8.82	8.58	8.70	2358259	194727776.000
08/30/2011	8.68	8.78	8.32	8.32	2328784	190061536.000
08/31/2011	8.36	8.39	7.78	8.10	3161884	241707056.000
09/01/2011	8.10	8.12	7.82	7.90	1597677	121181048.000
09/02/2011	7.90	8.06	7.86	7.96	1475347	112122288.000
09/05/2011	7.86	7.86	7.52	7.55	2159021	157108192.000
09/06/2011	7.42	7.54	6.96	7.20	2438858	169081120.000
09/07/2011	7.27	7.48	7.21	7.43	1534870	107679760.000
09/08/2011	7.42	7.50	6.94	6.94	1897729	131461632.000
09/09/2011	6.95	7.18	6.78	6.88	1909453	127880464.000
09/13/2011	6.74	6.89	6.57	6.77	1346443	86740272.000
09/14/2011	6.89	6.95	6.61	6.89	1061765	69450976.000
09/15/2011	6.88	7.13	6.84	6.88	1107453	74170464.000
