300252 金信诺 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/18/2011	18.65	19.09	16.46	16.69	17504208	466156608.000
08/19/2011	15.01	15.66	15.01	15.09	8853641	202254544.000
08/22/2011	15.56	16.34	15.24	16.08	8001701	189156944.000
08/23/2011	16.17	16.96	15.74	16.78	7936935	194527024.000
08/24/2011	16.57	17.58	16.47	16.57	7302011	186333120.000
08/25/2011	16.44	17.24	16.18	17.04	4890575	122268208.000
08/26/2011	16.82	17.56	16.77	17.51	6492266	168864608.000
08/29/2011	17.31	17.51	16.98	17.06	4204187	109110560.000
08/30/2011	17.14	17.29	16.18	16.37	4658865	116510272.000
08/31/2011	16.30	16.36	15.50	16.07	2976070	71004440.000
09/01/2011	16.03	16.29	15.77	16.14	2474872	59814984.000
09/02/2011	16.10	16.21	15.43	16.14	2331560	55528272.000
09/05/2011	15.82	16.59	15.57	16.26	3090180	75076232.000
09/06/2011	15.90	16.01	14.76	14.83	2861602	65822356.000
09/07/2011	14.89	15.29	14.88	15.15	1448394	32869446.000
09/08/2011	15.28	15.28	14.04	14.22	2033160	45203008.000
09/09/2011	14.22	14.40	13.56	13.70	2232555	46659896.000
09/13/2011	13.32	13.84	13.15	13.58	1564966	31846230.000
09/14/2011	13.58	13.81	13.44	13.79	1517846	31214842.000
09/15/2011	13.84	14.25	13.69	14.07	1868086	39528952.000
09/16/2011	14.13	14.20	13.51	13.52	1585727	33056046.000
09/19/2011	13.42	13.42	12.48	12.61	1573305	30446346.000
09/20/2011	12.61	12.87	12.48	12.73	944760	18049890.000
09/21/2011	12.79	13.39	12.76	13.34	1789487	35281916.000
09/22/2011	13.15	13.66	13.10	13.15	2674249	53885056.000
09/23/2011	12.95	13.11	12.73	12.95	1088911	21155930.000
09/26/2011	12.87	13.23	12.81	13.07	1048928	20613828.000
09/27/2011	13.13	13.36	12.74	13.12	1348376	26677158.000
09/28/2011	13.30	13.58	13.12	13.57	2767030	55690468.000
09/29/2011	13.42	13.58	13.13	13.34	2002783	40301460.000
09/30/2011	13.36	13.44	11.99	12.13	2034947	38081896.000
10/10/2011	12.27	12.34	11.63	11.92	1015496	18344792.000
10/11/2011	12.27	12.41	11.72	11.82	943881	17135110.000
10/12/2011	11.80	12.24	11.49	12.16	1895121	34447904.000
10/13/2011	12.07	12.57	12.07	12.32	1721484	32054208.000
10/14/2011	12.32	12.32	12.06	12.21	1291442	23681068.000
10/18/2011	12.46	13.44	12.44	13.44	4159171	82911784.000
10/19/2011	13.81	13.81	12.79	12.85	5480224	110111816.000
10/20/2011	12.62	12.81	11.80	12.04	3071320	56166252.000
10/21/2011	11.94	12.07	11.39	11.41	1909868	33458966.000
10/24/2011	11.32	11.68	10.73	11.68	2047955	34742956.000
10/25/2011	11.40	12.07	11.30	11.94	2857285	50680252.000
10/26/2011	11.74	12.25	11.60	11.93	3029015	54567824.000
10/27/2011	11.90	12.07	11.82	12.00	1991431	35877432.000
10/28/2011	12.11	12.20	11.74	12.05	2830054	51121316.000
10/31/2011	12.01	12.33	11.87	12.21	2370150	43282212.000
11/01/2011	12.07	12.62	11.62	12.62	4158593	76274280.000
11/02/2011	12.41	13.09	12.14	12.94	4264193	81390296.000
11/03/2011	12.94	13.22	12.66	12.68	3796620	74062600.000
11/04/2011	12.79	12.85	12.48	12.61	2259189	42907236.000
11/07/2011	12.58	12.90	12.50	12.70	1729396	33248580.000
11/08/2011	12.65	12.68	12.13	12.15	1742901	32585642.000
11/09/2011	12.20	12.41	11.85	12.41	1504309	27628210.000
11/10/2011	12.23	12.73	12.08	12.39	2475229	46611148.000
11/11/2011	12.38	12.85	12.14	12.66	2046455	38704540.000
11/14/2011	12.83	13.28	12.75	13.22	3854925	76062920.000
11/15/2011	13.10	13.18	12.78	12.97	2658002	51878624.000
11/16/2011	13.04	13.05	11.96	12.23	2388856	45256496.000
11/17/2011	12.21	12.73	12.15	12.48	1685991	31666298.000
11/18/2011	12.41	12.41	11.57	11.64	3611399	64760240.000
