300253 卫宁软件 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/18/2011	10.51	11.34	10.51	10.59	9291443	410891488.000
08/19/2011	9.51	10.03	9.51	9.51	5409700	210882912.000
08/22/2011	9.51	9.83	9.37	9.72	3433837	133982936.000
08/23/2011	9.69	10.36	9.60	10.21	3350869	136075408.000
08/24/2011	10.31	10.50	9.84	9.90	2959723	122717336.000
08/25/2011	9.87	10.14	9.65	10.14	2382513	95903864.000
08/26/2011	10.04	10.79	10.03	10.60	3225177	136853968.000
08/29/2011	10.47	11.06	10.47	10.58	2694790	117472792.000
08/30/2011	10.59	10.87	10.09	10.11	2126691	90055088.000
08/31/2011	10.04	10.20	9.60	10.12	1731991	69616288.000
09/01/2011	10.08	10.21	9.71	9.75	1287301	51903584.000
09/02/2011	9.67	10.54	9.65	10.44	2266766	93188488.000
09/05/2011	10.24	10.72	10.12	10.16	2429172	102350936.000
09/06/2011	10.00	10.00	9.13	9.15	2298032	88361176.000
09/07/2011	9.19	9.46	9.19	9.42	1288567	48959416.000
09/08/2011	9.39	9.71	9.14	9.21	1350183	51982132.000
09/09/2011	9.21	9.31	8.87	9.00	1355780	49830260.000
09/13/2011	8.79	8.82	8.31	8.40	993037	34646736.000
09/14/2011	8.47	8.63	8.28	8.63	791389	27412186.000
09/15/2011	8.61	8.68	8.49	8.54	988624	34560580.000
09/16/2011	8.57	8.61	8.12	8.14	1320621	44709632.000
09/19/2011	8.04	8.04	7.70	7.72	942205	30121312.000
09/20/2011	7.63	7.86	7.60	7.72	625683	19780088.000
09/21/2011	7.75	8.03	7.67	8.02	909232	29362772.000
09/22/2011	7.89	7.99	7.72	7.80	750251	23984732.000
09/23/2011	7.56	7.94	7.50	7.87	702314	22277030.000
09/26/2011	7.77	7.98	7.72	7.74	620226	19918818.000
09/27/2011	7.83	7.89	7.53	7.68	523660	16410463.000
09/28/2011	7.69	7.77	7.30	7.32	731195	22338460.000
09/29/2011	7.23	7.29	7.00	7.02	564695	16363018.000
09/30/2011	6.89	7.14	6.89	7.09	369984	10613284.000
10/10/2011	7.10	7.21	7.02	7.08	279132	8117069.000
10/11/2011	7.29	7.43	7.04	7.16	652828	19402808.000
10/12/2011	7.10	7.64	7.10	7.63	846804	25862018.000
10/13/2011	7.59	7.97	7.57	7.85	1404437	44999756.000
10/14/2011	7.85	7.90	7.69	7.90	715743	22744972.000
10/17/2011	7.94	8.27	7.88	7.94	984750	32296056.000
10/18/2011	7.84	8.29	7.83	8.00	1716889	56883860.000
10/19/2011	8.04	8.19	7.65	7.83	667398	21329832.000
10/20/2011	7.72	7.83	7.39	7.52	481660	14975030.000
10/21/2011	7.44	7.53	7.15	7.18	629280	18749960.000
10/24/2011	7.24	7.84	6.97	7.82	678920	20644636.000
10/25/2011	7.81	8.21	7.72	8.15	1110863	36389172.000
10/26/2011	8.24	8.46	7.72	8.17	1206648	40351048.000
10/27/2011	8.10	8.50	8.09	8.27	1091197	37023980.000
10/28/2011	8.43	8.52	8.32	8.41	938975	32256112.000
10/31/2011	8.37	8.93	8.37	8.84	1547414	55034584.000
11/01/2011	8.69	9.29	8.67	9.18	1403022	51493124.000
11/02/2011	9.04	10.09	8.97	9.79	2272135	88188672.000
11/03/2011	9.74	10.17	9.34	9.39	2423446	96051040.000
11/04/2011	9.37	9.59	9.10	9.14	1431491	53936024.000
11/07/2011	9.14	9.44	9.02	9.38	1177275	44153564.000
11/08/2011	9.31	9.64	9.07	9.09	765243	28759598.000
11/09/2011	9.12	9.45	9.09	9.34	936538	35407836.000
11/10/2011	9.29	9.83	9.24	9.44	1468476	57500000.000
11/11/2011	9.40	9.69	9.27	9.28	745324	28668360.000
11/14/2011	9.34	9.80	9.34	9.64	831043	32587142.000
11/15/2011	9.76	10.19	9.66	9.91	814616	33004316.000
11/16/2011	10.01	10.24	9.42	9.56	1075609	42279128.000
11/17/2011	9.56	10.04	9.44	9.79	1258418	49691864.000
11/18/2011	9.72	10.15	9.64	9.83	1357310	54572600.000
11/21/2011	9.74	9.77	9.07	9.43	1257200	47965760.000
