300254 仟源医药 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/19/2011	17.72	18.10	16.31	16.54	21025807	359146688.000
08/22/2011	16.71	17.02	15.93	17.02	13087530	220695920.000
08/23/2011	16.75	18.75	16.44	18.75	15187332	271777568.000
08/24/2011	19.42	20.60	19.17	19.87	16888478	339210048.000
08/25/2011	19.61	21.89	19.53	21.89	13626990	281465472.000
08/26/2011	21.94	23.52	21.40	22.87	14503916	327593984.000
08/29/2011	22.54	23.30	22.30	22.82	9525118	220315504.000
08/30/2011	22.72	23.22	21.41	21.41	10201145	228912608.000
08/31/2011	21.30	22.22	20.87	21.92	8755097	190655632.000
09/01/2011	21.72	21.91	20.54	20.67	6856582	147043824.000
09/02/2011	20.57	21.53	20.49	21.17	7571428	161901104.000
09/05/2011	20.71	22.97	20.57	22.10	10994602	243201280.000
09/06/2011	21.60	21.86	19.86	19.86	9334417	193681072.000
09/07/2011	19.71	20.80	19.33	20.63	7164771	146224640.000
09/08/2011	20.60	21.09	20.12	20.35	6820602	142673920.000
09/09/2011	20.07	20.72	19.65	19.87	5546635	113516968.000
09/13/2011	19.22	19.42	17.86	17.90	5916088	110358464.000
09/14/2011	18.11	18.52	17.55	18.45	5141998	94311296.000
09/15/2011	18.37	19.10	18.23	18.57	6003166	113674288.000
09/16/2011	18.52	18.66	17.62	17.64	5130629	93705416.000
09/19/2011	17.37	17.40	16.14	16.19	5017788	85298424.000
09/20/2011	16.19	16.81	16.14	16.62	3660483	61371620.000
09/21/2011	16.50	17.49	16.24	17.19	4976205	85972712.000
09/22/2011	16.92	17.16	15.97	16.03	4575343	77122032.000
09/23/2011	15.51	16.02	15.30	15.97	3327656	52995236.000
09/26/2011	15.89	16.27	15.58	15.77	2398959	38925512.000
09/27/2011	15.97	16.15	15.53	16.00	2532832	41017384.000
09/28/2011	16.08	16.18	15.32	15.32	2780641	44558744.000
09/29/2011	15.12	15.25	14.50	14.54	2509365	37919848.000
09/30/2011	14.68	14.85	14.47	14.79	1691106	25292730.000
10/10/2011	14.87	15.22	14.70	14.98	1879912	28719636.000
10/11/2011	15.48	15.52	14.65	14.96	2443162	37909756.000
10/12/2011	14.67	15.90	14.49	15.71	4213071	66061572.000
10/13/2011	15.69	16.21	15.52	15.95	4241442	68809160.000
10/14/2011	15.90	15.90	15.42	15.63	2812261	44694032.000
10/17/2011	15.65	16.71	15.58	16.59	5384446	88972360.000
10/18/2011	16.27	16.62	15.58	15.58	4119308	67930272.000
10/19/2011	15.63	16.05	15.32	15.62	2397829	38372108.000
10/20/2011	15.52	15.53	14.57	14.85	2584312	39311496.000
10/21/2011	14.90	14.90	14.00	14.04	2205902	32490806.000
10/24/2011	13.97	14.54	13.44	14.48	2564246	36726236.000
10/25/2011	14.47	15.10	14.27	14.90	3315047	49737460.000
10/26/2011	14.85	15.22	14.74	15.08	3456150	52792680.000
10/27/2011	15.09	15.68	14.84	14.97	3161712	49200260.000
10/28/2011	15.20	15.39	14.87	15.31	2799889	43217704.000
10/31/2011	15.33	15.66	15.22	15.52	2972397	46700872.000
11/01/2011	15.31	16.22	15.16	16.04	4796138	76970328.000
11/02/2011	15.67	16.67	15.55	16.47	4786315	78456424.000
11/03/2011	16.57	17.17	16.14	16.16	5158800	87256616.000
11/04/2011	16.21	16.44	15.81	15.92	3274995	53353828.000
11/07/2011	15.87	16.22	15.82	15.89	2018337	32821218.000
11/08/2011	15.98	15.98	15.23	15.31	2775825	44217064.000
11/09/2011	15.40	15.80	15.07	15.76	2105517	33103490.000
11/10/2011	15.52	17.05	15.32	16.37	5865691	96810880.000
11/11/2011	16.27	17.22	16.13	16.82	6952930	118333408.000
11/14/2011	17.07	17.63	16.64	17.32	6405624	111525576.000
11/15/2011	17.20	17.22	16.73	16.98	4328440	74588160.000
11/16/2011	17.03	17.06	16.02	16.11	3735421	62427476.000
11/17/2011	16.06	16.83	16.02	16.53	3738572	62546832.000
11/18/2011	16.32	16.35	15.60	15.68	2745395	44621536.000
11/21/2011	15.38	15.39	14.28	14.87	5122440	77119376.000
11/22/2011	14.57	14.78	14.34	14.76	3570570	52971008.000
11/23/2011	14.68	14.97	14.57	14.69	2642997	39788264.000
11/24/2011	14.47	14.96	14.22	14.72	2347427	35098464.000
11/25/2011	14.72	15.00	14.43	14.48	2046883	30662072.000
11/28/2011	14.54	14.66	14.37	14.55	1524087	22529582.000
11/29/2011	14.72	14.98	14.68	14.92	3080662	46572112.000
11/30/2011	14.88	14.96	13.60	13.77	3385057	49583564.000
12/01/2011	14.37	14.69	13.90	14.31	3255422	47657280.000
12/02/2011	14.17	14.31	13.76	13.82	1841557	26217976.000
12/05/2011	13.70	13.76	12.62	12.70	2213905	29738800.000
12/06/2011	12.72	13.15	12.64	12.97	1368580	18056408.000
12/07/2011	12.98	13.16	12.89	13.06	1489446	19865706.000
12/08/2011	13.07	13.36	12.61	13.10	2110255	28106556.000
12/09/2011	12.90	13.24	12.80	13.00	1217177	16194692.000
12/12/2011	12.95	13.11	12.82	12.87	987705	13104327.000
12/13/2011	12.72	13.38	12.27	12.32	1660802	21159360.000
