300255 常山药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/19/2011	16.48	19.31	16.45	18.05	17123249	532497024.000
08/22/2011	18.43	18.99	18.14	18.58	9170301	293079232.000
08/23/2011	18.42	19.96	17.75	19.36	10563678	338530720.000
08/24/2011	19.55	20.94	19.37	19.72	9703238	334817984.000
08/25/2011	19.55	20.36	18.96	19.92	7007111	236484384.000
08/26/2011	19.65	20.34	19.56	20.01	6281873	215663664.000
08/29/2011	20.01	20.22	19.55	19.74	4299632	146806160.000
08/30/2011	19.77	19.92	18.79	19.12	5294090	175393360.000
08/31/2011	19.14	19.15	18.26	18.58	3343568	107016800.000
09/01/2011	18.59	18.95	18.28	18.43	2603641	83455016.000
09/02/2011	18.49	19.64	18.36	19.54	5188937	169767824.000
09/05/2011	19.16	20.44	19.09	19.27	7014162	237582192.000
09/06/2011	18.89	18.90	17.32	17.32	5893684	180684368.000
09/07/2011	17.30	17.96	17.21	17.85	3737780	113024560.000
09/08/2011	17.85	17.96	17.31	17.31	3081945	93124456.000
09/09/2011	17.10	17.52	16.95	17.06	2088824	61950904.000
09/13/2011	16.82	16.82	15.96	16.18	1867185	52341468.000
09/14/2011	16.34	16.58	15.96	16.56	1828082	51334480.000
09/15/2011	16.61	16.95	16.49	16.66	2156980	62109004.000
09/16/2011	16.66	16.75	16.14	16.14	1925784	54468968.000
09/19/2011	15.98	16.02	15.32	15.36	1812884	48445340.000
09/20/2011	15.31	15.65	15.28	15.46	1168482	31146520.000
09/21/2011	15.38	16.18	15.38	16.07	2321581	63539908.000
09/22/2011	15.84	16.04	15.08	15.14	2171894	58433804.000
09/23/2011	14.78	15.32	14.61	15.30	1760528	45486152.000
09/26/2011	15.22	15.55	14.95	15.08	1090065	28633266.000
09/27/2011	15.25	15.37	15.03	15.19	721654	18917468.000
09/28/2011	15.31	15.39	14.79	14.96	783422	20458284.000
09/29/2011	14.89	14.89	14.33	14.33	1119509	28202524.000
09/30/2011	14.25	14.55	14.04	14.22	776648	19088604.000
10/10/2011	14.34	14.48	14.05	14.11	624335	15266092.000
10/11/2011	14.50	14.64	13.95	14.16	1159537	28723598.000
10/12/2011	14.02	14.74	13.91	14.68	1482985	37105532.000
10/13/2011	14.68	15.15	14.58	14.91	1573450	40488928.000
10/14/2011	14.78	14.92	14.51	14.65	1361934	34398312.000
10/17/2011	14.67	15.42	14.66	15.28	2254417	58868392.000
10/18/2011	15.08	15.78	15.08	15.24	3457221	91932896.000
10/19/2011	15.24	15.36	14.78	14.88	1614675	41977320.000
10/20/2011	14.72	15.01	14.08	14.35	1222449	30285264.000
10/21/2011	14.33	14.39	13.93	13.94	964490	23475598.000
10/24/2011	13.61	13.61	12.52	13.18	2606549	58114060.000
10/25/2011	12.89	13.78	12.79	13.73	1972258	45372228.000
10/26/2011	13.54	13.90	13.42	13.59	1624977	38301548.000
10/27/2011	13.61	14.00	13.55	13.56	1510036	35934360.000
10/28/2011	13.81	13.90	13.61	13.90	1487713	35377892.000
10/31/2011	13.93	14.22	13.93	14.13	1292093	31370492.000
11/01/2011	13.95	14.58	13.93	14.44	1979494	48507096.000
11/02/2011	13.95	14.91	13.95	14.76	2112991	52572912.000
11/03/2011	14.76	15.19	14.66	14.66	2218299	57103168.000
11/04/2011	14.73	14.92	14.53	14.69	1323916	33591724.000
11/07/2011	14.64	15.01	14.64	14.74	999100	25526178.000
11/08/2011	14.75	14.82	14.08	14.16	1272097	31780086.000
11/09/2011	14.25	14.36	13.83	14.28	1431265	34828132.000
11/10/2011	14.08	15.08	13.99	14.72	2766075	69564400.000
11/11/2011	14.69	15.73	14.61	15.45	4171177	109812168.000
11/14/2011	15.75	16.24	15.45	16.14	3630581	99798984.000
11/15/2011	16.08	16.19	15.84	15.99	2050604	56547276.000
11/16/2011	16.14	16.22	15.06	15.24	1935745	52444792.000
11/17/2011	15.28	16.12	15.27	15.81	2422920	65812148.000
11/18/2011	15.78	16.36	15.66	15.71	2815271	77558560.000
11/21/2011	15.77	15.77	14.45	14.86	2859768	73211528.000
11/22/2011	14.66	14.69	14.15	14.50	1531711	38149892.000
11/23/2011	14.77	14.78	14.40	14.46	1478316	37288276.000
11/24/2011	14.19	14.61	13.91	14.38	1288343	31862194.000
11/25/2011	14.34	14.66	14.21	14.41	1034646	25851036.000
11/28/2011	14.48	14.48	14.02	14.15	1094140	26746076.000
11/29/2011	14.37	14.54	14.21	14.51	1371583	34064864.000
11/30/2011	14.49	14.77	13.80	14.04	1920705	47608328.000
12/01/2011	14.49	15.21	14.31	14.85	3485250	88687640.000
12/02/2011	14.69	14.78	14.26	14.43	1571128	39361112.000
12/05/2011	14.26	14.31	13.01	13.11	1847753	42989336.000
12/06/2011	13.25	13.31	12.61	13.22	1940192	43354664.000
12/07/2011	13.02	13.25	12.90	13.02	1667589	37703572.000
12/08/2011	12.98	13.28	12.66	13.10	1487445	33396564.000
12/09/2011	12.90	13.12	12.85	12.94	727222	16335947.000
12/12/2011	12.98	13.49	12.90	13.08	1056892	24012582.000
12/13/2011	13.02	13.41	13.01	13.31	1962488	44867152.000
12/14/2011	13.29	13.31	12.67	12.70	1549303	34644216.000
12/15/2011	12.61	12.61	11.95	11.98	1601578	33727040.000
12/16/2011	12.13	12.43	11.79	12.41	1035975	21749274.000
12/19/2011	12.25	12.48	11.87	12.41	1173297	24762222.000
12/20/2011	12.36	12.64	12.23	12.23	980239	21032126.000
12/21/2011	12.38	12.42	11.95	11.96	826157	17495850.000
12/22/2011	11.96	11.96	11.26	11.60	1146333	22962658.000
12/23/2011	11.49	11.84	11.46	11.64	758440	15318642.000
12/26/2011	11.58	11.72	11.39	11.39	611251	12246010.000
12/27/2011	11.31	11.38	10.44	10.45	1206083	22676052.000
12/28/2011	10.41	10.45	10.02	10.29	1038185	18395322.000
12/29/2011	10.35	10.43	10.16	10.26	577711	10345448.000
12/30/2011	10.36	10.65	10.36	10.43	727271	13228841.000
01/04/2012	10.53	10.60	9.89	9.89	728868	13089227.000
01/05/2012	9.64	9.93	9.31	9.32	754981	12575140.000
01/06/2012	9.25	9.58	9.16	9.54	790644	12829599.000
01/09/2012	9.48	10.06	9.34	10.02	1124627	19126906.000
01/10/2012	10.02	10.49	9.96	10.44	1707032	30359278.000
01/11/2012	10.43	10.65	10.35	10.44	1229118	22354174.000
01/12/2012	10.39	10.60	10.25	10.28	1039275	18807876.000
01/13/2012	10.28	10.35	9.58	9.59	1177210	20081776.000
01/16/2012	9.48	9.48	8.93	9.02	780999	12553481.000
01/17/2012	9.02	9.66	8.96	9.65	1279030	20762152.000
01/18/2012	9.84	9.84	9.11	9.19	1160737	19195938.000
01/19/2012	9.19	9.78	9.04	9.69	1029398	17034330.000
01/20/2012	9.76	10.05	9.61	10.01	995204	17051246.000
01/30/2012	10.06	10.22	9.79	10.14	1008834	17568868.000
01/31/2012	10.09	10.11	9.75	9.95	564677	9694017.000
02/01/2012	9.91	10.10	9.81	9.85	653830	11314310.000
02/02/2012	9.90	10.14	9.81	10.14	937206	16239031.000
02/03/2012	10.17	10.59	10.08	10.45	1381887	24878568.000
02/06/2012	10.45	10.52	10.28	10.51	1029749	18632470.000
02/07/2012	10.37	10.51	10.15	10.18	709084	12681848.000
02/08/2012	10.18	10.54	10.14	10.54	881762	15891304.000
02/09/2012	10.54	10.75	10.46	10.56	1837731	33799964.000
02/10/2012	10.62	10.62	10.41	10.48	1114278	20338946.000
02/13/2012	10.42	10.84	10.32	10.76	1679456	31047692.000
02/14/2012	10.76	10.77	10.61	10.75	885734	16413183.000
02/15/2012	10.80	10.94	10.64	10.90	1221661	22876794.000
02/16/2012	10.86	11.02	10.60	10.76	1106397	20700796.000
02/17/2012	10.79	10.81	10.44	10.58	1036099	19052140.000
02/20/2012	10.72	10.72	10.48	10.48	1445778	26603010.000
02/21/2012	10.49	10.74	10.43	10.74	1071154	19669336.000
02/22/2012	10.72	11.24	10.68	11.19	2235839	42647784.000
02/23/2012	11.17	11.48	11.15	11.33	2162734	42442464.000
02/24/2012	11.40	11.70	11.38	11.60	1998385	39902052.000
02/27/2012	11.77	11.83	11.42	11.47	1854000	37151368.000
02/28/2012	11.42	11.42	11.14	11.26	1712214	33371908.000
02/29/2012	11.22	11.41	11.11	11.15	1183762	23111682.000
03/01/2012	11.10	11.30	11.10	11.20	762491	14795761.000
03/02/2012	11.21	11.40	11.20	11.40	1106592	21723556.000
03/05/2012	11.49	11.65	11.35	11.48	1496288	29773332.000
03/06/2012	11.40	11.44	11.12	11.20	1130926	21991198.000
03/07/2012	11.03	11.36	10.99	11.12	900610	17490690.000
03/08/2012	11.25	11.36	11.15	11.31	937971	18293346.000
03/09/2012	11.35	11.71	11.33	11.71	1542133	30930318.000
03/13/2012	11.90	12.41	11.78	12.02	2876888	60270272.000
03/14/2012	12.19	12.31	11.26	11.31	2480893	51192440.000
03/15/2012	11.38	11.88	11.09	11.79	2555441	51137340.000
03/16/2012	11.78	12.58	11.73	12.56	3051907	64256228.000
03/19/2012	12.62	12.62	12.30	12.59	2078144	44889452.000
03/20/2012	12.49	12.96	12.44	12.56	2269062	49766560.000
03/21/2012	12.69	12.69	11.86	12.30	1805229	38219704.000
03/22/2012	12.28	12.43	12.08	12.18	957341	20301518.000
03/23/2012	12.02	12.40	11.96	12.08	1001722	21121024.000
