300256 星星科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/19/2011	15.80	17.22	15.80	16.49	16475552	415772640.000
08/22/2011	16.53	18.12	16.53	17.67	10318330	269934688.000
08/23/2011	17.91	19.46	17.54	19.46	9968440	274931776.000
08/24/2011	19.07	20.12	18.80	19.11	9591849	281344832.000
08/25/2011	19.25	20.07	18.47	19.68	7712907	226643152.000
08/26/2011	19.33	20.39	19.20	19.59	7386919	221159408.000
08/29/2011	19.11	19.77	18.74	19.24	5846321	169943024.000
08/30/2011	19.72	20.45	19.00	20.27	7645017	228246848.000
08/31/2011	19.80	19.93	18.57	19.41	5297513	155795904.000
09/01/2011	19.28	19.57	18.47	18.47	3588715	103712328.000
09/02/2011	18.55	18.97	17.81	18.67	4076830	113832584.000
09/05/2011	18.28	19.03	18.13	18.60	3805978	107343712.000
09/06/2011	18.20	18.27	16.72	16.72	4781881	125703544.000
09/07/2011	16.82	18.05	16.81	17.73	4630770	122022536.000
09/08/2011	17.55	18.02	16.80	16.86	3153238	83619032.000
09/09/2011	16.89	18.30	16.46	17.61	4060140	107530288.000
09/13/2011	17.21	18.24	16.87	17.72	3959061	106739464.000
09/14/2011	17.63	18.57	17.27	18.56	3970891	108647272.000
09/15/2011	18.47	19.39	18.27	18.71	5309768	152428832.000
09/16/2011	18.65	18.87	18.24	18.29	2733666	76578496.000
09/19/2011	18.07	18.07	16.51	17.13	3368979	86854696.000
09/20/2011	16.87	17.29	16.53	16.91	2418268	62050096.000
09/21/2011	16.85	17.73	16.28	17.27	2928146	75189312.000
09/22/2011	17.04	17.65	16.68	16.71	2569160	67182176.000
09/23/2011	16.13	16.61	15.61	16.10	2374022	58067484.000
09/26/2011	15.83	16.35	15.41	15.52	1656177	39737652.000
09/27/2011	15.68	15.86	15.03	15.37	1403670	32878636.000
09/28/2011	15.47	15.57	14.40	14.65	2526953	57088556.000
09/29/2011	14.33	14.43	13.75	13.80	2019354	43376064.000
09/30/2011	13.83	14.19	13.27	14.04	1691259	35214436.000
10/10/2011	14.05	14.13	13.61	14.04	1059975	22414236.000
10/11/2011	14.61	14.65	13.67	13.80	1384695	29953168.000
10/12/2011	13.47	14.63	13.14	14.57	1900789	40947792.000
10/13/2011	14.48	15.45	14.48	15.10	2327638	53439100.000
10/14/2011	14.99	15.12	14.47	14.77	1824545	40986136.000
10/17/2011	14.78	15.39	14.73	15.33	2293998	52843816.000
10/18/2011	15.13	15.30	14.20	14.27	1847645	41857392.000
10/19/2011	14.47	14.61	14.15	14.41	1134131	24849582.000
10/20/2011	14.27	14.40	13.19	13.56	2194425	45342832.000
10/21/2011	13.59	13.65	13.13	13.28	827589	16804348.000
10/24/2011	13.40	13.72	12.76	13.68	1166068	23630276.000
10/25/2011	13.54	14.33	13.35	14.13	1798439	38001996.000
10/26/2011	14.10	14.78	14.10	14.19	2299606	50293976.000
10/27/2011	14.20	14.91	14.19	14.47	2015548	44588552.000
10/28/2011	14.71	14.81	14.29	14.73	1786778	39687364.000
10/31/2011	14.67	15.02	14.67	14.93	1422202	32124742.000
11/01/2011	14.79	15.47	14.67	15.40	2789562	64032388.000
11/02/2011	15.14	16.19	14.97	16.01	2935512	69484768.000
11/03/2011	16.21	16.55	15.65	15.67	2990809	72885648.000
11/07/2011	15.61	15.99	15.47	15.95	1536635	36747300.000
11/08/2011	15.93	16.02	15.23	15.33	1360364	32184332.000
11/09/2011	15.36	15.63	14.97	15.60	1634805	38053264.000
11/10/2011	15.35	15.90	15.33	15.41	1735607	41201648.000
11/11/2011	15.50	15.61	15.00	15.13	1048181	24375240.000
11/14/2011	15.35	16.04	15.21	15.97	2064063	49420584.000
11/15/2011	16.00	16.43	15.83	16.38	2738664	67282256.000
11/16/2011	16.26	16.33	15.71	15.81	1996748	48362572.000
11/17/2011	15.83	16.53	15.82	16.05	2218282	54557228.000
11/18/2011	15.83	15.92	15.46	15.60	2107490	50134348.000
11/21/2011	15.63	15.76	14.89	15.32	1778549	41099312.000
11/22/2011	15.10	15.21	14.61	15.05	2336057	53088500.000
11/23/2011	15.09	15.39	15.01	15.07	1972180	45540460.000
11/24/2011	14.80	15.17	14.60	14.93	1021285	23116148.000
11/25/2011	14.87	15.19	14.34	14.43	1234112	27696466.000
11/28/2011	14.43	14.57	13.87	14.15	1648391	35432940.000
11/29/2011	14.17	14.43	14.17	14.33	1543582	33576000.000
11/30/2011	14.31	14.46	13.28	14.13	2279386	48397664.000
12/01/2011	14.46	14.85	14.31	14.49	1353115	30008630.000
12/02/2011	14.49	14.49	13.83	14.11	813860	17388576.000
12/05/2011	13.77	14.11	13.49	13.73	659501	13805537.000
12/06/2011	13.50	13.90	13.50	13.79	361766	7594119.000
12/07/2011	13.79	14.19	13.68	14.17	536036	11390773.000
12/08/2011	14.07	14.73	13.90	14.39	939577	20549796.000
12/09/2011	14.20	14.67	14.20	14.29	570501	12528946.000
12/12/2011	14.21	14.58	14.06	14.30	415234	9047972.000
12/13/2011	14.20	14.29	13.60	13.83	480231	10086119.000
12/14/2011	13.69	14.11	13.53	13.80	411337	8662618.000
12/15/2011	13.73	14.05	13.54	13.80	631719	13277089.000
12/16/2011	13.77	14.51	13.68	14.51	774058	16601597.000
12/19/2011	14.43	15.09	14.25	15.04	1949722	43624524.000
12/20/2011	14.93	15.07	14.57	14.57	1116145	25151138.000
12/21/2011	14.69	15.51	14.50	14.97	2501903	56758956.000
12/22/2011	14.77	15.00	13.80	14.93	1821260	40099336.000
12/23/2011	14.73	15.10	14.40	14.72	1490965	33555712.000
12/26/2011	14.65	14.93	14.10	14.13	890824	19750924.000
12/27/2011	13.87	14.03	12.70	12.70	1893862	37806884.000
12/28/2011	12.13	12.47	11.41	11.50	2302336	40777088.000
12/29/2011	11.37	11.69	11.33	11.33	823745	14418547.000
12/30/2011	11.41	11.64	11.35	11.47	745413	13072727.000
01/04/2012	11.50	11.65	10.31	10.31	1751996	29042508.000
01/05/2012	10.00	10.22	9.88	9.93	1173446	18006560.000
01/06/2012	9.80	10.33	9.54	10.14	1089131	16392774.000
01/09/2012	9.99	10.58	9.85	10.58	1169181	18440382.000
01/10/2012	10.53	11.00	10.41	10.99	1817883	30017414.000
01/11/2012	11.01	11.09	10.73	10.92	1558621	26006926.000
01/12/2012	10.78	10.99	10.51	10.53	1142062	18688622.000
01/13/2012	10.46	10.53	9.46	9.46	2231621	33421812.000
01/16/2012	9.35	9.35	8.73	8.73	1397577	19371618.000
01/17/2012	8.80	9.40	8.74	9.30	1683627	23401474.000
01/18/2012	9.30	9.39	8.50	8.57	1995404	27425594.000
01/19/2012	8.61	9.45	8.49	9.34	3265366	46386480.000
01/20/2012	9.13	9.76	9.08	9.71	2783469	40487752.000
01/30/2012	9.67	9.99	9.41	9.63	1855550	27509328.000
01/31/2012	9.60	9.71	9.40	9.62	1020897	14890565.000
02/01/2012	9.53	10.02	9.53	9.78	1954963	29465552.000
02/02/2012	9.87	9.97	9.66	9.93	1277820	19195570.000
02/03/2012	9.94	10.37	9.82	10.27	2217228	34261572.000
02/06/2012	10.32	10.77	10.30	10.47	3391733	54427148.000
02/07/2012	10.38	10.47	10.07	10.14	1223433	19127868.000
02/08/2012	10.10	10.50	9.98	10.45	1475575	23143524.000
02/09/2012	10.43	10.70	10.33	10.51	1717291	27645222.000
02/10/2012	10.52	10.59	10.41	10.52	1605076	25780716.000
02/13/2012	10.49	11.38	10.39	10.96	3138142	52657316.000
02/14/2012	10.96	11.14	10.80	11.14	2190159	36847800.000
02/15/2012	11.19	11.39	10.93	11.33	2693005	46041468.000
02/16/2012	11.27	11.53	11.07	11.47	2917357	50263684.000
02/17/2012	11.39	11.51	11.13	11.31	1917848	33112654.000
02/20/2012	11.43	11.63	11.25	11.31	2390797	41688376.000
02/21/2012	11.23	11.37	10.92	11.37	2849847	48614096.000
02/22/2012	11.33	11.69	11.27	11.66	3216254	56671836.000
02/23/2012	11.67	11.95	11.49	11.77	3191480	56926644.000
02/24/2012	11.73	12.40	11.73	12.02	3504515	64362996.000
02/27/2012	11.93	12.02	11.64	11.73	3898574	70485760.000
02/28/2012	11.68	11.70	11.37	11.47	2362782	41574936.000
02/29/2012	11.52	11.59	11.07	11.13	1898765	32830726.000
03/01/2012	11.12	11.55	11.08	11.45	2413260	41900028.000
03/02/2012	11.51	11.79	11.41	11.79	2524032	44931676.000
03/05/2012	11.86	11.91	11.65	11.77	2609886	46789120.000
03/06/2012	11.78	12.33	11.36	12.16	4033060	72830464.000
03/07/2012	11.93	12.85	11.81	12.50	5858288	112307552.000
03/08/2012	12.54	12.64	12.30	12.57	2708758	51422440.000
03/09/2012	12.57	12.92	12.39	12.77	2612509	50140876.000
03/12/2012	12.70	12.71	12.41	12.62	2079488	39746420.000
03/13/2012	12.62	12.79	12.47	12.67	1783573	34405728.000
03/14/2012	12.68	12.99	12.01	12.25	3097739	59082008.000
03/15/2012	12.25	13.49	12.01	13.23	4131402	80719192.000
03/16/2012	13.23	13.73	12.99	13.57	2869597	58290928.000
03/19/2012	13.54	13.77	13.31	13.70	2051269	42400412.000
03/20/2012	13.73	14.05	13.47	13.73	2586933	54244580.000
03/21/2012	13.67	13.73	12.81	13.12	2222558	44617572.000
03/22/2012	13.12	13.32	12.80	12.90	810191	16041205.000
03/23/2012	12.87	12.99	12.55	12.71	914408	17753372.000
03/26/2012	12.71	13.03	12.53	12.73	405386	7849970.000
03/27/2012	12.63	12.91	12.63	12.69	582394	11335530.000
03/28/2012	12.63	12.69	11.57	11.84	1179906	21531728.000
03/29/2012	11.60	11.80	11.27	11.28	587771	10342852.000
03/30/2012	11.30	11.90	11.28	11.83	1194294	21312810.000
04/05/2012	12.00	12.72	11.85	12.20	1583058	29735028.000
04/06/2012	12.22	12.60	12.04	12.46	1155247	21756670.000
04/09/2012	12.59	12.59	12.00	12.08	886166	16584408.000
04/10/2012	12.11	12.36	11.55	12.36	1124374	20506660.000
04/11/2012	12.07	12.39	12.03	12.27	652255	12157572.000
04/12/2012	12.46	12.57	12.15	12.57	1172840	22133006.000
04/13/2012	12.73	12.73	12.48	12.67	1227583	23611442.000
04/16/2012	12.55	12.64	12.39	12.52	699951	13359291.000
