300257 开山股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/19/2011	23.32	25.27	23.04	24.78	25687225	1932258048.000
08/22/2011	25.22	26.43	25.20	25.88	10279626	821472576.000
08/23/2011	25.88	26.50	25.35	26.25	6821213	551132800.000
08/24/2011	26.30	26.72	25.43	25.43	4569114	371777216.000
08/25/2011	25.45	26.06	24.82	25.65	4412840	350306304.000
08/26/2011	25.50	26.94	25.32	26.69	4069110	331988576.000
08/29/2011	26.49	27.15	26.28	26.42	3132770	259929376.000
08/30/2011	26.44	26.65	24.98	25.15	2826976	228947776.000
08/31/2011	25.32	25.52	24.32	25.35	2804000	218816000.000
09/01/2011	25.25	25.47	24.39	24.58	1772883	137881504.000
09/02/2011	24.42	24.95	24.36	24.65	1771876	136513888.000
09/05/2011	24.32	24.60	23.65	24.24	2027178	152624720.000
09/06/2011	23.82	24.32	22.08	22.52	4090541	294100352.000
09/07/2011	22.98	23.48	22.56	23.13	1857478	133863160.000
09/08/2011	23.25	23.25	22.42	22.55	2189018	156445232.000
09/09/2011	22.65	23.24	22.52	22.90	1781973	128195392.000
09/13/2011	22.55	22.55	21.25	21.58	1979369	135068784.000
09/14/2011	21.91	22.32	21.58	22.13	1416798	97482672.000
09/15/2011	22.07	23.22	22.03	22.51	1565096	111739440.000
09/16/2011	22.75	22.75	22.02	22.46	794387	55724684.000
09/19/2011	22.32	22.32	21.59	21.82	667873	46005816.000
09/20/2011	22.12	22.88	21.86	22.72	1319749	93177640.000
09/21/2011	22.65	23.73	22.56	23.55	1934243	140772352.000
09/22/2011	23.35	23.82	22.85	22.92	843928	61471780.000
09/23/2011	22.81	23.71	22.32	23.02	1491865	107736864.000
09/26/2011	22.97	23.21	21.69	21.86	1726513	120580344.000
09/27/2011	22.28	22.57	21.42	21.98	1012192	70037048.000
09/28/2011	22.27	22.27	21.18	21.18	480108	32757142.000
09/29/2011	20.98	21.18	20.08	20.48	1652015	106805808.000
09/30/2011	20.49	20.78	20.18	20.29	342590	22025352.000
10/10/2011	20.61	20.79	19.83	19.98	835091	53576016.000
10/11/2011	20.35	20.59	18.65	18.99	1608812	99816480.000
10/12/2011	18.72	20.13	18.72	19.82	1340244	82320784.000
10/13/2011	19.68	20.73	19.68	20.32	1097731	70328280.000
10/14/2011	20.10	20.31	19.45	19.81	1223405	76226792.000
10/17/2011	19.82	20.63	19.70	20.60	1114452	71273072.000
10/18/2011	20.35	20.70	20.05	20.21	1220592	78024120.000
10/19/2011	20.32	20.38	19.39	19.43	678448	42490752.000
10/20/2011	19.32	19.53	18.08	18.55	961161	56406292.000
10/21/2011	18.52	18.69	18.08	18.41	587854	34232956.000
10/24/2011	17.75	18.97	17.61	18.96	1062766	61423656.000
10/25/2011	18.76	20.02	18.61	19.87	1138384	69957800.000
10/26/2011	19.77	20.15	19.32	19.88	861293	53895896.000
10/27/2011	19.87	20.11	19.43	19.49	595154	37132752.000
10/28/2011	19.82	20.48	19.49	20.35	691245	43695188.000
10/31/2011	20.52	20.77	20.02	20.74	729179	47245056.000
11/01/2011	20.39	20.94	20.28	20.61	672044	43628404.000
11/02/2011	20.18	21.65	20.02	21.55	623312	41073336.000
11/03/2011	21.43	22.32	21.08	21.37	1015809	69419560.000
11/04/2011	21.35	21.65	21.15	21.53	379472	25478146.000
11/07/2011	21.51	21.61	21.04	21.19	168158	11256742.000
11/08/2011	21.00	21.54	20.32	20.32	1043714	68327376.000
11/09/2011	20.47	20.64	20.05	20.38	966088	61589100.000
11/10/2011	20.18	21.22	20.15	21.02	915636	59648688.000
11/11/2011	20.75	21.13	20.65	20.68	807539	53165180.000
11/14/2011	20.98	21.94	20.98	21.52	910700	61688996.000
11/15/2011	21.42	22.25	21.42	22.07	738885	50955864.000
11/16/2011	22.07	22.28	21.42	21.60	518792	35498120.000
11/17/2011	21.48	22.68	21.48	22.22	1268549	88025440.000
11/18/2011	21.99	22.48	21.29	21.36	870671	59699948.000
11/21/2011	21.32	21.55	20.19	20.48	1197548	78047248.000
11/22/2011	20.32	21.06	20.31	20.98	1326985	86507248.000
11/23/2011	21.08	21.48	20.82	21.30	742295	49548156.000
11/24/2011	21.28	22.18	20.85	21.72	802381	54197500.000
11/25/2011	21.65	22.12	21.39	21.56	646269	44337976.000
11/28/2011	21.55	21.95	21.48	21.74	528903	36015836.000
11/29/2011	21.94	21.98	21.04	21.48	913382	61539740.000
11/30/2011	21.32	21.62	20.34	20.45	939139	61550504.000
12/01/2011	21.18	21.48	20.82	21.05	985602	65483724.000
12/02/2011	21.05	21.15	19.72	20.21	836050	53528436.000
12/05/2011	19.99	20.01	18.82	18.82	1195788	73142016.000
12/06/2011	18.82	19.38	18.66	19.25	797613	48309140.000
12/07/2011	19.25	19.71	19.09	19.49	539826	33146650.000
12/08/2011	19.44	20.27	19.19	19.92	557272	34806080.000
12/09/2011	19.75	20.08	19.53	19.82	422578	26376890.000
12/12/2011	19.67	19.97	19.49	19.82	400002	24948286.000
12/13/2011	19.65	19.65	18.85	18.98	1164706	70190360.000
12/14/2011	18.98	19.08	18.52	18.65	740094	44045792.000
12/15/2011	18.65	19.15	18.27	18.98	789665	46692656.000
12/16/2011	18.92	19.68	18.82	19.65	433289	26335112.000
12/19/2011	19.58	20.08	19.18	19.88	578687	36094024.000
12/20/2011	19.64	20.34	19.62	19.79	390596	24699442.000
12/21/2011	20.05	20.14	19.34	19.34	411821	25740674.000
12/22/2011	19.22	19.22	18.39	18.98	702436	41570088.000
12/23/2011	18.88	19.49	18.88	19.22	407799	24719790.000
12/26/2011	18.99	19.37	18.48	18.48	314621	18803868.000
12/27/2011	18.48	19.42	17.65	18.00	1095884	64693032.000
12/28/2011	17.92	18.31	16.98	17.84	462648	25829162.000
12/29/2011	17.68	18.78	17.38	18.75	708861	40920340.000
12/30/2011	18.75	19.25	18.65	18.98	588897	35440864.000
01/04/2012	18.99	19.15	16.98	16.98	1028640	58410488.000
01/05/2012	16.65	16.65	15.18	15.42	1817839	90756640.000
01/06/2012	15.42	15.65	14.65	15.37	623775	30289332.000
01/09/2012	15.48	15.98	15.02	15.92	730353	36391256.000
01/10/2012	15.88	16.70	15.71	16.65	836774	43443472.000
01/11/2012	16.64	16.84	16.23	16.38	958214	50518632.000
01/12/2012	16.38	16.54	15.13	15.13	1125620	56397040.000
01/13/2012	15.13	15.44	14.16	14.31	1446574	68103056.000
01/16/2012	13.85	14.37	13.69	13.88	813828	36696008.000
01/17/2012	14.04	14.78	13.70	14.68	646442	29800498.000
01/18/2012	14.59	14.88	13.84	13.95	760284	34950076.000
01/19/2012	13.96	14.44	13.85	14.35	481719	22006120.000
01/20/2012	14.61	15.05	14.39	14.95	548033	26148878.000
01/30/2012	15.02	15.41	14.95	15.15	541346	26335950.000
01/31/2012	15.09	15.18	14.57	14.93	320204	15199825.000
02/01/2012	14.68	15.68	14.68	15.18	604493	29689260.000
02/02/2012	15.17	15.48	15.08	15.48	377703	18425624.000
02/03/2012	15.44	15.96	15.32	15.81	594871	29869654.000
02/06/2012	15.78	16.20	15.50	16.11	814056	41137300.000
02/07/2012	16.02	16.02	15.55	15.58	372675	18657116.000
02/08/2012	15.54	15.82	15.42	15.81	461884	23113930.000
02/09/2012	15.81	16.12	15.65	15.83	536257	27179626.000
02/10/2012	15.82	16.37	15.69	16.15	869313	44594964.000
02/13/2012	15.92	16.93	15.82	16.86	1002520	53252408.000
02/14/2012	16.75	16.97	16.57	16.75	468581	24997450.000
02/15/2012	16.75	17.27	16.65	17.09	769547	41675472.000
02/16/2012	17.02	17.47	17.02	17.28	768010	42202112.000
02/17/2012	17.22	17.57	16.77	17.19	571410	31051992.000
02/20/2012	17.32	17.35	16.92	16.94	349088	19030212.000
02/21/2012	16.78	17.17	16.72	17.00	845661	45515536.000
02/22/2012	17.00	17.60	16.98	17.38	815423	44885480.000
02/23/2012	17.48	17.58	17.11	17.27	748653	41145956.000
02/24/2012	17.28	17.72	17.18	17.72	831241	45959976.000
02/27/2012	17.75	18.15	17.70	17.72	1310643	74487192.000
02/28/2012	17.65	17.65	16.92	17.13	1225935	67247720.000
02/29/2012	17.05	17.15	16.80	16.87	1255788	67508880.000
03/01/2012	16.82	17.30	16.82	17.16	733161	39767428.000
03/02/2012	17.15	18.08	17.15	18.03	1015983	57073704.000
03/05/2012	18.04	18.84	18.04	18.73	1140643	67187864.000
03/06/2012	18.70	18.87	18.42	18.68	1048969	61715884.000
03/07/2012	18.55	18.99	18.32	18.65	699419	41392504.000
03/08/2012	18.67	18.90	18.48	18.68	399225	23609112.000
03/09/2012	18.68	19.05	18.68	18.88	624630	37384212.000
