300258 精锻科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/26/2011	19.52	20.68	19.02	20.48	17825277	640398656.000
08/29/2011	19.85	21.73	19.58	20.87	12900152	490787680.000
08/30/2011	20.69	21.16	19.97	20.11	8224681	309936864.000
08/31/2011	20.05	20.07	18.31	19.52	6799749	241334432.000
09/01/2011	19.16	19.73	18.80	18.87	3782980	133687256.000
09/02/2011	18.79	19.57	18.19	19.57	5212144	182180624.000
09/05/2011	19.26	19.73	18.85	18.98	3829820	136173712.000
09/06/2011	18.66	18.66	17.04	17.04	4307579	141086416.000
09/07/2011	17.07	17.45	17.04	17.39	2873686	91657432.000
09/08/2011	17.39	17.39	16.26	16.33	4033409	124838288.000
09/09/2011	16.24	16.69	16.13	16.37	2111061	63925368.000
09/13/2011	15.69	15.95	15.02	15.19	2478142	70185384.000
09/14/2011	15.31	15.55	14.63	15.51	2469922	69349832.000
09/15/2011	15.46	16.23	15.33	15.90	3642150	106552168.000
09/16/2011	15.90	16.16	15.08	15.14	2603390	74966560.000
09/19/2011	15.14	15.16	14.11	14.12	1710181	45698276.000
09/20/2011	14.11	14.44	13.71	14.14	1586771	41536148.000
09/21/2011	14.14	14.80	14.04	14.68	2120552	56990876.000
09/22/2011	14.41	14.56	13.78	13.79	1945951	51226388.000
09/23/2011	13.46	13.75	13.28	13.65	1368007	34377772.000
09/26/2011	13.52	14.12	13.52	13.79	1663028	42746492.000
09/27/2011	14.01	14.17	13.62	13.96	1227100	31635668.000
09/28/2011	14.11	14.13	13.41	13.62	1238609	31692520.000
09/29/2011	13.65	14.84	13.62	14.26	4081966	108411912.000
09/30/2011	14.12	15.40	14.12	15.14	4767930	130416576.000
10/11/2011	15.33	15.79	14.96	15.54	4645688	131934216.000
10/12/2011	15.52	15.84	14.63	15.84	4219841	120412288.000
10/13/2011	15.54	15.88	15.34	15.54	3522522	101544048.000
10/14/2011	15.52	15.52	14.94	15.24	2441087	68562328.000
10/17/2011	15.28	16.81	15.28	16.81	5840268	176249856.000
10/18/2011	16.63	16.63	15.66	15.68	3831547	115028480.000
10/19/2011	15.66	15.92	15.31	15.89	2436037	70596624.000
10/20/2011	15.75	15.75	14.93	15.19	2025973	56852488.000
10/21/2011	15.02	15.32	13.66	13.74	2391675	63004704.000
10/24/2011	13.73	14.35	13.29	14.28	2143125	54986428.000
10/25/2011	14.27	15.12	14.06	14.80	2960994	80439688.000
10/26/2011	14.58	14.97	14.52	14.65	2249335	61525912.000
10/27/2011	14.66	14.85	14.37	14.79	2393700	64838176.000
10/28/2011	15.07	15.11	14.67	15.08	2529891	70003672.000
10/31/2011	15.13	15.91	15.13	15.51	2876761	82724488.000
11/01/2011	15.24	15.51	15.01	15.42	2100776	59447880.000
11/02/2011	15.04	15.88	14.95	15.86	2866002	81747880.000
11/03/2011	15.86	16.02	15.48	15.52	2977786	86498208.000
11/04/2011	15.54	15.67	15.18	15.50	1981646	56486920.000
11/07/2011	15.29	15.53	15.19	15.19	1201489	34040132.000
11/08/2011	15.08	15.29	14.41	14.44	1924027	53081800.000
11/09/2011	14.44	14.77	14.23	14.77	1773294	47775612.000
11/10/2011	14.46	15.07	14.45	14.75	1950299	53577996.000
11/11/2011	14.79	14.92	14.48	14.62	1164315	31686556.000
11/14/2011	14.69	15.68	14.69	15.64	3023997	86090968.000
11/15/2011	15.66	15.76	15.37	15.52	2337519	67257560.000
11/16/2011	15.60	15.80	15.37	15.62	2822769	81241008.000
11/17/2011	15.53	16.66	15.53	16.19	5239017	156259824.000
11/18/2011	15.93	16.18	15.16	15.19	3014901	87145640.000
11/21/2011	15.13	15.19	14.46	14.73	1773657	48240644.000
11/22/2011	14.52	14.68	14.19	14.56	1627723	43442688.000
11/23/2011	14.64	14.83	14.08	14.72	1957853	52766980.000
11/24/2011	14.55	14.65	14.08	14.29	1509911	40083584.000
11/25/2011	14.31	14.66	14.16	14.19	1480336	39588908.000
11/28/2011	13.96	14.20	13.44	13.71	3729353	94638272.000
11/29/2011	13.78	14.27	13.71	14.27	2183168	56473112.000
11/30/2011	14.23	14.23	12.84	13.37	2299324	58049516.000
12/01/2011	13.78	13.96	13.57	13.62	1745778	44643620.000
12/02/2011	13.57	13.87	13.37	13.53	1145130	28984392.000
12/05/2011	13.53	13.53	12.48	12.59	1329644	32039330.000
12/06/2011	12.78	12.78	12.41	12.72	1133704	26579868.000
12/07/2011	12.63	12.83	12.59	12.72	778417	18403658.000
12/08/2011	12.73	12.82	12.15	12.68	1560932	36365980.000
12/09/2011	12.56	12.63	12.14	12.16	1427872	32756758.000
12/12/2011	12.14	12.27	12.02	12.03	743034	16795746.000
12/13/2011	11.96	12.02	11.35	11.41	1444064	31216852.000
12/14/2011	11.36	11.61	11.27	11.32	940064	20127838.000
12/15/2011	11.30	11.32	11.02	11.07	933591	19429258.000
12/16/2011	11.06	11.60	11.06	11.58	1152483	24389686.000
12/19/2011	11.57	12.07	11.31	12.05	2157928	47219888.000
12/20/2011	12.04	12.17	11.69	11.70	974466	21676544.000
12/21/2011	11.85	12.02	11.18	11.23	841416	18265390.000
12/22/2011	11.17	11.23	10.60	10.97	1206448	24543526.000
12/23/2011	10.91	11.28	10.91	11.01	881327	18300818.000
12/26/2011	11.02	11.32	10.90	10.96	591176	12312283.000
12/27/2011	10.82	10.95	10.60	10.63	600669	12076870.000
12/28/2011	10.53	10.61	10.19	10.51	659962	12803160.000
12/29/2011	10.52	10.60	10.42	10.48	534156	10520736.000
12/30/2011	10.48	11.39	10.48	11.07	1743096	35944548.000
01/04/2012	11.09	11.29	10.68	10.69	994724	20496974.000
01/05/2012	10.68	10.78	10.33	10.41	592050	11642645.000
01/06/2012	10.45	10.96	10.27	10.68	845878	16762265.000
01/09/2012	10.68	11.12	10.48	11.11	1099451	22465428.000
