300259 新天科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/31/2011	8.14	8.60	8.12	8.36	13181717	404871616.000
09/01/2011	8.23	8.23	7.72	7.81	6959889	203700704.000
09/02/2011	7.69	7.74	7.36	7.73	4668544	130415944.000
09/05/2011	7.59	7.92	7.50	7.76	4238740	121195808.000
09/06/2011	7.61	7.66	6.97	6.97	4045016	107954968.000
09/07/2011	6.94	7.24	6.94	7.18	2431684	64100408.000
09/08/2011	7.18	7.33	6.70	6.75	3443427	89141816.000
09/09/2011	6.74	6.92	6.67	6.83	2301923	58010504.000
09/13/2011	6.61	6.68	6.34	6.55	1936888	46743348.000
09/14/2011	6.61	6.74	6.39	6.69	1920229	46986368.000
09/15/2011	6.67	6.87	6.64	6.71	2421453	60508812.000
09/16/2011	6.69	6.75	6.42	6.43	2024278	49078652.000
09/19/2011	6.32	6.37	5.95	5.96	1648316	37231564.000
09/20/2011	5.94	6.12	5.89	6.03	956973	21376410.000
09/21/2011	6.02	6.33	5.98	6.27	1553109	35688904.000
09/22/2011	6.17	6.24	5.90	5.91	1536653	34536640.000
09/23/2011	5.83	5.97	5.71	5.89	1011977	22032378.000
09/26/2011	5.92	6.00	5.79	5.80	793966	17408744.000
09/27/2011	5.84	6.04	5.84	5.99	1485866	32880406.000
09/28/2011	5.99	6.05	5.66	5.71	1155308	25212898.000
09/29/2011	5.69	5.69	5.42	5.42	1176936	24281914.000
09/30/2011	5.46	5.49	5.28	5.42	1199473	24113700.000
10/10/2011	5.44	5.47	5.31	5.39	698987	14075197.000
10/11/2011	5.50	5.77	5.42	5.56	1854258	38609696.000
10/12/2011	5.50	5.76	5.44	5.74	1708602	36039976.000
10/13/2011	5.64	5.89	5.64	5.84	1665614	35934788.000
10/14/2011	5.77	5.84	5.69	5.72	1019089	21787608.000
10/17/2011	5.72	6.22	5.71	6.12	2825606	62923464.000
10/18/2011	6.00	6.11	5.83	5.85	1994114	44460372.000
10/19/2011	5.83	5.98	5.78	5.85	1107152	24177864.000
10/20/2011	5.97	6.17	5.78	5.79	2133114	47311528.000
10/21/2011	5.67	5.69	5.29	5.34	1436847	29370652.000
10/24/2011	5.39	5.60	5.30	5.58	1179756	24044780.000
10/25/2011	5.60	6.04	5.54	5.97	2164198	47191276.000
10/26/2011	5.87	6.16	5.87	5.99	2492837	56061588.000
10/27/2011	5.92	6.33	5.92	6.17	2561784	58429216.000
10/28/2011	6.26	6.32	6.09	6.30	2360740	54630332.000
10/31/2011	6.36	6.36	6.16	6.27	1868553	43349472.000
11/01/2011	6.22	6.24	6.03	6.24	1969222	44978704.000
11/02/2011	6.11	6.69	6.09	6.57	3025913	72039936.000
11/03/2011	6.58	6.83	6.51	6.68	3934152	97262400.000
11/04/2011	6.71	6.73	6.50	6.52	1817331	44495288.000
11/07/2011	6.47	6.51	6.37	6.44	1342688	31996774.000
11/08/2011	6.44	6.55	6.19	6.21	1421421	33373096.000
11/09/2011	6.24	6.41	6.14	6.40	1424548	33194772.000
11/10/2011	6.33	6.75	6.32	6.45	2862213	69394616.000
11/11/2011	6.46	6.61	6.28	6.29	1826498	43306592.000
11/14/2011	6.36	6.65	6.31	6.64	2196639	53254516.000
11/15/2011	6.63	6.68	6.51	6.60	1475515	35993796.000
11/16/2011	6.60	6.65	6.30	6.34	1689353	40723944.000
11/17/2011	6.33	6.67	6.33	6.56	2463050	59640996.000
11/18/2011	6.51	6.75	6.37	6.74	3371330	82175896.000
11/21/2011	6.78	6.84	6.43	6.64	2470270	60388308.000
11/22/2011	6.52	6.57	6.15	6.32	2226864	52363736.000
11/23/2011	6.32	6.44	6.26	6.28	1354603	31884904.000
11/24/2011	6.12	6.33	6.03	6.16	1376438	31521278.000
11/25/2011	6.12	6.27	5.92	5.97	1200958	27188680.000
11/28/2011	5.95	6.04	5.74	5.84	1018639	22200126.000
11/29/2011	5.91	5.99	5.81	5.98	997875	21834174.000
11/30/2011	5.93	5.96	5.47	5.56	1084326	22972328.000
12/01/2011	5.74	5.85	5.69	5.70	1200918	25783238.000
12/02/2011	5.69	5.69	5.52	5.60	640052	13332736.000
12/05/2011	5.58	5.58	5.36	5.39	662493	13390512.000
12/06/2011	5.39	5.55	5.32	5.54	597165	12197364.000
12/07/2011	5.49	5.64	5.48	5.59	525801	10925167.000
12/08/2011	5.56	5.81	5.47	5.66	726820	15318979.000
12/09/2011	5.61	5.79	5.58	5.74	715717	15219113.000
12/12/2011	5.70	5.75	5.67	5.74	462045	9819342.000
12/13/2011	5.77	5.85	5.53	5.79	1356676	29039248.000
12/14/2011	5.75	5.80	5.45	5.51	1001819	21103374.000
12/15/2011	5.44	5.64	5.36	5.55	645709	13369630.000
12/16/2011	5.54	5.79	5.46	5.79	1007652	21093800.000
12/19/2011	5.71	5.91	5.64	5.91	1030182	22085572.000
12/20/2011	5.88	5.94	5.80	5.87	708642	15444910.000
12/21/2011	5.92	5.94	5.64	5.72	736300	15927093.000
12/22/2011	5.64	5.70	5.39	5.61	672762	13887052.000
12/23/2011	5.56	5.71	5.55	5.62	365124	7654537.500
12/26/2011	5.60	5.67	5.47	5.47	331840	6893884.500
12/27/2011	5.44	5.44	4.90	4.90	1198172	22883190.000
12/28/2011	4.87	4.87	4.39	4.56	1444418	24617698.000
12/29/2011	4.47	4.60	4.42	4.49	445794	7590075.500
12/30/2011	4.51	4.63	4.51	4.59	497075	8554174.000
01/04/2012	4.66	4.66	4.20	4.20	600380	10047368.000
01/05/2012	4.14	4.24	3.99	4.04	841683	12976887.000
01/06/2012	4.00	4.44	3.96	4.25	830016	12968383.000
01/09/2012	4.30	4.61	4.20	4.60	985677	16403404.000
01/10/2012	4.60	4.75	4.54	4.72	1098010	19168280.000
01/11/2012	4.68	4.79	4.64	4.74	762106	13438445.000
01/12/2012	4.75	4.76	4.60	4.63	642650	11235631.000
01/13/2012	4.66	4.74	4.15	4.15	1067241	17630004.000
01/16/2012	4.14	4.55	4.11	4.20	827073	13339744.000
01/17/2012	4.20	4.51	4.14	4.49	865534	14205506.000
01/18/2012	4.48	4.51	4.17	4.19	674808	11035946.000
01/19/2012	4.19	4.44	4.17	4.37	602870	9861506.000
01/20/2012	4.35	4.75	4.35	4.50	831130	14227869.000
01/30/2012	4.51	4.71	4.43	4.55	836605	14383635.000
01/31/2012	4.54	4.60	4.42	4.56	582220	9822718.000
02/01/2012	4.52	4.66	4.47	4.59	964668	16709577.000
02/02/2012	4.65	4.66	4.48	4.65	517216	8925900.000
02/03/2012	4.64	4.76	4.60	4.74	1007586	17715478.000
02/06/2012	4.73	4.76	4.65	4.70	952616	16753270.000
02/07/2012	4.69	4.74	4.55	4.59	681068	11848585.000
02/08/2012	4.56	4.74	4.55	4.74	1128328	19706490.000
02/09/2012	4.74	4.85	4.70	4.74	1489984	26619324.000
02/10/2012	4.71	4.82	4.71	4.78	1185338	21178136.000
02/13/2012	4.77	4.94	4.70	4.86	1213136	22022858.000
02/14/2012	4.86	4.98	4.81	4.92	1094522	20073740.000
