300260 新莱应材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/06/2011	26.44	28.57	25.52	25.58	11761152	484362272.000
09/07/2011	24.44	26.37	23.91	25.44	7846379	297812096.000
09/08/2011	24.89	25.88	24.24	24.44	5932128	224364336.000
09/09/2011	25.24	26.90	25.24	26.90	6631195	266771232.000
09/13/2011	25.84	26.16	24.44	25.22	4552763	174178000.000
09/14/2011	25.77	26.75	25.30	26.69	5201280	205446544.000
09/15/2011	26.30	27.30	25.97	26.25	4926079	198381984.000
09/16/2011	26.30	26.30	24.24	25.08	4765175	180583648.000
09/19/2011	25.10	25.75	24.57	24.57	3578485	136280896.000
09/20/2011	23.20	23.74	22.09	22.30	4631386	158627808.000
09/21/2011	22.09	23.31	21.49	23.04	3581013	122119224.000
09/22/2011	22.54	22.69	20.94	20.97	3461070	114254192.000
09/23/2011	20.44	21.43	20.37	21.29	2332015	74524184.000
09/26/2011	20.96	21.42	20.38	20.52	1536339	48525748.000
09/27/2011	20.77	20.96	19.58	20.76	2283392	70595760.000
09/28/2011	20.89	21.43	19.92	20.32	1918018	60661160.000
09/29/2011	19.77	20.20	19.09	19.09	1532425	45582368.000
09/30/2011	19.12	19.36	18.32	18.92	1154724	33009780.000
10/10/2011	18.93	19.25	18.57	18.97	824106	23667070.000
10/11/2011	19.47	20.89	19.47	20.56	3671668	113908208.000
10/12/2011	20.04	21.40	19.77	21.22	3128063	98218632.000
10/13/2011	21.07	21.63	20.74	21.07	2688428	86200584.000
10/14/2011	21.10	22.10	20.90	21.97	3064741	100316568.000
10/17/2011	21.87	22.74	21.52	22.40	2960440	99582648.000
10/18/2011	21.86	22.20	20.44	20.54	3093539	100220720.000
10/19/2011	20.42	21.20	20.37	20.82	1601605	50491016.000
10/20/2011	20.30	20.30	19.01	19.49	2104367	62384000.000
10/21/2011	19.42	19.60	18.77	19.10	1357533	39414608.000
10/24/2011	19.10	19.68	18.15	19.58	1560166	44956056.000
10/25/2011	19.48	21.42	19.36	20.86	2823639	87921432.000
10/26/2011	20.57	21.20	20.51	20.80	2237502	70810688.000
10/27/2011	20.58	21.60	20.58	21.36	2321741	74473808.000
10/28/2011	21.66	21.66	20.91	21.47	2238837	72268184.000
10/31/2011	21.32	21.75	21.17	21.54	1796327	58313776.000
11/01/2011	21.24	21.34	20.58	21.21	2555854	81311464.000
11/02/2011	20.77	22.29	20.68	22.08	2671076	87337440.000
11/03/2011	21.94	22.87	21.44	21.44	3469913	116210584.000
11/04/2011	21.50	21.75	21.04	21.27	1849079	59765480.000
11/08/2011	21.17	21.24	20.10	20.14	1785432	56127348.000
11/09/2011	20.24	20.68	20.04	20.68	1300096	40058124.000
11/10/2011	20.36	21.50	20.29	21.04	2544499	80852984.000
11/11/2011	20.74	21.40	20.74	20.91	1317127	41942092.000
11/14/2011	21.10	23.02	21.09	23.02	4194950	143909744.000
11/15/2011	23.02	23.29	22.54	23.22	3364888	116984928.000
11/16/2011	23.23	23.24	22.17	22.38	2295285	79014480.000
11/17/2011	22.44	24.26	22.44	23.42	3634063	128526136.000
11/18/2011	23.07	23.29	22.44	23.23	2047403	71159720.000
11/21/2011	23.09	23.23	22.18	23.04	1550540	53233224.000
11/22/2011	23.02	24.21	22.79	23.85	2856884	101843768.000
11/23/2011	23.76	24.00	23.20	23.59	1746130	62597268.000
11/24/2011	23.28	23.70	22.62	23.35	1383001	48564420.000
11/25/2011	23.35	24.24	23.18	23.99	2590534	93368632.000
11/28/2011	23.77	24.02	22.97	23.31	1504410	53557984.000
11/29/2011	23.50	23.64	21.96	22.39	2428172	82909568.000
11/30/2011	22.30	22.42	20.38	21.10	1625864	52891176.000
12/01/2011	21.77	21.94	21.18	21.18	1518413	49931736.000
12/02/2011	20.97	21.18	20.10	20.66	830945	25911342.000
12/05/2011	20.44	20.45	19.77	19.83	700861	21324080.000
12/06/2011	19.32	20.17	19.32	20.16	982967	29629348.000
12/07/2011	20.10	20.36	19.77	20.09	494101	15062013.000
12/08/2011	19.78	20.88	19.37	20.28	770465	23470960.000
12/09/2011	19.80	20.40	19.80	20.09	602924	18306432.000
12/12/2011	20.09	20.74	19.91	20.34	763862	23669018.000
12/13/2011	20.17	20.30	19.50	19.56	708667	21254672.000
12/14/2011	19.70	19.70	18.57	18.71	794337	22984922.000
12/15/2011	18.44	19.05	18.37	18.62	520095	14825212.000
12/16/2011	18.69	19.23	18.38	19.10	799626	22742904.000
12/19/2011	19.04	19.34	18.29	19.20	748324	21372402.000
12/20/2011	19.10	19.56	18.76	18.76	712872	20777254.000
12/21/2011	18.94	19.09	17.79	18.37	934118	26271430.000
12/22/2011	18.17	18.30	17.50	17.85	643586	17410120.000
12/23/2011	17.77	18.17	17.72	17.80	339606	9254552.000
12/26/2011	17.84	18.12	17.56	17.56	359702	9779646.000
12/27/2011	17.24	17.42	16.16	16.19	957000	24040676.000
12/28/2011	15.84	16.07	15.35	15.94	518092	12426293.000
12/29/2011	15.68	16.16	15.68	16.06	239078	5815559.500
12/30/2011	16.24	16.72	16.07	16.69	493324	12337218.000
01/04/2012	16.64	17.08	15.64	15.70	379126	9346965.000
01/05/2012	15.44	15.51	14.70	14.72	1444018	32916374.000
01/06/2012	14.71	15.09	14.44	14.99	370381	8324197.500
01/09/2012	14.95	15.69	14.47	15.66	640357	14876178.000
01/10/2012	15.55	16.20	15.50	16.04	1308225	31754814.000
01/11/2012	16.00	16.39	15.86	16.30	1211853	29779968.000
01/12/2012	16.04	16.34	15.80	15.82	960120	23441146.000
01/13/2012	15.90	15.97	14.44	14.50	761140	17341574.000
01/16/2012	14.17	14.38	13.67	13.67	453134	9681598.000
01/17/2012	13.67	14.62	13.66	14.47	870715	18850218.000
01/18/2012	14.44	14.88	14.00	14.16	1008704	22264696.000
01/19/2012	14.10	14.76	13.27	14.68	1001711	21495368.000
01/20/2012	14.58	15.00	14.37	14.79	741638	16672570.000
01/30/2012	14.79	15.40	14.36	14.84	813233	18498446.000
01/31/2012	14.64	14.90	14.37	14.56	517093	11458249.000
02/01/2012	14.56	14.96	14.47	14.53	536913	12061348.000
02/02/2012	14.64	14.87	14.50	14.87	544592	12207109.000
02/03/2012	14.87	15.47	14.80	15.44	881393	20369266.000
02/06/2012	15.32	15.56	15.12	15.56	935408	21875678.000
02/07/2012	15.34	15.36	14.97	15.19	765332	17697086.000
02/08/2012	15.19	15.59	14.97	15.55	792011	18500544.000
02/09/2012	15.52	15.97	15.42	15.60	1030220	24618004.000
02/10/2012	15.51	15.83	15.40	15.54	753566	17877514.000
02/13/2012	15.38	16.09	15.18	15.88	1108263	26681886.000
02/14/2012	15.89	16.35	15.77	15.99	1264714	30877346.000
02/15/2012	15.84	16.23	15.78	16.16	1052455	25701554.000
02/16/2012	16.17	16.36	15.82	16.04	863727	21128164.000
02/17/2012	15.99	16.16	15.64	15.93	623451	15021236.000
02/20/2012	16.10	16.34	15.89	15.95	796510	19492938.000
02/21/2012	15.92	16.42	15.65	16.42	1135866	27858284.000
02/22/2012	16.40	16.94	16.34	16.88	1486483	37706156.000
02/23/2012	16.86	17.44	16.80	16.96	1586156	41185568.000
02/24/2012	17.10	17.39	16.98	17.29	1540001	40177496.000
02/27/2012	17.14	17.77	17.11	17.30	1773171	46933432.000
02/28/2012	17.20	17.44	16.80	17.44	1344609	34995656.000
02/29/2012	17.30	17.46	16.57	16.64	1036523	26787240.000
03/01/2012	16.44	16.88	16.44	16.68	605622	15323380.000
03/02/2012	16.76	17.27	16.68	17.16	1147167	29698068.000
03/05/2012	17.20	18.00	17.17	17.70	2162937	58097876.000
03/06/2012	17.57	17.70	17.00	17.27	1254305	32852526.000
03/07/2012	17.10	17.68	16.98	17.34	1326386	35227716.000
03/08/2012	17.20	17.54	17.20	17.40	1084656	28637378.000
03/09/2012	17.41	17.96	17.41	17.95	1768067	47692356.000
03/12/2012	17.95	18.07	17.62	17.89	1280725	34566928.000
03/13/2012	17.88	18.06	17.64	18.02	1286264	34912296.000
03/14/2012	18.10	18.50	16.46	17.07	2436485	66039400.000
03/15/2012	16.89	17.17	16.38	16.80	1769621	45060440.000
03/16/2012	16.87	17.47	16.85	17.47	1458873	38119936.000
03/19/2012	17.49	17.70	17.22	17.70	1025584	27341922.000
03/20/2012	17.70	17.90	16.82	16.88	1226839	32160198.000
